| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| אֱמֶת (*ʾemet*) | שֶׁקֶר (*sheqer*) | *ʾemet* / *sheqer* | truth / falsehood, lie | *ʾemet* is the primary Hebrew term for truth across moral, legal, religious, and everyday contexts; *sheqer* is explicitly identified in P1 as "the primary Hebrew term for falsehood or lying" and as defining "the negative pole against which *ʾemet* is measured." The opposition is stated directly in P1 and recurs across P1b, P2b, and P3 (Groups 2 and 12). They appear in direct opposition in fixed expressions such as *ʿedut ʾemet* vs. *ʿedut sheker* and in the biblical injunction *midvar sheker tirḥaq*, which presupposes *ʾemet* as the positive pole. | lexical | [CORE] |
| עֵד אֱמֶת (*ʿed ʾemet*) | עֵד שֶׁקֶר (*ʿed sheqer*) | *ʿed ʾemet* / *ʿed sheqer* | truthful witness / false witness, perjurer | These are fixed phrases forming a direct antonym pair in legal and religious discourse, documented in P1b (Root א-מ-ת, items 8–9) and P2b (items 1.9 and 11.1). The contrast is between a witness who testifies truthfully and one who gives false testimony; the pair appears in biblical prohibition (*lo taʿane be-reʿakha ʿed sheqer*) and in modern legal Hebrew. | lexical (constructional fixed phrases) | [CORE] |
| דּוֹבֵר אֱמֶת (*dover ʾemet*) | דּוֹבֵר שֶׁקֶר (*dover sheqer*) | *dover ʾemet* / *dover sheqer* | one who speaks the truth / one who speaks falsehood, liar | These are parallel participial constructions documented in P1b (Root א-מ-ת, items 10–11) and P2b (items 1.10 and 11.2) as explicit counterparts. Both describe a person by their habitual relationship to truth or falsehood; the contrast is between moral characterizations of a truth-teller and a liar. | constructional | [CORE] |
| נָכוֹן (*nakhon*) | לֹא נָכוֹן (*lo nakhon*) | *nakhon* / *lo nakhon* | correct / not correct, wrong | *lo nakhon* is documented in P2a (item 3.2) and P2b (Construction 3.2) as "the standard negated form used in everyday Hebrew to indicate that something is incorrect or false," described as "extremely common across all registers." The opposition is between affirmation and denial of correctness in everyday conversational exchange; P3 (Group 1) lists both *ze nakhon* and *ze lo nakhon* as the primary tools for this function. The negated form is treated as having acquired fixed evaluative status. | morphological (negation) | [CORE] |
| זֶה נָכוֹן (*ze nakhon*) | זֶה לֹא נָכוֹן (*ze lo nakhon*) | *ze nakhon* / *ze lo nakhon* | that is correct / that is not correct | These are the standard constructional pair for affirming and denying correctness in everyday spoken Hebrew, documented in P2b (items 3.1–3.2) and P3 (Group 1). P4b notes that negative attribution via *lo* is "fully parallel to affirmative attribution" with no additional morphology required. | constructional | [CORE] |
| זֶה אֱמֶת (*ze ʾemet*) | זֶה לֹא אֱמֶת (*ze lo ʾemet*) | *ze ʾemet* / *ze lo ʾemet* | that is true / that is not true | These are documented in P2b (items 1.29–1.30) as "the standard everyday construction for affirming the truth of a statement" and "the standard everyday construction for denying the truth of a statement" respectively. They form the most direct constructional pair for truth affirmation and denial in spoken Hebrew. | constructional | [CORE] |
| זֶה אֱמֶת (*ze ʾemet*) | זֶה שֶׁקֶר (*ze sheqer*) | *ze ʾemet* / *ze sheqer* | that is true / that is a lie | P2b (item 11.3) notes that *ze sheqer* is "stronger in register than *ze lo nakhon* (that is not correct); implies deliberate falsehood." This opposition differs from Opposition 6 in that *ze sheqer* does not merely deny truth but positively characterizes the statement as a lie, adding a moral dimension absent from the simple negation *ze lo ʾemet*. | constructional | [CORE] |
| אָמִין (*ʾamin*) | לֹא אָמִין (*lo ʾamin*) | *ʾamin* / *lo ʾamin* | reliable, credible / unreliable, untrustworthy | *lo ʾamin* is documented in P1 (item 2) as the direct contrast to *ʾamin*, and in P2a (item 2.2) as "the standard negated form used to describe a person, source, or system that cannot be trusted." P1 notes that *ʾamin* "contrasts with *lo ʾamin* (unreliable)." | morphological (negation) | [CORE] |
| מְהֵימָן (*mehiman*) | לֹא מְהֵימָן (*lo mehiman*) | *mehiman* / *lo mehiman* | trustworthy, credible / untrustworthy, not credible | *lo mehiman* is documented in P2a (item 9.2) and P2b (Construction 18.3) as the negated form used "in legal and everyday discourse to characterize a source, witness, or claim as lacking credibility" and "in legal and formal contexts to describe a witness or source whose testimony or information is not considered credible." The pair is particularly prominent in legal discourse, where the judicial formulas *nimtsa mehiman* and *nimtsa lo mehiman* (Opposition 10 below) are standard. Hebrew has no single-word antonym for *mehiman*; negation is the only available strategy. | morphological (negation) | [CORE] |
| נִמְצָא מְהֵימָן (*nimtsa mehiman*) | נִמְצָא לֹא מְהֵימָן (*nimtsa lo mehiman*) | *nimtsa mehiman* / *nimtsa lo mehiman* | found to be credible / found not to be credible | These are documented in P2b (items 9.4–9.5) as "a standard formula in Israeli legal judgments" for recording the court's finding on witness credibility. The opposition is constructional and institutionally fixed: both formulas use the same verb *nimtsa* (was found/determined) with the predicate adjective affirmed or negated. | constructional | [CORE] |
| נֶאֱמָן (*neʾeman*) | לֹא נֶאֱמָן (*lo neʾeman*) | *neʾeman* / *lo neʾeman* | faithful, trustworthy / untrustworthy, unreliable, disloyal | *lo neʾeman* is documented in P1b (Root א-מ-נ, item 15) as used "in everyday and legal contexts to describe a person or source that cannot be trusted." The opposition covers both the personal loyalty dimension (disloyal) and the epistemic dimension (testimony not to be relied upon). Hebrew has no single-word antonym for *neʾeman* documented in the P1–P4 data; negation is expressed syntactically with *lo*. | morphological (negation) | [CORE] |
| כָּשֵׁר (*kasher*) | פָּסוּל (*pasul*) | *kasher* / *pasul* | fit, valid, proper / disqualified, invalid, inadmissible | P1 (items 24–25 and 28–29) explicitly identifies these as contrasting terms: *kasher* evaluates something as meeting required standards of fitness, while *pasul* evaluates something or someone as "failing to meet required standards and therefore invalid or inadmissible." P3 (Group 3 and Group 7) lists them as "a direct antonym pair" and "an antonymous pair primarily in rabbinic and legal-religious contexts." The opposition operates in both religious law (ritual fitness) and legal/administrative contexts (admissibility, validity). Both terms evaluate fitness or validity against a relevant standard, with *kasher* affirming and *pasul* denying that standard. | lexical | [CORE] |
| אוֹתֶנְטִי (*ʾotenti*) | לֹא אוֹתֶנְטִי (*lo ʾotenti*) | *ʾotenti* / *lo ʾotenti* | authentic, genuine / inauthentic, not genuine | *lo ʾotenti* is documented in P2a (item 5.2) as "the negated form used to describe something evaluated as not genuinely what it claims to be." As a loanword, *ʾotenti* does not generate a lexical antonym through Hebrew morphology; negation via *lo* is the only attested strategy. | morphological (negation) | [CORE] |
| מְקוֹרִי (*meqori*) | מְזוּיָּף (*mezuyaf*) | *meqori* / *mezuyaf* | original, genuine / forged, falsified, counterfeit | P1 (item 13) explicitly states that *mezuyaf* "directly contrasts with *meqori* (original) and *ʾotenti* (authentic)." P3 Group 9 groups these as contrasting poles within the genuineness-versus-fabrication domain. The opposition is between something that is the genuine original and something that has been deliberately falsified to appear genuine. The contrast is operative in legal, commercial, and art authentication contexts. | lexical | [CORE] |
| אוֹתֶנְטִי (*ʾotenti*) | מְזוּיָּף (*mezuyaf*) | *ʾotenti* / *mezuyaf* | authentic / forged, counterfeit | P1 (item 13) explicitly lists *ʾotenti* as one of the terms that *mezuyaf* "directly contrasts with." Documented in P2b (Item 7, Construction 4): "*mismaḵh ʾotenti* ('an authentic document') ... as opposed to a forgery or copy." The opposition is between genuineness and deliberate falsification; unlike the *meqori* / *mezuyaf* pair (Opposition 14), this pair foregrounds the question of genuineness rather than originality. The contrast is operative in legal and archival contexts where the question is whether a document is genuinely what it purports to be. | lexical | [CORE] |
| מְקוֹרִי (*meqori*) | לֹא מְקוֹרִי (*lo meqori*) | *meqori* / *lo meqori* | original / not original, unoriginal, derivative | *lo meqori* is documented in P2b (item 6.4) as "the standard negated form used to describe something that lacks originality or is a copy or imitation." This opposition differs from Opposition 14 in that *lo meqori* does not imply deliberate falsification; something can be *lo meqori* (derivative, unoriginal) without being *mezuyaf* (forged). | morphological (negation) | [CORE] |
| מוּצְדָּק (*mutsdddaq*) | לֹא מוּצְדָּק (*lo mutsdddaq*) | *mutsdddaq* / *lo mutsdddaq* | justified, warranted / unjustified, unwarranted | *lo mutsdddaq* is documented in P1b (Root צ-ד-ק, item 7) as "the negative form, used to evaluate actions, claims, or decisions as lacking justification" and described as "extremely common in everyday moral and legal evaluation." P2a (item 14.5) cross-references both forms as a productive pair. | morphological (negation) | [CORE] |
| חוּקִי (*ḥuqi*) | בִּלְתִּי חוּקִי (*bilti ḥuqi*) | *ḥuqi* / *bilti ḥuqi* | legal, lawful / illegal, unlawful | P2a (item 19.3) documents *bilti ḥuqi* as "the standard adjectival phrase for illegal or unlawful in modern Hebrew" and as "the direct antonym of *ḥuqi*." The negator here is *bilti* rather than *lo*, which is the standard pattern for adjectival negation in formal and written registers. | morphological (negation) | [CORE] |
