| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| kweli | ukweli | ukweli | *u-* (class 11/14 abstract nominal prefix) + *kweli* | truth; truthfulness; veracity | The standard abstract nominalization of *kweli*, used in philosophical, legal, moral, and everyday discourse to refer to the property or state of being true. Already documented in P1; cross-referenced here as the primary derivational product of this root. | [CORE] |
| kweli | kweli kweli | kweli kweli | *kweli* + *kweli* (full reduplication) | truly; really; genuinely | Reduplicated intensifier used to emphasize the sincerity or accuracy of an assertion. Already documented in P1; cross-referenced here. | [CORE] |
| uongo | mwongo | mwongo | *m-* (class 1 person prefix) + *-ongo* (falsehood/deception stem) | liar; deceiver; a person who tells lies | The standard agentive nominal for a person who habitually tells lies. Used in moral condemnation and character evaluation across spoken and written registers (*Yeye ni mwongo*, "He/she is a liar"). Appears in everyday, literary, and religious registers. | [CORE] |
| uongo | waongo | waongo | *wa-* (class 2 plural prefix) + *-ongo* (the root, with *u-* class prefix dropped in plural) | liars; deceivers; people who tell lies | The plural of *mwongo*, used in moral and social discourse to refer to a group of persons evaluated as dishonest (*waongo hawaamini*, "liars are not trusted"). | [CORE] |
| uongo | kusema uongo | kusema uongo | *ku-* (infinitive) + *sema* (to say) + *uongo* (falsehood) | to tell lies; to speak falsely | The standard verbal phrase for the act of lying. Not a morphological derivation from *uongo* itself but the primary verbal expression of the concept; included here as the closest functional verbal equivalent. | [CORE] |
| halisi | uhalisi | uhalisi | *u-* (class 11/14 abstract nominal prefix) + *halisi* | reality; genuineness; authenticity | The standard abstract nominalization of *halisi*, referring to the state or quality of being real or authentic. Used in aesthetic, philosophical, and everyday discourse. Already documented in P1; cross-referenced here as the primary derivational product of this root. | [CORE] |
| halisi | uhalisia | uhalisia | *u-* (abstract noun prefix) + *halisi* + *-a* (nominalizing/extending suffix) | realism (aesthetic or philosophical) | A further nominalization from *uhalisi*, used specifically in literary and artistic criticism to denote the quality or movement of faithfully representing reality. Already documented in P1 as a marginal item; noted here as a secondary derivational product. | [MARGINAL] |
| halisi | halisisha | halisisha | *halisi* + *-sha* (causative verbal suffix) | to make genuine; to authenticate; to realize (make real) | A causative verbal form attested in some Swahili usage, meaning to make something genuine or to bring something into reality. Less frequent than the nominal forms and appears primarily in formal or literary registers; not as well established as *uhalisi* or *uhalisia*. | [UNCERTAIN] |
| sahihi | usahihi | usahihi | *u-* (class 11/14 abstract nominal prefix) + *sahihi* | correctness; accuracy; precision; validity | The abstract nominalization of *sahihi*, referring to the quality of being correct or accurate. Used in academic, scientific, formal, and legal discourse to evaluate the degree of accuracy of a statement, measurement, or procedure (*usahihi wa takwimu*, "the accuracy of statistics"). | [CORE] |
| sahihi | sahihisha | sahihisha | *sahihi* + *-sha* (causative verbal suffix) | to correct; to rectify; to make accurate | A causative verbal form meaning to make something correct or to correct an error. Attested in educational and editorial contexts (*sahihisha makosa*, "correct the errors"). Appears in language teaching and proofreading contexts. | [CORE] |
| sahihi | kusahihisha | kusahihisha | *ku-* (infinitive prefix) + *sahihi* + *-sha* (causative suffix, variant of *-isha*) | to correct; to rectify; to verify; to validate; to mark (examinations); to proofread | The causative verbal derivation from *sahihi*; means to make something correct, to correct an error, or to verify/validate a document or claim. Used in educational, legal, and administrative contexts (*kusahihisha makosa*, "to correct errors"; *kusahihisha hati*, "to validate a document"; *kazi ya kusahihisha*, "the work of correcting/proofreading"). This is a productive and widely used form. | [CORE] |
| sahihi | kusahihishwa | kusahihishwa | *ku-* + *sahihi* + *-sh-* (causative) + *-wa* (passive suffix) | to be corrected; to be rectified; to be validated | The passive of *kusahihisha*; used to describe the state of something that has been corrected or validated by an external agent. Appears in administrative and educational contexts (*Hati imesahihishwa*, "The document has been validated/corrected"). | [CORE] |
| sahihi | usahihishaji | usahihishaji | *u-* (abstract nominal prefix) + *sahihish-* + *-aji* (process/action nominalizing suffix) | correction; rectification; amendment; the process of marking or editing | Nominal form referring to the process of correcting errors or marking work. Used in educational and administrative discourse. | [CORE] |
| sahihi | msahihishaji | msahihishaji | *m-* (class 1 singular agentive prefix) + *sahihish-* + *-aji* | corrector; examiner; marker; editor | Agentive nominal referring to a person who corrects or marks work, particularly in educational contexts. The plural *wasahihishaji* (class 2 prefix *wa-*) is equally attested. | [CORE] |
| sahihi | wasahihishaji | wasahihishaji | *wa-* (class 2 plural agentive prefix) + *sahihish-* + *-aji* | correctors; examiners; markers; editors (plural) | Plural agentive nominal used in educational administration when referring to a team of examination markers or editors. | [CORE] |
| sahihi | sahihi sahihi | sahihi sahihi | full reduplication of *sahihi* | exactly right; precisely correct; spot on | A reduplicated intensifier used to assert exact correctness or precise accuracy. Functions similarly to *sawa sawa*. Common in spoken Swahili as an emphatic confirmation. | [CORE] |
| haki | uhaki | uhaki | *u-* (class 11/14 abstract nominal prefix) + *haki* | justice; righteousness; the quality of being right or just | The abstract nominalization of *haki*, referring to the quality of justice or rightness. Less common than *haki* itself in everyday use; appears in philosophical, moral, and legal discourse. Note that *haki* already functions as an abstract noun, so *uhaki* represents a further degree of abstraction. | [UNCERTAIN] |
| haki | kuhaki | kuhaki | *ku-* (infinitive) + *haki* | to be right; to be just; to deserve | A verbal form attested in some registers meaning to be right or to deserve something. Less productive than other verbal derivations in this domain; appears in spoken and informal written Swahili. | [UNCERTAIN] |
| haki | kwa haki | kwa haki | *kwa* (by, with, in manner of) + *haki* | justly; rightly; with justice; in truth | A prepositional adverbial phrase used to assert that something is done justly or rightly, or to affirm the truth of a statement. Functions similarly to *kwa kweli* in truth-assertion contexts. | [CORE] |
| haki | haki haki | haki haki | *haki* + *haki* (full reduplication) | truly; really; absolutely right; in all fairness | Reduplicated form of *haki* used as an intensifier, parallel to *kweli kweli*. Used in spoken Swahili to emphasize that something is genuinely right or true. Less frequent than *kweli kweli* but attested in spoken registers. | [MARGINAL] |
| haki | haki za binadamu | haki za binadamu | *haki* (rights) + *za* (of, class 10 plural linker) + *binadamu* (human beings) | human rights | The standard Swahili term for human rights. A collocational phrase rather than a morphological derivation, but the primary domain-specific extension of *haki* in legal and political discourse. Appears in constitutional, advocacy, and journalistic contexts. The basis for a large family of related expressions in legal and political discourse. | [CORE] |
| hakika | uhakika | uhakika | *u-* (class 11/14 abstract nominal prefix) + *hakika* | certainty; reliability; assurance; sureness | Abstract nominal form referring to the state of being certain or reliable. Used in epistemic evaluation and in legal and administrative contexts when assessing whether information or a source can be confirmed. | [CORE] |
| hakika | kuhakikisha | kuhakikisha | *ku-* (infinitive prefix) + *hakiki-* + *-sha* (causative suffix) | to make sure; to ensure; to verify; to confirm; to ascertain | Causative verbal derivation, extremely common in everyday, administrative, and legal Swahili. Used to describe the act of making certain that something is the case or of verifying a fact or condition. This is among the most productive derivations in this domain. | [CORE] |
