# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Indonesian (id)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| benar | tidak benar | N/A (Latin script) | not true, incorrect, untrue | Standard negation of benar. Very common in everyday speech and formal discourse ("itu tidak benar" = "that's not true"). | [CORE] |
| benar | benar atau salah | N/A (Latin script) | true or false, right or wrong | Contrastive pair used in questions, tests, and evaluations ("jawab benar atau salah" = "answer true or false"). | [CORE] |
| benar | benar-benar tidak | N/A (Latin script) | really not, absolutely not | Emphatic negation combining intensifier with negation ("saya benar-benar tidak tahu" = "I really don't know"). | [CORE] |
| benar | yang benar saja | N/A (Latin script) | you must be kidding, really?, no way | Idiomatic expression of disbelief or surprise. Common in colloquial speech ("yang benar saja! dia menang?" = "no way! he won?"). | [CORE] |
| benar | kalau tidak salah | N/A (Latin script) | if I'm not mistaken, if I remember correctly | Hedging expression indicating uncertainty. Very common in conversation ("kalau tidak salah, dia dari Jakarta" = "if I'm not mistaken, he's from Jakarta"). | [CORE] |
| benar | benar sekali | N/A (Latin script) | exactly right, absolutely correct | Strong affirmation or agreement. Common in confirmations ("benar sekali!" = "exactly right!"). | [CORE] |
| benar | apa benar | N/A (Latin script) | is it true, is it correct | Question formation asking for confirmation ("apa benar dia sakit?" = "is it true he's sick?"). | [CORE] |
| benar | memang benar | N/A (Latin script) | indeed true, it's true that | Concessive or confirmatory expression. Common in discourse ("memang benar dia pintar" = "it's true that he's smart"). | [CORE] |
| benar | tidak salah lagi | N/A (Latin script) | no doubt, certainly, definitely | Expression of certainty or confirmation ("tidak salah lagi, itu dia" = "no doubt, that's him"). | [CORE] |
| benar | benar adanya | N/A (Latin script) | it's true, it's real, truly exists | Formal confirmation of truth or existence. Used in formal discourse ("benar adanya bahwa..." = "it's true that..."). | [CORE] |
| salah | tidak salah | N/A (Latin script) | not wrong, correct | Standard negation of salah. Common in everyday speech ("kamu tidak salah" = "you're not wrong"). | [CORE] |
| salah | salah satu | N/A (Latin script) | one of, among | Very common construction for indicating membership in a set ("salah satu alasan" = "one of the reasons"). Note: semantic shift from "wrong" to "one of." | [CORE] |
