# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Indonesian (id)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| benar | N/A (Latin script) | true, correct | true, correct, right, accurate | Used to evaluate statements as factually accurate or actions as morally/procedurally correct. Appears in both epistemic contexts ("itu benar" = "that's true") and normative contexts ("cara yang benar" = "the right way"). Highly productive in derivations (kebenaran = truth, membenarkan = to confirm/justify). | [CORE] |
| salah | N/A (Latin script) | wrong, mistaken | wrong, incorrect, mistaken, false | Primary term for negating correctness or accuracy of statements, actions, or judgments. Used in epistemic contexts ("jawaban salah" = "wrong answer") and moral contexts ("perbuatan salah" = "wrongdoing"). Forms productive derivatives (kesalahan = error/mistake, menyalahkan = to blame). | [CORE] |
| asli | N/A (Latin script) | original, genuine | genuine, authentic, original, real | Evaluates objects or representations as authentic rather than counterfeit or copied. Commonly used for documents ("dokumen asli" = "original document"), products ("barang asli" = "genuine goods"), and identity ("orang asli" = "indigenous person/native"). Distinguished from imitations or fakes. | [CORE] |
| palsu | N/A (Latin script) | false, fake | fake, counterfeit, false, forged | Evaluates objects, documents, or representations as inauthentic or deliberately deceptive. Used for counterfeit goods ("uang palsu" = "counterfeit money"), forged documents, and false identities. Carries connotation of intentional deception. | [CORE] |
| bohong | N/A (Latin script) | lie, false | lie, false, untrue, dishonest | Specifically evaluates statements or speech acts as deliberately false or deceptive. Functions as both noun ("itu bohong" = "that's a lie") and verb ("dia bohong" = "he/she is lying"). Strongly implies intentional deception rather than mere error. | [CORE] |
| jujur | N/A (Latin script) | honest, truthful | honest, truthful, sincere, frank | Evaluates persons or statements as truthful and without deception. Applied to character ("orang jujur" = "honest person") and speech ("berkata jujur" = "speak honestly"). Forms abstract noun kejujuran (honesty). | [CORE] |
| tepat | N/A (Latin script) | precise, exact | accurate, precise, exact, appropriate | Evaluates accuracy, precision, or appropriateness of statements, measurements, or actions. Used for temporal precision ("tepat waktu" = "on time"), spatial accuracy, and appropriateness of choices. Emphasizes exactness and suitability. | [CORE] |
| akurat | N/A (Latin script) | accurate (from Dutch/English "accurate") | accurate, precise | Borrowed term evaluating precision and correctness, especially in technical, scientific, or measurement contexts. Used for data accuracy ("data akurat" = "accurate data") and precise descriptions. More formal register than "tepat." | [CORE] |
| nyata | N/A (Latin script) | real, actual | real, actual, tangible, evident | Evaluates existence or reality of entities, events, or states. Contrasts with imaginary, hypothetical, or illusory ("dunia nyata" = "real world"). Also used for evidence being manifest or clear ("bukti nyata" = "tangible evidence"). | [CORE] |
| sejati | N/A (Latin script) | true, genuine (from Sanskrit "sajāti") | true, genuine, real, authentic | Evaluates essential nature or genuine quality, often with philosophical or elevated register. Used for authentic identity ("cinta sejati" = "true love"), essential nature, or genuine exemplars. More literary than "asli." | [CORE] |
| sungguh | N/A (Latin script) | truly, really | truly, really, genuinely, seriously | Functions as adverb or adjective evaluating sincerity, reality, or intensity. Used to emphasize truthfulness ("sungguh-sungguh" = "seriously/earnestly") or reality of situations. Forms derivatives like kesungguhan (seriousness/earnestness). | [CORE] |
| keliru | N/A (Latin script) | mistaken, erroneous | mistaken, wrong, erroneous, confused | Evaluates statements or beliefs as incorrect, typically through misunderstanding rather than deception. Softer than "salah," suggesting error rather than moral wrongness. Used for misunderstandings ("saya keliru" = "I was mistaken"). | [CORE] |
| sah | N/A (Latin script) | valid, legal | valid, legal, legitimate, lawful | Evaluates legal or procedural validity of documents, actions, or status. Used in legal contexts ("pernikahan sah" = "legal marriage"), official documents ("surat sah" = "valid document"). Emphasizes conformity to rules or law. | [CORE] |
| absah | N/A (Latin script) | valid, legitimate (from Arabic) | valid, legitimate, lawful | Synonym of "sah" with slightly more formal register, evaluating legal or procedural validity. Used interchangeably with "sah" in many contexts but may carry more formal or religious connotation due to Arabic origin. | [CORE] |
| batal | N/A (Latin script) | void, cancelled | void, invalid, cancelled, nullified | Evaluates legal or procedural status as invalid or nullified. Used for cancelled agreements ("kontrak batal" = "void contract"), invalidated actions, or nullified status. Opposite of "sah." | [CORE] |
| mirip | N/A (Latin script) | similar, resembling | similar, resembling, alike, look-alike | Evaluates degree of resemblance between entities. Used for physical similarity ("mirip sekali" = "very similar"), resemblance in appearance or characteristics. Forms basis for comparison judgments (kemiripan = similarity). | [CORE] |
| sama | N/A (Latin script) | same, equal | same, equal, identical | Evaluates identity or equivalence between entities. Used for sameness ("sama dengan" = "same as"), equality, or identity. Highly productive in compounds (kesamaan = similarity/equality, menyamakan = to equate). | [CORE] |
| hakikat | N/A (Latin script) | essence, reality (from Arabic "ḥaqīqah") | essence, true nature, reality, truth | Evaluates or refers to essential nature or fundamental reality of things. Used in philosophical and religious contexts ("hakikat manusia" = "human nature/essence"). Emphasizes underlying truth beyond appearances. | [CORE] |
