## Comparison table

| Empirical Dimension | Construction | Empirical Result | AOML Prediction | Alignment Type | Notes |
|---|---|---|---|---|---|
| Factual truth of statements/claims | Simple attribution | **ALLOWED** | **VER × ATTR = licensed** | MATCH | Strong direct correspondence: “X is true” maps well to VERIDICAL attribution. |
| Factual truth of statements/claims | Negative attribution | **ALLOWED** | VER supports CONTR and ordinary attributional opposition; negation is not separately modeled but compatible | PARTIAL | AOML predicts truth/falsity contrast, but empirical matrix specifically tracks negative attribution as a constructional function, which AOML does not isolate as its own operator. |
| Factual truth of statements/claims | Adnominal modification | **ALLOWED** | VER × ATTR broadly compatible | DIRECTIONAL | AOML has no dedicated adnominal operator; attribution can plausibly host this, but the mapping is indirect. |
| Factual truth of statements/claims | Truth/fact as object of verb | **ALLOWED** | VER with RESULT / provisional REVEAL / VERIF-related processes is compatible | DIRECTIONAL | AOML captures truth as something revealed/established, but not specifically the widespread “tell/reveal/hide the truth” light-verb pattern. |
| Factual truth of statements/claims | Verification / checking / confirmation | **ALLOWED** | **VERIF × RESULT/ATTR = licensed**; VERIF axis explicitly models evidential establishment | MATCH | This is one of the strongest alignments in the whole comparison. |
| Factual truth of statements/claims | Revelation / exposure | **ALLOWED** | Provisional **REVEAL** licensed for VER | MATCH | Empirical data strongly supports revelation-based truth dynamics; AOML explicitly includes provisional REVEAL for VER. |
| Factual truth of statements/claims | Become / inchoative status change | **VARIABLE** | **VER × BECOME = restricted** | MATCH | Empirical variability fits AOML restriction well. |
| Factual truth of statements/claims | Causative / induced result | **BLOCKED** | VER × CAUSE = restricted, not blocked | CONFLICT | Empirical matrix gives a stronger prohibition than AOML. AOML allows restricted causation for VER, while the empirical synthesis says broad “make true” is blocked. |
| Factual truth of statements/claims | Appearance vs reality framing | **VARIABLE** | VER and provisional REVEAL can interact; LIFE blocked for REVEAL | PARTIAL | AOML can host some of this through VER/LIFE distinction, but the empirical matrix treats this as a major constructional zone not fully formalized in AOML. |
| Factual truth of statements/claims | Abstract nominalization / quality noun | **ALLOWED** | **VER × ABSTR = licensed** | MATCH | Strong direct alignment. |
| Falsehood / non-truth / lying | Simple attribution | **ALLOWED** | VER × ATTR plus CONTR with false side | MATCH | AOML does not create a separate falsehood axis, but falsity is naturally the contrastive pole of VER. |
| Falsehood / non-truth / lying | Negative attribution | **ALLOWED** | VER × CONTR / negated ATTR compatible | PARTIAL | Same issue as above: AOML supports opposition but does not separately model negative attribution as a construction type. |
| Falsehood / non-truth / lying | Adnominal modification | **ALLOWED** | VER contrastive pole can modify claims/reports | DIRECTIONAL | Indirectly compatible, but AOML lacks explicit adnominal machinery. |
| Falsehood / non-truth / lying | Truth/fact as object of verb | **ALLOWED** | VER + CONTR; provisional REVEAL for false exposure also compatible | DIRECTIONAL | AOML captures the semantic opposition but not the specific light-verb construction family. |
| Falsehood / non-truth / lying | Verification / checking / confirmation | **VARIABLE** | **VERIF** includes disconfirmation in Layer 2 | MATCH | Good fit: falsehood often emerges through verification/disconfirmation. |
| Falsehood / non-truth / lying | Revelation / exposure | **ALLOWED** | Provisional **REVEAL** licensed for VER/VERIF | MATCH | Strong fit, especially for “turn out false / be revealed false.” |
| Falsehood / non-truth / lying | Become / inchoative status change | **VARIABLE** | **BECOME(−)** is marked/dispreferred by **R4 Positive Emergence Bias** | MATCH | Strong alignment: empirical variability and weakness of “become false” fits AOML’s asymmetry. |
| Falsehood / non-truth / lying | Causative / induced result | **VARIABLE** | VER × CAUSE restricted; negative causation generally more restricted | PARTIAL | Empirical data allows some falsification-type causatives, but not uniformly. AOML is compatible but less specific. |
| Falsehood / non-truth / lying | Appearance vs reality framing | **VARIABLE** | VER/LIFE contrast and REVEAL can partly host this | PARTIAL | AOML only partially captures the empirical appearance-vs-falsity zone. |
| Falsehood / non-truth / lying | Abstract nominalization / quality noun | **ALLOWED** | VER × ABSTR licensed | MATCH | Falsity nouns fit as contrastive abstraction within VER. |
| Genuineness / authenticity / “real thing” | Simple attribution | **ALLOWED** | **AUTH × ATTR = licensed** | MATCH | Strong direct alignment. |
| Genuineness / authenticity / “real thing” | Negative attribution | **ALLOWED** | AUTH × CONTR / negated ATTR compatible | PARTIAL | AOML supports the contrast, but again does not isolate negative attribution as a separate operator. |
| Genuineness / authenticity / “real thing” | Adnominal modification | **ALLOWED** | AUTH × ATTR broadly compatible | DIRECTIONAL | Good semantic fit, but no dedicated adnominal operator in AOML. |
| Genuineness / authenticity / “real thing” | Truth/fact as object of verb | **VARIABLE** | AUTH is object of checking/proving provenance rather than truth-object verbs | PARTIAL | Some empirical cases fit AUTH, but many “truth-object” constructions are more VER than AUTH. |
| Genuineness / authenticity / “real thing” | Verification / checking / confirmation | **ALLOWED** | **AUTH default method = PROVENANCE**; VERIF also compatible | MATCH | Very strong alignment. |
| Genuineness / authenticity / “real thing” | Revelation / exposure | **VARIABLE** | Provisional **REVEAL** licensed for AUTH | PARTIAL | AOML predicts licensing, but empirical matrix only gives variable support globally. |
| Genuineness / authenticity / “real thing” | Become / inchoative status change | **BLOCKED** | AUTH × BECOME = restricted; positive authenticity causation blocked by **R3**, but BECOME itself is only restricted | CONFLICT | Empirical matrix is stronger: authenticity “become” is broadly blocked, while AOML leaves AUTH-BECOME restricted rather than blocked. |
| Genuineness / authenticity / “real thing” | Causative / induced result | **BLOCKED** | **CAUSE(+) × AUTH blocked by R3** | MATCH | Strong direct alignment. |
| Genuineness / authenticity / “real thing” | Appearance vs reality framing | **ALLOWED** | AUTH and LIFE distinction strongly compatible | MATCH | Strong fit: seeming genuine vs actually genuine is central to AUTH/LIFE separation. |
| Genuineness / authenticity / “real thing” | Abstract nominalization / quality noun | **ALLOWED** | **AUTH × ABSTR = licensed** | MATCH | Strong direct alignment. |
| Fake / forged / counterfeit | Simple attribution | **ALLOWED** | AUTH contrastive pole under ATTR | MATCH | Strong fit. |
| Fake / forged / counterfeit | Negative attribution | **ALLOWED** | AUTH contrastive pole / CONTR compatible | PARTIAL | Same structural issue: AOML handles contrast, not a separate negative-attribution construction. |
| Fake / forged / counterfeit | Adnominal modification | **ALLOWED** | AUTH × ATTR broadly compatible | DIRECTIONAL | Semantically straightforward, structurally indirect. |
| Fake / forged / counterfeit | Truth/fact as object of verb | **VARIABLE** | AUTH often realized through provenance/forgery verbs rather than truth-object verbs | PARTIAL | Some overlap, but not a clean AOML mapping. |
| Fake / forged / counterfeit | Verification / checking / confirmation | **ALLOWED** | AUTH default provenance validation; VERIF compatible | MATCH | Strong fit. |
| Fake / forged / counterfeit | Revelation / exposure | **ALLOWED** | Provisional REVEAL licensed for AUTH | MATCH | Strong fit, especially “proved fake / exposed as forgery.” |
| Fake / forged / counterfeit | Become / inchoative status change | **VARIABLE** | AUTH × BECOME restricted | MATCH | Good fit. |
| Fake / forged / counterfeit | Causative / induced result | **ALLOWED** | **CAUSE(−) × AUTH licensed by R3** | MATCH | One of the clearest AOML confirmations. |
| Fake / forged / counterfeit | Appearance vs reality framing | **ALLOWED** | AUTH/LIFE distinction strongly compatible | MATCH | Strong fit. |
| Fake / forged / counterfeit | Abstract nominalization / quality noun | **ALLOWED** | **AUTH × ABSTR = licensed** | MATCH | Strong fit. |
| Correctness / rightness / properness | Simple attribution | **ALLOWED** | Could map to **VER** subregion “correctness” or **NORM** subregion “appropriateness” | PARTIAL | AOML splits this area across VER and NORM, while empirical category merges them. |
| Correctness / rightness / properness | Negative attribution | **ALLOWED** | VER/NORM contrast compatible | PARTIAL | Same split issue. |
| Correctness / rightness / properness | Adnominal modification | **ALLOWED** | VER/NORM attribution compatible | DIRECTIONAL | Semantically compatible, but AOML does not preserve the empirical merged category. |
| Correctness / rightness / properness | Truth/fact as object of verb | **VARIABLE** | More often VERIF or NORM-related than direct object-of-truth constructions | PARTIAL | Only partial overlap. |
| Correctness / rightness / properness | Verification / checking / confirmation | **ALLOWED** | VERIF compatible | MATCH | Strong fit for checking correctness. |
| Correctness / rightness / properness | Revelation / exposure | **VARIABLE** | REVEAL less central here | PARTIAL | AOML does not strongly predict revelation for correctness; empirical variability fits only loosely. |
| Correctness / rightness / properness | Become / inchoative status change | **VARIABLE** | VER/NORM × BECOME = restricted | MATCH | Good fit. |
| Correctness / rightness / properness | Causative / induced result | **ALLOWED** | VER/NORM × CAUSE restricted but licensed in many cases | MATCH | Good fit, especially for correction/set-right constructions. |
| Correctness / rightness / properness | Appearance vs reality framing | **INSUFFICIENT DATA** | No strong AOML expectation | NO ALIGNMENT | No clear comparison possible. |
| Correctness / rightness / properness | Abstract nominalization / quality noun | **ALLOWED** | VER/NORM × ABSTR licensed | MATCH | Strong fit. |
| Error / wrongness / incorrectness | Simple attribution | **ALLOWED** | Contrastive pole of VER/NORM under ATTR | MATCH | Good fit. |
| Error / wrongness / incorrectness | Negative attribution | **ALLOWED** | Compatible with CONTR and negated positive predicates | PARTIAL | Same constructional caveat. |
| Error / wrongness / incorrectness | Adnominal modification | **ALLOWED** | Compatible with VER/NORM contrastive pole | DIRECTIONAL | Indirect but plausible. |
| Error / wrongness / incorrectness | Truth/fact as object of verb | **VARIABLE** | More often correction/disconfirmation than object-of-truth | PARTIAL | Only partial overlap. |
| Error / wrongness / incorrectness | Verification / checking / confirmation | **ALLOWED** | VERIF includes disconfirmation | MATCH | Strong fit. |
| Error / wrongness / incorrectness | Revelation / exposure | **VARIABLE** | REVEAL of falsity/error possible but not central | PARTIAL | Partial only. |
| Error / wrongness / incorrectness | Become / inchoative status change | **VARIABLE** | Negative BECOME dispreferred by R4 | MATCH | Good fit. |
| Error / wrongness / incorrectness | Causative / induced result | **ALLOWED** | CAUSE licensed in many factual/normative domains | MATCH | Good fit for “make wrong / invalidate / corrupt / misstate” type outcomes. |
| Error / wrongness / incorrectness | Appearance vs reality framing | **INSUFFICIENT DATA** | No strong AOML expectation | NO ALIGNMENT | No clear mapping. |
| Error / wrongness / incorrectness | Abstract nominalization / quality noun | **ALLOWED** | ABSTR licensed | MATCH | Good fit. |
| Precision / exactness / accuracy of detail | Simple attribution | **ALLOWED** | Could map to VER subregion “correctness” or VERIF-related evaluative result | PARTIAL | AOML has no dedicated primary axis for precision; only partial fit under VER. |
| Precision / exactness / accuracy of detail | Negative attribution | **ALLOWED** | Same as above | PARTIAL | Same issue. |
| Precision / exactness / accuracy of detail | Adnominal modification | **ALLOWED** | Compatible with VER attribution | DIRECTIONAL | Indirect fit. |
| Precision / exactness / accuracy of detail | Truth/fact as object of verb | **VARIABLE** | Not central in AOML | NO ALIGNMENT | AOML does not clearly model precision as an object-of-verb domain. |
| Precision / exactness / accuracy of detail | Verification / checking / confirmation | **ALLOWED** | VERIF strongly compatible | MATCH | Strong fit. |
