| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| 진짜 | 가짜 | *jinjja* / *gajja* | real, genuine / fake, counterfeit | This is the clearest everyday lexical opposition in the dataset for distinguishing genuine things from fake ones. The context explicitly describes 가짜 as the ordinary opposite of 진짜. | lexical | [CORE] |
| 진실 | 거짓 | *jinsil* / *geojit* | truth / falsehood, lie | The context states that 진실 is commonly used when contrasting truth with lies, concealment, or distortion, while 거짓 is a basic term for falsity. This supports a direct truth-vs-falsehood opposition. | lexical | [CORE] |
| 참 | 거짓 | *cham* / *geojit* | truth, true / falsehood, false | The construction **참과 거짓** is explicitly listed and glossed as “truth and falsehood.” This supports a direct oppositional pairing in formal or abstract discourse. | lexical | [CORE] |
| 허위 | 사실 | *heowi* / *sasil* | falsehood, falsity / fact, actuality | The fixed expression **허위 사실** and the broader descriptions of 허위 and 사실 support a contrast between false representation and factual reality. This opposition is especially strong in legal and journalistic usage. | lexical | [CORE] |
| 사실이다 | 사실이 아니다 | *sasirida* / *sasiri anida* | be true, be a fact / not be true, not be a fact | The context explicitly gives **그 말은 사실이 아니다** as the negative counterpart to factual attribution. This is a straightforward affirmative-vs-negated contrast. | morphological | [CORE] |
| 진짜가 아니다 | 가짜가 아니다 | *jinjjaga anida* / *gajjaga anida* | not real / not fake | Both forms are explicitly listed. They are not simple antonyms of each other semantically, but they form a supported contrastive pair of negated authenticity judgments from opposite lexical bases. | morphological | [CORE] |
| 유효하다 | 무효 | *yuhyohada* / *muhyo* | be valid / invalidity, invalid | The context explicitly says that in legal and administrative settings 유효하다 often contrasts with 무효하다, and P1 includes 무효 as the paired invalid term. This is a central validity opposition. | lexical | [CORE] |
| 유효한 표 | 무효표 | *yuhyohan pyo* / *muhyopyo* | valid ballot / invalid ballot | The context explicitly notes that **유효한 표** contrasts directly with **무효표** in elections and procedural counting. This is a clear institutional opposition. | lexical | [CORE] |
| 유효하다 | 무효가 되다 | *yuhyohada* / *muhyoga doeda* | be valid / become invalid | These forms oppose operative validity and loss of validity in institutional settings. The contrast is supported by the constructional material around legal and procedural status. | constructional | [CORE] |
| 정당하다 | 타당하다 | *jeongdanghada* / *tadanghada* | be just, legitimate / be valid, sound, reasonable | The context explicitly notes that these are related in formal evaluation but not interchangeable: 정당하다 is often about legitimacy or fairness, while 타당하다 is often about soundness of reasoning. This is a contrast of evaluative domain rather than polarity. | lexical | [CORE] |
| 올바르다 | 옳다 | *olbareuda* / *olta* | be correct, proper / be right, correct, just | The context explicitly distinguishes them: 올바르다 often sounds broader and more practical/procedural, while 옳다 can refer to factual correctness or moral rightness. This is a supported lexical contrast in usage profile. | lexical | [CORE] |
| 사실이 아니다 | 사실과 다르다 | *sasiri anida* / *sasilgwa dareuda* | not true / differ from the facts | The construction notes explicitly contrast simple negation with a mismatch construction. **사실과 다르다** is described as more contrastive and report-like than **사실이 아니다**. | constructional | [CORE] |
| 허위이다 | 사실이다 | *heowiida* / *sasirida* | be false / be true, be a fact | In the construction notes, formal falsity labels such as **허위이다** are contrasted with factual attribution like **사실이다**. This is a supported formal opposition in public and legal discourse. | lexical | [CORE] |
| N(이/가) 되다 | N으로 드러나다 | *N(i/ga) doeda* / *N-euro deureonada* | become N / be revealed as N | The context explicitly distinguishes these in inchoative behavior: **되다** marks status change, while **드러나다** marks emergence through discovery or revelation. This is a constructional contrast in how truth/falsity or validity is framed. | constructional | [CORE] |
| 진실을 밝히다 | 진실을 숨기다 | *jinsireul balkhida* / *jinsireul sumgida* | reveal the truth / hide the truth | These are explicitly listed as common constructions and form a direct opposition between disclosure and concealment of truth. The contrast is central in journalism, law, and public controversy. | lexical | [CORE] |
| 사실을 확인하다 | 사실을 밝히다 | *sasireul hwaginhada* / *sasireul balkhida* | confirm the facts / reveal the facts | The context presents these as related but distinct procedural constructions: one verifies factual correctness, the other brings facts to light. This is a supported contrast in action type, not polarity. | constructional | [CORE] |
| 진짜 같다 | 가짜처럼 보이다 | *jinjja gatda* / *gajjacheoreom boida* | seem real / look fake | Both are explicitly listed appearance-based judgments and oppose positive and negative impressions of authenticity. The contrast concerns seeming, not established fact. | constructional | [CORE] |
| 진짜처럼 보이다 | 실체가 드러나다 | *jinjjacheoreom boida* / *silchega deureonada* | look like the real thing / the true nature is revealed | The construction notes explicitly oppose appearance predicates like **~처럼 보이다** to revelation of underlying reality with **실체가 드러나다**. This is a core appearance-vs-reality contrast. | constructional | [CORE] |
| 보이다 / 같다 | 드러나다 | *boida / gatda* / *deureonada* | seem, look / be revealed | The context explicitly states that **보이다** and **같다** describe impression or appearance, whereas **드러나다** presents underlying reality as exposed. This is a general constructional opposition repeatedly supported in the data. | constructional | [CORE] |
| 본질 | appearance / surface appearance implied by appearance predicates | *bonjil* / — | essence / appearance | The context repeatedly describes 본질 as what lies beyond appearance or incidental features, and links it to expressions like **본질을 꿰뚫다** and **본질을 흐리다**. However, the opposing term is not lexicalized as a single fixed item in the provided data. | constructional | [UNCERTAIN] |
| 실체 | appearance / rumor / formal surface | *silche* / — | actual substance, true nature / appearance, rumor, formal surface | The context explicitly says 실체 is often contrasted with appearance, rumor, or formal surface. Because the opposing side is described rather than consistently lexicalized as one term, the contrast is supported but asymmetrical. | constructional | [CORE] |
