| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | *Padà sí ìgbàgbọ́* | Padà sí ìgbàgbọ́ | [CORE] | Motion-directional inchoative; implies prior state of faith that was lost and is being recovered; encodes re-entry rather than first entry |
| 2 | *Jáde kúrò nínú àìmọ̀* | Jáde kúrò nínú àìmọ̀ | [CORE] | Motion-directional inchoative; encodes transition into knowledge by describing departure from its opposed state; goal state implied rather than named |
| 3 | *Ó farahàn pé òtítọ́ ni* | Ó farahàn pé òtítọ́ ni | [CORE] | Epistemic revelation construction; expresses emergence of clarity about a proposition; does not assert ontological change from false to true |
| 4 | *Ìwà rẹ̀ hàn gbangba* | Ìwà rẹ̀ hàn gbangba | [CORE] | Expresses becoming-apparent of a previously concealed or unrecognized state; applies to character and to truth of a matter becoming publicly evident |
| 5 | *Ó di ènìyàn òtítọ́.* | Ó di ènìyàn òtítọ́. | [CORE] | Directly attested in P4a; *di* + nominal predicate pattern |
| 6 | *Ó di ohun ojúlówó.* | Ó di ohun ojúlówó. | [CORE] | *di* + nominal predicate pattern; follows attested pattern directly |
| 7 | *Ó di ọmọlúwàbí.* | Ó di ọmọlúwàbí. | [CORE] | *di* + nominal predicate pattern; *ọmọlúwàbí* is a core evaluative nominal |
| 8 | *Ìgbàgbọ́ rẹ̀ di lágbára.* | Ìgbàgbọ́ rẹ̀ di lágbára. | [CORE] | Directly attested in P4a |
| 9 | *Ó di ènìyàn tí a lè gbẹ́kẹ̀lé.* | Ó di ènìyàn tí a lè gbẹ́kẹ̀lé. | [CORE] | *di* + nominal predicate pattern; relative-clause nominal is attested in P2a and P2b |
| 10 | *Ìdájọ́ náà di tọ́.* | Ìdájọ́ náà di tọ́. | [CORE] | *di* + stative verbal predicate pattern; structurally consistent with attested pattern; no specific example of *di tọ́* attested in context; derived by pattern extension |
| 11 | *A mọ̀ pé irọ́ ni* | A mọ̀ pé irọ́ ni | [CORE] | Expresses epistemic transition from not-knowing to knowing that something is false; perfective reading of *mọ̀* implies knowledge has been acquired |
| 12 | *Ó farahàn pé irọ́ ni* | Ó farahàn pé irọ́ ni | [CORE] | Follows directly from attested pattern for *òtítọ́* and parallel syntactic behavior of the two terms; not explicitly attested in P2b for *irọ́* but structurally parallel |
| 13 | *Ìgbàgbọ́ rẹ̀ yí padà* | Ìgbàgbọ́ rẹ̀ yí padà | [CORE] | Directly attested in P2b; serial verb *yí padà* expresses change in state of belief |
| 14 | *Wà ní ẹ̀ṣẹ̀* | Wà ní ẹ̀ṣẹ̀ | [CORE] | Stative-locative construction; encodes being in a state rather than transition into it |
| 15 | *Ẹ ṣàyẹ̀wò bóyá ó jẹ́ gidi* | Ẹ ṣàyẹ̀wò bóyá ó jẹ́ gidi | [CORE] | Frames genuineness as a state to be verified; no "becomes genuine" construction attested |
| 16 | *Ó di ènìyàn irọ́.* | Ó di ènìyàn irọ́. | [CORE] | *di* + nominal predicate pattern; *ènìyàn irọ́* attested in P2a and P4a as periphrastic agentive for liar |
