| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | X [truth-related adjective/noun] ol- | X [truth-related adjective/noun] ol- | [CORE] | En genel değişim kalıbı **olmak** ile kurulur. Bu alan içinde özellikle **doğru, gerçek, geçerli, güvenilir, inandırıcı, haklı, meşru, gerçekçi** gibi biçimlerle doğaldır. |
| 2 | X [negative/opposed adjective] ol- | X [negative/opposed adjective] ol- | [CORE] | ve bazı sınırlı durumlarda **-leş-** |
| 3 | -leş- | -leş- | [MARGINAL] | Karşıt duruma geçişte de temel kalıp yine **olmak**tır. Buna ek olarak, CONTEXT içinde açıkça tanıklanan sınırlı **-leş-** biçimleri vardır: özellikle **sahteleşmek**, ayrıca truth-domain’in kenarında **özgünleşmek**, **dürüstleşmek**. Ancak bunlar genel bir sistem değil, tek tek sözcüklere bağlıdır. |
| 4 | X doğru çık- / haklı çık- / doğrulan- | X doğru çık- / haklı çık- / doğrulan- | [CORE] | Özellikle **doğru** ve **haklı** için **çıkmak** çok doğal bir kalıptır; aynı işlev her truth-term için eşit derecede doğal değildir. |
| 5 | Y, X-i doğrula- | Y, X-i doğrula- | [CORE] | Bu alanda en açık ve yerleşik nedensel fiil **doğrulamak**tır. |
| 6 | -leş-tir- | -leş-tir- | [MARGINAL] | Sınırlı olarak **-leş-tir-**; ayrıca bazı durumlarda yalnızca periphrastic ifade mümkündür. |
| 7 | sahteleştirmek | sahteleştirmek | [MARGINAL] | Bu tür nedensel biçimler CONTEXT içinde tanıklıdır, ama genel ve nötr değildir. |
| 8 | özgünleştirmek | özgünleştirmek | [MARGINAL] | Bu tür nedensel biçimler CONTEXT içinde tanıklıdır, ama genel ve nötr değildir. |
| 9 | dürüstleştirmek | dürüstleştirmek | [MARGINAL] | Bu tür nedensel biçimler CONTEXT içinde tanıklıdır, ama genel ve nötr değildir. |
