| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| 真 (zhēn) | 假 (jiǎ) | zhēn / jiǎ | genuine, real / fake, false, counterfeit | The most basic lexical opposition in the domain, explicitly documented in P1 as a direct contrast (P1 #1 and #2: "Directly contrasts with 真"). The pair names the positive and negative poles of the authenticity/truth axis and generates the binary question 真假 (P1b Root 3a #4) and the construction 是真是假 (P2b Construction 2), which frames the question of authenticity as a binary between these two poles. They co-occur in the compound 真假 (P1b Root 1, item 6) and in paired constructions such as 说真话 vs. 说假话. | lexical | [CORE] |
| 真 (zhēn) | 伪 (wěi) | zhēn / wěi | genuine, true / false, spurious, counterfeit | These two roots co-occur in the binomial 真伪 (authenticity vs. falsity) and in the fixed phrase 真伪难辨. P1b notes that 伪 functions as a marker of deliberate falsification, making this contrast more specifically associated with intentional fraud than the 真/假 opposition. 伪 is more restricted to formal and legal registers and appears specifically in 伪造 (to forge) and 真伪 (genuine or fake). | lexical | [CORE] |
| 真实 (zhēnshí) | 虚假 (xūjiǎ) | zhēnshí / xūjiǎ | truthful, authentic, real / false, fictitious, fraudulent | Documented in P1 and P3 Group 1 as near-antonyms in journalistic and legal usage, and as the formal antonyms in the domain of statements and representations (P3 Group 3 and Group 5). 真实 evaluates a representation as faithfully reflecting reality; 虚假 evaluates a claim or representation as without factual basis, typically with a stronger negative connotation implying deliberate deception. The CONTEXT notes that 虚假 is stronger and more formal than 假 alone. | lexical | [CORE] |
| 真实 (zhēnshí) | 失实 (shīshí) | zhēnshí / shīshí | truthful, accurate / inaccurate, contrary to fact | Documented in P3 Group 1 as near-antonyms in journalistic and legal usage. 真实 affirms correspondence between a representation and reality; 失实 evaluates a report or account as failing to correspond to the facts, without necessarily implying deliberate intent. P3 notes that 失实 does not necessarily imply deliberate deception, distinguishing it from 虚假. | lexical | [CORE] |
| 真实 (zhēnshí) | 失真 (shīzhēn) | zhēnshí / shīzhēn | truthful, accurate / distorted, having lost fidelity | Both evaluate fidelity to reality or an original, but 失真 specifically marks departure from an original state or source (as in audio distortion or historical distortion), while 真实 asserts positive correspondence. P3 notes that 失真 emphasizes departure from an original rather than from an external fact, distinguishing it from 失实. | lexical | [CORE] |
| 正确 (zhèngquè) | 错误 (cuòwù) | zhèngquè / cuòwù | correct, right / wrong, erroneous, mistaken | Explicitly documented in P1 (#5: "Contrasts with 错误") and in P3 Group 4 as the primary antonym pair for correctness relative to a standard. P1 explicitly states that 错误 "contrasts with 正确 as its standard antonym." The pair is productive in contrastive constructions: 纠正错误，走上正确的道路 (P2b Construction 24). Both appear in the same evaluative contexts (educational, technical, moral) and are treated as a contrasting pair throughout the CONTEXT. | lexical | [CORE] |
| 正确 (zhèngquè) | 不正确 (bùzhèngquè) | zhèngquè / bùzhèngquè | correct / incorrect | Documented in P2a (#5) as the standard morphological negation of 正确 formed with the general negator 不. Functions as an adjective evaluating a statement, method, or action as failing to meet the relevant standard of correctness. P2a Section 6 notes it is "extremely common across all registers." | morphological | [CORE] |
| 准确 (zhǔnquè) | 不准确 (bùzhǔnquè) | zhǔnquè / bùzhǔnquè | accurate, precise / inaccurate, imprecise | Documented in P2a (#7) as the standard morphological negation of 准确. Evaluates a measurement, description, or statement as failing to meet the required level of precision. Used across scientific, journalistic, and everyday contexts. | morphological | [CORE] |
| 可靠 (kěkào) | 不可靠 (bùkěkào) | kěkào / bùkěkào | reliable, dependable / unreliable, untrustworthy | Documented in P2a (#9) as the standard morphological negation of 可靠. Evaluates a source, person, or system as not worthy of trust or consistent performance. Used in evaluations of sources, persons, equipment, and information. | morphological | [CORE] |
| 诚实 (chéngshí) | 不诚实 (bùchéngshí) | chéngshí / bùchéngshí | honest, sincere / dishonest, not honest | Documented in P2a Section 6 as a lexicalized 不- negation and the standard antonym of 诚实 in moral and everyday evaluations of character and conduct. | morphological | [CORE] |
| 真实 (zhēnshí) | 不真实 (bùzhēnshí) | zhēnshí / bùzhēnshí | truthful, real / unreal, not truthful | Documented in P2a Section 6 as a lexicalized 不- negation of 真实, attested in legal, journalistic, and everyday discourse. Functions as a lexicalized attributive adjective. | morphological | [CORE] |
| 相符 (xiāngfú) | 不相符 (bùxiāngfú) | xiāngfú / bùxiāngfú | consistent with, matching / inconsistent with, not matching | Documented in P2a Section 6 as a lexicalized 不- negation of the relational predicate 相符. Both forms are equally common in legal and administrative contexts, as noted in P4b. | morphological | [CORE] |
| 客观 (kèguān) | 主观 (zhǔguān) | kèguān / zhǔguān | objective, impartial / subjective, personal, biased | Explicitly documented in P1 (#18: "Contrasts with 主观" and #19: "Contrasts with 客观") and in P3 Group 8 as a clear contrastive pair. 客观 evaluates a judgment as based on external facts; 主观 evaluates it as shaped by personal perspective or interest. | lexical | [CORE] |
| 客观性 (kèguānxìng) | 主观性 (zhǔguānxìng) | kèguānxìng / zhǔguānxìng | objectivity / subjectivity | Documented in P2a (#10 and #12) as the nominalized counterparts of 客观 and 主观, used in philosophical and evaluative discourse as antonyms naming the abstract properties of being objective and subjective respectively. | morphological | [CORE] |
| 真实性 (zhēnshíxìng) | 虚假性 (xūjiǎxìng) | zhēnshíxìng / xūjiǎxìng | truthfulness, factual accuracy (as a property) / falseness, fraudulent nature (as a property) | Both are -性 nominalizations documented in P2a Section 1, used in legal and analytical discourse to refer to the abstract properties of being truthful and being false/fraudulent respectively. They stand in the same oppositional relationship as their bases 真实 and 虚假 but at the level of abstract property nouns. P2a notes that 虚假性 is less common than 真实性 but is attested in legal and academic writing. The CONTEXT notes that 真实性 is more frequent and broadly distributed than 虚假性, which is more restricted to legal and regulatory discourse. | morphological | [CORE] |
| 正确性 (zhèngquèxìng) | 错误性 (cuòwùxìng) | zhèngquèxìng / cuòwùxìng | correctness, the property of being right / erroneousness, the quality of being mistaken or wrong | These are the 性-nominalized forms of 正确 and 错误 (P2a items 4 and 5). The CONTEXT explicitly notes an asymmetry: 正确性 is highly productive and common across registers, while 错误性 is considerably less common because 错误 itself already functions as a noun in many contexts, reducing the need for the 性 form. | morphological | [CORE] for 正确性; [MARGINAL] for 错误性 |
| 合法 (héfǎ) | 违法 (wéifǎ) | héfǎ / wéifǎ | lawful, legal, legitimate / illegal, unlawful, in violation of the law | The CONTEXT documents these as the positive and negative poles of legal evaluation (P1 items 22 and 23; P3 Group 8). 合法 evaluates conduct or status as conforming to legal requirements; 违法 evaluates it as contravening legal norms. Both are standard terms in Chinese legal, administrative, and journalistic registers. | lexical | [CORE] |
| 合法性 (héfǎxìng) | 违法性 (wéifǎxìng) | héfǎxìng / wéifǎxìng | legality, legitimacy, lawfulness / illegality, unlawfulness, the quality of being in violation of the law | These are the 性-nominalized forms of 合法 and 违法 (P2a items 9 and 11). Both are documented as [CORE] in legal and analytical discourse, and they stand in the same oppositional relationship as their bases. The CONTEXT notes that 合法性 also functions as a translation of "legitimacy" in the Weberian political-philosophical sense, an extension not shared by 违法性. | morphological | [CORE] |
| 合法化 (héfǎhuà) | (no attested parallel form) | héfǎhuà / — | to legalize, to legitimize / (no parallel) | The CONTEXT documents 合法化 as a productive 化-derivation (P2a item 10) but does not attest a corresponding *违法化 form. The inchoative/process opposition for this pair is therefore asymmetric: the process of becoming lawful is lexicalized, but the process of becoming unlawful is not expressed by a parallel 化-form in the attested data. | morphological | [UNCERTAIN] |
| 名副其实 (míng fù qí shí) | 名不副实 (míng bù fù shí) | míng fù qí shí / míng bù fù shí | living up to one's name, worthy of the title / not living up to one's name, in name only | Documented in P1 (#14 and #15) as a direct pair: 名不副实 is explicitly described as "the negative counterpart of 名副其实." P1 explicitly states that "its antonym 名不副实 is equally common." The morphological negator 不 inserted into the fixed expression produces the antonym. Both are attested as productive in evaluative discourse. 名副其实 asserts that a label accurately corresponds to actual qualities; 名不副实 criticizes a mismatch between label and reality. | morphological | [CORE] |
| 表里如一 (biǎo lǐ rú yī) | 表里不一 (biǎo lǐ bù yī) | biǎo lǐ rú yī / biǎo lǐ bù yī | consistent inside and out, genuine in character / inconsistent inside and out, two-faced | Documented in P1 (#22: "Its implied opposite is 表里不一") and explicitly attested as a construction in P2b (#96). P2b item 91 explicitly describes 表里不一 as "the antonymous construction" of 表里如一, equally common in moral evaluation. The negator 不 replaces 如 (like/as) to produce the antonym, asserting discrepancy between outward appearance and inner reality. | morphological | [CORE] |
| 揭露真相 (jiēlù zhēnxiàng) | 掩盖真相 (yǎngài zhēnxiàng) | jiēlù zhēnxiàng / yǎngài zhēnxiàng | to expose the truth / to cover up the truth | Documented in P2b (Constructions 35 and 37; items 19 and 21) and in P4a Construction 9 as a stable contrastive verb-object pair sharing the same object (真相). The two verbs represent opposite orientations toward the same truth-noun: revealing versus concealing. 揭露 means to expose or bring to light; 掩盖 means to conceal or cover up. Both are described as common in journalistic, legal, and political discourse. | constructional | [CORE] |
| 尊重事实 (zūnzhòng shìshí) | 歪曲事实 (wāiqū shìshí) | zūnzhòng shìshí / wāiqū shìshí | to respect the facts / to distort the facts | Documented in P2b (Constructions 42 and 43) and in P4a Construction 9 as a stable contrastive verb-object pair sharing the same object (事实). The two verbs represent opposite orientations toward factual reality: honoring versus distorting. 尊重事实 asserts adherence to factual reality; 歪曲事实 describes deliberate distortion of facts. | constructional | [CORE] |
| 尊重事实 (zūnzhòng shìshí) | 捏造事实 (niēzào shìshí) | zūnzhòng shìshí / niēzào shìshí | to respect the facts / to fabricate facts | Documented in P2b constructions 70, 71, and 72. 尊重事实 asserts adherence to factual reality; 捏造事实 describes deliberate invention of false facts. The CONTEXT notes that 捏造事实 is legally significant in Chinese defamation law. | constructional | [CORE] |
| 明辨是非 (míng biàn shìfēi) | 颠倒是非 (diāndǎo shìfēi) | míng biàn shìfēi / diāndǎo shìfēi | to clearly distinguish right from wrong / to invert right and wrong | Documented in P2b (Constructions 80 and 81) and in P3 Group 10. Both constructions share the object 是非; the verbs represent opposite orientations — proper exercise of discriminative judgment versus deliberate inversion of the right/wrong distinction. | constructional | [CORE] |
| 明辨是非 (míng biàn shìfēi) | 混淆是非 (hùnxiáo shìfēi) | míng biàn shìfēi / hùnxiáo shìfēi | to clearly distinguish right from wrong / to confuse right and wrong | Documented in P2b (Constructions 80 and 82) and in P3 Group 10. Both share the object 是非; 明辨 describes proper discriminative judgment while 混淆 describes the blurring of the distinction. Distinct from the 颠倒是非 opposition (Opposition 25) in that 混淆 implies confusion rather than deliberate inversion. | constructional | [CORE] |
| 真 (zhēn) — predicative: 这是真的 | 假 (jiǎ) — predicative: 这是假的 | zhè shì zhēn de / zhè shì jiǎ de | "This is true / genuine." / "This is fake / false." | Documented in P2b (Constructions 1 and 8) and in P4a Construction 1 as the two poles of the basic copular attribution pattern. The constructions are formally parallel (Subject + 是 + adjective + 的) and semantically opposed. | constructional | [CORE] |
| 这是真的 (zhè shì zhēn de) — predicative | 这不是真的 (zhè bù shì zhēn de) — negated predicative | zhè shì zhēn de / zhè bù shì zhēn de | "This is true / genuine." / "This is not true / not genuine." | Documented in P2b (Constructions 1 and 7) and in P4a Construction 1 and 2 as the affirmative and negated forms of the same copular construction. The negated form is produced by inserting 不 before 是. The CONTEXT notes that the two forms have distinct pragmatic uses: the affirmative asserts truth or genuineness, while the negated form is used for denial, correction, or reassurance. | constructional | [CORE] |
| 本质 (běnzhì) | 表象 / 表面 (biǎoxiàng / biǎomiàn) | běnzhì / biǎoxiàng, biǎomiàn | essence, fundamental nature / surface appearance, surface | Documented in P1 (#20: "as opposed to its surface appearance") and in P3 Group 9, where 本质 is defined against surface appearance. The contrast is between underlying reality and outward presentation. Note: 表象/表面 are not P1 items but are documented in the CONTEXT as the implicit contrasting terms for 本质. | lexical | [CORE] |
| 实质 (shízhì) | 形式 (xíngshì) | shízhì / xíngshì | substance, real nature / form, formality | Documented in P2b Construction 73 (流于形式，缺乏实质: "to degenerate into mere formality, lacking substance") and in P3 Group 9. 实质 refers to actual content or underlying reality; 形式 refers to formal or nominal character. The contrast is explicitly attested in the construction 流于形式缺乏实质. | lexical | [CORE] |
