# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Swahili (sw)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| kweli | kweli | truth, truthfulness | true, truth, really, truly, genuine | Used to affirm the accuracy or veracity of statements and to express genuineness. Commonly appears in both everyday speech ("ni kweli" = "it's true") and formal contexts to validate claims or emphasize sincerity. | [CORE] |
| ukweli | ukweli | u- (noun class prefix) + -kweli (truth root) | truth, reality, fact | Nominal form referring to truth as a concept or state of affairs. Frequently used in philosophical, legal, and everyday contexts to denote factual accuracy or reality ("ukweli wa jambo" = "the truth of the matter"). | [CORE] |
| sahihi | sahihi | correct, accurate (from Arabic ṣaḥīḥ) | correct, accurate, right, proper, valid | Used to evaluate correctness of statements, answers, or procedures. Common in educational and administrative contexts to mark accuracy or approve documents ("jibu sahihi" = "correct answer"). | [CORE] |
| uongo | uongo | u- (noun class prefix) + -ongo (lie/falsehood root) | lie, falsehood, untruth, deception | Refers to deliberate falsehood or deceptive statements. Used in moral and everyday contexts to identify dishonest speech or misrepresentation ("kusema uongo" = "to tell a lie"). | [CORE] |
| -a kweli | -a kweli | of truth (associative construction) | true, genuine, real, authentic | Adjectival phrase modifying nouns to indicate genuineness or authenticity. Used to distinguish real from fake or to emphasize sincerity ("rafiki wa kweli" = "true friend"). | [CORE] |
| haki | haki | right, justice (from Arabic ḥaqq) | right, justice, truth, entitlement, fairness | Denotes both moral/legal rights and truth/justice as concepts. Used in legal, ethical, and everyday contexts to express what is right, just, or true ("haki yako" = "your right"; "haki ni kwamba..." = "the truth is that..."). | [CORE] |
| sawa | sawa | equal, same, level | correct, right, okay, equal, same, appropriate | Indicates correctness, appropriateness, or agreement with standards. Commonly used to confirm accuracy or acceptability in everyday interactions ("ni sawa" = "it's correct/okay"). | [CORE] |
| halisi | halisi | genuine, pure (from Arabic khāliṣ) | genuine, authentic, real, pure, true | Emphasizes authenticity and genuineness of objects, substances, or character. Used to distinguish authentic from counterfeit or to describe sincere qualities ("dhahabu halisi" = "genuine gold"). | [CORE] |
| kamili | kamili | complete, perfect (from Arabic kāmil) | complete, perfect, whole, full, accurate | Indicates completeness, perfection, or full accuracy. Used in evaluative contexts to describe thoroughness or correctness ("taarifa kamili" = "complete/accurate information"). | [CORE] |
