# F5 Opposition Table — Korean (ko)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| 진실 (jinsil) | 거짓 (geojit) | jinsil vs. geojit | truth vs. falsehood/lie | Core lexical opposition between truth and falsehood. Both terms appear extensively in the data with parallel constructional patterns (진실을 말하다 "tell the truth" vs. 거짓말을 하다 "tell a lie") and are used across all registers to mark the fundamental distinction between true and false statements. | lexical | [CORE] |
| 사실 (sasil) | 거짓 (geojit) | sasil vs. geojit | fact vs. falsehood/lie | Lexical opposition between fact and falsehood. 사실 emphasizes objective factuality while 거짓 marks deliberate falsity. Common in constructions like 사실이 아니다 (sasiri anida) "is not a fact" and appears in the fixed expression 사실무근 (sasilmugeun) "groundless, without factual basis." | lexical | [CORE] |
| 진짜 (jinjja) | 가짜 (gajja) | jinjja vs. gajja | real/genuine vs. fake/counterfeit | Core colloquial opposition for authenticity of objects and identities. Appears in parallel constructions (진짜인지 가짜인지 "whether real or fake") and is the primary everyday opposition for distinguishing authentic from counterfeit items. | lexical | [CORE] |
| 진본 (jinbon) | 모조 (mojo) / 모조품 (mojopum) | jinbon vs. mojo/mojopum | authentic original vs. imitation/counterfeit | Formal lexical opposition used specifically for authentication of artworks, documents, and artifacts. Appears in the construction 진본과 모조품 (jinbongwa mojopum) "authentic original and imitation" in specialized authentication contexts. | lexical | [CORE] |
| 맞다 (matda) | 틀리다 (teullida) | matda vs. teullida | to be correct vs. to be wrong/incorrect | Fundamental native Korean opposition for correctness evaluation, particularly in educational contexts. Appears in parallel constructions (맞는 답 "correct answer" vs. 틀린 답 "wrong answer") and coordinate expressions (맞고 틀리고 "right and wrong," 맞는지 틀리는지 "whether right or wrong"). | lexical | [CORE] |
| 옳다 (olda) | 그르다 (geureuda) | olda vs. geureuda | to be right/correct vs. to be wrong | Native Korean opposition for moral and logical correctness. Appears primarily in the fixed expression 옳고 그름 (olgo geureum) "right and wrong." 그르다 is archaic in contemporary usage, with 옳지 않다 (olji anta) "not right" being more common for negation. | lexical | [CORE] for 옳다, [MARGINAL] for 그르다 |
| 정직 (jeongjik) / 정직하다 (jeongjikada) | 부정직 (bujeongjik) / 부정직하다 (bujeongjikada) | jeongjik/jeongjikada vs. bujeongjik/bujeongjikada | honesty/to be honest vs. dishonesty/to be dishonest | Morphological opposition using Sino-Korean negative prefix 부- (bu-). Used for character evaluation across all registers. The negated form is productive and commonly used in moral discourse. | morphological | [CORE] |
| 정확하다 (jeonghwakhada) | 부정확하다 (bujeonghwakhada) | jeonghwakhada vs. bujeonghwakhada | to be accurate vs. to be inaccurate | Morphological opposition using Sino-Korean negative prefix 부-. Extends to abstract nominalizations (정확성 vs. 부정확성). Common in technical, academic, and formal contexts for evaluating precision. | morphological | [CORE] |
| 확실하다 (hwaksilhada) | 불확실하다 (bulhwaksilhada) | hwaksilhada vs. bulhwaksilhada | to be certain vs. to be uncertain | Morphological opposition using Sino-Korean negative prefix 불- (bul-). Extends to abstract nominalizations (확실성 vs. 불확실성 "certainty vs. uncertainty"). Used across all registers for epistemic evaluation. | morphological | [CORE] |
| 정당하다 (jeongdanghada) | 부정당하다 (bujeongdanghada) | jeongdanghada vs. bujeongdanghada | to be legitimate/justified vs. to be illegitimate/unjustified | Morphological opposition using Sino-Korean negative prefix 부-. Used in legal, political, and ethical discourse for evaluating legitimacy of actions, claims, or rights. The negated form is less common than 정당하지 않다 (jeongdanghaji anta) "not legitimate." | morphological | [CORE] for 정당하다, [MARGINAL] for 부정당하다 |
| 타당하다 (tadanghada) | 부타당하다 (butadanghada) | tadanghada vs. butadanghada | to be valid/reasonable vs. to be invalid/unreasonable | Morphological opposition using Sino-Korean negative prefix 부-. The negated form 부타당하다 is less common than the periphrastic negation 타당하지 않다 (tadanghaji anta) "not valid." Used in analytical and argumentative contexts. | morphological | [CORE] for 타당하다, [MARGINAL] for 부타당하다 |
| NP + 이/가 + TRUTH-TERM + 이다 | NP + 이/가 + TRUTH-TERM + 이/가 아니다 | (copular affirmation vs. copular negation) | "X is [truth-term]" vs. "X is not [truth-term]" | Constructional opposition between affirmative and negative attribution using copula 이다 and its negation 아니다. Universal pattern applying to all truth-domain nominal predicates (이것은 사실이다 "This is a fact" vs. 이것은 사실이 아니다 "This is not a fact"). | constructional | [CORE] |
| TRUTH-TERM + -하다 (affirmative) | TRUTH-TERM + -하지 않다 (negative) | (adjectival affirmation vs. negation) | "to be [quality]" vs. "to not be [quality]" | Constructional opposition for adjectival predicates using standard Korean negation pattern -지 않다. Applies to all -하다 verbalized truth-domain terms (정확하다 "to be accurate" vs. 정확하지 않다 "to not be accurate"). | constructional | [CORE] |
| 참 (cham) | 거짓 (geojit) | cham vs. geojit | true/genuine vs. false/fake | Native Korean lexical opposition appearing in literary and formal contexts. Found in the expression 참과 거짓 (chamgwa geojit) "truth and falsehood." 참 is less common than Sino-Korean 진실 in contemporary usage but remains productive as a prefix. | lexical | [CORE] |
| 진위 (jinwi) — 진 (true) | 진위 (jinwi) — 위 (false) | jin vs. wi (within jinwi) | true vs. false (within "truth or falsehood") | Internal lexical opposition within the compound 진위, which literally means "true-false" and is used in formal contexts for authentication and verification (진위를 가리다 "to determine truth from falsehood"). The compound itself encodes the opposition. | lexical | [CORE] |
| 실제 (silje) "reality, actuality" | (theoretical/nominal status — no single lexical term) | silje vs. (implicit contrast) | actual/real vs. theoretical/nominal | 실제 consistently contrasts with non-actual states (theory, appearance, planning) but Korean lacks a single lexical antonym. The opposition is constructional, appearing in expressions like 실제로는 (siljero-neun) "in reality" and 실제와 다르다 (siljewa dareuda) "differs from reality." | constructional | [CORE] |
| 신빙성이 있다 (sinbingseongi itda) | 신빙성이 없다 (sinbingseongi eopda) | sinbingseongi itda vs. sinbingseongi eopda | to be credible (credibility exists) vs. to lack credibility (credibility doesn't exist) | Constructional opposition using existential verbs 있다 "exist" and 없다 "not exist" with the abstract noun 신빙성 "credibility." This is a fixed construction pattern for expressing presence or absence of credibility. | constructional | [CORE] |
| 진실을 말하다 (jinsireul malhada) | 거짓말을 하다 (geojinmareul hada) | jinsireul malhada vs. geojinmareul hada | to tell the truth vs. to tell a lie | Constructional opposition between truth-telling and lying using parallel verb phrase structures. Note the verb difference: 말하다 "speak/say" for truth vs. 하다 "do" for lies, reflecting that 거짓말 is a compound noun requiring the light verb 하다. | constructional | [CORE] |
| 진실을 밝히다 (jinsireul balkhida) | 진실을 숨기다 (jinsireul sumgida) | jinsireul balkhida vs. jinsireul sumgida | to reveal the truth vs. to hide the truth | Constructional opposition using antonymous verbs 밝히다 "reveal/bring to light" and 숨기다 "hide/conceal" with the same object 진실 "truth." Common in investigative and moral discourse. | constructional | [CORE] |
| 진실이 드러나다 (jinsiri deureonada) | (no clear lexical opposite for concealment process) | jinsiri deureonada vs. (no attested opposite) | the truth comes to light vs. (no clear opposition identified) | The intransitive verb 드러나다 "to be revealed/come to light" describes truth emergence, but the data shows no parallel intransitive verb for truth becoming concealed. Concealment is expressed transitively (숨기다 "to hide") rather than as a state change of truth itself. | (asymmetric — no clear opposition identified) | [UNCERTAIN] |
| 새빨간 거짓말 (saeppalgan geojinmal) | 하얀 거짓말 (hayan geojinmal) | saeppalgan geojinmal vs. hayan geojinmal | blatant lie (bright red lie) vs. white lie | Lexical opposition using color terms to distinguish types of lies: 새빨간 (bright red) marks obvious or brazen lies, while 하얀 (white) marks harmless or well-intentioned lies (calqued from English). Both are intensification patterns but with opposite evaluative implications. | lexical | [MARGINAL] |
| 정직성 (jeongjikseong) "honesty" | 부정직 (bujeongjik) "dishonesty" | jeongjikseong vs. bujeongjik | honesty (as quality) vs. dishonesty | Morphological opposition where the abstract nominalization 정직성 (정직 + 성) contrasts with the negated base 부정직 (부 + 정직). Note the asymmetry: the positive form takes the -성 suffix while the negative form does not require it (though 부정직성 also exists). | morphological | [CORE] |
| 옳은 일 (oleun il) | (no clear lexical opposite — 그른 일 archaic) | oleun il vs. (no common opposite) | the right thing vs. (no clear opposition identified) | While 옳은 일 "the right thing/correct action" is common, the parallel construction with 그르다 (*그른 일) is archaic. Contemporary Korean uses periphrastic negation (옳지 않은 일 "not right thing") or alternative terms (나쁜 일 "bad thing") rather than a direct lexical opposite. | (asymmetric — no clear opposition identified) | [UNCERTAIN] |
| 명백하다 (myeongbaekhada) "to be obvious/clear" | (no clear lexical opposite in data) | myeongbaekhada vs. (no attested opposite) | to be obvious vs. (no clear opposition identified) | While 명백하다 marks facts as clearly apparent, the data shows no single lexical term for "obscure" or "unclear" as a direct opposite. Negation uses 명백하지 않다 "not obvious" or alternative terms like 불분명하다 "unclear" (not in P1-P4 data). | (no clear opposition identified) | [UNCERTAIN] |
| 그럴듯하다 (geureoldeuthada) "to be plausible" | (no clear lexical opposite in data) | geureoldeuthada vs. (no attested opposite) | to be plausible vs. (no clear opposition identified) | 그럴듯하다 indicates appearance of truth or reasonableness, but the data shows no single lexical term for "implausible" as a direct opposite. The term itself can carry skeptical connotations depending on context, suggesting internal semantic complexity rather than clear external opposition. | (no clear opposition identified) | [UNCERTAIN] |
| 거짓말쟁이 (geojinmaljjaengi) "liar" | (no productive agentive term for "truth-teller") | geojinmaljjaengi vs. (no lexical opposite) | liar vs. (no clear opposition identified) | The agentive suffix -쟁이 productively creates 거짓말쟁이 "liar," but no parallel formation exists for truth-tellers (*진실쟁이 not attested). Truth-tellers must be expressed periphrastically (진실을 말하는 사람 "person who speaks truth"). This represents a significant asymmetry in agentive nominalization. | (asymmetric — no clear opposition identified) | [CORE] for asymmetry observation |
| 진실성이 의심되다 (jinsilseongi uissimdoeda) | 진실성을 인정받다 (jinsilseongeul injeonbatda) | jinsilseongi uissimdoeda vs. jinsilseongeul injeonbatda | truthfulness is doubted vs. to have one's truthfulness recognized | Constructional opposition between questioning and validating truthfulness. Note the grammatical asymmetry: doubt uses passive construction (의심되다 "to be doubted") while recognition uses active transitive (인정받다 "to receive recognition"). | constructional | [CORE] |
| 사실상 (sasilsang) "in fact, actually, virtually" | (no clear lexical opposite — implicit contrast with appearance/theory) | sasilsang vs. (implicit contrast) | in actual fact vs. (no clear opposition identified) | 사실상 functions as a discourse marker contrasting actual reality with nominal or apparent status, but Korean lacks a parallel term meaning "nominally" or "apparently" as a direct lexical opposite. The opposition is contextual rather than lexically encoded. | (no clear opposition identified) | [UNCERTAIN] |
