| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1.1.1 | உண்மை வெளிப்பட்டது | *uṇmai veḷippaṭṭatu* | [CORE] | Attested in P1b Root 1 item 9, P2b Construction 1.3, P3 Group 2, P4a (inchoative section), P4b, P5 Opposition 12. The verb *veḷippaṭu* encodes the change from concealed to visible. |
| 1.1.2 | உண்மை வெளிப்படுகிறது | *uṇmai veḷippaṭukiṟatu* | [CORE] | Present tense form. Documented in P1b Root 1 item 9 and P4a (inchoative section). |
| 1.1.3 | உண்மை தெரிய வந்தது | *uṇmai teriya vantatu* | [CORE] | Attested in P4a Construction 4, P4b, P2b Construction 1.5, P2b Construction 1.8, P3 Group 2, P3 Group 7. Treats truth as an entity moving from concealment to visibility. |
| 1.1.4 | உண்மை தெரிய வருகிறது | *uṇmai teriya varukiṟatu* | [CORE] | Present tense form. Documented in P1b Root 1 item 20 and P4a. |
| 1.1.5 | உண்மை தெரிய வரும் | *uṇmai teriya varum* | [CORE] | Future form; common in predictive moral and narrative speech. |
| 1.1.6 | உண்மை நிலைபெறுகிறது | *uṇmai nilaipeṟukiṟatu* | [CORE] | Appears in formal and philosophical registers. |
| 1.1.7 | இது உண்மையாகிவிட்டது | *itu uṇmaiyākiviṭṭatu* | [CORE] | Attested in P4a (inchoative section). The *-āki viṭu* construction marks completed change of state. |
| 1.1.8 | அது உண்மையாகிவிட்டது | *atu uṇmaiyākiviṭṭatu* | [CORE] | Attested in P4a Construction 4 and P4b. The completive auxiliary *viṭu* adds finality or irreversibility. |
| 1.1.9 | அது உண்மையாகும் | *atu uṇmaiyākum* | [CORE] | Future form without *viṭu*; used in predictive and conditional contexts. |
| 1.1.10 | உண்மை மாறாமல் இருக்கிறது | *uṇmai māṟāmal irukkiṟatu* | [CORE] | Appears in philosophical and moral discourse asserting the unchanging nature of truth. |
| 1.2.1 | அவன் நேர்மையாகிவிட்டான் | *avaṉ nērmaiyākiviṭṭāṉ* | [CORE] | Formed by *nērmaiyāka* + *āki* + completive *viṭu*. The *-āka* adverbial + *āku* is the standard inchoative construction for character-state change in Tamil. |
| 1.2.2 | அவள் நேர்மையானாள் | *avaḷ nērmaiyāṉāḷ* | [CORE] | Predicative inchoative using *nērmaiyāna* + past copula *āṉāḷ*; a natural alternative to the adverbial construction. |
| 1.2.3 | நேர்மை நிலைபெறுகிறது | *nēṟmai nilaipeṟukiṟatu* | [CORE] | Appears in formal and political discourse about the establishment of honest governance. |
| 1.3.1 | அவர் மீது நம்பிக்கை உண்டாயிற்று | *avar mītu nampikkai uṇṭāyiṟṟu* | [CORE] | *uṇṭāku* is the standard verb for the coming-into-existence of a state or quality in Tamil. |
| 1.3.2 | நம்பிக்கை வளர்ந்தது | *nampikkai vaḷarntatu* | [CORE] | *vaḷar* encodes gradual increase of trust; common in interpersonal and institutional contexts. |
| 1.3.3 | நம்பிக்கை வலுப்பெறுகிறது | *nampikkai valuppeṟukiṟatu* | [CORE] | The compound *valuppeṟu* is a natural inchoative expression for the growth of trust. |
