| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| *true* | *truly* | N/A | *true* + *-ly* (adverbial suffix) | in a true manner; genuinely; really | Functions as adverb of manner (*truly believe*), intensifier (*truly remarkable*), and epistolary closing (*yours truly*). Documented in P1b Root 2, item 1. | [CORE] |
| *true* | *truth* | N/A | OE *trēowth*; *tru-* + *-th* (abstract noun suffix; also given as OE *trēowe* + *-þ*) | the property of being true; a true statement or fact; the quality or state of being true | The primary nominalization of *true* and the central noun of the truth-evaluation domain. Independently listed as a P1 base form. Highly productive in further compounds (see base form *truth* below). Already documented in P1 (item 2) and P1b (1.2). | [CORE] |
| *true* | *trueness* | N/A | *true* + *-ness* (abstract noun suffix) | the quality of being true or accurate; exactness of alignment; fidelity | Used in technical and engineering contexts (*trueness of a surface*, *trueness of a bearing surface must be checked*) and occasionally in abstract contexts. Less common than *truth* for propositional accuracy. Documented in P1b (1.6). | [MARGINAL] |
| *true* | *truism* | N/A | *true* + *-ism* | a statement so obviously true as to be not worth stating; a platitude | Documented in P1b Root 2, item 25. Carries a mildly dismissive connotation. Used in intellectual and general discourse to dismiss a claim as trivially obvious. "It is a truism that prevention is better than cure." | [CORE] |
| *true* | *untrue* | N/A | *un-* (negation) + *true* | not true; false; unfaithful | Used in general speech as a somewhat softer alternative to *false*. Applied to statements that do not correspond to fact, and to persons who are unfaithful or disloyal, particularly in literary or older usage. Documented in P1b (1.4). "That statement is simply untrue." | [CORE] |
| *true* | *truer* | N/A | *true* + *-er* (comparative suffix) | more true, more accurate, more genuine | The regular comparative form of *true*, used in comparative constructions (*no truer statement has ever been made*). Fully productive but unremarkable morphologically. | [CORE] |
| *true* | *truest* | N/A | *true* + *-est* (superlative suffix) | most true, most accurate, most genuine | The regular superlative form of *true*, used in superlative constructions (*the truest account available*). Fully productive but unremarkable morphologically. | [CORE] |
| *truth* | *truthful* | N/A | *truth* + *-ful* (having the quality of) | disposed to tell the truth; reflecting the truth; habitually telling the truth | Applied to persons (habitual disposition) and statements to indicate a disposition toward or instance of telling the truth. Contrasts with *untruthful* and *dishonest*. Common across all registers. Independently listed as P1 base form 25. | [CORE] |
| *truth* | *truthfully* | N/A | *truth* + *-ful* + *-ly* | in a truthful manner; honestly | Adverbial form of *truthful*, used to indicate that a statement is made honestly or that an action is performed with honesty. Used in legal, journalistic, and everyday contexts. "I can truthfully say that..." / "Please answer the questions truthfully." | [CORE] |
| *truth* | *truthfulness* | N/A | *truth* + *-ful* + *-ness* | the quality or habit of being truthful; honesty | Refers to the habitual disposition to tell the truth, applied to persons and accounts. Used in moral, psychological, legal, and journalistic assessments of character and reliability. "The truthfulness of the account was not in dispute." | [CORE] |
| *truth* | *untruth* | N/A | *un-* + *truth* | a false statement; a lie (often euphemistic); the condition of being false | Documented in P1b Root 2, item 2. Refers to a statement that is not true, often with a softer connotation than *lie*, suggesting that the falsity may be partial or that the speaker is being diplomatic. Used as a softer alternative to *lie* in formal and political contexts. Documented in P1b (1.5). | [CORE] |
| *truth* | *untruthful* | N/A | *un-* + *truth* + *-ful* | not truthful; given to telling falsehoods; dishonest; false | Documented in P1b Root 2, item 3. Applied to persons and statements to indicate a failure or refusal to tell the truth. Softer in connotation than *lying* but stronger than *inaccurate*. "The report was found to be untruthful in several key respects." | [CORE] |
| *truth* | *untruthfully* | N/A | *un-* + *truth* + *-ful* + *-ly* | in an untruthful manner; dishonestly | Adverbial form of *untruthful*, used to characterize statements or actions as dishonest. Less common than *falsely* or *dishonestly* but attested in formal and journalistic usage. "He testified untruthfully about his whereabouts." | [CORE] |
| *truth* | *untruthfulness* | N/A | *un-* + *truth* + *-ful* + *-ness* | the quality of being untruthful; habitual dishonesty in speech | Documented in P1b Root 2, item 4. Refers to the disposition or practice of not telling the truth. Used in moral, psychological, and formal evaluative registers. Less common than *untruthful*. "The untruthfulness of the testimony was established by cross-examination." | [MARGINAL] |
| *truth* | *truthiness* | N/A | *truth* + *-i-* (linking vowel) + *-ness* | the quality of seeming or feeling true without necessarily being true; truth asserted by intuition or conviction rather than evidence | Coined and popularized by Stephen Colbert (2005); subsequently adopted in journalistic and academic discourse on post-truth phenomena. Distinct from *truthfulness* in that it describes a subjective sense of truth rather than actual correspondence to fact. | [CORE] (within contemporary media and political discourse) |
| *accurate* | *accurately* | N/A | *accurate* + *-ly* | in an accurate manner; precisely; correctly; without error | Adverbial form, used to indicate that something is done or stated with close correspondence to fact or reality. Used in general and technical registers. "The instrument measures temperature accurately to within 0.1 degrees." (*accurately described*, *accurately measured*) | [CORE] |
| *accurate* | *accuracy* | N/A | *accurate* + *-cy* (abstract noun suffix, via *-cy* from Latin *-tia*) | the quality of being accurate; precision; correctness; closeness of a measurement or description to the true value | Refers to the degree of correspondence between a measurement, description, or representation and the actual state of affairs. Used in scientific, technical, journalistic, and everyday contexts. "The accuracy of the report was questioned." | [CORE] |
| *accurate* | *inaccurate* | N/A | *in-* (negation) + *accurate* | not accurate; incorrect; imprecise; containing errors | Applied to measurements, descriptions, and representations to indicate that they do not closely correspond to fact or reality. Used in general and technical registers. "The map was found to be inaccurate in several respects." | [CORE] |
| *accurate* | *inaccurately* | N/A | *in-* + *accurate* + *-ly* | in an inaccurate manner; incorrectly; imprecisely; with errors | Adverbial form of *inaccurate*, used to characterize statements or representations as failing to correspond to fact. Used in general registers. (*inaccurately reported*, *inaccurately described*, *the figures were inaccurately reported*) | [CORE] |
| *accurate* | *inaccuracy* | N/A | *in-* + *accurate* + *-cy* | the quality of being inaccurate; a specific error or imprecision | Used both as an abstract noun referring to the property of being inaccurate and as a count noun referring to a specific error or imprecision in a text, measurement, or account. Used in general and technical registers, often in the plural. "The report contained several factual inaccuracies." | [CORE] |
| *genuine* | *genuinely* | N/A | *genuine* + *-ly* | in a genuine manner; sincerely; really | Adverbial form, used to affirm that something is real, sincere, or authentic. Used as an adverb of manner and as an intensifier. Common across all registers, including as an intensifier. (*genuinely surprised*, *genuinely concerned*) | [CORE] |
| *genuine* | *genuineness* | N/A | *genuine* + *-ness* | the quality of being genuine; authenticity; sincerity | Refers to the property of being real, authentic, or sincerely felt. Used in evaluative contexts. Less common than *authenticity* or *sincerity* in formal contexts but fully attested. "The genuineness of the document was disputed." / "The genuineness of her emotion." | [CORE] |
| *genuine* | *ingenuine* | N/A | *in-* + *genuine* | not genuine; insincere | Attested but rare; *ingenuine* appears in some philosophical and literary texts but is not the standard negation. *Not genuine* or *disingenuous* are preferred in most contexts. Included as attested but low-frequency. | [UNCERTAIN] |
| *genuine* | *disingenuine* | N/A | *dis-* (negation/reversal) + *in-* + *genuine* | not genuine; insincere | Occasionally attested as a back-formation or blend from *disingenuous*, but not a standard or widely accepted derivation. Included here with caution; *disingenuous* (see below) is the standard form. | [UNCERTAIN] |
