# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1.1 | Habari hiyo imekuwa kweli | habari hiyo imekuwa kweli | [CORE] | Common when information previously uncertain is confirmed. The periphrastic construction with kuwa (become) + kweli is the standard expression. |
| 1.2 | Maneno yake yamekuwa ukweli | maneno yake yamekuwa ukweli | [CORE] | Used when predictions or claims are validated by events. Ukweli (abstract noun) emphasizes the state of being true. |
| 1.3 | Jambo hili limethibitika | jambo hili limethibitika | [CORE] | Stative verb form (thibitika < thibitisha) indicating that something has achieved confirmed status. Common in formal/administrative contexts. |
| 2.1 | Habari hiyo imekuwa uongo | habari hiyo imekuwa uongo | [CORE] | Used when information thought to be true is revealed as false. Parallel construction to "kuwa kweli." |
| 2.2 | Amepotoka | amepotoka | [CORE] | Indicates deviation from truth or correctness. Can refer to both factual error and moral transgression. Does not specifically mean "become false" but implies departure from truth. |
| 2.3 | Taarifa zake zimekuwa si sahihi | taarifa zake zimekuwa si sahihi | [CORE] | Uses negative copular construction (si sahihi) rather than positive falsehood term. Common strategy for expressing loss of correctness. |
| 3.1 | Mapenzi yao yamekuwa halisi | mapenzi yao yamekuwa halisi | [MARGINAL] | Describes development of authenticity in relationships or emotions. Less common than static attribution "ni halisi." |
| 3.2 | Bidhaa hii imekuwa halisi baada ya ukaguzi | bidhaa hii imekuwa halisi baada ya ukaguzi | [UNCERTAIN] | Awkward construction; more natural to say "imegunduliwa kuwa halisi" (has been discovered to be genuine). The change is epistemic (our knowledge) rather than ontological (the object itself). |
| 5.1 | Kazi imekamilika | kazi imekamilika | [CORE] | Standard stative verb for completion. Very common in administrative and project contexts. The -ik- extension creates intransitive stative meaning. |
| 5.2 | Taarifa zimekuwa kamili | taarifa zimekuwa kamili | [CORE] | Periphrastic alternative to kamilika. Emphasizes current state of completeness. |
| 5.3 | Ukweli umekamilika | ukweli umekamilika | [MARGINAL] | Used when additional information completes the picture of truth. Less common than kamilika with concrete objects. |
| 6.1 | Sasa nina hakika | sasa nina hakika | [CORE] | Possessive construction (nina = I have) with hakika. Describes acquisition of certainty. Very common for expressing epistemic change. |
| 6.2 | Baada ya uchunguzi, tumekuwa na hakika | baada ya uchunguzi tumekuwa na hakika | [CORE] | Periphrastic construction with kuwa na (become with/have). Standard expression for epistemic transition to certainty. |
| 6.3 | Jambo limehakikika | jambo limehakikika | [MARGINAL] | Stative verb form (hakikika < hakikisha). Less common than possessive construction but attested in formal contexts. |
| 7.1 | Sasa sina hakika | sasa sina hakika | [CORE] | Negative possessive (sina = I don't have). Describes loss or absence of certainty. Very common. |
| 7.2 | Tumepoteza hakika yetu | tumepoteza hakika yetu | [CORE] | Uses verb poteza (lose) with hakika as object. Emphasizes active loss of previously held certainty. |
| 7.3 | Baada ya habari hizo, amekuwa bila hakika | baada ya habari hizo amekuwa bila hakika | [CORE] | Periphrastic construction with kuwa bila (become without). Describes transition to uncertainty. |
| 8.1 | Ukweli umedhihirika | ukweli umedhihirika | [CORE] | Stative verb form (dhihirika < dhihirisha). Common for truth revelation or emergence of clarity. Very natural construction. |
| 8.2 | Sasa imekuwa dhahiri kwamba alikosea | sasa imekuwa dhahiri kwamba alikosea | [CORE] | Periphrastic construction with complementizer kwamba. Standard for introducing evident conclusions. |
| 8.3 | Jambo hili limedhihirika wazi | jambo hili limedhihirika wazi | [CORE] | Stative verb with adverbial wazi (clearly) for emphasis. Common in formal discourse. |
| 9.1 | Ukweli umekuwa si dhahiri | ukweli umekuwa si dhahiri | [CORE] | Negative copular construction. Describes loss of clarity or evidence. |
| 9.2 | Ukweli umepotea | ukweli umepotea | [CORE] | Uses verb potea (disappear/be lost) metaphorically. Common for describing obscuration or concealment of truth. |
| 9.3 | Mambo yamekuwa si wazi | mambo yamekuwa si wazi | [CORE] | Uses wazi (clear/open) in negative construction. Common alternative to dhahiri. |
| 10.1 | Ushahidi umethibitisha ukweli | ushahidi umethibitisha ukweli | [CORE] | Causative verb thibitisha (< thabit- root + -ish-). Standard expression for verification and confirmation. Very common. |
| 10.2 | Uchunguzi umethibitisha habari hizo | uchunguzi umethibitisha habari hizo | [CORE] | Same causative pattern with different subject. Common in investigative and journalistic contexts. |
| 10.3 | Matukio yamefanya maneno yake kuwa kweli | matukio yamefanya maneno yake kuwa kweli | [MARGINAL] | Periphrastic causative with fanya (make/do) + kuwa kweli. Less common than thibitisha but attested. |
| 11.1 | Amempotosha | amempotosha | [CORE] | Causative verb potosha (< -potoka + -sh-). Indicates causing someone to deviate from truth or correctness. Common in moral discourse. |
| 11.2 | Propaganda imewapotoa watu | propaganda imewapotoa watu | [CORE] | Alternative causative form potoa (< -potoka + -a). Similar meaning to potosha. Common in political discourse. |
| 11.3 | Amedanganya na kufanya habari kuwa uongo | amedanganya na kufanya habari kuwa uongo | [UNCERTAIN] | Periphrastic construction with fanya kuwa uongo. Very rare; more natural to use specific verbs like -danganya (deceive) or -potoa/potosha (mislead). |
| 12.1 | Mwalimu amesahihisha makosa | mwalimu amesahihisha makosa | [CORE] | Standard causative verb sahihisha (< sahihi + -ish-). Very common in educational and editorial contexts. |
| 12.2 | Lazima usahihishe maandishi yako | lazima usahihishe maandishi yako | [CORE] | Imperative/subjunctive form. Common in instructional contexts. |
| 12.3 | Taarifa zimesahihishwa | taarifa zimesahihishwa | [CORE] | Passive form (sahihishwa). Common in administrative and formal contexts. |
| 13.1 | Amekamilisha kazi yake | amekamilisha kazi yake | [CORE] | Standard causative verb kamilisha (< kamili + -ish-). Extremely common across all registers. |
| 13.2 | Tafadhali kamilisha fomu hii | tafadhali kamilisha fomu hii | [CORE] | Imperative form. Very common in administrative contexts. |
| 13.3 | Mradi umekamilishwa | mradi umekamilishwa | [CORE] | Passive form (kamilishwa). Standard in project management and administrative discourse. |
