# CLCA Protocol v3.2 — F3 SEMANTIC GROUPS TABLE
# Language: English (en)

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|-------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: CORRESPONDENCE TO FACTS | Terms used to evaluate whether statements, beliefs, or representations correspond to actual facts or reality. These expressions are primarily applied to propositions, claims, and assertions, marking whether they accurately describe the world. Commonly used in contexts of verification, fact-checking, and epistemic evaluation. | **Core:** true, false, correct, incorrect, right, wrong, accurate, inaccurate, erroneous<br>**Constructions:** the truth of the matter, get it right/wrong, prove false, hold true | **true/truth** spans GROUP 1, 10, 3; **false/falsity** spans GROUP 1, 2, 11; **correct/incorrect** spans GROUP 1, 10, 9; **right/wrong** spans GROUP 1, 10 | Focus on propositional content rather than objects or persons. Regularly contrasted in verification contexts. |
| GROUP 2: AUTHENTICITY OF OBJECTS AND CREDENTIALS | Terms used to distinguish genuine articles, documents, or credentials from counterfeits, imitations, or fraudulent versions. These expressions evaluate whether physical objects, artworks, documents, or credentials are what they purport to be, focusing on origin, authorship, and legitimacy rather than abstract truth. Common in commercial, legal, and art contexts. | **Core:** genuine, authentic, fake, counterfeit, bogus, spurious<br>**Constructions:** the genuine article, the real McCoy, the real deal, fake it till you make it, spot a fake, under false pretenses<br>**Derivations:** authenticate, authentication, counterfeit (verb), fakery | **false/falsity** overlaps from GROUP 1; **real/reality** overlaps from GROUP 3; **bogus** shows limited integration | Apply to tangible objects and documents rather than abstract propositions. |
| GROUP 3: ONTOLOGICAL REALITY VS. APPEARANCE | Terms that distinguish actual existence or substance from appearance, simulation, imagination, or virtuality. These expressions mark whether something exists in the physical/actual world versus being imaginary, simulated, or merely apparent. Frequently used to contrast lived experience with fiction, theory, or digital simulation. | **Core:** real, unreal, reality, unreality<br>**Constructions:** in real life, in the real world, for real, get real, reality check, virtual reality, augmented reality, escape from reality<br>**Derivations:** realize, realization, realism, realistic, unrealistic | **real/reality** overlaps with GROUP 2 (authenticity); **true/truth** overlaps from GROUP 1 | Focus on existence and actuality rather than truth of statements or authenticity of objects. Shows tension between ontological and authenticity senses. |
| GROUP 4: LOGICAL AND ARGUMENTATIVE SOUNDNESS | Terms used to evaluate the logical structure and inferential validity of arguments, reasoning, and claims. These expressions assess whether conclusions follow from premises, whether reasoning is well-founded, or whether arguments contain logical flaws. Primarily used in academic, philosophical, and analytical discourse. | **Core:** valid, invalid, sound, unsound, fallacious, fallacy<br>**Constructions:** spurious correlation, truth value, truth condition<br>**Derivations:** validity, validate, validation, invalidate, soundness, fallibility, infallible | **valid/validity** overlaps with GROUP 8 (legitimacy) and GROUP 11 (technical); **sound** overlaps with GROUP 5 (reliability) | Evaluate logical structure rather than factual content, though distinction often blurs in practice. |
| GROUP 5: RELIABILITY AND DEPENDABILITY | Terms used to evaluate whether sources, persons, instruments, or systems can be consistently depended upon to function properly or provide accurate information. These expressions assess trustworthiness based on track record and consistency rather than single instances. Common in contexts of testimony, mechanical function, and institutional assessment. | **Core:** reliable, unreliable, trustworthy, untrustworthy<br>**Constructions:** safe and sound, tried and reliable<br>**Derivations:** reliability, reliably, trustworthiness, trust, distrust | **sound** overlaps from GROUP 4 | Emphasize consistency and track record rather than single-instance accuracy. |
| GROUP 6: MORAL HONESTY AND TRUTHFULNESS | Terms used to evaluate whether persons habitually tell the truth, act without deception, or represent themselves sincerely. These expressions assess character and moral disposition toward truthfulness rather than accuracy of specific statements. Common in character evaluation and interpersonal trust contexts. | **Core:** honest, dishonest, truthful, untruthful, faithful<br>**Constructions:** to be honest, honest to God, honest broker, honest mistake, bear false witness, faithful to the original<br>**Derivations:** honesty, honestly, dishonesty, truthfulness, faithfulness, unfaithful | **faithful** overlaps with GROUP 9 (precision) | Evaluate character and habitual behavior rather than single statements or objects. Shows range from moral loyalty to representational accuracy. |
| GROUP 7: APPROPRIATENESS AND FITTINGNESS | Terms used to evaluate whether something is suitable, proper, or well-matched to its context, purpose, or circumstances. These expressions assess contextual fit and propriety rather than factual accuracy or authenticity. Common in evaluations of descriptions, responses, behavior, and social conduct. | **Core:** apt, fitting, proper<br>**Constructions:** apt to (do something), it is fitting that, prim and proper<br>**Derivations:** aptly, aptness, aptitude, fittingly, inept, ineptitude | None noted | Evaluate suitability and contextual appropriateness rather than truth or authenticity. |
| GROUP 8: LEGITIMACY AND AUTHORIZATION | Terms used to evaluate whether claims, authority, status, or actions conform to law, rules, or accepted standards of legitimacy. These expressions assess legal or institutional validity and proper authorization rather than factual accuracy. Common in legal, political, and institutional contexts. | **Core:** legitimate, valid (legal sense), bona fide<br>**Constructions:** legitimate concern/question, no longer valid, bona fide offer<br>**Derivations:** validity (legal sense), validate (legal sense), invalidate | **valid/validity** overlaps from GROUP 4 | Focus on legal/institutional status rather than factual truth or logical soundness. |
| GROUP 9: PRECISION AND EXACTNESS | Terms used to evaluate the degree of precision, exactness, or detailed correctness in measurements, representations, or descriptions. These expressions emphasize fine-grained accuracy and attention to detail rather than general correspondence to facts. Common in technical, scientific, and careful descriptive contexts. | **Core:** accurate, inaccurate<br>**Constructions:** accurate to within (X), strictly accurate, right on the money<br>**Derivations:** accuracy, accurately, inaccuracy | **correct/incorrect** overlaps from GROUP 1; **faithful** overlaps from GROUP 6 | Emphasize degree of precision rather than simple truth/falsity. |
| GROUP 10: RIGHTNESS IN MORAL AND PRACTICAL DOMAINS | Terms used to evaluate moral propriety of actions, practical correctness of procedures, or appropriate functioning of situations. These expressions span moral judgment, practical know-how, and situational assessment, often blurring boundaries between ethical and pragmatic evaluation. Extremely common in everyday discourse across multiple domains. | **Core:** right, wrong, correct (procedural sense)<br>**Constructions:** do right by (someone), in the wrong, serve someone right, go wrong, can't go wrong (with X), two wrongs don't make a right, set things right, make it right<br>**Derivations:** rightness, rightful, righteous, righteousness, wrongdoing, wrongful | **right/wrong** overlaps with GROUP 1; **correct** overlaps from GROUP 1; **true/truth** overlaps from GROUP 1 | Operate across moral, practical, and functional domains with fluid boundaries. Show extensive polysemy. |
| GROUP 11: TECHNICAL VERIFICATION AND TESTING | Terms used in technical, scientific, and diagnostic contexts to mark results of testing, verification, or validation procedures. These expressions often appear in specialized collocations related to testing methodology, statistical analysis, and quality control. Common in scientific, medical, and technical discourse. | **Core:** valid (testing sense), invalid (testing sense)<br>**Constructions:** false positive, false negative, false alarm, spurious correlation<br>**Derivations:** validate (technical sense), validation (technical sense), falsifiable, falsification (scientific sense) | **valid/invalid** overlaps from GROUP 4; **false/falsity** overlaps from GROUP 1 | Operate in specialized technical contexts with specific methodological meanings. |
| (Ungrouped Items) | Items that do not fit cleanly into identified groups or show insufficient distinctive patterning. | truism, truthiness, post-truth, half-truth, realpolitik, reality TV, veridical (marginal/technical), veritable (emphatic modifier), so-called (metalinguistic) | None applicable | These items either operate at metalevel (commenting on truth rather than evaluating it), denote types of statements rather than evaluate them, or function as specialized borrowings/neologisms with limited integration into the core semantic system. |
