| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | cheqakay | cheqakay | [MARGINAL] | Contextually restricted to object position of epistemic verbs in some attested data; base form implied but accusative nominalization cheqakayta is the primary attested surface form |
| 2 | allinkay | allinkay | [CORE] | Common in everyday speech including health and recovery contexts; no inchoative form documented for llulla |
| 3 | allinyay | allin-ya-y | [CORE] | Most straightforwardly attested inchoative form in the truth-evaluation domain; -ya inchoative attested on allin but not on llulla, sut'i, or cheqa |
| 4 | sumaqkay | sumaqkay | [CORE] | Part of the same productive -ka- pattern as cheqakay and allinkay |
| 5 | sut'ikay | sut'ikay | [CORE] | Intransitive counterpart to transitive sut'inchay / sut'ichay |
| 6 | pantay | pantay | [CORE] | Standard verb for being in error or making a mistake; no separate inchoative derivation documented |
| 7 | iñikuy | iñi-ku-y | [CORE] | Encodes transition into a state of belief; reflexive -ku marks belief as self-directed and internally motivated |
| 8 | riqsikuy | riqsikuy | [CORE] | Encodes transition into a state of being known or recognized; appears in social and legal contexts |
| 9 | (no inchoative form for llulla) | — | — | No BECOME form attested for llulla; gap explicitly noted in P4a |
| 10 | Cheqaq tukun | cheqaq tuku-n | [UNCERTAIN] | Structurally regular; limited specific attestation for truth-domain items |
| 11 | Cheqa tukun | cheqa tuku-n | [UNCERTAIN] | Parallel to Cheqaq tukun; same structural pattern and same caveat |
| 12 | Cheqa tukuy | cheqa tukuy | [CORE] | Two attested senses: actualization of something into reality, and pretense of being genuine; data do not support assigning to one group over the other |
| 13 | Llulla tukuy | llulla tukuy | [CORE] | Describes act of pretending or feigning; also appears in narrative contexts describing theatrical or ritual performance where pretending is not morally condemned |
| 14 | Llulla tukun | llulla tuku-n | [UNCERTAIN] | Structurally available but not confirmed for this root; absence of specifically attested example preserved |
| 15 | Chiqan tukun | chiqan tuku-n | [UNCERTAIN] | Carried forward from P4a with [UNCERTAIN] status |
| 16 | Chiqanchasqa tukun | chiqanchasqa tuku-n | [UNCERTAIN] | Structurally available but not specifically attested in prior steps |
| 17 | Pantasqa tukun | pantasqa tuku-n | [UNCERTAIN] | Structurally available but not specifically attested; pantay itself already encodes the event of becoming wrong, making tukuy construction potentially redundant |
| 18 | cheqanchay | cheqanchay | [CORE] | Primary causative expression for truth domain using -ncha- verbalizer; transitive counterpart to intransitive cheqakay |
| 19 | cheqachiy | cheqa-chi-y | [CORE] | Primary causative of cheqa; used in legal, administrative, and everyday contexts |
| 20 | cheqaqchay | cheqaqchay | [UNCERTAIN] | Base form cheqaqchay is [CORE] in P2a; specific dynamic construction Cheqaqchaykim kay qelqata carries [UNCERTAIN] status from P2b |
| 21 | cheqakaychiy | cheqa-ka-y-chi-y | [CORE] | Used in contexts where a plan, promise, or intention is brought into reality; primary function in attested contexts is actualization rather than truth-evaluation per se |
| 22 | allinchay | allinchay | [CORE] | Parallel in structure to cheqanchay; instances of same -ncha- causative pattern |
| 23 | sut'inchay | sut'inchay | [CORE] | Transitive counterpart to intransitive sut'ikay; clearest causative/inchoative pair in the dataset for a single root |
| 24 | sut'ichay | sut'i-cha-y | [CORE] | Base form attested as [CORE] in P2a; specific dynamic construction Sut'ichaway imachus cheqa kasqanta carries [UNCERTAIN] status from P2b |
| 25 | sumaqchay | sumaqchay | [CORE] | Part of same -ncha- causative paradigm as cheqanchay, allinchay, sut'inchay |
| 26 | pantachiy | pantachiy | [CORE] | Uses -chi- causative on verbal root; encodes causation of error in another person |
| 27 | llullachiy | llulla-chi-y | [CORE] | Only causative form attested for llulla as a root; uses -chi- directly rather than -ncha- pathway |
| 28 | allinchachiy | allinchachiy | [CORE] | Only double-causative form documented in the CONTEXT for this domain |
| 29 | yachachiy | yacha-chi-y | [CORE] | Standard verb for teaching and instruction; causes change of epistemic state from not knowing to knowing |
| 30 | riqsichiy | riqsi-chi-y | [CORE] | Encodes causation in which an agent causes another person to come to know or recognize a person or thing |
