| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | ეს მართალია. | *es martalia* | “This is true / right.” | Common everyday predicative pattern for evaluating statements, facts, answers, and judgments. Choice of adjective varies by domain: **მართალი** is broad, while **სწორი**, **ნამდვილი**, **ზუსტი**, etc. are more context-specific. Alternate constructions attested: **ეს სწორი არ არის.** | [CORE] |
| NEGATIVE ATTRIBUTION | ეს სიმართლეს არ შეესაბამება. | *es simartles ar sheesabameba* | “This does not correspond to the truth.” | Used especially in formal, argumentative, journalistic, or official contexts when rejecting factual accuracy. Negative evaluation may be expressed either with **არ** plus predicate or with a directly negative adjective such as **ყალბი**. Alternate constructions attested: **ეს დოკუმენტი ყალბია.** | [CORE] |
| ADNOMINAL MODIFICATION | სწორი პასუხი | *sts’ori pasuxi* | “correct answer” | Very natural for modifying nouns such as answers, documents, and other evaluated entities. The specific adjective depends on whether the meaning is correctness, authenticity, accuracy, or genuineness. Alternate constructions attested: **ნამდვილი დოკუმენტი** | [CORE] |
| BECOME / INCHOATIVE | (no common expression identified) |  |  | The examples are natural, but they do not show a simple dedicated “become true/correct” pattern; instead they use eventive verbs meaning ‘become clear’ or ‘be established’. Usage appears tied to truth-discovery or clarification contexts rather than general inchoative predication. Alternate constructions attested: **სიმართლე დადგინდა.** | [MARGINAL] |
| BECOME / INCHOATIVE | სიმართლე გაირკვა. | *simartle gairkva* | “The truth came out / became clear.” | The examples are natural, but they do not show a simple dedicated “become true/correct” pattern; instead they use eventive verbs meaning ‘become clear’ or ‘be established’. Usage appears tied to truth-discovery or clarification contexts rather than general inchoative predication. Alternate constructions attested: **სიმართლე დადგინდა.** | [MARGINAL] |
| CAUSATIVE (OR ABSENCE) | სიმართლის დადგენა | *simartlis dadgena* | “establishing the truth” | Natural in legal, investigative, and formal discourse, but it is not a dedicated general causative equivalent of “make true.” Georgian instead uses lexical items for establishing, justifying, or vindicating. Alternate constructions attested: **გაამართლა მოლოდინი.** | [MARGINAL] |
| ABSTRACT NOMINALIZATION | მართალი → სიმართლე | *martali → simartle* | “right/true” → “truth” | Abstract nouns in this semantic domain are central and widely used across everyday and formal registers. More than one nominal pattern is attested, including inherited forms and suffixal formations. Alternate constructions attested: **ნამდვილი → ნამდვილობა** | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | NO COMMON EXPRESSION EXISTS |  |  | No clear dedicated agentive noun is established in the supplied material; the attested forms are descriptive rather than lexicalized agent nouns. Usage therefore seems periphrastic, relying on noun phrases or verbal expressions. Alternate constructions attested: **სიმართლის თქმა** | [UNCERTAIN] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | მართალი კაცი | *martali k’atsi* | “an honest / righteous person” | No clear dedicated agentive noun is established in the supplied material; the attested forms are descriptive rather than lexicalized agent nouns. Usage therefore seems periphrastic, relying on noun phrases or verbal expressions. Alternate constructions attested: **სიმართლის თქმა** | [UNCERTAIN] |
| TRUTH-TELLING LIGHT-VERB CONSTRUCTION | სიმართლის თქმა | *simartlis tkma* | “telling the truth” | A common and neutral way to express truth-telling, usable in ordinary speech and writing. The variant with **ჭეშმარიტება** is more elevated or formal in tone. Alternate constructions attested: **ჭეშმარიტების თქმა** | [CORE] |
| FRANKNESS / DISCOURSE-MARKER CONSTRUCTION | სიმართლე გითხრათ. | *simartle gitxrat* | “To tell you the truth.” | Fixed discourse-marking expression used to introduce candor, admission, or personal stance in conversation and writing. Variation exists between noun-based and adjective-based formulas with similar pragmatic function. Alternate constructions attested: **მართალი რომ ვთქვა.** | [CORE] |
| CORRESPONDENCE-TO-TRUTH CONSTRUCTION | ეს სიმართლეს შეესაბამება. | *es simartles sheesabameba* | “This corresponds to the truth.” | A formal evaluative construction suited to factual assessment, argumentation, journalism, and official discourse. It appears more formal and explicit than simple adjective predication. Alternate constructions attested: **ეს სიმართლეს არ შეესაბამება.** | [CORE] |
| VERIFICATION / ESTABLISHMENT CONSTRUCTION | ნამდვილობის დადგენა | *namdvilobis dadgena* | “establishing authenticity” | Common in procedural, legal, administrative, investigative, and technical contexts where truth-related properties are checked or established. These nominal constructions are especially natural in institutional registers. Alternate constructions attested: **სიზუსტის შემოწმება** | [CORE] |
