| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| 真 | 假 | zhēn / jiǎ | true, real, genuine / false, fake, counterfeit | This is the most basic lexical opposition in the dataset, used for judging whether something is genuine or not, true or false. The contrast is explicitly noted in forms like 真/假 and underlies many later compounds. | lexical | [CORE] |
| 真实 | 虚假 | zhēnshí / xūjiǎ | real, true, authentic / false, fraudulent, bogus | 真实 evaluates correspondence to actual facts or conditions, while 虚假 marks falsehood or deception, especially in formal and regulatory language. The pair contrasts factual reality with falsity/deceptiveness. | lexical | [CORE] |
| 正确 | 错误 | zhèngquè / cuòwù | correct, right / wrong, erroneous, mistaken | This opposition concerns correctness versus error in answers, judgments, methods, or actions. It is a standard evaluative contrast in education, practical reasoning, and formal discourse. | lexical | [CORE] |
| 属实 | 失实 | shǔshí / shīshí | be true; be verified as true / be inaccurate; not accord with the facts | 属实 indicates that a claim or report has been confirmed as factual, whereas 失实 indicates that a report or description does not match the facts. This is a strongly supported formal verification contrast. | lexical | [CORE] |
| 属实 | 不实 | shǔshí / bùshí | be true; be verified as true / untrue; not factual | 属实 is used for confirmed factuality, while 不实 is used in rebuttals and formal denials for content lacking factual basis. The contrast is especially clear in official and media language. | lexical | [CORE] |
| 可信 | 不可信 | kěxìn / bù kěxìn | credible, believable / not credible, not believable | The dataset explicitly shows negated forms such as 这一说法不太可信, contrasting believability with lack of believability. This is a productive negation-based opposition rather than a separate lexical antonym pair. | morphological | [CORE] |
| 可靠 | 不可靠 | kěkào / bù kěkào | reliable, dependable / unreliable | 可靠 evaluates whether information, evidence, methods, or persons can be depended on, and the negative pattern is explicitly supported by constructions like 消息可靠吗？ and the general negation schema X + 不 + Adj. The opposition is morphologically formed with 不. | morphological | [CORE] |
| 正确 | 不正确 | zhèngquè / bù zhèngquè | correct / not correct | The constructional notes explicitly support the pattern X + 不 + Adj for truth-domain adjectives, which includes 正确. This gives a productive negation contrast between correctness and non-correctness. | morphological | [CORE] |
| 准确 | 不准确 | zhǔnquè / bù zhǔnquè | accurate / inaccurate | The general negation pattern X + 不 + Adj is explicitly given for this semantic domain, and 准确 is one of the listed adjectives in that pattern. This supports a morphological opposition between accuracy and lack of accuracy. | morphological | [CORE] |
| 真实 | 不真实 | zhēnshí / bù zhēnshí | real, true / not real, not true | The constructional schema explicitly includes X + 不 + Adj for adjectives such as 真实. This supports a productive opposition between correspondence to reality and its negation. | morphological | [CORE] |
