| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | **Totoo iyan.** | *Totoo iyan.* | “That is true.” | Common everyday predicate pattern for evaluating truth, correctness, certainty, or falsity without a copula. Widely used with forms such as *totoo, tama, wasto, tumpak, tiyak, sigurado, peke*; alternate attested construction: **[Predicate adjective/noun] + ang/si NP** as in **Tumpak ang sinabi mo.** | [CORE] |
| ATTRIBUTION | **Tumpak ang sinabi mo.** | *Tumpak ang sinabi mo.* | “What you said is accurate.” | Natural in both everyday and somewhat more formal evaluative statements, especially when the subject is an *ang*-phrase. Alternate attested construction: **[Predicate] + pronoun/clitic** as in **Totoo iyan.** | [CORE] |
| NEGATIVE ATTRIBUTION | **Hindi pa tiyak ang resulta.** | *Hindi pa tiyak ang resulta.* | “The result is not certain yet.” | Standard negated predication with *hindi* before the predicate; common in ordinary speech and formal reporting. Alternate attested construction: fixed unsupported-claim expression **walang saligan + ang NP** as in **Walang saligan ang paratang.** | [CORE] |
| NEGATIVE ATTRIBUTION | **Walang saligan ang paratang.** | *Walang saligan ang paratang.* | “The accusation is baseless.” | Common where the point is lack of grounds or evidential support, especially in formal, legal, journalistic, or argumentative contexts. More specific than simple negation; alternate attested construction: **Hindi + predicate + ang/si NP** as in **Hindi pa tiyak ang resulta.** | [CORE] |
| ADNOMINAL MODIFICATION | **totoong balita** | *totoong balita* | “true/real news” | This linker-based modifier-before-noun pattern is the regular attributive strategy for this semantic domain. Common across everyday and formal usage with forms like *totoong, wastong, tunay na, tumpak na, tiyak na, mapagkakatiwalaang, walang saligang*; alternate attested construction: **Modifier + linker (-ng / na) + noun** also seen in **pekeng dokumento**. | [CORE] |
| ADNOMINAL MODIFICATION | **pekeng dokumento** | *pekeng dokumento* | “fake document” | Natural and productive for labeling documents, reports, goods, and similar nouns as fake, genuine, correct, reliable, etc. Alternate attested construction: same linker pattern with other modifiers, e.g. **totoong balita**. | [CORE] |
| BECOME / INCHOATIVE | **Sana magkatotoo ang hiling mo.** | *Sana magkatotoo ang hiling mo.* | “I hope your wish comes true.” | A well-established expression used especially with wishes, hopes, predictions, fears, and similar propositions. The pattern appears specifically with the *totoo* root; alternate attested construction: past/resultative **nagkatotoo** as in **Nagkatotoo ang kanyang hinala.** | [CORE] |
| BECOME / INCHOATIVE | **Nagkatotoo ang kanyang hinala.** | *Nagkatotoo ang kanyang hinala.* | “His suspicion turned out to be true.” | Natural for reporting that a suspicion, prediction, or expectation proved true. Restricted in the provided material to the *totoo* family; alternate attested construction: nonpast/irrealis **magkatotoo** as in **Sana magkatotoo ang hiling mo.** | [CORE] |
| CAUSATIVE (OR ABSENCE) | **(no common expression identified)** | **(no common expression identified)** | **(no common expression identified)** | No common dedicated causative truth-construction is supported in the provided material. The note mentions *wastuhin* as a nearby corrective verb, but not as a general causative member of this construction set; no alternate attested construction identified here. | [UNCERTAIN] |
| CAUSATIVE (OR ABSENCE) | **(no common expression identified)** | **(no common expression identified)** | **(no common expression identified)** | The absence itself appears to be the relevant finding: no clearly attested productive pattern for ‘make true / make correct / make genuine’ was established. No alternate attested construction identified here. | [UNCERTAIN] |
| ABSTRACT NOMINALIZATION | **katotohanan** | *katotohanan* | “truth; reality” | A standard abstract noun used in both formal and everyday discourse for truth or reality. Alternate attested construction: lexical abstract noun **saligan** as in **saligan**. | [CORE] |
| ABSTRACT NOMINALIZATION | **saligan** | *saligan* | “basis; foundation; grounds” | Common in formal, analytical, legal, and argumentative contexts when discussing grounds or basis. Alternate attested construction: **katotohanan** for abstract truth/reality. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **(no common expression identified)** | **(no common expression identified)** | **(no common expression identified)** | No common agentive nominalization specifically meaning ‘truth-teller’ or ‘liar’ is supported in the provided material. The source instead points to property terms like *tapat, matapat, mapagkakatiwalaan* rather than an attested construction of this type; no alternate attested construction identified here. | [UNCERTAIN] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **(no common expression identified)** | **(no common expression identified)** | **(no common expression identified)** | The evidence here is negative: this construction type was not established from the source set. No alternate attested construction identified here. | [UNCERTAIN] |
| DISCOURSE-MARKING TRUTH FRAME | **Sa totoo lang, pagod na ako.** | *Sa totoo lang, pagod na ako.* | “To tell the truth, I’m already tired.” | Very natural as a clause-initial discourse frame in colloquial candid speech. Alternate attested construction: more formal corrective frame **Sa katotohanan, wala pang pinal na pasya.** | [CORE] |
| DISCOURSE-MARKING TRUTH FRAME | **Sa katotohanan, wala pang pinal na pasya.** | *Sa katotohanan, wala pang pinal na pasya.* | “In fact, there is no final decision yet.” | Natural in formal, written, or corrective discourse where the speaker is asserting a factual clarification. Alternate attested construction: colloquial **Sa totoo lang, pagod na ako.** | [CORE] |
| INTERROGATIVE EVALUATION | **Totoo ba iyan?** | *Totoo ba iyan?* | “Is that true?” | Highly productive yes/no question pattern for checking truth, correctness, or certainty. Alternate attested construction: same pattern with other predicates, e.g. **Sigurado ka ba?** | [CORE] |
| INTERROGATIVE EVALUATION | **Sigurado ka ba?** | *Sigurado ka ba?* | “Are you sure?” | Common in everyday interaction for querying certainty rather than factual truth narrowly. Alternate attested construction: same predicate-initial *ba* question pattern in **Totoo ba iyan?** | [CORE] |
| BASIS / SUPPORT CONSTRUCTION | **Salig sa ebidensiya ang ulat.** | *Salig sa ebidensiya ang ulat.* | “The report is based on evidence.” | Natural in formal, legal, journalistic, and analytical registers when stating what a claim or report rests on. Alternate attested constructions: **nakasalig sa + NP** and the support-status pair **may saligan / walang saligan**, exemplified by **May saligan ang kanyang reklamo.** | [CORE] |
| BASIS / SUPPORT CONSTRUCTION | **May saligan ang kanyang reklamo.** | *May saligan ang kanyang reklamo.* | “His complaint has basis / is well-founded.” | Common for evaluating whether a complaint, accusation, or claim is well-founded. Alternate attested constructions: **salig sa / nakasalig sa + NP** and contrastive **walang saligan**, as already attested elsewhere in the set. | [CORE] |
| VERIFICATION / AUTHENTICATION | **Beripikahin ang impormasyon bago ito ibahagi.** | *Beripikahin ang impormasyon bago ito ibahagi.* | “Verify the information before sharing it.” | Natural in media, bureaucratic, digital, and security contexts, especially for procedural checking of information. Alternate attested construction: adjectival/passive-like modifier **beripikadong + noun** as in **Beripikadong impormasyon lamang ang ilalathala.** | [CORE] |
| VERIFICATION / AUTHENTICATION | **Beripikadong impormasyon lamang ang ilalathala.** | *Beripikadong impormasyon lamang ang ilalathala.* | “Only verified information will be published.” | Common in institutional or media language where verified status is foregrounded as a noun modifier. Alternate attested construction: verbal **beripikahin + object** as in **Beripikahin ang impormasyon bago ito ibahagi.** | [CORE] |
| SERIOUSNESS SHIFT FROM ‘TRUE’ | **Huwag mong totohanin ang biro.** | *Huwag mong totohanin ang biro.* | “Don’t take the joke seriously.” | Colloquial and semantically shifted away from literal truth evaluation toward seriousness or earnestness. The note explicitly treats this as peripheral rather than core; alternate attested construction: **Totohanan na ito.** | [MARGINAL] |
| SERIOUSNESS SHIFT FROM ‘TRUE’ | **Totohanan na ito.** | *Totohanan na ito.* | “This is serious now / This is for real now.” | Used colloquially to mark that a situation is now serious or real in a practical sense, not simply factually true. Restricted compared with core truth-evaluating constructions; alternate attested construction: **Huwag mong totohanin ang biro.** | [MARGINAL] |
