| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| **egia** | **gezur** | — | “truth” vs “lie; falsehood” | These are the clearest noun-level opposites in the dataset for truth versus falsehood. The context repeatedly treats *egia* as truth and *gezur* as its false/deceptive counterpart. | lexical | [CORE] |
| **egiazko** | **gezurrezko** | — | “true; genuine; real” vs “false; fake; bogus” | These are parallel adjectival forms built from *egia* and *gezur*, and the context presents them as contrasting ways of classifying things as genuine versus false/fabricated. This is a strongly supported opposition in attributive use. | lexical | [CORE] |
| **egiazko** | **itxurazko** | — | “true; genuine; real” vs “apparent; seeming; ostensible” | The context explicitly notes that *itxurazko* is used where appearance is contrasted with underlying reality, which places it in opposition to genuinely real or authentic expressions like *egiazko*. The contrast is between actual genuineness and mere appearance. | lexical | [CORE] |
| **benetako** | **itxurazko** | — | “real; genuine; authentic” vs “apparent; seeming; ostensible” | *Benetako* is described as distinguishing what is real or genuine from what is false or merely apparent, while *itxurazko* marks something as only apparent. The opposition is therefore directly supported by the usage descriptions. | lexical | [CORE] |
| **zuzen** | **oker** | — | “correct; right” vs “wrong; incorrect; mistaken” | This is the ordinary correctness opposition in the dataset. The context explicitly describes *oker* as the ordinary opposite of correctness in many contexts where *zuzen* is used. | lexical | [CORE] |
| **zuzena** | **okerra** | — | “the correct one; correct” vs “the wrong one; wrong” | In the constructional material, definite evaluative predicate forms are contrasted directly, especially in answer-checking contexts. The examples *X zuzena da* and *Erantzuna okerra da* support this opposition clearly. | lexical | [CORE] |
| **egia da** | **ez da egia** | — | “it is true” vs “it is not true” | This is a direct copular affirmation versus negated attribution pattern. The context explicitly gives both affirmative and negative truth-assessment constructions. | constructional | [CORE] |
| **X da egia / Hori egia da** | **X ez da egia / Hori ez da egia** | — | “X is true / That is true” vs “X is not true / That is not true” | The constructional materials present positive attribution and negative attribution as a supported contrastive pair. The opposition is created by the addition of negation *ez* to the same copular frame. | constructional | [CORE] |
| **X zuzena da** | **X ez da zuzena** | — | “X is correct” vs “X is not correct” | The negative attribution pattern explicitly includes *zuzena* as a possible predicate under negation. This gives a clear constructional opposition between positive and negated correctness judgments. | constructional | [CORE] |
| **X benetakoa da** | **X ez da benetakoa** | — | “X is real/genuine” vs “X is not real/genuine” | The context explicitly provides the negative pattern *X ez da benetakoa* and describes *benetako* as marking reality or genuineness. This supports a direct affirmative/negative contrast at the constructional level. | constructional | [CORE] |
| **egia esan** | **gezurra esan** | — | “tell the truth” vs “tell a lie” | These are parallel noun + verb constructions with *esan* “say,” one for truth-telling and one for lying. The opposition is strongly supported by the light-verb construction data. | constructional | [CORE] |
| **egia hutsa** | **gezur hutsa** | — | “pure truth” vs “pure lie; complete falsehood” | These are matched emphatic degree constructions using the same intensifying element *hutsa*. The contrast is between total truth and total falsehood. | constructional | [CORE] |
| **egia borobila** | **gezur borobila** | — | “the plain/absolute truth” vs “outright lie; blatant lie” | These are parallel emphatic expressions with *borobila*, presented in the context as complete or emphatic truth versus complete or emphatic falsity. The structural parallel makes the opposition clear. | constructional | [CORE] |
| **egia erdi** | **gezur erdi** | — | “half-truth” vs “half-lie” | These are matched partiality constructions with *erdi* “half.” The context presents both as evaluative expressions for statements that are only partly aligned with truth or falsity. | constructional | [CORE] |
| **egia osoa** | **egia erdi** | — | “the whole truth” vs “half-truth” | This is an internal contrast within the truth domain between full disclosure and only partial, potentially misleading truth. Both expressions are explicitly listed and described in the context. | lexical | [CORE] |
| **antzeko** | **identiko** | — | “similar; resembling” vs “identical” | The context distinguishes *antzeko* as resemblance and *identiko* as stricter exact sameness. This is a supported contrast between weaker similarity and stronger identity. | lexical | [CORE] |
| **antzeko** | **berdin** | — | “similar; resembling” vs “same; equal” | The semantic grouping distinguishes resemblance from sameness/equivalence. While not absolute antonyms, they are clearly contrastive in the dataset as different comparison outcomes. | lexical | [CORE] |
| **fidagarri** | **sinesgarri** | — | “reliable; trustworthy” vs “credible; believable; plausible” | The context contrasts these semantically: *fidagarri* concerns dependability or trustworthiness, while *sinesgarri* concerns whether something seems believable. This is a supported contrast of evaluative focus rather than direct opposition. | lexical | [CORE] |
