# CLCA Protocol v3.1 — F6 Naturalness Table
# Language: Chinese (zh)

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|--------|
| 1.1 | 变真 | biàn zhēn | [MARGINAL] | Bare pattern grammatically possible but rarely attested in natural usage |
| 1.1 | 弄假成真 | nòng jiǎ chéng zhēn | [CORE] | Fixed expression, common in discussions of relationships or situations that evolve unexpectedly |
| 1.1 | 变得真实 | biàn de zhēnshí | [CORE] | More natural than bare 变真, used to describe something becoming more authentic or realistic |
| 1.1 | 成为事实 | chéngwéi shìshí | [CORE] | Common expression for something becoming factual or actual, especially predictions or plans |
| 1.1 | 变成现实 | biànchéng xiànshí | [CORE] | Very common expression for dreams, plans, or ideas becoming reality |
| 1.2 | 变对 | biàn duì | [MARGINAL] | Grammatically possible but rarely used |
| 1.2 | 改对 | gǎi duì | [MARGINAL] | Colloquial expression for correcting something, but less common than 改正 |
| 1.2 | 改正 | gǎizhèng | [CORE] | Standard expression for correcting errors or mistakes |
| 1.2 | 纠正 | jiūzhèng | [CORE] | Common expression for correcting errors or improper situations, emphasizing rectification |
| 1.3 | 变实 | biàn shí | [MARGINAL] | Rare as bare pattern |
| 1.3 | 落实 | luòshí | [CORE] | Very common expression for implementing plans or making something concrete |
| 1.3 | 坐实 | zuòshí | [CORE] | Legal and investigative term for confirming or establishing something as factual |
| 1.3 | 证实 | zhèngshí | [CORE] | Common expression for verifying or confirming claims or facts |
| 1.3 | 充实 | chōngshí | [CORE] | Can function as both verb (to enrich/fill out) and adjective (substantial/fulfilling) |
| 1.4 | 变正常 | biàn zhèngcháng | [CORE] | Common expression for returning to normal state, especially after abnormality |
| 1.4 | 恢复正常 | huīfù zhèngcháng | [CORE] | Very common expression for restoration to normal state |
| 1.5 | 变诚实 | biàn chéngshí | [MARGINAL] | Grammatically possible but rare |
| 1.5 | 变得诚实 | biàn de chéngshí | [CORE] | More natural than bare 变诚实, used to describe character development |
| 2.1 | 变假 | biàn jiǎ | [MARGINAL] | Rare as bare pattern |
| 2.1 | 弄假 | nòng jiǎ | [CORE] | Common expression for creating something false or fake, or for pretending |
| 2.1 | 变得虚假 | biàn de xūjiǎ | [CORE] | Used to describe something becoming false or phony, especially relationships or attitudes |
| 2.2 | 变错 | biàn cuò | [MARGINAL] | Rare |
| 2.2 | 弄错 | nòng cuò | [CORE] | Very common expression for making mistakes or getting something wrong |
| 2.2 | 搞错 | gǎo cuò | [CORE] | Colloquial variant of 弄错, equally common |
| 2.2 | 出错 | chū cuò | [CORE] | Common expression for errors occurring or appearing |
| 2.3 | 变得不正常 | biàn de bù zhèngcháng | [CORE] | Common expression for something becoming abnormal or irregular |
| 2.4 | 变虚 | biàn xū | [MARGINAL] | Rare as bare pattern |
| 2.4 | 变得虚弱 | biàn de xūruò | [CORE] | Common expression for becoming physically or metaphorically weak |
| 3.1 | 使...成为事实 | shǐ... chéngwéi shìshí | [CORE] | Formal causative construction for making something become factual or actual |
| 3.1 | 让...变成现实 | ràng... biànchéng xiànshí | [CORE] | Common causative construction, less formal than 使 |
| 3.1 | 实现 | shíxiàn | [CORE] | Very common verb meaning to realize or achieve something, making it actual |
| 3.2 | 使...正确 | shǐ... zhèngquè | [MARGINAL] | Grammatically possible but rare |
| 3.2 | 把...改正 | bǎ... gǎizhèng | [CORE] | Standard construction for correcting errors using disposal pattern |
| 3.2 | 把...纠正 | bǎ... jiūzhèng | [CORE] | Common construction for correcting errors or improper situations |
| 3.3 | 使...落实 | shǐ... luòshí | [CORE] | Formal construction for ensuring implementation of policies or plans |
| 3.3 | 把...落实 | bǎ... luòshí | [CORE] | Very common construction for implementing plans or policies |
| 3.3 | 证实 (transitive) | zhèngshí | [CORE] | Common verb for verifying or confirming something, making it established as fact |
| 3.4 | 把...弄假 | bǎ... nòng jiǎ | [CORE] | Common construction for falsifying or faking something |
| 3.4 | 伪造 | wěizào | [CORE] | Common verb for forging or counterfeiting documents, products, etc. |
| 3.5 | 把...弄错 | bǎ... nòng cuò | [CORE] | Very common construction for making mistakes or getting something wrong |
| 3.5 | 把...搞错 | bǎ... gǎo cuò | [CORE] | Colloquial construction for making mistakes |
| 3.6 | 揭露真相 | jiēlù zhēnxiàng | [CORE] | Common collocation in investigative and journalistic contexts |
| 3.6 | 查明真相 | chámíng zhēnxiàng | [CORE] | Legal and investigative collocation for determining facts through investigation |
