# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Factual Correspondence Terms | Terms used when evaluating whether statements, information, or representations correspond to actual states of affairs. These expressions appear in contexts of verification, fact-checking, and distinguishing accurate from inaccurate information. Commonly used in investigative, journalistic, legal, and everyday contexts where factual accuracy is at issue. | 사실 (sasil) — fact, reality; 진실 (jinsil) — truth; 사실이다 (sasirida) — it is a fact; 사실을 확인하다 (sasireul hwaginhada) — to verify the facts; 사실과 다르다 (sasilgwa dareuda) — to differ from the facts; 정확하다 (jeonghwakhada) — to be accurate; 정확한 정보 (jeonghwakhan jeongbo) — accurate information; 확실하다 (hwaksilhada) — to be certain; 확실한 증거 (hwaksilhan jeungeo) — certain evidence; 진상 (jinsang) — truth of the matter, real situation; 사실관계 (sasilgwangye) — factual relationship; 사실확인 (sasilhwagin) — fact-checking | 실제 (silje) — overlaps with this group but extends to broader reality/actuality contrasts; 진위 (jinwi) — specifically about determining truth vs. falsehood, bridges to Group 2 | Focuses on statement-to-world correspondence; distinguished from Group 7 by emphasis on factual accuracy rather than actual vs. nominal status |
| GROUP 2: Falsehood and Deception Terms | Terms used when describing false statements, deceptive representations, or deliberate misinformation. These expressions appear in contexts of lying, fraud, counterfeiting, and exposing deception. Distinguished from Group 1 by emphasis on intentional or actual falsity rather than mere inaccuracy. | 거짓 (geojit) — falsehood, fake; 거짓말 (geojinmal) — lie; 거짓말을 하다 (geojinmareul hada) — to tell a lie; 거짓말쟁이 (geojinmaljjaengi) — liar; 거짓증언 (geojitjeungeon) — false testimony; 거짓증거 (geojitjeungeo) — false evidence; 거짓정보 (geojitjeongbo) — false information; 거짓뉴스 (geojitnuseu) — fake news; 허위 (heowi) — falsehood (formal); 허위 사실 (heowi sasil) — false facts; 허위 진술 (heowi jinsul) — false statement; 속이다 (sogida) — to deceive; 속아 넘어가다 (soga neomeogada) — to be deceived; 거짓말이 들통나다 (geojinmari deultongada) — a lie is exposed | 틀리다 (teullida) — can indicate error without deception, overlaps with Group 3; 진위 (jinwi) — used in determining truth from falsehood, bridges to Group 1 | More lexically elaborated than its positive counterpart in Group 1, with extensive compounds for types of lies and deception |
| GROUP 3: Correctness and Error Terms | Terms used when evaluating whether answers, judgments, procedures, or actions are correct or incorrect according to standards, rules, or norms. These expressions commonly appear in educational, procedural, and evaluative contexts where rightness is determined by conformity to established criteria rather than factual correspondence alone. | 맞다 (matda) — to be correct, right; 틀리다 (teullida) — to be wrong, incorrect; 맞는 말 (manneun mal) — correct statement; 틀린 답 (teullin dap) — wrong answer; 맞고 틀리고 (matgo teulligo) — right and wrong; 올바르다 (olbareuda) — to be right, proper; 올바른 판단 (olbareun pandan) — correct judgment; 올바른 길 (olbareun gil) — right path; 그르다 (geureuda) — to be wrong (formal/literary); 맞는지 확인하다 (manneunji hwaginhada) — to check if correct; 틀림없이 (teullimeobsi) — without doubt, certainly | 정확하다 (jeonghwakhada) — overlaps with Group 1 (factual accuracy) and this group (procedural correctness); 타당하다 (tadanghada) — bridges to Group 4 (logical validity) | Focuses on conformity to standards rather than factual correspondence or moral truth |
| GROUP 4: Validity and Reasonableness Terms | Terms used when evaluating whether arguments, claims, reasons, or decisions are logically sound, well-grounded, or reasonable. These expressions appear in argumentative, analytical, and deliberative contexts where the quality of reasoning or justification is at issue, distinct from simple factual accuracy or procedural correctness. | 타당하다 (tadanghada) — to be valid, reasonable; 타당한 이유 (tadanghan iyu) — valid reason; 타당한 근거 (tadanghan geungeo) — valid grounds; 타당성 (tadangseong) — validity, reasonableness; 정당하다 (jeongdanghada) — to be legitimate, justified; 정당한 (jeongdanghan) — legitimate; 정당성 (jeongdangseong) — legitimacy, justification; 그럴듯하다 (geureoldeuthada) — to be plausible; 그럴듯한 이야기 (geureoldeutan iyagi) — plausible story; 그럴듯하게 들리다 (geureoldeuthage deullida) — to sound plausible | 올바르다 (olbareuda) — can indicate both procedural correctness (Group 3) and moral/logical rightness; 허황되다 (heohwangdoeda) — indicates lack of reasonable grounds, negative counterpart | Focuses on quality of reasoning or justification rather than factual accuracy |
| GROUP 5: Authenticity and Genuineness Terms | Terms used when distinguishing genuine items, feelings, or identities from imitations, counterfeits, or insincere expressions. These expressions appear in contexts of authentication, verification of genuineness, and evaluation of sincerity. Commonly used for physical objects (art, goods, documents) and emotional/intentional states. | 진짜 (jinjja) — real, genuine; 가짜 (gajja) — fake, counterfeit; 진짜인지 가짜인지 (jinjjainji gajjainji) — whether real or fake; 진품 (jinpum) — genuine article; 진본 (jinbon) — original, authentic copy; 위조 (wijo) — forgery, counterfeit; 위조 지폐 (wijo jipye) — counterfeit money; 가짜돈 (gajjadon) — fake money; 가짜명품 (gajjamyeongpum) — counterfeit luxury goods; 진짜배기 (jinjjabaegi) — the real deal; 가짜배기 (gajjabaegi) — total fake; 진정하다 (jinjeonghada) — to be genuine, sincere; 진정한 사랑 (jinjeongan sarang) — true love; 진심 (jinsim) — sincerity, true heart; 진심으로 (jinsimeuro) — sincerely | 진실 (jinsil) — can refer to both factual truth (Group 1) and genuine sincerity; 참 (cham) — native Korean term overlapping with both truth and genuineness | Native Korean terms (진짜/가짜, 참) cluster in this group; used for both physical objects and emotional/intentional states |
| GROUP 6: Honesty and Candor Terms | Terms used when characterizing communication or character as honest, frank, or straightforward versus dishonest or deceptive. These expressions focus on the moral quality of truthfulness in interpersonal communication and personal integrity. Distinguished from Group 1 by emphasis on character and communicative ethics rather than factual accuracy. | 정직하다 (jeongjikada) — to be honest, truthful; 정직하게 말하다 (jeongjikage malhada) — to speak honestly; 정직한 사람 (jeongjikhan saram) — honest person; 정직성 (jeongjikseong) — honesty, integrity; 솔직하다 (soljikada) — to be frank, candid; 솔직히 말하다 (soljikhi malhada) — to speak frankly; 솔직히 말해서 (soljikhi malhaeseo) — frankly speaking; 솔직한 의견 (soljikhan uigyeon) — frank opinion; 진솔하다 (jinsolhada) — to be frank, candid; 거짓없이 (geojiseobsi) — without lies, honestly; 진실되다 (jinsiltoeda) — to be truthful, sincere; 거짓되다 (geojitdoeda) — to be false, deceitful | 진정하다 (jinjeonghada) — overlaps with Group 5 (genuineness) and this group (sincerity); 속이다 (sogida) — deception overlaps with Group 2 but emphasizes interpersonal betrayal | Focuses on moral quality of truthfulness in communication and character rather than factual accuracy |
| GROUP 7: Reality vs. Appearance Terms | Terms used when contrasting actual reality or substance with theoretical claims, superficial appearances, or nominal status. These expressions appear in contexts emphasizing what is actually the case versus what is claimed, planned, or appears to be. Common in analytical discourse distinguishing practice from theory, substance from form. | 실제 (silje) — reality, actuality; 실제로는 (siljero-neun) — in reality, actually; 실제와 다르다 (siljewa dareuda) — to differ from reality; 실상 (silsang) — actual situation; 실정 (siljeong) — actual conditions; 실태 (siltae) — actual state; 실체 (silche) — substance, entity; 실질 (siljil) — substance, essence; 실질적 (siljiljeok) — substantial, actual; 본질 (bonjil) — essence, nature; 본질적인 (bonjiljeogin) — essential, fundamental; 사실상 (sasilsang) — in fact, de facto; 사실대로 (sasildaero) — according to facts, as it really is | 사실 (sasil) — bridges to Group 1 (factual correspondence); 진상 (jinsang) — actual circumstances, bridges to Group 1 | Differs from Group 1 by emphasis on actual vs. nominal status rather than statement-to-world correspondence |
| GROUP 8: Practical Effectiveness Terms | Terms used when evaluating whether actions, policies, or methods produce actual results or have real impact versus being merely theoretical or nominal. These expressions emphasize demonstrated ability, concrete outcomes, and practical utility. Common in performance evaluation, policy assessment, and competence measurement contexts. | 실력 (sillyeok) — actual ability, real skill; 실적 (siljeok) — actual results, performance record; 실효 (silhyo) — actual effect; 실효성 (silhyoseong) — effectiveness, practical efficacy; 실용 (silyong) — practical use; 실용적 (silyongjeok) — practical, utilitarian; 실천 (silcheon) — practice, implementation; 실행 (silhaeng) — execution, implementation; 실현 (silhyeon) — realization, actualization; 실시 (silsi) — implementation, enforcement; 실익 (silik) — actual benefit; 실험 (silheom) — experiment, test | 실질적 (siljiljeok) — overlaps with Group 7 (substance vs. form); 타당성 (tadangseong) — validity can relate to practical effectiveness | Has no clear negative counterpart; failure terms (실패, 실수) don't form a coherent semantic group |
| GROUP 9: Credibility and Trustworthiness Terms | Terms used when evaluating whether sources, testimony, or claims are worthy of belief or trust. These expressions focus on reliability and believability of information or persons. Common in contexts of source evaluation, witness assessment, and determining what can be relied upon. | 신빙성 (sinbingseong) — credibility, reliability; 신빙성이 있다 (sinbingseongi itda) — to have credibility; 신빙성을 의심하다 (sinbingseongeul uisimhada) — to doubt credibility; 믿다 (mitda) — to believe, trust; 믿을 수 없다 (mideul su eopda) — cannot believe, unbelievable; 믿을 만하다 (mideul manhada) — trustworthy, believable; 믿음직하다 (mideumjikhada) — to be trustworthy; 의심스럽다 (uisimseureopda) — to be doubtful, suspicious; 의심스러운 점 (uisimseureoun jeom) — doubtful point; 확실하다 (hwaksilhada) — to be certain; 확실히 알다 (hwaksilhi alda) — to know for certain | 진실성 (jinsilseong) — truthfulness as quality, bridges to Group 6; 정직성 (jeongjikseong) — honesty as character trait, bridges to Group 6 | Focuses on relational trust and source reliability rather than objective truth |
