# F5 Opposition Table — Greek (el)

| Term A | Term B | Transliteration A | Transliteration B | Translation A | Translation B | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-------------------|-------------------|---------------|---------------|---------------------|---------------|------------------|
| αλήθεια | ψέμα | alítheia | pséma | truth | lie | Core lexical opposition between truth as correspondence to facts and lie as deliberate false statement. This is the primary truth-falsity opposition in everyday Greek discourse. | lexical | [CORE] |
| αληθινός | πλαστός | alithinós | plastós | true, genuine, authentic | fake, false, counterfeit, forged | Lexical opposition focused on authenticity and genuineness of objects, documents, and artifacts. Contrasts genuine items with deliberately falsified ones. | lexical | [CORE] |
| σωστός | λάθος | sostós | láthos | correct, right | mistake, error, wrong | Core opposition between correctness and error, applicable to both factual accuracy and procedural correctness. Distinguishes intentional correctness from unintentional error. | lexical | [CORE] |
| δίκαιος | άδικος | díkaios | ádikos | just, fair, righteous | unjust, unfair, wrong | Morphological opposition in the justice domain, with άδικος formed by privative α- prefix. Contrasts moral rightness with moral wrongness in actions and judgments. | morphological | [CORE] |
| έγκυρος | άκυρος | énkyros | ákyros | valid, legitimate | invalid, void | Morphological opposition in legal/administrative domain, with άκυρος formed by privative α- prefix. Contrasts legal validity with lack of legal force. | morphological | [CORE] |
| αληθής | ψευδής | alithís | psevdís | true, truthful, veracious | false, lying, untrue | Formal lexical opposition between truth and falsity, more elevated in register than αλήθεια/ψέμα. Used in written and formal discourse for propositional truth-value. | lexical | [CORE] |
| γνήσιος | κίβδηλος | gnísios | kívdilos | genuine, authentic, legitimate | counterfeit, spurious, adulterated | Lexical opposition focused on authenticity, particularly of objects and documents. Κίβδηλος is less common in modern usage but understood in formal contexts. | lexical | [MARGINAL] |
| αυθεντικός | πλαστός | afthentikós | plastós | authentic, genuine, original | fake, false, counterfeit | Lexical opposition emphasizing originality versus fabrication, particularly common in discussions of art, documents, and cultural artifacts. | lexical | [CORE] |
| αληθινός | ψευδής | alithinós | psevdís | true, genuine, real | false, lying, untrue | Cross-root lexical opposition combining αληθ- root with ψευδ- root. Contrasts genuineness/reality with falsity across multiple domains (propositional, material, relational). | lexical | [CORE] |
| πραγματικός | ψευδής | pragmatikós | psevdís | real, actual, true | false, untrue | Lexical opposition between reality/actuality and falsity. Emphasizes correspondence to actual states of affairs versus misrepresentation. | lexical | [CORE] |
| αληθής | αναληθής | alithís | analithís | true, truthful | untrue, false, inaccurate | Morphological opposition with αναληθής formed by privative ἀν- prefix. More formal negation of truth than ψευδής, often used in written discourse. | morphological | [CORE] |
| βέβαιος | αμφίβολος | véveos | amfívolos | certain, sure, reliable | doubtful, dubious, ambiguous, questionable | Lexical opposition between certainty/reliability and doubt/ambiguity. Contrasts epistemic confidence with epistemic uncertainty. | lexical | [CORE] |
| ακριβής | αμφίβολος | akrivís | amfívolos | accurate, precise, exact | doubtful, ambiguous, questionable | Lexical opposition between precision/exactness and uncertainty/ambiguity. Contrasts high degree of correspondence with unclear or contested truth. | lexical | [CORE] |
| ειλικρινής | απατηλός | ilikrinís | apatilós | sincere, genuine, honest | deceptive, misleading, deceitful | Lexical opposition between sincerity/honesty and deception/misleading. Focuses on speaker intention and good faith versus deliberate or unintentional misleading. | lexical | [CORE] |
| αξιόπιστος | (implied: αναξιόπιστος) | axiópistos | — | reliable, trustworthy, credible | (unreliable, untrustworthy) | Morphological opposition (implied by system) between reliability/trustworthiness and unreliability. While αναξιόπιστος is not explicitly documented in P1, the morphological pattern is productive. | morphological | [UNCERTAIN] |
| λέω την αλήθεια | λέω ψέματα | léo tin alítheia | léo psémata | tell the truth | tell lies | Constructional opposition using the same light verb λέω with contrasting truth nouns. This is the primary construction for expressing truth-telling versus lying in Greek. | constructional | [CORE] |
| είναι σωστό | είναι λάθος | íne sostó | íne láthos | it's correct, it's right | it's wrong, it's a mistake | Constructional opposition using copula with contrasting correctness terms. Standard pattern for affirming or denying correctness in everyday and educational contexts. | constructional | [CORE] |
| έγκυρο έγγραφο | άκυρο έγγραφο | énkyro éngrafo | ákyro éngrafo | valid document | invalid document | Constructional opposition using morphologically opposed adjectives with the same noun. Standard pattern in legal and administrative contexts for document validity. | constructional | [CORE] |
| αληθινή ιστορία | κατασκευασμένη ιστορία | alithiní istoría | kataskevazméni istoría | true story | fabricated story | Constructional opposition contrasting genuine narrative with deliberately invented one. Common in discussions of factual versus fictional narratives. | constructional | [CORE] |
| πραγματική ιστορία | (implied: ψευδής ιστορία) | pragmatikí istoría | — | real story, true story | (false story) | Constructional opposition between real/actual narrative and false narrative. While ψευδής ιστορία is not explicitly documented, the pattern is implied by system. | constructional | [UNCERTAIN] |
| αξιόπιστη πηγή | (implied: αναξιόπιστη πηγή) | axiópisty pigí | — | reliable source | (unreliable source) | Constructional opposition between reliable and unreliable sources. While αναξιόπιστη πηγή is not explicitly documented, the pattern is productive in academic and journalistic discourse. | constructional | [UNCERTAIN] |
| γνήσιο προϊόν | (implied: πλαστό προϊόν) | gnísio proïón | — | genuine product | (counterfeit product) | Constructional opposition between authentic and counterfeit products. While πλαστό προϊόν is not explicitly documented, the pattern is common in commercial contexts. | constructional | [UNCERTAIN] |
| βγαίνει η αλήθεια | κρύβω την αλήθεια | vgéni i alítheia | krývo tin alítheia | the truth comes out | hide the truth | Constructional opposition between truth revelation and truth concealment. Contrasts intransitive emergence with transitive hiding of truth. | constructional | [CORE] |
| αποκαλύπτω την αλήθεια | κρύβω την αλήθεια | apokalýpto tin alítheia | krývo tin alítheia | reveal the truth | hide the truth | Constructional opposition between active revelation and active concealment of truth. Both use transitive verbs with αλήθεια as object. | constructional | [CORE] |
| ορθός | λάθος | orthós | láthos | correct, right, straight | mistake, error, wrong | Lexical opposition between correctness/rightness and error, applicable to both procedural correctness and factual accuracy. Ορθός emphasizes conformity to standards. | lexical | [CORE] |
| ορθά | λάθος (adverbial) | orthá | láthos | correctly, rightly | wrongly, mistakenly | Constructional opposition between correct and incorrect manner of action. Both function as adverbial modifiers indicating manner. | constructional | [CORE] |
| κάνω σωστά | κάνω λάθος | káno sostá | káno láthos | do correctly, do right | make a mistake, be wrong | Constructional opposition using light verb κάνω with contrasting correctness/error terms. Primary construction for expressing correct action versus error. | constructional | [CORE] |
| δίκαιη κρίση | (implied: άδικη κρίση) | díkaii krísi | — | fair judgment | (unfair judgment) | Constructional opposition between just and unjust judgment. While άδικη κρίση is not explicitly documented, the pattern is productive in legal and moral discourse. | constructional | [UNCERTAIN] |
