# CLCA Protocol v3.4 — F4 Construction Table
# Language: Tamil (ta)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | இது உண்மை | itu uṇmai | this is truth/true | Extremely common in everyday speech and writing. Zero copula is unmarked default for present tense statements. Emphatic particle தான் (tāṉ) frequently added for assertion. | [CORE] |
| **1. ATTRIBUTION** | அவன் பொய்யன் | avaṉ poyaṉ | he is a liar | Standard pattern for character attribution. Past/future require explicit copula forms (இருந்தது, இருக்கும்). | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | இது உண்மையில்லை | itu uṇmaiillai | this is not true | Primary negation strategy. இல்லை (illai) dominates in colloquial speech; அல்ல (alla) in formal/written contexts. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | அது பொய்யல்ல | atu poyyalla | that is not false | அன்று (aṉṟu) variant restricted to literary/classical registers. Register choice is socially significant. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | உண்மையான கதை | uṇmaiyāṉa katai | true story | Highly productive attributive pattern. The -ஆன (-āṉa) suffix is the standard adjectivizer for truth-terms modifying nouns. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | பொய்யான சாட்சி | poyyāṉa cāṭci | false testimony | Equally productive with negative truth-terms. Genitive alternative (உண்மையின்) used for possessive/partitive relations, not simple attribution. | [CORE] |
| **4. BECOME / INCHOATIVE** | உண்மை ஆகிவிட்டது | uṇmai ākiviṭṭatu | it became true / turned out to be true | Common in narrative contexts describing revelation or status change. Completive auxiliaries விடு/போ typically required for natural expression. | [CORE] |
| **4. BECOME / INCHOATIVE** | பொய் ஆகிப்போனது | poy ākipōṉatu | it became false / turned out to be a lie | Used when prior belief is overturned or deception revealed. போ (pō) emphasizes unexpected change. | [CORE] |
| **5. CAUSATIVE** | உண்மைப்படுத்து | uṉmaippaṭuttu | verify, authenticate, make true | Standard term for verification/authentication in formal and technical contexts. Highly frequent in administrative and legal registers. | [CORE] |
| **5. CAUSATIVE** | மெய்ப்படுத்து | meyppaṭuttu | prove, verify | Slightly more formal/literary than உண்மைப்படுத்து. Common in academic and philosophical discourse. | [CORE] |
| **5. CAUSATIVE** | பொய்யாக்கு | poyyākku | make false | Less common than positive causatives. Uses different causative morphology (-ஆக்கு rather than -படுத்து). No standard *பொய்ப்படுத்து form attested. | [MARGINAL] |
| **6. ABSTRACT NOMINALIZATION** | உண்மைத்தன்மை | uṇmaittaṉmai | truthfulness, the quality of being true | Common in formal/philosophical discourse. தன்மை (taṉmai) "quality" compounds with already-abstract உண்மை for meta-level abstraction. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | மெய்ம்மை | meymai | truth, reality, genuineness | Literary/philosophical register. More abstract and philosophical than உண்மை. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | பொய்ம்மை | poymai | (abstract falsehood) | Rare and archaic. பொய் itself functions as abstract noun without further derivation in modern usage. | [MARGINAL] |
| **7. AGENTIVE NOMINALIZATION** | உண்மையாளர் | uṇmaiyāḷar | truthful person (honorific) | Honorific/plural form common in formal contexts. Suffix choice (-ஆன்/-ஆளி/-ஆளர்) marks gender and social register. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | பொய்யன் | poyaṉ | liar (masculine) | Very common pejorative. Masculine -அன் suffix standard. Negative agent terms more elaborated than positive equivalents. | [CORE] |
| **8. VERBAL COLLOCATIONS — SPEAKING/TELLING** | உண்மை சொல்லு | uṇmai collu | tell the truth | Extremely frequent collocation, primary expression for truth-telling. சொல்லு (collu) is unmarked default speech verb. | [CORE] |
