| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| Predicative bare nominal + emphatic *-tāṉ* | அது உண்மைதான் | *atu uṇmaitāṉ* | "That is indeed true" | Extremely common in spoken and written Tamil across registers; the emphatic particle *-tāṉ* is optional but frequent in affirmative assertion contexts. | [CORE] |
| Predicative bare nominal, zero copula | அது உண்மை | *atu uṇmai* | "That is the truth / That is true" | Standard across spoken and written registers; zero copula is the default present-tense form. *irukku* may appear optionally in spoken Tamil without change in meaning. Attested alternates: *atu uṇmaitāṉ* (emphatic, with *tāṉ*); *atu uṇmaiyā?* (interrogative, with *-ā*). | [CORE] |
| Predicative bare nominal, zero copula | இது அன்யாயம் | *itu anyāyam* | "This is unjust / This is an injustice" | Fully idiomatic; the same zero-copula pattern applies across all truth-domain nominals without restriction. Same emphatic and interrogative variants available. | [CORE] |
| Attributive *-āna* adjectival + head noun | அவர் நேர்மையான ஆள் | *avar nērmaiyāna āḷ* | "He/she is an honest person" | The *-āna* attributive form is the standard adjectival strategy across all registers; no observable restriction on head noun type within this domain. | [CORE] |
| *-āna* prenominal | உண்மையான செய்தி | *uṇmaiyāna ceytī* | "a true/genuine news report" | Fully productive across registers; the standard adjectival modification strategy for truth-domain nominals. No observable register restriction. No attested alternate construction displaces this pattern. | [CORE] |
| *-āna* prenominal | நம்பகமான ஆதாரம் | *nampakamāna ātāram* | "a reliable source/evidence" | Equally productive; common in journalistic, legal, and everyday contexts. | [CORE] |
| *NOUN + illāta* (negative existential participial) | நேர்மையில்லாத மனிதன் | *nērmaiyillāta maṉitaṉ* | "A person lacking honesty" | Broadly productive across the domain; common in both spoken and written registers with no strong contextual restriction. | [CORE] |
| *-illāta* negative participial | கள்ளமில்லாத மனிதன் | *kaḷḷamillāta maṉitaṉ* | "a person without guile" | Cross-register; attested in both spoken and written Tamil. *-illāta* is the more colloquially accessible of the two privative forms. | [CORE] |
| *NOUN + aṟṟa* (privative participial) | ஆதாரமற்ற குற்றச்சாட்டு | *ātāramaṟṟa kuṟṟaccāṭṭu* | "A baseless accusation" | Common in formal, legal, and written registers; tends to attach to quality/attribute nouns (*ātāram*, *takuti*, *poruttam*); less common in casual speech than *illāta*. | [CORE] |
| *-aṟṟa* privative participial | ஆதாரமற்ற வதந்தி | *ātāramaṟṟa vatanti* | "an unsubstantiated rumor" | Formal register tendency; attested in written, legal, and journalistic contexts. *-aṟṟa* is the preferred privative form in formal prose. | [CORE] |
| Nominal + *illai* | அது பொய்யில்லை | *atu poyyillai* | "That is not a lie / That is not false" | Standard negation pattern for nominal predicates; *illai* is the invariant negative existential used across registers. No negative copula alternant exists. Privative adnominal *-aṟṟa* is a distinct function (attributive modifier, not full predication). | [CORE] |
| Nominal + *illai* | அது என் தவறு இல்லை | *atu eṉ tavaṟu illai* | "That is not my mistake / That is not my fault" | Equally idiomatic; the possessed nominal (*eṉ tavaṟu*) precedes *illai* without structural change. Common in both spoken and written registers. | [CORE] |
| *-āna* adjectival modifier before head noun | உண்மையான தகவல் | *uṇmaiyāna taka'l* | "True/accurate information" | Standard and productive with abstract quality nouns (*uṇmai*, *nērmai*, *niyāyam*); common across registers. | [CORE] |
| *-āṉa* adjectival modifier | நம்பகமான ஆதாரம் | *nampakamāṉa ātāram* | "a reliable source / credible evidence" | Fully productive across all truth-domain nominals; prenominal position is obligatory. Common in formal, journalistic, and everyday registers. Attested alternate: privative *-aṟṟa* participial (*nampakam aṟṟa*) for negative adnominal modification. | [CORE] |
| *-āṉa* adjectival modifier | நியாயமான கோரிக்கை | *niyāyamāṉa kōrikkai* | "a reasonable/just demand" | No register restriction observed; the *-āṉa* suffix applies without exception across the attested truth-domain vocabulary. Attested alternate: privative *illāta* participial as negative alternant. | [CORE] |
| Bare nominal modifier before head noun | போலி ஆவணம் | *pōli āvaṇam* | "Forged/fake document" | Common with *pōli*, *acal*, *nakal*, *kaṟpaṉai*, *poy*; the bare form without *-āna* is the normal pattern for these items and is not a reduced or informal variant. | [CORE] |
| Genitive *-iṉ* adnominal | ஆவணத்தின் உண்மைத்தன்மை | *āvaṇattiṉ uṇmaitaṉmai* | "the authenticity of the document" | Preferred with abstract nominals; common in formal, legal, and philosophical registers. The genitive construction is more explicit than juxtaposition. | [CORE] |
| Juxtaposition (compound) | மனத் தூய்மை | *maṉat tūymai* | "purity of mind / mental integrity" | Attested in fixed compounds; more common in literary and moral discourse. Juxtaposition is restricted to tighter, more lexicalized compounds. | [CORE] |
| *teriya varu* (come to be known) | உண்மை தெரிய வந்தது | *uṇmai teriya vantatu* | "The truth became known / came to light" | Specific to the revelation-of-hidden-truth pattern; treats truth as an entity moving from concealment to visibility; common in narrative, journalistic, and conversational registers. Attested alternate: *uṇmai veḷippaṭṭatu* (more conventionalized alternant). | [CORE] |
| *āku* + completive *viṭu* (become, change of state) | அது உண்மையாகிவிட்டது | *atu uṇmaiyākiviṭṭatu* | "That has turned out to be true / has become true" | General change-of-state construction; the completive auxiliary *viṭu* adds finality or irreversibility; common across registers. | [CORE] |
| *-āki* + *viṭu* | நம்பகத்தன்மை கேள்விக்குறியாகிவிட்டது | *nampakattaṉmai kēḷvikkuṟiyākiviṭṭatu* | "His credibility has become a question mark" | Marks completed change of state; common across spoken and written registers. The completive auxiliary *viṭu* adds a sense of finality or irreversibility. | [CORE] |
| *veḷippaṭu* collocation | உண்மை வெளிப்பட்டது | *uṇmai veḷippaṭṭatu* | "The truth came out / became revealed" | Most conventionalized form for "truth coming to light"; idiomatic across written and spoken registers. Distinct collocation from the *āku* construction; not interchangeable with *āki* in this collocation. Attested alternate: *uṇmai teriya vantatu* ("the truth came to be known"); *-āka āku* available but marked [MARGINAL] for this domain. | [CORE] |
| Morphological causative *mey* + *-ppi-* → *meyppiкka* | அதை மெய்ப்பிக்க முடியவில்லை | *atai meyppiкka muṭiyavillai* | "It was not possible to prove that" | The only morphologically derived causative in the truth domain from the classical root *mey*; attested in formal, legal, and written registers; derived from *mey*, not from *uṇmai*. | [CORE] |
| Periphrastic *nilaināṭṭu* (establish, make stand firm) | உண்மையை நிலைநாட்டினார் | *uṇmaiyai nilaināṭṭiṉār* | "He/she established the truth definitively" | Common in formal and written registers for the proving/establishing function; periphrastic rather than morphologically derived. | [CORE] |
| *-paṭuttu* morphological causative | ஆதாரப்படுத்து | *ātārappaṭuttu* | "to substantiate / to support with evidence" | Morphological causative; productive across truth-domain nominals. Attested forms include *uṟutippaṭuttu*, *niyāyappaṭuttu*, *tūymaippaṭuttu*. | [CORE] |
| Lexical causative *niṟuvu* / *nirūpikku* | உண்மை நிறுவு | *uṇmai niṟuvu* | "to establish the truth" | Lexical rather than morphological causative; nominal functions as direct object. Attested alongside the *paṭuttu* pattern without apparent register restriction between them. | [CORE] |
| *-paṭuttu-* morphological causative (nominalized) | உண்மைப்படுத்துதல் | *uṇmaippaṭuttutal* | "authentication, verification, substantiation" | Restricted to formal and administrative registers; attested specifically for *uṇmai* but not productive across the broader truth-domain vocabulary. Not found for *poy*, *nērmai*, *niyāyam*, etc. Attested alternates: periphrastic light verb constructions (*niyāyam cey*, *tavaṟu tiruttu*) for other truth-domain causative meanings. | [MARGINAL] |
| *-paṭuttu-* morphological causative (verbal) | ஆதாரத்தை உண்மைப்படுத்து | *ātāratai uṇmaippaṭuttu* | "authenticate / substantiate the evidence" | Attested in official Tamil for document authentication contexts; restricted to this functional domain. The verbal form is less common than the nominalized *-tal* form. Attested alternates: light verb constructions as general alternants. | [MARGINAL] |
| *poy* + *-mai* → *poymai* | பொய்மை | *poymai* | "Falsehood, the quality of being false" | Literary and philosophical register; less common in everyday spoken Tamil. The *-mai* suffix is the primary nominalizer but the resulting forms are register-marked. Attested alternate: *taṉmai* compound (*nampakat-taṉmai*) as a more formal alternant; both marked [MARGINAL] in everyday use. | [MARGINAL] |
| *-mai* suffix | நேர்மை | *nēṟmai* | "honesty, integrity" | Primary abstract nominalizing suffix; fully productive and attested across all registers. These forms (*nēṟmai*, *tūymai*, *poymai*, *meymmai*) are the base lexical items, not derived on the fly. | [CORE] |
| *uṇmai* + *taṉmai* compound | உண்மைத்தன்மை | *uṇmait-taṉmai* | "Truthfulness, the property of being true" | Lexicalized compound used in formal and philosophical registers; not common in everyday speech; restricted to contexts requiring explicit reference to the abstract property of truthfulness. Consistently more formal and less frequent than the *-mai* forms; restricted to philosophical, legal, and formal written registers. Not a productive spoken-register pattern. | [MARGINAL] |
| *taṉmai* compound | நம்பகத்தன்மை | *nampakat-taṉmai* | "reliability, credibility, trustworthiness" | More formal and philosophical than *-mai* forms; restricted in everyday use. Productive but register-marked; more common in written and official contexts than in speech. Attested alternates: *-mai* suffix forms; *iṉmai* (*nērmayiṉmai*) for absence-nominals. | [MARGINAL] |
| Participial relative clause (*col-* + *-pavaṉ*) | பொய் சொல்பவன் | *poy colpavaṉ* | "One who tells lies, a liar" | The productive and common strategy for forming agent nominals from verbal phrases in this domain; no register restriction observed. | [CORE] |
| *nampikkai* + *āḷar* agent suffix | நம்பிக்கையாளர் | *nampikkaiāḷar* | "Believers, persons of faith" | Specific to religious contexts; the *āḷar* suffix here applies to a nominal base rather than a verbal phrase; not a general agentive strategy across the domain. | [MARGINAL] |
| Agentive suffix (negative, masculine) | பொய்யன் | *poyyan* | "liar (masculine)" | Colloquial and literary; well-attested and fully natural. Agentive forms for negative truth-domain properties are more frequent than positive counterparts; attested across registers including colloquial speech. Gender and number distinctions are encoded in the suffix (*poyyaṉ* masc. sg., *poyyar* pl./honorific). Attested alternates: *poyyāḷaṉ* (more formal masculine); *poyyar* (plural/honorific). | [CORE] |
| Agentive suffix (negative, masculine) | வஞ்சகன் | *vañcakaṉ* | "deceiver, traitor (masculine)" | Attested in literary and everyday registers; the masculine form is the base form, with feminine *vañcaki* also attested. | [CORE] |
| Agentive suffix (positive, honorific) | (உண்மையாளர்) | (*uṇmaiyāḷar*) | "person of truth (honorific)" | Less frequent than negative agentive forms; the honorific *-āḷar* form is restricted to formal or elevated registers. Asymmetry with negative forms is explicitly noted in P4a data. | [MARGINAL] |
| *-āḷar* honorific agentive | நேர்மையாளர் | *nērmayāḷar* | "person(s) of integrity / honest person(s)" | Formal and political register; the *-āḷar* suffix marks honorific or plural reference. No equivalent lexicalized agentive for "truth-teller" built on *uṇmai* is attested. Attested alternate: periphrastic *uṇmai pēcukiṟavaṉ* ("one who speaks the truth") for the truth-teller concept. | [CORE] |
| Ablative *-iliruntu* + *nampakamāna* + *teriya vantatu* | நம்பகமான வட்டாரங்களிலிருந்து தெரிய வந்தது | *nampakamāna vaṭṭāraṅkaḷiliruntu teriya vantatu* | "It became known from reliable circles" | Characteristic of journalistic and legal Tamil; source credibility (*nampakamāna*) and source marking (ablative *-iliruntu*) co-occur as a fixed pattern in this register. | [CORE] |
| Negative conditional *illāmal* + *nampakamāna ātāram* | நம்பகமான ஆதாரம் இல்லாமல் எதுவும் சொல்ல வேண்டாம் | *nampakamāna ātāram illāmal etuvum colla vēṇṭām* | "Nothing should be said without reliable evidence" | Common in formal, legal, and journalistic registers; the negative conditional *illāmal* (without) marks the absence of required evidentiary basis; evaluative and prescriptive in function. | [CORE] |
| Transitive concealment: *uṇmaiyai maṟai* (accusative object) | உண்மையை மறைக்கிறார்கள் | *uṇmaiyai maṟaikkiṟārkaḷ* | "They are hiding the truth" | Common across registers; requires accusative marking on *uṇmai* (*uṇmaiyai*); truth is construed as a direct object of concealment. | [CORE] |
| Intransitive revelation: *uṇmai veḷiyē vantatu* (truth as subject) | உண்மை வெளியே வந்தது | *uṇmai veḷiyē vantatu* | "The truth came out / emerged" | Common in narrative, journalistic, and conversational registers; truth is construed as subject with no case marking; structurally complementary to the concealment construction. | [CORE] |
| *-āṇum* (colloquial obligative) | உண்மை சொல்லணும் | *uṇmai collāṇum* | "(One) must tell the truth" | Spoken/colloquial form; highly productive in everyday moral and interpersonal discourse. The *-āṇum* suffix is the standard spoken obligative. | [CORE] |
| *-vēṇṭum* (formal obligative) | (formal equivalent) | (*uṇmai collvēṇṭum*) | "(One) must tell the truth" | Formal written equivalent of *-āṇum*; attested in written registers. Both forms are productive; register determines selection rather than semantic difference. | [CORE] |
| *uṇmaiyil* (sentence-initial adverb) | உண்மையில் அவன் அங்கே இல்லை | *uṇmaiyil avaṉ aṅkē illai* | "In truth, he was not there" | Grammaticalized sentence-initial adverb; functions as a fixed marker of correction or strong factual assertion. Not compositionally interpreted. | [CORE] |
| *uṇmaiyilēyē* (emphatic) | உண்மையிலேயே இப்படி நடந்துச்சா? | *uṇmaiyilēyē ippaṭi naṭantuccā?* | "Did this really happen like this?" | Emphatic form of *uṇmaiyil*; attested in spoken registers, particularly in questions expressing surprise or disbelief. No parallel forms from *poy* or *nēṟmai* are attested in this function. | [CORE] |
| *X-ā illai Y-ā* (full form) | இது உண்மையா இல்லை பொய்யா? | *itu uṇmaiyā illai poyyā?* | "Is this true or false?" | Productive interrogative construction across all registers; the *uṇmai/poy* pair is the most frequent binary in the truth domain. | [CORE] |
