# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1 | Hori egia bihurtu da | hori egia bihurtu da | [MARGINAL] | Grammatically possible but semantically restricted. More natural to say something is revealed as true (egia dela agertu) or proven true (egia dela frogatu) than to say it "becomes" true. Truth is typically discovered or established rather than created or transformed. |
| 2 | Hori gezur bihurtu da | hori gezur bihurtu da | [MARGINAL] | Even more restricted than "egia bihurtu." Semantically odd since lies are typically told rather than transformed into. More natural to say something is revealed as false (gezurra dela agertu) or proven false (gezurra dela frogatu). |
| 3 | Erantzuna zuzen bihurtu da | erantzuna zuzen bihurtu da | [MARGINAL] | Semantically restricted. Answers or statements don't typically "become" correct; they are correct or incorrect from the start. More natural to say something is corrected (zuzendu) or proven correct (zuzen dela frogatu). |
| 4 | Dena okertu da | dena okertu da | [CORE] | Fully productive and natural construction. Describes processes of deterioration, error, or going wrong. Typically intransitive — things go wrong rather than being made wrong. |
| 5 | Amets bat benetako bihurtu da | amets bat benetako bihurtu da | [CORE] | Grammatically possible and semantically more natural than "egia bihurtu." Used when something imagined or planned becomes actual reality. |
| 6 | Egia agertu da | egia agertu da | [CORE] | Fully productive and natural construction for expressing how truth becomes visible or manifest. Describes revelation or manifestation rather than transformation. |
| 7 | Ziur bihurtu naiz | ziur bihurtu naiz | [MARGINAL] | Grammatically possible but less common than stative expressions like "ziur nago" (I am certain) or "ziurtatu dut" (I have made certain / I have verified). The inchoative is possible but not the preferred construction. |
| 8 | Hori zalantzan jarri da | hori zalantzan jarri da | [CORE] | Fully productive and natural construction for expressing how something becomes doubtful or questionable. Very common in critical and analytical discourse. |
| 9 | Dokumentua egiazkotu dut | dokumentua egiazkotu dut | [CORE] | Fully productive and natural. Very common in administrative, legal, and scientific contexts. |
| 10 | Segurtasuna ziurtatu dugu | segurtasuna ziurtatu dugu | [CORE] | Fully productive and natural. Common in contexts requiring confirmation or assurance. Can take both concrete and abstract objects. |
| 11 | Errorea zuzendu dut | errorea zuzendu dut | [CORE] | Fully productive and natural. Very common in educational, editorial, and technical contexts. Can apply to both physical straightening and epistemic correction. |
| 12 | Dokumentua faltsutu dute | dokumentua faltsutu dute | [CORE] | Fully productive and natural. Common in legal and forensic contexts. Note that this derives from the borrowed root "faltsu" rather than the native "gezur." |
| 13 | Egia atera dugu | egia atera dugu | [CORE] | Fully productive and natural light verb construction for expressing the revelation or extraction of truth through investigation or questioning. Common in investigative contexts. |
| 14 | Egia ezkutatu dute | egia ezkutatu dute | [CORE] | Fully productive and natural light verb construction for expressing deliberate concealment of truth. Common in moral and investigative discourse about deception. |
| 15 | Egia aurkitu dugu | egia aurkitu dugu | [CORE] | Fully productive and natural light verb construction for expressing the discovery of truth through search or investigation. Common in investigative and philosophical contexts. |
| 16 | Egia onartu behar duzu | egia onartu behar duzu | [CORE] | Fully productive and natural light verb construction for expressing acceptance or acknowledgment of truth, often reluctantly. Common in moral and interpersonal contexts. |
| 17 | Egia ukatu du | egia ukatu du | [CORE] | Fully productive and natural light verb construction for expressing denial or refusal to accept truth. Common in moral and legal discourse. |
| 18 | Egia frogatu dut | egia frogatu dut | [CORE] | Fully productive and natural. Very common in legal, scientific, and everyday contexts requiring demonstration. |
| 19 | Gezurra atera dugu | gezurra atera dugu | [CORE] | Fully productive and natural light verb construction parallel to "egia atera" but with "gezurra" (lie). Used when lies are uncovered or exposed through investigation. Common in investigative contexts. |
| 20 | Gezurra asmatu du | gezurra asmatu du | [CORE] | Fully productive and natural light verb construction emphasizing the fabrication aspect of lying. Used when lies are deliberately created or fabricated. |
| 21 | Gezurretan harrapatu dut | gezurretan harrapatu dut | [CORE] | Fully productive and natural construction for expressing the act of catching someone lying or exposing their falsehood. Common in accusatory and investigative contexts. |
| 22 | Hori zalantzan jarri dut | hori zalantzan jarri dut | [CORE] | Fully productive and natural transitive construction for expressing how something is made doubtful or questionable. Very common in critical and analytical discourse. |
| 23 | Zalantza kendu dut | zalantza kendu dut | [CORE] | Fully productive and natural light verb construction for expressing the removal or dispelling of doubt. Common in contexts of clarification and reassurance. |
| 24 | Fede eman diot | fede eman diot | [CORE] | Fully productive and natural light verb construction used in formal contexts for certification or giving credence. Common in legal and administrative discourse. |
| 25 | Egiari eusten diot | egiari eusten diot | [CORE] | Fully productive and natural construction for expressing steadfast commitment to truth. Used in moral evaluation of character. |
| 26 | Ziur nago | ziur nago | [CORE] | Fully productive and natural stative construction expressing the state of being or remaining certain. Very common in everyday discourse for expressing confidence. |
| 27 | Zintzo ibili da | zintzo ibili da | [CORE] | Fully productive and natural construction for expressing ongoing honest behavior. Common in moral discourse. |
| 28 | Gezurretan ibili da | gezurretan ibili da | [CORE] | Fully productive and natural construction for expressing habitual or ongoing lying behavior. Used in moral condemnation of persistent dishonesty. |
| 29 | *egiaarazi / *gezurarazi / *zuzendarazi / *okerarazi | — | [UNCERTAIN] | No productive pattern identified. The morphological causative suffix -arazi does not productively combine with truth-domain roots to create causative meanings. |
| 30 | *gezurtu | — | [UNCERTAIN] | No simple verb exists. The concept of lying is expressed through the light verb construction "gezurra esan" (to tell a lie), which is obligatory and fully idiomatic. |
