| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | 这是真的。 | zhè shì zhēn de. | This is true. | Common for direct truth evaluation in everyday and formal speech. Predication may use 是 for identificational framing or 很 with adjectives, especially with items like 可靠, 可信, 真实. Alternate constructions attested: X + 很 + 真/假/真实/虚假/正确/错误/准确/可信/可靠/属实/不实. | [CORE] |
| ATTRIBUTION | 这个消息很可靠。 | zhège xiāoxi hěn kěkào. | This information is reliable. | Very natural for evaluating information, reports, claims, or sources. 属实 and 不实 are more formal and especially associated with reports, allegations, or stated content. Alternate constructions attested: X + 是 / 很 + 真/假/真实/虚假/正确/错误/准确/可信/可靠/属实/不实. | [CORE] |
| NEGATIVE ATTRIBUTION | 这一说法不太可信。 | zhè yī shuōfǎ bù tài kěxìn. | This claim is not very believable. | Standard negation pattern for truth-related adjectives, common with claims, reports, and information. Degree marking like 不太 is natural; some formal contexts prefer lexical negatives such as 不实 or 失实 rather than simple 不 + Adj. Alternate constructions attested: X + 不 + Adj / X + 不属实 / X + 不实 / X + 非 + N/Adj(formal). | [CORE] |
| NEGATIVE ATTRIBUTION | 报道不实。 | bàodào bùshí. | The report is untrue/inaccurate. | Highly natural in formal rebuttal, media, legal, and administrative language. More restricted than plain 不 + Adj because it strongly favors reports, statements, allegations, or published content. Alternate constructions attested: X + 不 + Adj / X + 不属实 / X + 不实 / X + 非 + N/Adj(formal). | [CORE] |
| ADNOMINAL MODIFICATION | 虚假的信息 | xūjiǎ de xìnxī | false information | Very common for modifying nouns in both ordinary and formal usage. 的 is the regular pattern, though some lexicalized combinations occur without 的. Alternate constructions attested: Adj + 的 + N / bare compound modifier + N. | [CORE] |
| ADNOMINAL MODIFICATION | 名副其实的专家 | míng fù qí shí de zhuānjiā | an expert worthy of the name | Natural but somewhat lexically fixed compared with freer adjective + 的 combinations. Bare compounds are especially common when lexicalized, such as 真话, 假货, 正品, 虚假信息. Alternate constructions attested: Adj + 的 + N / bare compound modifier + N. | [CORE] |
| BECOME / INCHOATIVE | 信息在传递中变得失真。 | xìnxī zài chuándì zhōng biàn de shīzhēn. | The information becomes distorted in transmission. | Productive way to express change of state, especially in formal or descriptive contexts. 变得 is especially natural with evaluative or result-state predicates like 失真, while other change markers may vary by style. Alternate constructions attested: 变得 + Adj / 变 + Adj / Adj + 起来. | [CORE] |
| BECOME / INCHOATIVE | 他的说法越来越不可信了。 | tā de shuōfǎ yuèláiyuè bù kěxìn le. | His claim has become less and less believable. | Very natural for gradual change in perceived credibility. This pattern is especially common when the change is scalar or progressive rather than a single punctual shift. Alternate constructions attested: 变得 + Adj / 变 + Adj / Adj + 起来. | [CORE] |
| CAUSATIVE (OR ABSENCE) | 这则谣言使事实变得不清楚。 | zhè zé yáoyán shǐ shìshí biàn de bù qīngchu. | This rumor made the facts unclear. | Natural in formal written style, especially with 使. The causative meaning is expressed analytically rather than through dedicated morphology, and some meanings instead prefer lexical verbs. Alternate constructions attested: 使 / 让 / 把 + X + 变得 + Adj; also V + 出/成 + result. | [CORE] |
| CAUSATIVE (OR ABSENCE) | 压缩过度会让图像失真。 | yāsuō guòdù huì ràng túxiàng shīzhēn. | Excessive compression can make the image distorted. | Very natural in both speech and writing, with 让 somewhat less formal than 使. This pattern is especially common for technical or process-based causation such as distortion or loss of fidelity. Alternate constructions attested: 使 / 让 / 把 + X + 变得 + Adj; also V + 出/成 + result. | [CORE] |
| ABSTRACT NOMINALIZATION | 这份报告的真实性很重要。 | zhè fèn bàogào de zhēnshíxìng hěn zhòngyào. | The authenticity/truthfulness of this report is important. | Highly natural in formal, academic, legal, and evaluative discourse. -性 forms are especially common for abstract properties discussed as criteria or qualities. Alternate constructions attested: Adj + 性 / Adj + 度; lexical abstract nouns also occur. | [CORE] |
| ABSTRACT NOMINALIZATION | 证词的可信度不高。 | zhèngcí de kěxìndù bù gāo. | The testimony’s credibility is not high. | Very common when discussing degree-like evaluative properties such as credibility or reliability. -度 often sounds especially natural where the property is implicitly gradable or measurable. Alternate constructions attested: Adj + 性 / Adj + 度; lexical abstract nouns also occur. | [CORE] |
