# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Sanskrit (sa)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| सत्य / satya | सत्यता / satyatā | satyatā | satya + -tā (abstract suffix) | truthfulness, truth, veracity | Abstract noun denoting the quality or state of being true. Common in philosophical and ordinary discourse for the property of truth itself. | [CORE] |
| सत्य / satya | सत्यत्व / satyatva | satyatva | satya + -tva (abstract suffix) | truthfulness, truth, the state of being true | Alternative abstract formation to satyatā, functionally equivalent. Both -tā and -tva suffixes create abstract nouns in Sanskrit, with -tva often preferred in more technical philosophical contexts. | [CORE] |
| सत्य / satya | सात्य / sātya | sātya | satya + -ya (secondary derivative suffix) | relating to truth, truthful | Adjectival derivative emphasizing connection to or derivation from truth. Less common than base form satya. | [MARGINAL] |
| असत्य / asatya | असत्यता / asatyatā | asatyatā | asatya + -tā (abstract suffix) | untruthfulness, falsity, falsehood | Abstract noun denoting the quality of being false or untrue. Parallel formation to satyatā. | [CORE] |
| असत्य / asatya | असत्यत्व / asatyatva | asatyatva | asatya + -tva (abstract suffix) | untruthfulness, falsity | Alternative abstract formation, functionally equivalent to asatyatā. | [CORE] |
| ऋत / ṛta | ऋतत्व / ṛtatva | ṛtatva | ṛta + -tva (abstract suffix) | state of being ṛta, cosmic order, truth | Abstract noun denoting the quality or principle of cosmic/moral order. Primarily found in Vedic and philosophical texts. | [CORE] |
| अनृत / anṛta | अनृतत्व / anṛtatva | anṛtatva | anṛta + -tva (abstract suffix) | state of being anṛta, falsehood, disorder | Abstract noun denoting the quality of falsehood or cosmic disorder. Parallel to ṛtatva but less frequently attested. | [MARGINAL] |
| तथ्य / tathya | तथ्यता / tathyatā | tathyatā | tathya + -tā (abstract suffix) | factuality, state of being factual, truth | Abstract noun emphasizing factual accuracy or correspondence to actual state of affairs. Used in epistemological and ordinary contexts. | [CORE] |
| तथ्य / tathya | तथ्यत्व / tathyatva | tathyatva | tathya + -tva (abstract suffix) | factuality, factual nature | Alternative abstract formation to tathyatā. | [CORE] |
| मृषा / mṛṣā | मृषावादिन् / mṛṣāvādin | mṛṣāvādin | mṛṣā (falsely) + vādin (speaking) | speaking falsely, liar | Agent noun describing one who speaks falsely. This is a compound rather than pure derivation, but represents the primary morphological extension of mṛṣā. | [CORE] |
| प्रमाण / pramāṇa | प्रामाण्य / prāmāṇya | prāmāṇya | pramāṇa + -ya (abstract suffix with vṛddhi) | validity, authoritativeness, state of being a valid means | Technical abstract noun denoting the property of epistemic validity. Central term in epistemological discussions. Already listed in P1 but included here to show derivational relationship. | [CORE] |
| प्रमाण / pramāṇa | प्रामाणिक / prāmāṇika | prāmāṇika | pramāṇa + -ika (adjectival suffix with vṛddhi) | authoritative, valid, reliable, authentic | Adjectival form describing what possesses validity or authority. Common in both technical and ordinary usage for reliable sources. | [CORE] |
| प्रमाण / pramāṇa | प्रमाणीकरण / pramāṇīkaraṇa | pramāṇīkaraṇa | pramāṇa + -ī- + karaṇa (making, doing) | validation, authentication, verification | Denominative verbal noun denoting the act of validating or authenticating. Already noted in P1b but represents clear derivational pattern. | [CORE] |
| प्रमाण / pramāṇa | प्रमाणीकृत / pramāṇīkṛta | pramāṇīkṛta | pramāṇa + -ī- + kṛta (made, done) | validated, authenticated, certified | Past participle from denominative verb, describing what has been validated. Already noted in P1b. | [CORE] |
| प्रमा / pramā | प्रामा / prāmā | prāmā | pramā + vṛddhi (strengthening of initial vowel) | relating to valid cognition | Adjectival form, though rarely attested independently. More commonly appears in compounds. | [MARGINAL] |
| भ्रम / bhrama | भ्रमण / bhramaṇa | bhramaṇa | √bhram + -ana (action noun suffix) | wandering, roaming; error, confusion | Action noun denoting the act of wandering or being in error. Used both for physical wandering and cognitive error. | [CORE] |
| भ्रम / bhrama | भ्रान्ति / bhrānti | bhrānti | √bhram + -ti (action noun suffix) | error, mistake, confusion, illusion | Abstract action noun emphasizing the state of error or confusion. Common in epistemological contexts for cognitive mistakes. | [CORE] |
| भ्रम / bhrama | भ्रान्त / bhrānta | bhrānta | √bhram + -ta (past participle suffix) | erring, mistaken, confused, deluded | Past participle functioning as adjective, describing someone or something in error or confusion. | [CORE] |
| भ्रम / bhrama | भ्रमणीय / bhramaṇīya | bhramaṇīya | √bhram + -anīya (gerundive suffix) | liable to error, confusing, deceptive | Gerundive form indicating what is prone to cause error or confusion. | [MARGINAL] |
| यथार्थ / yathārtha | यथार्थता / yathārthatā | yathārthatā | yathārtha + -tā (abstract suffix) | accuracy, correspondence to reality, truthfulness | Abstract noun denoting the quality of corresponding to reality or fact. Common in epistemological and ordinary discourse. | [CORE] |
| यथार्थ / yathārtha | यथार्थत्व / yathārthatva | yathārthatva | yathārtha + -tva (abstract suffix) | accuracy, factual correspondence | Alternative abstract formation to yathārthatā. | [CORE] |
| धर्म / dharma | धार्मिक / dhārmika | dhārmika | dharma + -ika (adjectival suffix with vṛddhi) | righteous, religious, relating to dharma, pious | Adjectival form describing what pertains to or follows dharma. Common in religious and ethical contexts. | [CORE] |
| धर्म / dharma | धर्मिन् / dharmin | dharmin | dharma + -in (possessive suffix) | possessing dharma, righteous, virtuous; substrate (in logic) | Possessive adjective describing one who has dharma. In Nyāya logic, technical term for the substrate or locus of properties. | [CORE] |
| धर्म / dharma | धर्मत्व / dharmatva | dharmatva | dharma + -tva (abstract suffix) | state of being dharma, righteousness, the nature of duty | Abstract noun denoting the essential quality or nature of dharma. | [CORE] |
| धर्म / dharma | धर्मता / dharmatā | dharmatā | dharma + -tā (abstract suffix) | righteousness, the quality of dharma, essential nature | Alternative abstract formation. In Buddhist philosophy, specifically denotes "suchness" or essential nature. | [CORE] |
| धर्म / dharma | धार्म्य / dhārmya | dhārmya | dharma + -ya (adjectival suffix with vṛddhi) | relating to dharma, righteous, proper | Adjectival derivative emphasizing connection to dharma. Less common than dhārmika. | [MARGINAL] |
| अधर्म / adharma | आधार्मिक / ādhārmika | ādhārmika | adharma + -ika (adjectival suffix with vṛddhi) | unrighteous, irreligious, contrary to dharma | Adjectival form describing what is contrary to dharma. Parallel to dhārmika. | [CORE] |
| अधर्म / adharma | अधर्मिन् / adharmin | adharmin | adharma + -in (possessive suffix) | unrighteous, wicked, possessing adharma | Possessive adjective describing one characterized by adharma. | [CORE] |
| अधर्म / adharma | अधर्मत्व / adharmatva | adharmatva | adharma + -tva (abstract suffix) | unrighteousness, wickedness, state of being adharma | Abstract noun denoting the quality of being contrary to dharma. | [CORE] |
| साधु / sādhu | साधुता / sādhutā | sādhutā | sādhu + -tā (abstract suffix) | goodness, propriety, correctness, virtue | Abstract noun denoting the quality of being good, proper, or virtuous. | [CORE] |
| साधु / sādhu | साधुत्व / sādhutva | sādhutva | sādhu + -tva (abstract suffix) | goodness, virtue, propriety | Alternative abstract formation to sādhutā. | [CORE] |
| न्याय / nyāya | नैयायिक / naiyāyika | naiyāyika | nyāya + -ika (adjectival suffix with vṛddhi) | follower of Nyāya, logician, relating to logic/justice | Adjectival and nominal form denoting adherents of the Nyāya philosophical school or those skilled in logic. Common in philosophical literature. | [CORE] |
| न्याय / nyāya | न्याय्य / nyāyya | nyāyya | nyāya + -ya (adjectival suffix) | just, proper, logical, reasonable | Adjectival form describing what accords with justice or logic. Common in legal and philosophical contexts. | [CORE] |
| न्याय / nyāya | न्यायत / nyāyatas | nyāyatas | nyāya + -tas (ablative suffix used adverbially) | justly, logically, according to reason | Adverbial form indicating manner according to justice or logic. | [CORE] |
| युक्त / yukta | युक्ति / yukti | yukti | √yuj + -ti (action noun suffix) | joining, reasoning, argument, propriety, fitness | Abstract noun denoting logical reasoning, argumentation, or fitness. Common in philosophical and rhetorical contexts. | [CORE] |
| युक्त / yukta | युक्तता / yuktatā | yuktatā | yukta + -tā (abstract suffix) | propriety, fitness, reasonableness | Abstract noun emphasizing the quality of being proper or reasonable. | [CORE] |
| युक्त / yukta | युक्तत्व / yuktatva | yuktatva | yukta + -tva (abstract suffix) | propriety, fitness, state of being yukta | Alternative abstract formation to yuktatā. | [CORE] |
| अयुक्त / ayukta | अयुक्तता / ayuktatā | ayuktatā | ayukta + -tā (abstract suffix) | impropriety, unfitness, unreasonableness | Abstract noun denoting the quality of being improper or unreasonable. | [CORE] |
| अयुक्त / ayukta | अयुक्तत्व / ayuktatva | ayuktatva | ayukta + -tva (abstract suffix) | impropriety, unfitness | Alternative abstract formation to ayuktatā. | [CORE] |
| सम्यक् / samyak | सम्यक्त्व / samyaktva | samyaktva | samyak + -tva (abstract suffix) | correctness, rightness, perfection | Abstract noun denoting the quality of being correct or right. Particularly important in Jain philosophy as a technical term for "right belief" (one of the three jewels). | [CORE] |
| सम्यक् / samyak | साम्यक / sāmyaka | sāmyaka | samyak + -a (adjectival suffix with vṛddhi) | correct, right, proper | Adjectival derivative, though less common than the base form samyak. | [MARGINAL] |
| मिथ्या / mithyā | मिथ्यात्व / mithyātva | mithyātva | mithyā + -tva (abstract suffix) | falsity, illusoriness, state of being false | Abstract noun denoting the quality of being false or illusory. Important in Vedānta philosophy for the illusory nature of phenomenal reality. | [CORE] |
| मिथ्या / mithyā | मैथ्य / maithya | maithya | mithyā + -a (adjectival suffix with vṛddhi) | false, illusory | Adjectival derivative, though rarely attested independently. | [UNCERTAIN] |
| विपर्यय / viparyaya | वैपर्यय / vaiparyaya | vaiparyaya | viparyaya + -a (adjectival suffix with vṛddhi) | relating to reversal/error, erroneous | Adjectival form, though not commonly attested as independent term. | [MARGINAL] |
| आभास / ābhāsa | आभासिक / ābhāsika | ābhāsika | ābhāsa + -ika (adjectival suffix) | apparent, seeming, illusory, fallacious | Adjectival form describing what is merely apparent or illusory. Used in epistemological contexts for fallacious reasoning. | [CORE] |
| आभास / ābhāsa | आभासत्व / ābhāsatva | ābhāsatva | ābhāsa + -tva (abstract suffix) | state of being mere appearance, illusoriness | Abstract noun denoting the quality of being merely apparent rather than real. | [MARGINAL] |
| सदृश / sadṛśa | सादृश्य / sādṛśya | sādṛśya | sadṛśa + -ya (abstract suffix with vṛddhi) | similarity, resemblance, likeness | Abstract noun denoting the quality or relation of similarity. Common in comparative and analogical reasoning. | [CORE] |
| सदृश / sadṛśa | सदृशता / sadṛśatā | sadṛśatā | sadṛśa + -tā (abstract suffix) | similarity, resemblance | Alternative abstract formation to sādṛśya, less common. | [MARGINAL] |
| रूप / rūpa | रूपिन् / rūpin | rūpin | rūpa + -in (possessive suffix) | having form, embodied, beautiful | Possessive adjective describing what possesses form or appearance. Common in compounds. | [CORE] |
| रूप / rūpa | रूपक / rūpaka | rūpaka | rūpa + -ka (diminutive/derivative suffix) | metaphor, simile; small form, image | Technical term in poetics for metaphor or figurative comparison. Also used for image or representation. | [CORE] |
| रूप / rūpa | रूपवत् / rūpavat | rūpavat | rūpa + -vat (possessive suffix) | having form, beautiful, embodied | Possessive adjective, functionally similar to rūpin but with different morphology. | [CORE] |
| रूप / rūpa | रूपत / rūpatas | rūpatas | rūpa + -tas (ablative suffix used adverbially) | in form, as regards form, formally | Adverbial form indicating manner or respect in which something is considered. | [CORE] |
| स्वरूप / svarūpa | स्वरूपत / svarūpatas | svarūpatas | svarūpa + -tas (ablative suffix used adverbially) | in one's own nature, essentially, intrinsically | Adverbial form indicating consideration according to essential nature. | [CORE] |
| स्वरूप / svarūpa | स्वरूपिन् / svarūpin | svarūpin | svarūpa + -in (possessive suffix) | having one's own form, being in one's true nature | Possessive adjective describing what possesses or manifests its essential nature. | [MARGINAL] |
| तत्त्व / tattva | तात्त्विक / tāttvika | tāttvika | tattva + -ika (adjectival suffix with vṛddhi) | relating to reality/truth, essential, metaphysical, real | Adjectival form describing what pertains to ultimate reality or essential principles. Common in philosophical discourse. | [CORE] |
| तत्त्व / tattva | तत्त्वत / tattvatas | tattvatas | tattva + -tas (ablative suffix used adverbially) | in reality, essentially, truly, in principle | Adverbial form indicating consideration according to reality or essential nature. | [CORE] |
| तत्त्व / tattva | तत्त्विन् / tattvin | tattvin | tattva + -in (possessive suffix) | knowing reality, wise, possessing true knowledge | Possessive adjective describing one who knows or possesses understanding of reality. | [CORE] |
| वस्तु / vastu | वास्तव / vāstava | vāstava | vastu + -a (adjectival suffix with vṛddhi) | real, actual, true, genuine | Adjectival form emphasizing reality or actuality. Common in both philosophical and ordinary usage. | [CORE] |
| वस्तु / vastu | वास्तविक / vāstavika | vāstavika | vastu + -ika (adjectival suffix with vṛddhi) | real, actual, genuine, factual | Adjectival form functionally similar to vāstava but with different morphology. Common in modern usage. | [CORE] |
| वस्तु / vastu | वस्तुत / vastutaḥ | vastutaḥ | vastu + -tas (ablative suffix used adverbially) | in reality, actually, in fact | Adverbial form indicating actual state of affairs as opposed to appearance. | [CORE] |
| वस्तु / vastu | वस्तुत्व / vastutva | vastutva | vastu + -tva (abstract suffix) | reality, actuality, thingness | Abstract noun denoting the quality of being a real object or actual thing. | [CORE] |
| अलीक / alīka | अलीकता / alīkatā | alīkatā | alīka + -tā (abstract suffix) | falsity, unreality, counterfeitness | Abstract noun denoting the quality of being false or unreal. | [MARGINAL] |
| कूट / kūṭa | कौटिल्य / kauṭilya | kauṭilya | kūṭa + -ilya (abstract suffix with vṛddhi) | crookedness, deception, fraud, cunning | Abstract noun denoting fraudulent or deceptive behavior. Famous as title of Kauṭilya's Arthaśāstra. | [CORE] |
| कूट / kūṭa | कूटता / kūṭatā | kūṭatā | kūṭa + -tā (abstract suffix) | falsity, fraudulence, deceptiveness | Abstract noun denoting the quality of being false or fraudulent. | [MARGINAL] |
| छल / chala | छलन / chalana | chalana | √chal + -ana (action noun suffix) | deception, fraud, cheating, quibbling | Action noun denoting the act of deceiving or engaging in sophistry. | [CORE] |
| छल / chala | छलिन् / chalin | chalin | chala + -in (possessive suffix) | deceitful, fraudulent, tricky | Possessive adjective describing one characterized by deception. | [CORE] |
| छल / chala | छलत / chalatas | chalatas | chala + -tas (ablative suffix used adverbially) | by fraud, through deception, deceptively | Adverbial form indicating manner of deception. | [MARGINAL] |
| उपपत्ति / upapatti | उपपन्न / upapanna | upapanna | upa + √pad + -na (past participle suffix) | occurred, arisen; logical, reasonable, coherent | Past participle functioning as adjective, describing what is logically coherent or rationally justified. | [CORE] |
| उपपत्ति / upapatti | औपपत्तिक / aupapattika | aupapattika | upapatti + -ika (adjectival suffix with vṛddhi) | relating to logical coherence, rational, demonstrable | Adjectival form describing what pertains to rational demonstration or logical possibility. | [MARGINAL] |
