| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| kweli | Kweli? / Kweli! | Kweli? / Kweli! | Really? / Really! | Used as a one-word discourse particle functioning as a question tag or exclamation of surprise. Included here because it functions as a pragmatic construction in dialogue, not merely as a propositional assertion. Extremely common in spoken Swahili. | [CORE] |
| kweli | kwa kweli | kwa kweli | truly; in truth; honestly; in earnest | Adverbial prepositional phrase used to frame a statement as sincere or factually grounded. Prior-attested in P1b. Included here as a confirmed periphrastic construction. | [CORE] |
| kweli | kwa kweli kweli | kwa kweli kweli | truly and sincerely; in all honesty; absolutely for real | Further intensified adverbial phrase combining the prepositional particle *kwa* with the reduplicated form *kweli kweli*. Prior-attested in P1b. More colloquial than *kwa kweli*; used in emphatic spoken assertions. | [CORE] |
| kweli | kweli kabisa | kweli kabisa | absolutely true; completely true; the absolute truth | Intensified nominal/adverbial phrase using *kabisa* (completely, absolutely) as a postposed intensifier. Prior-attested in P1b. Common in everyday speech. | [CORE] |
| kweli | kweli au uongo | kweli au uongo | true or false; truth or lie | Paired contrastive construction used in educational true/false formats, everyday challenges to a statement's accuracy, and philosophical discussion. Prior-attested in P1b. Also attested in the extended form *Kweli au uongo — chagua moja* in examination and quiz formats. | [CORE] |
| kweli | kweli ni kweli | kweli ni kweli | truth is truth; the truth is the truth | Copular tautological construction used as a rhetorical affirmation that a fact cannot be denied or altered. Prior-attested in P1b. Functions as a proverb-like assertion in argument and moral discourse. | [CORE] |
| kweli | Nakuambia kweli. | Nakuambia kweli. | I am telling you the truth. / I tell you truly. | Periphrastic assertion construction combining *kuambia* (to tell) with *kweli* as object. Used in everyday interpersonal discourse to assert sincerity. The verb *kuambia* takes a human object (*ku-* = you) and *kweli* as the content object. | [CORE] |
| kweli | Sema kweli. | Sema kweli. | Tell the truth. / Speak the truth. | Imperative construction using *sema* (speak/say) with *kweli* as direct object. Prior-attested in P1b as *sema ukweli*; this shorter form with bare *kweli* rather than *ukweli* is also attested in everyday speech, particularly in informal registers. | [CORE] |
| kweli | Hii ni kweli. | Hii ni kweli. | This is true. / This is the truth. | Basic copular predication using *ni* (copula) with *kweli* as predicate. Extremely common in everyday discourse as a simple assertion of truth. The demonstrative *hii* (this) can be replaced by other subjects. | [CORE] |
| kweli | Si kweli. | Si kweli. | It is not true. / That is not true. / That's false. | Negative copular construction using *si* (negative copula) with *kweli* as predicate. Extremely common in everyday discourse as a denial or refutation. Functionally equivalent to "that's not true." | [CORE] |
| kweli | Kweli kabla ya uongo. | Kweli kabla ya uongo. | Truth before falsehood. | A proverbial or slogan-type construction asserting the priority of truth over falsehood. Attested in moral and religious discourse. The construction *X kabla ya Y* (X before Y) is syntactically regular but this specific pairing has semi-fixed status. | [MARGINAL] |
| kweli | Ninasema kweli. | Ninasema kweli. | I am telling the truth. / I am speaking truthfully. | The standard periphrastic verbal construction for truth-telling, combining *sema* (to say/speak) with *kweli* as a direct object or adverbial complement. Used across all registers in moral, legal, and everyday contexts. | [CORE] |
| kweli | Kwa kweli, sijui. | Kwa kweli, sijui. | Truly, I don't know. / In truth, I don't know. / Honestly, I don't know. | The prepositional adverbial phrase *kwa kweli* functions as a sentence-initial or sentence-medial truth-asserting adverbial and as a specific pragmatic construction — the honest-admission frame — which is highly frequent in spoken Swahili. Already documented in P1b; cross-referenced here. | [CORE] |
| kweli | Ni kweli kabisa. | Ni kweli kabisa. | It is absolutely true. / That is completely true. | Copular predicate construction with *kabisa* (absolutely/completely) as an intensifying modifier. Already documented in P1b; cross-referenced here. Used as an emphatic affirmation across registers. | [CORE] |
| kweli | Si kweli hiyo. | Si kweli hiyo. | That is not true. / That is false. | Negative copular predicate construction using *si* (negative copula) + *kweli* + demonstrative *hiyo* (that). The standard construction for denying the truth of a specific preceding claim. Already documented in P1b; cross-referenced here. | [CORE] |
| kweli | Kweli au uongo? | Kweli au uongo? | True or false? / Truth or lie? | A binary evaluative construction using *au* (or) to frame a truth-value question. Already documented in P1b; cross-referenced here. Used in educational, legal, and evaluative contexts. | [CORE] |
| kweli | Kwa kweli kweli, hii ni tatizo kubwa. | Kwa kweli kweli, hii ni tatizo kubwa. | Truly and sincerely, this is a serious problem. / In all seriousness, this is a big problem. | The further intensified adverbial phrase *kwa kweli kweli* used as a sentence-initial emphatic marker. Already documented in P1b; cross-referenced here. | [CORE] |
| kweli | Kweli ya mambo ni hii. | Kweli ya mambo ni hii. | The truth of the matter is this. / The real state of affairs is this. | Nominal predicate construction using *kweli ya mambo* as subject. Already documented in P1b; cross-referenced here. Used in analytical and journalistic discourse. | [CORE] |
| kweli | Kweli haisemwi. | Kweli haisemwi. | The truth is not spoken. / Truth goes unsaid. | A proverbial expression commenting on social situations where truth is suppressed or avoided. Already documented in P1b as [MARGINAL]; cross-referenced here. The construction uses the negative passive of *sema*. | [MARGINAL] |
| kweli | Kweli inaumiza. | Kweli inaumiza. | The truth hurts. / Truth is painful. | A proverbial statement used in moral and interpersonal discourse to acknowledge that honest statements can cause pain. Functions as a standalone proverb and as a framing device before delivering unwelcome information. Distinct from *ukweli unauma* in using *kweli* rather than *ukweli* and the present tense *-umiza* (causative) rather than *-uma* (stative). | [CORE] |
| kweli | Sema kweli, hata kama inakudhuru. | Sema kweli, hata kama inakudhuru. | Tell the truth, even if it harms you. | A proverbial or moral imperative construction used in ethical instruction and religious discourse. The conditional clause *hata kama inakudhuru* ("even if it harms you") is a fixed extension of the truth-telling imperative and appears in this form in moral literature and sermons. | [CORE] |
| kweli | Kweli haina budi kujulikana. | Kweli haina budi kujulikana. | The truth must inevitably become known. / Truth will out. | A proverbial construction using *haina budi* ("it cannot avoid," "it must inevitably") to assert the inescapability of truth becoming known. Appears in moral, legal, and narrative discourse as an expression of epistemic inevitability. | [CORE] |
| kweli | Kweli ni mchungu. | Kweli ni mchungu. | Truth is bitter. | A proverbial copular construction characterizing truth by its unpleasant quality. *Mchungu* (bitter) is a common evaluative term in Swahili proverbial discourse. Used in moral instruction and as a framing device before delivering difficult information. | [CORE] |
| kweli | Kweli haiozi. | Kweli haiozi. | Truth does not rot. / Truth does not decay. | A proverbial construction asserting the permanence or indestructibility of truth. *-oza* (to rot, to decay) is used metaphorically. Appears in moral and religious discourse to assert that truth endures regardless of attempts to suppress it. | [CORE] |
| kweli | Kweli hushinda uongo. | Kweli hushinda uongo. | Truth defeats falsehood. / Truth overcomes lies. | A proverbial construction using the habitual marker *hu-* to assert the general principle that truth prevails over falsehood. Appears in moral, religious, and political discourse. Related to *ukweli daima hushinda* (P1b) but with the explicit object *uongo* making the contrast explicit. | [CORE] |
| kweli | Ni kweli kabisa kwamba... | Ni kweli kabisa kwamba... | It is absolutely true that... | A framing construction used to introduce a strongly asserted proposition. The complementizer *kwamba* ("that") introduces the embedded clause. This pattern is highly productive and appears across formal and informal registers as a strong truth-assertion frame. | [CORE] |
| kweli | Je, ni kweli? | Je, ni kweli? | Is it true? / Really? | An interrogative construction using the question particle *je* and the copular truth assertion *ni kweli*. Used in spoken Swahili to express surprise, seek confirmation, or challenge a claim. Extremely frequent in conversation. | [CORE] |
| kweli | Kweli kweli, hii ni ajabu. | Kweli kweli, hii ni ajabu. | Truly, this is amazing. / It really is a wonder. | *Kweli kweli* functioning as a sentence-initial intensifying discourse marker expressing genuine surprise or emphasis. Already documented in P1 and P1b; noted here as a specific pragmatic construction — the emphatic-surprise frame — distinct from its use as a simple adverbial intensifier. | [CORE] |
| kweli | Ukweli ni kwamba... | Ukweli ni kwamba... | The truth is that... / The fact is that... | A highly productive framing construction used to introduce a factual or corrective statement. The pattern *ukweli ni kwamba* + embedded clause is a standard discourse frame in journalism, formal speech, and everyday argumentation for presenting what the speaker asserts to be the actual facts. | [CORE] |
| kweli | Ukweli wa mambo ni kwamba... | Ukweli wa mambo ni kwamba... | The truth of the matter is that... / The reality of things is that... | An extended version of the *ukweli ni kwamba* frame, with *wa mambo* ("of things/matters") adding specificity. Used in formal discourse, journalism, and deliberative contexts to introduce a corrective or clarifying statement about actual conditions. | [CORE] |
| kweli | Kwa mujibu wa ukweli... | Kwa mujibu wa ukweli... | According to the truth... / In accordance with the facts... | A formal prepositional frame using *kwa mujibu wa* ("according to," "in accordance with") to introduce a statement grounded in factual accuracy. Appears in legal, journalistic, and formal administrative discourse. | [CORE] |
| kweli | Kwa upande wa ukweli... | Kwa upande wa ukweli... | On the side of truth... / From the standpoint of truth... | A framing construction used in argumentative and moral discourse to position a statement as aligned with truth. *Kwa upande wa* ("on the side of") is a productive prepositional frame in Swahili argumentation. | [MARGINAL] |
| kweli | Kusema ukweli, sikupenda hilo. | Kusema ukweli, sikupenda hilo. | To tell the truth, I didn't like that. / Honestly, I didn't like it. | *Kusema ukweli* functioning as a sentence-initial parenthetical frame equivalent to English "to tell the truth" or "honestly." The infinitive phrase is used as a discourse marker signaling honest admission. Extremely frequent in spoken and written Swahili. | [CORE] |
| kweli | Ukweli uliofichwa haufichiki milele. | Ukweli uliofichwa haufichiki milele. | A hidden truth cannot be hidden forever. | A proverbial construction combining the relative clause *uliofichwa* ("which was hidden," already documented in P1b) with the stative negative *haufichiki milele* ("cannot be hidden forever"). Used in moral and investigative discourse to assert the ultimate discoverability of suppressed truth. | [CORE] |
| kweli | Niambie ukweli, usiniambie uongo. | Niambie ukweli, usiniambie uongo. | Tell me the truth, don't tell me lies. | A paired imperative construction contrasting *ukweli* and *uongo* in a direct address. The negative imperative *usiniambie uongo* reinforces the positive command. Used in interpersonal confrontation, moral instruction, and narrative dialogue. | [CORE] |
| kweli | Kweli au uongo — chagua moja. | Kweli au uongo — chagua moja. | True or false — choose one. | An educational and logical construction presenting a binary choice between truth and falsehood. Already documented in P1b as a binary evaluative frame; noted here as a specific instructional construction with the imperative *chagua moja* ("choose one"), appearing in examination and quiz formats. | [CORE] |
| kweli | Hii si nusu kweli — ni uongo mtupu. | Hii si nusu kweli — ni uongo mtupu. | This is not a half-truth — it is an outright lie. | A contrastive construction opposing *nusu kweli* (half-truth, documented in P1b) with *uongo mtupu* (outright lie, documented in P1). Used in argumentative and journalistic discourse to escalate a charge from partial deception to complete falsehood. | [CORE] |
| kweli | Mtu wa kweli hasemi uongo. | Mtu wa kweli hasemi uongo. | A truthful person does not tell lies. | A proverbial construction combining *mtu wa kweli* (a truthful/genuine person, documented in P1b) with the habitual negative *hasemi uongo* ("does not tell lies"). Used in moral instruction and character evaluation to define the truthful person by their conduct. | [CORE] |
| ukweli | ukweli wa mambo | ukweli wa mambo | the truth of the matter; the facts of the case; how things really are | Nominal modification construction using the associative particle *wa* to link *ukweli* with *mambo* (things, matters). Prior-attested in P1b. Common in journalistic, legal, and everyday evaluative contexts. | [CORE] |
| ukweli | ukweli mtupu | ukweli mtupu | the plain truth; the bare truth; nothing but the truth | Nominal phrase with postposed adjective *mtupu* (pure, mere, nothing but) in class 11 agreement. Prior-attested in P1b. Used in legal and moral contexts to assert a statement contains no falsehood or embellishment. | [CORE] |
| ukweli | ukweli mzima | ukweli mzima | the whole truth; the full truth | Nominal phrase with postposed adjective *mzima* (whole, complete) in class 11 agreement. Prior-attested in P1b. Used in legal and moral contexts to insist on complete disclosure. | [CORE] |
| ukweli | ukweli na uwazi | ukweli na uwazi | truth and transparency; honesty and openness | Paired nominal construction using *na* (and) to link *ukweli* with *uwazi* (openness, transparency). Prior-attested in P1b. Common in governance, journalism, and civil society discourse. | [CORE] |
| ukweli | ukweli na haki | ukweli na haki | truth and justice; truth and rights | Paired nominal construction linking *ukweli* with *haki*. Prior-attested in P1b. Common in legal, political, and moral discourse and in the names of advocacy organizations. | [CORE] |
| ukweli | ukweli unauma | ukweli unauma | the truth hurts | Subject-verb construction with *ukweli* as subject and *unauma* (it hurts/stings; class 11 subject prefix + present tense + *uma*) as predicate. Prior-attested in P1b as a widely used proverbial expression. | [CORE] |
| ukweli | ukweli uliofichwa | ukweli uliofichwa | hidden truth; concealed truth; suppressed truth | Nominal relative clause construction: *ukweli* + relative clause *uliofichwa* (that was hidden; passive relative). Prior-attested in P1b. Used in investigative journalism and political discourse. | [CORE] |
| ukweli | nusu ukweli | nusu ukweli | half-truth; partial truth | Nominal construction with *nusu* (half) as preposed modifier. Prior-attested in P1b. Used in media criticism and political commentary to describe a technically accurate but misleading statement. | [CORE] |
| ukweli | Tafuta ukweli. | Tafuta ukweli. | Seek the truth. / Search for the truth. | Imperative construction using *tafuta* (seek, search for) with *ukweli* as direct object. Prior-attested in P1b. Used in journalistic, philosophical, and religious discourse; also appears as a motto. | [CORE] |
| ukweli | Sema ukweli. | Sema ukweli. | Tell the truth. / Speak the truth. | Imperative construction using *sema* (speak/say) with *ukweli* as direct object. Prior-attested in P1b. Used in moral instruction, legal proceedings, and everyday confrontations. | [CORE] |
| ukweli | Kusema ukweli ni wajibu. | Kusema ukweli ni wajibu. | Telling the truth is a duty. / To tell the truth is an obligation. | Infinitival subject construction: *kusema ukweli* (to tell the truth) functions as the subject of the copular predication *ni wajibu* (is a duty/obligation). Prior-attested in P1b. Used in moral and legal discourse. | [CORE] |
| ukweli | Mwambie ukweli. | Mwambie ukweli. | Tell him/her the truth. | Directive construction with object prefix *mw-* (class 1, him/her) on the verb *ambie* (subjunctive of *kuambia*, to tell) and *ukweli* as content object. Prior-attested in P1b. Common in everyday interpersonal contexts. Represents the standard imperative form for enjoining truth-telling toward a third party. | [CORE] |
| ukweli | ukweli wa kihistoria | ukweli wa kihistoria | historical truth; historical accuracy | Nominal modification construction with *ki-* adjectival prefix on *historia* (history). Prior-attested in P1b. Used in academic, journalistic, and political discourse. | [CORE] |
| ukweli | ukweli wa kisayansi | ukweli wa kisayansi | scientific truth; empirical truth | Nominal modification construction with *ki-* adjectival prefix on *sayansi* (science). Prior-attested in P1b. Used in academic and educational discourse. | [CORE] |
| ukweli | ukweli wa kidini | ukweli wa kidini | religious truth; doctrinal truth | Nominal modification construction with *ki-* adjectival prefix on *dini* (religion). Prior-attested in P1b. Used in theological and interfaith discourse. | [CORE] |
| ukweli | Ukweli utakuwa ukweli daima. | Ukweli utakuwa ukweli daima. | Truth will always be truth. / The truth will always remain the truth. | Copular future construction using *utakuwa* (will be; class 11 subject prefix + future + *kuwa*) with *daima* (always) as adverb. Used in moral and rhetorical discourse to assert the permanence of truth. Attested in written and oratorical registers. | [MARGINAL] |
| ukweli | Ukweli ni uchungu. | Ukweli ni uchungu. | Truth is bitter. / Truth is painful. | A proverbial copular construction asserting the painful nature of honest disclosure. Already documented in P1b; cross-referenced here. Used in moral discourse to acknowledge the cost of honesty. | [CORE] |
