| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| tosi | Se on tosi juttu. | se on tosi juttu | That's a true story / That's for real | Colloquial expression confirming something is genuine or actually happened. Common in informal speech. | [CORE] |
| tosi | Se on ihan tosi. | se on ihan tosi | It's completely true / It's totally real | Emphatic construction using intensifier *ihan* "completely" with *tosi*. Very common in spoken Finnish. | [CORE] |
| tosi (via totuus → totta partitive) | Se ei ole totta. | se ei ole totta | That's not true | Standard negation of truth claims using partitive case of *totuus*. Extremely common. | [CORE] |
| tosi (via totuus → totta) | Onko se totta? | onko se totta | Is that true? | Standard question form for verifying truth. Very common. | [CORE] |
| tosi (via totuus → totta) | Totta kai tulen. | totta kai tulen | Of course I'll come / Certainly | Fixed expression meaning "of course" or "certainly." Extremely common in affirmative responses. | [CORE] |
| tosi (via totuus → totta) | Totta puhuen, en tiedä. | totta puhuen en tiedä | To tell the truth, I don't know / Truthfully | Fixed adverbial expression introducing honest admission. Common in both spoken and written Finnish. | [CORE] |
| tosi (via totuus → totta + tosiaan) | Totta tosiaan, unohdin sen. | totta tosiaan unohdin sen | Indeed, I forgot it / As a matter of fact | Emphatic fixed expression confirming or emphasizing truth. Somewhat formal or emphatic. | [CORE] |
| pitää paikkansa (P1 item) | Väite ei pidä paikkaansa. | väite ei pidä paikkaansa | The claim is not true / doesn't hold | Formal negation construction for rejecting claims. Common in formal discourse. | [CORE] |
| totuus | Kerro koko totuus. | kerro koko totuus | Tell the whole truth | Common collocation emphasizing complete truthfulness. Often appears in legal/investigative contexts. | [CORE] |
| totuus | Se on puhdas totuus. | se on puhdas totuus | It's the pure truth / the plain truth | Emphatic collocation stressing unvarnished truth. Common in assertions. | [CORE] |
| totuus | Totuus paljastuu lopulta. | totuus paljastuu lopulta | The truth will be revealed eventually | Common construction with verb *paljastua* "to be revealed." Frequent in narrative and investigative contexts. | [CORE] |
| totuus | Totuus on se, että hän valehteli. | totuus on se että hän valehteli | The truth is that he lied | Fixed construction introducing factual statement. Common in explanations and revelations. | [CORE] |
| totuus | Nyt on totuuden hetki. | nyt on totuuden hetki | Now is the moment of truth | Fixed expression for critical moment when truth emerges. Common in dramatic contexts. | [CORE] |
| totuus (+ valhe) | erottaa totuus ja valhe | erottaa totuus ja valhe | to distinguish truth and falsehood | Fixed pair construction. Common in epistemological and moral discourse. | [CORE] |
| oikea | Sinä olit oikeassa. | sinä olit oikeassa | You were right | Fixed construction using inessive case. Extremely common for acknowledging correctness. | [CORE] |
| väärä (antonym construction) | Minä olin väärässä. | minä olin väärässä | I was wrong | Fixed construction using inessive case, parallel to *olla oikeassa*. Extremely common. | [CORE] |
| oikea | Tulit oikeaan aikaan. | tulit oikeaan aikaan | You came at the right time | Common temporal collocation. Frequent in everyday speech. | [MARGINAL] |
| oikea | Tee se oikealla tavalla. | tee se oikealla tavalla | Do it the right way / correctly | Common manner collocation. Frequent in instructions. | [CORE] |
| oikea | Olemme oikealla tiellä / oikeassa suunnassa. | olemme oikealla tiellä / oikeassa suunnassa | We're on the right track / in the right direction | Common metaphorical construction for correct approach. Often used figuratively. | [CORE] |
| oikea | Arvaus osui oikeaan. | arvaus osui oikeaan | The guess hit the mark / was correct | Idiomatic construction with verb *osua* "to hit." Common for successful guesses or predictions. | [CORE] |
| väärä | Minulla oli väärä käsitys. | minulla oli väärä käsitys | I had the wrong impression / misconception | Very common collocation for mistaken understanding. Frequent in corrections and clarifications. | [CORE] |
| väärä | Sait väärän kuvan tilanteesta. | sait väärän kuvan tilanteesta | You got the wrong picture of the situation | Common metaphorical collocation for misunderstanding. Frequent in explanations. | [CORE] |
| väärä | Hänellä on väärä käsitys siitä, että olisin samaa mieltä. | hänellä on väärä käsitys siitä että olisin samaa mieltä | He has the wrong idea that I would agree | Extended construction introducing mistaken belief. Common in corrections. | [CORE] |
| (no direct P1 base, but semantically related to väärä) | Suunnitelma meni pieleen. | suunnitelma meni pieleen | The plan went wrong | Common idiomatic construction for things going wrong. Note: *pieleen* and *vikaan* are not P1 items but represent common "going wrong" constructions. | [MARGINAL] |
| valhe | Hän puhui valhetta. | hän puhui valhetta | He/she told a lie | Standard construction with verb *puhua* "to speak." Common alternative to *valehdella*. | [CORE] |
| valhe | Hän eli valheessa vuosia. | hän eli valheessa vuosia | He/she lived a lie for years | Idiomatic construction for living inauthentically or in deception. Common in narrative contexts. | [CORE] |
| valhe | Toimittaja paljasti valheen. | toimittaja paljasti valheen | The journalist exposed the lie | Common collocation with verb *paljastaa* "to expose/reveal." Frequent in investigative contexts. | [CORE] |
| valhe | Se oli vain valkoinen valhe. | se oli vain valkoinen valhe | It was just a white lie | Calque from English, now established in Finnish. Common for harmless lies. | [CORE] |
| todistaa | Hän yritti todistaa syyttömyytensä. | hän yritti todistaa syyttömyytensä | He/she tried to prove his/her innocence | Common legal collocation. Frequent in criminal justice contexts. | [CORE] |
| todistaa | Väite todistettiin vääräksi. | väite todistettiin vääräksi | The claim was proven false | Common construction with translative case (*vääräksi*). Frequent in refutations. | [CORE] |
| todistaa | Teoria todistettiin oikeaksi. | teoria todistettiin oikeaksi | The theory was proven correct | Common construction with translative case (*oikeaksi*). Frequent in scientific/argumentative contexts. | [CORE] |
| todiste | Syyttäjä esitti todisteita. | syyttäjä esitti todisteita | The prosecutor presented evidence | Standard legal collocation with verb *esittää* "to present." Very common in legal contexts. | [CORE] |
| todiste | Se on kiistaton todiste hänen syyllisyydestään. | se on kiistaton todiste hänen syyllisyydestään | It's indisputable evidence of his/her guilt | Common emphatic collocation. Frequent in argumentative contexts. | [CORE] |
| todiste | Todisteiden perusteella hän on syyllinen. | todisteiden perusteella hän on syyllinen | Based on the evidence, he/she is guilty | Fixed construction using postposition *perusteella* "based on." Very common in reasoning. | [CORE] |
| rehellinen | Rehellisesti sanottuna, en pidä siitä. | rehellisesti sanottuna en pidä siitä | Honestly speaking, I don't like it | Fixed adverbial expression introducing frank admission. Very common in both spoken and written Finnish. | [CORE] |
| rehellinen | Olen rehellinen sinulle. | olen rehellinen sinulle | I'm being honest with you | Common construction emphasizing truthfulness. Frequent in personal communication. | [CORE] |
| aito (+ rehellinen) | Hän on aito ja rehellinen ihminen. | hän on aito ja rehellinen ihminen | He/she is a genuine and honest person | Common paired construction. Frequent in character evaluation. | [CORE] |
| uskottava | Hänellä oli uskottava selitys. | hänellä oli uskottava selitys | He/she had a credible explanation | Very common collocation. Frequent in evaluating accounts and testimonies. | [CORE] |
| uskottava | Se ei kuulosta uskottavalta. | se ei kuulosta uskottavalta | That doesn't sound credible | Common construction with verb *kuulostaa* "to sound." Frequent in skeptical responses. | [CORE] |
| luotettava | Tieto tulee luotettavasta lähteestä. | tieto tulee luotettavasta lähteestä | The information comes from a reliable source | Very common collocation, especially in journalism and research contexts. | [CORE] |
| luotettava | Tarvitsemme luotettavaa tietoa. | tarvitsemme luotettavaa tietoa | We need reliable information | Very common collocation. Frequent in information-seeking contexts. | [CORE] |
| väittää | Hän väittää olevansa syytön. | hän väittää olevansa syytön | He/she claims to be innocent | Common construction with infinitive complement. Very frequent in reported claims. | [CORE] |
| väittää | Hän väittää, että näki kaiken. | hän väittää että näki kaiken | He/she claims that he/she saw everything | Standard complement clause construction. Extremely common in reporting claims. | [CORE] |
| väittää | Kukaan ei väittänyt vastaan. | kukaan ei väittänyt vastaan | No one contradicted / argued against | Idiomatic construction with postposition *vastaan* "against." Common in debate contexts. | [CORE] |
| harhaanjohtava | Yritys käytti harhaanjohtavaa mainontaa. | yritys käytti harhaanjohtavaa mainontaa | The company used misleading advertising | Very common legal/commercial collocation. Frequent in consumer protection contexts. | [CORE] |
| harhaanjohtava | Saimme harhaanjohtavaa tietoa. | saimme harhaanjohtavaa tietoa | We received misleading information | Common collocation. Frequent in contexts of misinformation. | [CORE] |
| paikkansapitävä | Varmista, että tieto on paikkansapitävää. | varmista että tieto on paikkansapitävää | Ensure that the information is accurate | Common formal collocation. Frequent in administrative and journalistic contexts. | [CORE] |
| paikkansapitävä | Väite ei ole paikkansapitävä. | väite ei ole paikkansapitävä | The claim is not accurate | Common negation construction. Frequent in formal corrections. | [CORE] |
| todennäköinen | On todennäköistä, että hän tulee. | on todennäköistä että hän tulee | It is probable that he/she will come | Standard impersonal construction with complement clause. Very common in predictions. | [CORE] |
| todennäköinen | Se on hyvin todennäköistä. | se on hyvin todennäköistä | That is very probable | Common construction with degree adverbs. Frequent in probability assessments. | [CORE] |
| tosiasia | Se on kiistaton tosiasia. | se on kiistaton tosiasia | It's an indisputable fact | Common emphatic collocation. Frequent in strong assertions. | [CORE] |
| tosiasia | Tosiasiat puhuvat puolestaan. | tosiasiat puhuvat puolestaan | The facts speak for themselves | Fixed idiomatic expression. Common in argumentative contexts. | [CORE] |
| tosiasia | On tosiasia, että ilmasto lämpenee. | on tosiasia että ilmasto lämpenee | It is a fact that the climate is warming | Standard construction introducing factual statement. Very common in assertions. | [CORE] |
| tosiasia | Päätös on tosiasioihin perustuva. | päätös on tosiasioihin perustuva | The decision is based on facts | Common participial construction. Frequent in formal discourse (also documented in P1b). | [CORE] |
| vääristää | Hän vääristää totuutta. | hän vääristää totuutta | He/she is distorting the truth | Very common collocation. Frequent in accusations of misrepresentation. | [CORE] |
| vääristää | Media vääristää tosiasioita. | media vääristää tosiasioita | The media distorts facts | Common collocation. Frequent in media criticism. | [CORE] |
| todeta | On todettava, että tilanne on vakava. | on todettava että tilanne on vakava | It must be noted that the situation is serious | Formal impersonal construction introducing observation. Common in formal discourse. | [CORE] |
| todeta | Voidaan todeta, että koe onnistui. | voidaan todeta että koe onnistui | It can be stated that the experiment succeeded | Formal passive construction. Very common in academic and official writing. | [CORE] |
| virheellinen | Saimme virheellistä tietoa. | saimme virheellistä tietoa | We received erroneous information | Common formal collocation. Frequent in corrections and clarifications. | [CORE] |
| virheellinen | Hänellä on virheellinen käsitys asiasta. | hänellä on virheellinen käsitys asiasta | He/she has an erroneous understanding of the matter | Common formal collocation, more formal than *väärä käsitys*. Frequent in formal corrections. | [CORE] |
| petollinen | Hänellä on petollinen ulkonäkö. | hänellä on petollinen ulkonäkö | He/she has a deceptive appearance | Common collocation for misleading appearances. Frequent in character descriptions. | [CORE] |
| vilpitön | Hänellä on vilpitön halu auttaa. | hänellä on vilpitön halu auttaa | He/she has a sincere desire to help | Common collocation emphasizing genuine intention. Frequent in character evaluation. | [CORE] |
| vilpitön (via vilpittömästi) | Olen vilpittömästi pahoillani. | olen vilpittömästi pahoillani | I am sincerely sorry | Common construction emphasizing genuine regret. Frequent in apologies. | [CORE] |
