# CLCA Protocol v3.1 — F6 Naturalness Table
# Language: Korean (ko)

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1.1 | 진실이 되다 | jinsiri doeda | [CORE] | Proverbial expression, highly conventionalized; used when something previously false, uncertain, or hypothetical becomes established as truth |
| 1.1 (example) | 거짓말도 백번 하면 진실이 된다 | geojinmaldo baekbeon hamyeon jinsiri doenda | [CORE] | Proverbial: "If you tell a lie a hundred times, it becomes truth" |
| 1.2 | 사실이 되다 | sasiri doeda | [CORE] | Common in everyday speech; used when plans, hopes, or possibilities become actual facts or reality |
| 1.2 (example) | 꿈이 사실이 되다 | kkumi sasiri doeda | [CORE] | "A dream becomes reality" |
| 1.2 (example) | 소문이 사실이 되다 | somuni sasiri doeda | [CORE] | "A rumor becomes fact" |
| 1.3 | 확실해지다 | hwaksilhaejida | [CORE] | Common in investigative and analytical contexts; describes increase in certainty or definiteness |
| 1.3 (example) | 사실이 확실해지다 | sasiri hwaksilhaejida | [CORE] | "The facts become certain" |
| 1.4 | 명백해지다 | myeongbaekaejida | [CORE] | Common in formal and analytical discourse; emphasizes clarity or obviousness emerging |
| 1.4 (example) | 진실이 명백해지다 | jinsiri myeongbaekaejida | [CORE] | "The truth becomes obvious" |
| 1.5 | 분명해지다 | bunmyeonghaejida | [CORE] | Common across registers; used when facts or truth become clear or evident |
| 1.5 (example) | 사실이 분명해지다 | sasiri bunmyeonghaejida | [CORE] | "The facts become clear" |
| 1.6 | 진짜가 되다 | jinjjaga doeda | [MARGINAL] | Grammatically possible but uncommon; more often expressed as 진짜로 밝혀지다 "revealed to be real" |
| 1.6 (example) | 가짜가 진짜가 되다 | gajjaga jinjjaga doeda | [MARGINAL] | "The fake becomes real" — grammatical but not attested in natural usage |
| 2.1 | 거짓이 되다 | geojisi doeda | [MARGINAL] | Grammatically possible but uncommon; typically used in philosophical or paradoxical contexts |
