# CLCA Protocol v3.4 — F4 Construction Table
# Language: Georgian (ka)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | ეს მართალია | es mart'alia | this is true/correct | Standard predicative construction used in all registers. The incorporated copula form (adjective + -ა) is the unmarked present tense pattern for statements of fact, evaluation, and description. | [CORE] |
| **1. ATTRIBUTION** | ინფორმაცია სანდოა | inpormatsia sandoa | the information is reliable | Standard predicative construction used in all registers. The incorporated copula form (adjective + -ა) is the unmarked present tense pattern for statements of fact, evaluation, and description. | [CORE] |
| **1. ATTRIBUTION (Alternate)** | ეს არის მართალი | es aris mart'ali | this is true | Analytic form with separate copula არის (aris) is equally natural, may carry slight emphasis on the copula or be preferred in formal/careful speech. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | ეს არ არის მართალი | es ar aris mart'ali | this is not true/correct | Standard negation pattern obligatory for predicative negation. The particle არ (ar) must precede the copula; no alternative word order possible. Used across all registers and contexts. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | ინფორმაცია არ არის სანდო | inpormatsia ar aris sando | the information is not reliable | Standard negation pattern obligatory for predicative negation. The particle არ (ar) must precede the copula; no alternative word order possible. Used across all registers and contexts. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | ნამდვილი მეგობარი | namdvili megobari | true friend | Unmarked attributive construction with adjective preceding noun. Used freely in all contexts with no restrictions. The invariant form applies regardless of case or number of the head noun. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | სანდო წყარო | sando ts'q'aro | reliable source | Unmarked attributive construction with adjective preceding noun. Used freely in all contexts with no restrictions. The invariant form applies regardless of case or number of the head noun. | [CORE] |
| **4. BECOME / INCHOATIVE** | ეს მართალი გახდა | es mart'ali gakhda | this became true/turned out to be true | Common construction for change of state or realization. The verb გახდომა (gakhdoma) is the standard inchoative verb, used when something comes to be recognized as true or when a state changes. | [CORE] |
| **4. BECOME / INCHOATIVE** | ინფორმაცია საეჭვო გახდა | inpormatsia saech'vo gakhda | the information became doubtful | Common construction for change of state or realization. The verb გახდომა (gakhdoma) is the standard inchoative verb, used when something comes to be recognized as true or when a state changes. | [CORE] |
| **4. BECOME / INCHOATIVE (Alternate)** | ეს მართალი ხდება | es mart'ali khdeba | this becomes true | The verb ხდება (khdeba) is equally natural, may be preferred for ongoing or habitual change. Both verbs are fully productive with truth-domain adjectives. | [CORE] |
| **5. CAUSATIVE** | გაამართლა | gamart'la | justified, vindicated | Causative morphology with truth-adjectives is restricted. Direct causatives are rare; speakers prefer specific lexical verbs for causation in the truth domain (proving, showing, revealing). | [MARGINAL] |
| **5. CAUSATIVE** | დაამტკიცა | daamt'k'itsa | proved, confirmed | This is actually a lexical verb "to prove," not a morphological causative of a truth-adjective. Such specific verbs are the natural way to express causation of truth-states. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | სიმართლე | simart'le | truth | Highly productive pattern სი-...-ე for quality nouns from native roots. Used freely across all registers. This is the standard way to create abstract nouns denoting qualities or states. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | სანდოობა | sandooba | reliability | The -ობა suffix is equally productive, especially with adjectives of foreign origin or technical terms. Both patterns are fully natural. | [CORE] |
| **6. ABSTRACT NOMINALIZATION (Alternate)** | სიზუსტე | sizuste | precision | Additional examples show the სი-...-ე pattern applies broadly to truth-domain concepts (accuracy, correctness, etc.). | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | მატყუარა | mat'q'uara | liar | The მა-...-არა pattern is productive and natural for habitual or characteristic agents, especially those with negative connotations. Common in everyday speech and literature. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | დამაჯერებელი | damajerebeli | convincing one | The -ელი suffix creates agent nouns but this example functions more as a participle/adjective "convincing" than as a true agent noun "one who convinces." Usage as pure agent noun is less common. | [MARGINAL] |
| **7. AGENTIVE NOMINALIZATION (Alternate)** | მაყალბებელი | maq'albebeli | forger | The მა-...-ელი pattern (combining prefix and suffix) is productive for agents of deceptive actions. | [CORE] |
| **8. EVIDENTIAL/EPISTEMIC MARKING** | მართალი თურმე იყო | mart'ali turme iq'o | apparently it was true | The particle თურმე (turme) is common in narrative and conversational contexts to mark reportative or mirative information (surprise at learning something). Used freely across registers. | [CORE] |
| **8. EVIDENTIAL/EPISTEMIC MARKING** | მართალი ხომ არის | mart'ali khom aris | it is true, you know | The particle ხომ (khom) is extremely common in conversation for seeking confirmation or presenting shared knowledge. Natural in interactive contexts. | [CORE] |
| **8. EVIDENTIAL/EPISTEMIC MARKING (Alternate)** | მართალი მეთქი იყო | mart'ali metki iq'o | allegedly it was true | The particle მეთქი (metki) marks hearsay or distanced information, common in both speech and writing. | [CORE] |
| **9. DEGREE MODIFICATION** | ძალიან მართალი | dzalian mart'ali | very true/correct | Standard intensification pattern with adverbial modifier preceding adjective. Used naturally across all contexts. The intensifier ძალიან (dzalian) is the most common general intensifier. | [CORE] |
| **9. DEGREE MODIFICATION** | უფრო ზუსტი | upro zusti | more precise | The comparative particle უფრო (upro) is the standard and only way to form comparatives. Fully productive and natural with all gradable adjectives. | [CORE] |
| **9. DEGREE MODIFICATION (Alternate)** | ყველაზე ზუსტი | q'velaze zusti | most precise | Superlative with ყველაზე (q'velaze) is equally standard and productive. | [CORE] |
| **10. CONTRASTIVE/CORRECTIVE** | არა მცდარია, არამედ მართალია | ara mts'daria, aramed mart'alia | it's not false, but true | Standard contrastive construction used for explicit correction or contrast. Common in argumentative discourse, explanations, and clarifications. The არა...არამედ frame is fixed. | [CORE] |
| **10. CONTRASTIVE/CORRECTIVE** | არა ყალბი, არამედ ნამდვილი | ara q'albi, aramed namdvili | not fake, but genuine | Standard contrastive construction used for explicit correction or contrast. Common in argumentative discourse, explanations, and clarifications. The არა...არამედ frame is fixed. | [CORE] |
| **10. CONTRASTIVE/CORRECTIVE (Alternate)** | კი არა მცდარია, არამედ მართალია | ki ara mts'daria, aramed mart'alia | it's not false, but true | The emphatic particle კი (ki) adds emphasis to the negation, equally natural in contrastive contexts. | [CORE] |
| **11. METALINGUISTIC TRUTH PREDICATES** | სიმართლეს ამბობს | simart'les ambobs | tells the truth | Fixed expression with dative case on truth noun. This is the standard idiomatic way to express truth-telling. Used across all registers and contexts. | [CORE] |
| **11. METALINGUISTIC TRUTH PREDICATES** | ტყუილს ამბობს | t'q'uils ambobs | tells lies | Parallel construction for lying, equally fixed and natural. | [CORE] |
| **11. METALINGUISTIC TRUTH PREDICATES (Alternate)** | სიმართლე რომ ვთქვათ | simart'le rom vt'q'vat | to tell the truth | Fixed discourse marker using subjunctive mood, extremely common in conversation and narrative for introducing honest statements or corrections. | [CORE] |
| **12. APPEARANCE/SEEMING** | მართალი ჩანს | mart'ali ch'ans | it seems true/appears correct | Standard construction for appearance or seeming. The verb ჩანს (ch'ans) is the unmarked way to express how things appear. Common in all registers. | [CORE] |
| **12. APPEARANCE/SEEMING** | მოჩვენებითი სიმართლე | moch'venebiti simart'le | apparent truth | Attributive construction with adjective meaning "apparent, seeming." Natural in formal and analytical contexts for distinguishing appearance from reality. | [CORE] |
| **12. APPEARANCE/SEEMING (Alternate)** | მე მართალი მეჩვენება | me mart'ali mech'veneba | it seems true to me | Construction with dative experiencer makes the subjective perspective explicit. Equally natural, perhaps preferred when emphasizing personal perception. | [CORE] |
| **13. VERIFICATION/CONFIRMATION** | დაამტკიცა სიმართლე | daamt'k'itsa simart'le | proved the truth | Standard construction with verification verb taking truth noun as direct object. This is the natural way to express proving or confirming in Georgian. | [CORE] |
| **13. VERIFICATION/CONFIRMATION** | გადაამოწმა ინფორმაცია | gadaamots'ma inpormatsia | verified the information | Parallel construction with different verification verb, equally natural for checking or verifying information. | [CORE] |
| **13. VERIFICATION/CONFIRMATION (Alternate)** | დაადასტურა | dadast'ura | confirmed | Alternative verification verb, part of a set of lexical verbs for different aspects of verification (proving, checking, confirming, revealing). | [CORE] |
| **14. DOUBT/QUESTIONING** | ეჭვი მაქვს | ech'vi makvs | I have doubt / I doubt | Standard possessive construction for expressing doubt with dative experiencer. This is the unmarked way to express doubt in Georgian, used across all contexts. | [CORE] |
| **14. DOUBT/QUESTIONING** | საეჭვო ინფორმაციაა | saech'vo inpormatsiaa | it is doubtful information | Predicative construction with adjective "doubtful." Natural for characterizing information or claims as questionable. | [CORE] |
| **14. DOUBT/QUESTIONING (Alternate)** | ეჭვი შემეპარა | ech'vi shemep'ara | doubt seized me | More literary or emphatic expression for sudden onset of doubt. Less common in everyday speech but natural in narrative contexts. | [MARGINAL] |
| **15. CONCESSIVE** | მართალია, მაგრამ არასრული | mart'alia, magram arasruli | it's true, but incomplete | Standard concessive construction acknowledging truth while introducing contrast. Common in argumentative and explanatory discourse. The comma and conjunction მაგრამ (magram) are fixed elements. | [CORE] |
| **15. CONCESSIVE** | სწორია, თუმცა არაზუსტი | sts'oria, tumtsa arazusti | it's correct, however imprecise | Alternative with conjunction თუმცა (tumtsa) "however," equally natural and perhaps slightly more formal. | [CORE] |
| **15. CONCESSIVE (Alternate)** | მართალია, მაინც... | mart'alia, maints... | it's true, still... | The particle მაინც (maints) "still, nevertheless" provides another natural concessive option, common in conversation. | [CORE] |
