| Construction Type | Example | Transliteration | Translation | Epistemic Status | Usage Notes |
|---|---|---|---|---|---|
| ATTRIBUTION | **Hori egia da.** | — | “That is true.” | [CORE] | Very common for straightforward truth/correctness judgments in everyday speech and writing. The same copular pattern also supports evaluative forms like **zuzena / okerra**, especially when assessing answers, statements, or choices. Alternate constructions attested in P4a: **X [egia / gezurra / zuzena / okerra] da**. |
| ATTRIBUTION | **Erantzuna okerra da.** | — | “The answer is wrong.” | [CORE] | Natural in evaluative contexts such as teaching, testing, correction, and discussion. Definite predicate forms like **okerra** are especially normal when identifying something as the wrong one. Alternate constructions attested in P4a: **X [egia / gezurra / zuzena / okerra] da**. |
| NEGATIVE ATTRIBUTION | **Hori ez da egia.** | — | “That is not true.” | [CORE] | A very standard way to deny truth or accuracy, with simple copular negation. It is broadly usable in conversation, argumentation, and reporting, and does not require a special antonym. Alternate constructions attested in P4a: **X ez da [egia / zuzena / benetakoa]**. |
| NEGATIVE ATTRIBUTION | **Albiste hori ez da benetakoa.** | — | “That news item is not real/genuine.” | [CORE] | Natural when rejecting authenticity or genuineness rather than only factual truth. Especially suitable for reports, objects, documents, or media items whose reality or legitimacy is in question. Alternate constructions attested in P4a: **X ez da [egia / zuzena / benetakoa]**. |
| ADNOMINAL MODIFICATION | **egiazko istorioa** | — | “a true story” | [CORE] | A normal attributive pattern for classifying nouns by truth or authenticity. Forms in **-zko / -ko** are especially productive in descriptive and written usage. Alternate constructions attested in P4a: **[egiazko / benetako / gezurrezko / faltsu / fidagarri / sinesgarri] + N**. |
| ADNOMINAL MODIFICATION | **gezurrezko agiria** | — | “a false/forged document” | [CORE] | Natural in contexts involving documents, claims, objects, or representations judged false or fake. Choice among modifiers may vary by nuance, but the prenominal adjective pattern itself is well established. Alternate constructions attested in P4a: **[egiazko / benetako / gezurrezko / faltsu / fidagarri / sinesgarri] + N**. |
| BECOME / INCHOATIVE | **(no common expression identified)** | — | **(no common expression identified)** | [UNCERTAIN] | No secure dedicated inchoative construction was established in the supplied material. The dataset does not support rating any specific “become true/correct/false” pattern as idiomatic here. Alternate constructions attested in P4a: none. |
| BECOME / INCHOATIVE | **(no common expression identified)** | — | **(no common expression identified)** | [UNCERTAIN] | No attested common expression was identified in P4a, so usage remains unclear on the present evidence. No restrictions or variation can be stated securely beyond that absence. Alternate constructions attested in P4a: none. |
| CAUSATIVE (OR ABSENCE) | **Datuak egiaztatu dituzte.** | — | “They verified the data.” | [CORE] | This is a normal lexical verb for procedural confirmation or verification, especially in administrative, technical, or factual-checking contexts. It expresses confirmation rather than a productive causative built directly from the attribution pattern. Alternate constructions attested in P4a: **X [egiaztatu / zuzendu]**. |
| CAUSATIVE (OR ABSENCE) | **Irakasleak testua zuzendu du.** | — | “The teacher corrected the text.” | [CORE] | Very common for correcting texts, answers, mistakes, or performance. It is a lexical correction verb and not evidence for a dedicated truth-domain causative construction beyond this verb. Alternate constructions attested in P4a: **X [egiaztatu / zuzendu]**. |
| ABSTRACT NOMINALIZATION | **egiazkotasuna** | — | “truthfulness; authenticity” | [CORE] | A natural abstract noun in formal, descriptive, and evaluative contexts where a quality is being discussed. Derivational abstract nouns of this type are especially common in expository or analytical language. Alternate constructions attested in P4a: **Adj/verb base + abstract noun suffix: -tasun, -pen, -tze**. |
| ABSTRACT NOMINALIZATION | **zuzentasuna** | — | “correctness; rectitude” | [CORE] | Common when discussing correctness, propriety, or normative evaluation in formal or semi-formal registers. The **-tasun** pattern is productive for quality nouns in this semantic area. Alternate constructions attested in P4a: **Adj/verb base + abstract noun suffix: -tasun, -pen, -tze**. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **gezurti** | — | “liar” | [CORE] | A clear and idiomatic lexical noun for a person characterized by lying. The supplied material supports this item securely, but does not establish an equally common parallel noun for “truth-teller.” Alternate constructions attested in P4a: **N/verb base + agentive suffix**; also related light-verb expression **egia esan**. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **egia esan** | — | “tell the truth” | [CORE] | Natural as a verbal expression for truth-telling rather than an agent noun. In the present dataset it functions as the safer attested alternative where a lexicalized “truth-teller” noun is not established. Alternate constructions attested in P4a: **light-verb expression**; also related noun **gezurti**. |
| TRUTH-ASSESSMENT CLAUSE | **Egia da berandu iritsi zela.** | — | “It is true that he/she arrived late.” | [CORE] | A very common clause-level construction for affirming the truth of a proposition. It is especially natural in discourse that concedes, confirms, or frames a statement explicitly. Alternate constructions attested in P4a: **[proposition] + egia da / egia ote den**. |
