| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| kweli | ni kweli | ni kweli | it is true | Very common clause-level confirmation used to affirm that a statement is accurate. It is frequent in both everyday conversation and more formal discussion. | [CORE] |
| kweli | kwa kweli | kwa kweli | truly; really; in truth; actually | Extremely common as a discourse marker or adverbial expression. It can mark sincerity, emphasis, surprise, or a frank assessment. | [CORE] |
| kweli | kweli kabisa | kweli kabisa | absolutely true; really; truly | Used for emphatic confirmation or insistence. Common in speech and informal writing. | [CORE] |
| kweli | kweli ni kwamba | kweli ni kwamba | the truth is that | Used to introduce what the speaker presents as the real situation or decisive fact. Common in explanatory and argumentative discourse. | [CORE] |
| kweli | kweli kweli | kweli kweli | really truly; genuinely | Colloquial reduplicated emphatic expression. It intensifies insistence or surprise rather than simply asserting truth. | [CORE] |
| kweli | kweli tupu | kweli tupu | sheer truth; absolutely true | Emphatic expression used to stress that something is nothing but true. It overlaps with *ukweli mtupu* but is somewhat more colloquial. | [CORE] |
| kweli | si kweli | si kweli | not true; false | Very common expression for direct contradiction or denial. Used in everyday rebuttal, argument, and public correction. | [CORE] |
| kweli | kweli au si kweli | kweli au si kweli | true or not true | Used in debate, questioning, and explicit verification contexts. It frames an issue in terms of factual confirmation. | [MARGINAL] |
| uongo | kusema uongo | kusema uongo | to tell a lie; to lie | This is the standard everyday verbal expression for lying. It is common in ordinary conversation, moral instruction, and accusation. | [CORE] |
| uongo | sema uongo | sema uongo | tell a lie | Imperative form used in direct accusation, quotation, or rhetorical contrast, though less neutral than the infinitival expression. It is natural where the act of lying is directly commanded or described. | [MARGINAL] |
| uongo | ni uongo | ni uongo | it is a lie; it is false | Common expression for rejecting a statement as false. It is stronger and more accusatory than *si kweli* in many contexts. | [CORE] |
| uongo | uongo mtupu | uongo mtupu | pure lies; nothing but lies | Emphatic expression used to dismiss a claim or report as entirely false. Common in argument and public denunciation. | [CORE] |
| uongo | habari za uongo | habari za uongo | false news; fake news | Used for reports or news judged false or fabricated. Common in media-related and public-information contexts. | [CORE] |
| uongo | taarifa za uongo | taarifa za uongo | false information; false reports | Used in administration, media, and public communication for information considered untrue. It is a natural descriptive construction rather than a fixed idiom. | [CORE] |
| -kweli | wa kweli | wa kweli | genuine; real; true | Agreement form used especially with persons or plural-class nouns. It commonly marks genuineness, sincerity, or authenticity. | [CORE] |
| -kweli | ya kweli | ya kweli | true; real; genuine | Common agreeing form used with statements, stories, goods, or situations. It can refer either to factual truth or authenticity. | [CORE] |
| -kweli | cha kweli | cha kweli | genuine; real; true | Another common agreement form in ordinary descriptive speech. Often used in contrasts with imitation, pretense, or exaggeration. | [CORE] |
| -ongo | wa uongo | wa uongo | false; deceitful; fake | Agreement-based descriptive expression used for persons or plural-class nouns characterized by falsity or deceit. It is natural especially in contrasts with *wa kweli*. | [CORE] |
| -ongo | ya uongo | ya uongo | false; fake | Used with appropriate noun classes for false statements, fake goods, or deceptive claims. It is a regular descriptive construction rather than a strongly idiomatic one. | [CORE] |
| -ongo | si ya kweli bali ya uongo | si ya kweli bali ya uongo | not genuine/true but false/fake | Contrastive evaluative pattern used when explicitly opposing authenticity and falsity. It is especially natural in formal or rhetorical description. | [MARGINAL] |
| sahihi | si sahihi | si sahihi | not correct; incorrect; improper | Very common expression for rejecting an answer, statement, procedure, or action as incorrect. It can refer to factual error, procedural fault, or inappropriateness. | [CORE] |
| sahihi | jibu sahihi | jibu sahihi | correct answer | Extremely common in educational settings and tests. It is also used metaphorically in problem-solving or discussion. | [CORE] |
| sahihi | majibu sahihi | majibu sahihi | correct answers | Common in classrooms, marking schemes, and instructional materials. It refers to answers judged right by a standard. | [CORE] |
| sahihi | taarifa sahihi | taarifa sahihi | accurate information; correct information | Common in media, administration, and public communication. It emphasizes factual reliability and exactness. | [CORE] |
| sahihi | maelezo sahihi | maelezo sahihi | correct details; accurate explanation | Used in reporting, instruction, and official communication. Depending on context, it may refer to exact details or a proper explanation. | [CORE] |
| sahihi | tahajia sahihi | tahajia sahihi | correct spelling | Common in education and editing. It evaluates conformity to standard orthography. | [CORE] |
| sahihi | matumizi sahihi | matumizi sahihi | proper use; correct usage | Used in language teaching, medicine, technical instructions, and product guidance. It refers to use according to accepted rules or instructions. | [CORE] |
| sahihi | utaratibu sahihi | utaratibu sahihi | proper procedure; correct procedure | Common in administration, medicine, law-enforcement commentary, and technical operations. It evaluates whether a process follows the right steps. | [CORE] |
| sahihi | njia sahihi | njia sahihi | the right way; correct method | Used in instruction, advice, and technical explanation. It can refer to practical method or normatively correct procedure. | [CORE] |
| sahihi | wakati sahihi | wakati sahihi | the right time | Common in planning, medicine, agriculture, and everyday advice. This extends beyond truth into appropriateness or exact timing. | [CORE] |
