# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Finnish (fi)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| tosi | valhe | tosi vs. valhe | true vs. lie | Core lexical opposition between truth and deliberate falsehood. *Tosi* evaluates correspondence to reality; *valhe* denotes intentional misrepresentation. This is the primary truth-falsity opposition in Finnish. | lexical | [CORE] |
| totuus | valhe | totuus vs. valhe | truth vs. lie | Abstract noun opposition between truth as concept/quality and lie as deliberate falsehood. Frequently paired in moral and philosophical discourse (*totuus ja valhe* "truth and lies"). | lexical | [CORE] |
| oikea | väärä | oikea vs. väärä | right/correct vs. wrong/false | Broad lexical opposition covering correctness (factual, procedural, moral). More general than truth-falsity; applies to answers, directions, choices, and moral judgments. Systematic polysemy across multiple domains. | lexical | [CORE] |
| oikein | väärin | oikein vs. väärin | correctly/rightly vs. wrongly/incorrectly | Adverbial opposition derived from *oikea/väärä*. Evaluates manner of action or understanding. Used across all registers for correctness evaluation. | lexical (derived) | [CORE] |
| olla oikeassa | olla väärässä | olla oikeassa vs. olla väärässä | to be right vs. to be wrong | Fixed constructional opposition using inessive case. Standard expressions for being correct/incorrect in judgment or statement. High frequency in spoken and informal registers. | constructional | [CORE] |
| todistaa oikeaksi | todistaa vääräksi | todistaa oikeaksi vs. todistaa vääräksi | to prove right/vindicate vs. to prove wrong/disprove | Constructional opposition using translative case to mark result state. Common in argumentative and scientific contexts for establishing correctness or falsity of claims. | constructional | [CORE] |
| tosi | epätosi | tosi vs. epätosi | true vs. untrue/false | Morphological opposition using negative prefix *epä-*. *Epätosi* marks absence of truth; more formal than *väärä*. Used primarily in analytical and formal discourse. | morphological | [CORE] |
| rehellinen | epärehellinen | rehellinen vs. epärehellinen | honest vs. dishonest | Morphological opposition using negative prefix *epä-*. Evaluates character and communicative integrity. Standard opposition in moral discourse about honesty. | morphological | [CORE] |
| luotettava | epäluotettava | luotettava vs. epäluotettava | reliable vs. unreliable | Morphological opposition using negative prefix *epä-*. Evaluates trustworthiness of sources, persons, or information. Common in source evaluation contexts. | morphological | [CORE] |
