| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1.1.1 | 사실로 밝혀지다 | sasillo balkhyeojida | [CORE] | Most common inchoative construction for 사실; common in journalistic and everyday contexts when a claim is confirmed after investigation |
| 1.1.2 | 사실임이 드러나다 | sasilimi deureonada | [CORE] | Intransitive; less common than 사실로 밝혀지다 but structurally parallel to the attested 허위임이 드러나다 |
| 1.2.1 | 사실을 확인하다 | sasil-eul hwagin-hada | [CORE] | Common across journalistic, legal, and everyday registers |
| 1.2.2 | 사실관계를 파악하다 | sasil gwangye-reul paak-ada | [CORE] | Common in legal and journalistic discourse |
| 1.3.1 | 사실을 왜곡하다 | sasil-eul waegok-ada | [CORE] | Common in journalistic and political discourse |
| 1.3.2 | 사실을 은폐하다 | sasil-eul eunpye-hada | [CORE] | Distinct from 왜곡하다 in that concealment does not alter the facts but prevents their disclosure |
| 1.5.1 | 사실이 아닌 것으로 밝혀지다 | sasiri anin geoseuro balkhyeojida | [CORE] | Periphrastic construction; no single lexicalized form for "ceasing to be a fact" is attested |
| 2.1.1 | 진실이 드러나다 | jinsil-i deureonada | [CORE] | Intransitive; 드러나다 implies prior concealment and carries a sense of unwanted or unexpected revelation; common in journalistic, narrative, and investigative contexts |
| 2.1.2 | 진실이 밝혀지다 | jinsil-i balkhyeojida | [CORE] | Partially interchangeable with 드러나다 but carries a slightly more neutral sense; common in journalistic and legal contexts |
| 2.2.1 | 진실을 밝히다 | jinsil-eul balkhida | [CORE] | Most common causative construction for truth disclosure; common in investigative, journalistic, and legal contexts |
| 2.2.2 | 진실 규명을 하다 / 진실을 규명하다 | jinsil gyumyeong-eul hada / jinsil-eul gyumyeonghada | [CORE] | Common in political, legal, and historical discourse |
| 2.3.1 | 진실을 숨기다 | jinsil-eul sumgida | [CORE] | Standard transitive verb for truth-concealment; direct causative counterpart to 진실이 드러나다 |
| 2.3.2 | 진실을 외면하다 | jinsil-eul oemyeonhada | [CORE] | Distinct from 숨기다 in that the avoidance is self-directed rather than concealment from others |
| 2.3.3 | 진실을 왜곡하다 | jinsil-eul waegok-ada | [CORE] | Common in journalistic and political discourse; implies deliberate or systematic misrepresentation rather than simple error |
| 3.2.1 | 진정성을 보여주다 | jinjeonseong-eul boyeojuda | [CORE] | Common in political, interpersonal, and public communication contexts regarding apologies and commitments |
| 3.2.2 | 진정성을 확보하다 | jinjeonseong-eul hwakbo-hada | [CORE] | Common in public communication contexts |
| 3.3.1 | 진정성을 의심하다 | jinjeonseong-eul uisimhada | [CORE] | The agent actively questions whether authenticity is present |
| 3.4.1 | 진정성을 의심받다 | jinjeonseong-eul uisim-batda | [CORE] | Subject moves from a state of presumed authenticity to a state of contested authenticity |
| 4.1.1 | 신뢰 관계가 형성되다 | sinloe gwangye-ga hyeongseong-doeda | [CORE] | Common in organizational and diplomatic discourse |
| 4.1.2 | 신뢰가 쌓이다 | sinloe-ga ssaida | [CORE] | Passive/spontaneous counterpart to the transitive 쌓다; natural in interpersonal and institutional contexts |
| 4.2.1 | 신뢰를 쌓다 | sinloe-reul ssada | [CORE] | Encodes gradual, agentive construction of trust; temporal dimension distinguishes this from 신뢰를 회복하다 |
| 4.2.2 | 신뢰 관계를 형성하다 | sinloe gwangye-reul hyeongseong-hada | [CORE] | More formal than 신뢰를 쌓다; common in organizational and diplomatic discourse |
| 4.3.1 | 신뢰를 회복하다 | sinloe-reul hoebokada | [CORE] | Encodes return to a prior stable state of trust after damage; common in political and organizational discourse |
| 4.4.1 | 신뢰를 바탕으로 하다 | sinloe-reul batang-euro hada | [CORE] | Encodes trust as a stable foundation; does not encode change but the absence of change |
| 4.4.2 | 신뢰에 기반하다 | sinloe-e gibanhada | [CORE] | Encodes a foundational relationship implying stability; does not encode change but the absence of change |
| 4.5.1 | 거짓말로 일관하다 | geojitmal-lo ilgwan-hada | [CORE] | Primary stability construction for a negative truth-domain state; used in legal and journalistic contexts |
| 4.6.1 | 신뢰를 잃다 | sinloe-reul ilta | [CORE] | Encodes transition from possession to non-possession of trust; common in political and journalistic discourse |
| 4.6.2 | 신뢰가 무너지다 | sinloe-ga muneoijida | [CORE] | Intransitive; metaphor of structural collapse presents loss of trust as sudden or catastrophic; no agent expressed |
| 4.7.1 | 신뢰를 저버리다 | sinloe-reul jeobeorida | [CORE] | Implies deliberate or culpable failure to honor trust; carries stronger moral charge than 잃다 |
| 4.8.1 | 신빙성을 확보하다 | sinbyeongseong-eul hwakbo-hada | [CORE] | Common in academic, journalistic, and legal discourse |
| 4.8.2 | 신빙성을 의심하다 | sinbyeongseong-eul uisimhada | [CORE] | Causative of epistemic state rather than direct causative of loss |
