# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Finnish (fi)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| tosi | epätosi | tosi / epätosi | true / untrue | Morphological negation using prefix *epä-* "un-/non-" creates direct antonym. *Epätosi* is formal/technical; *väärä* more common in everyday usage for the same semantic opposition. | morphological | [CORE] |
| tosi | väärä | tosi / väärä | true / false, wrong | Primary lexical opposition for truth evaluation. *Väärä* more frequent than *epätosi* across registers and serves as the unmarked antonym of *tosi*. | lexical | [CORE] |
| totuus | valhe | totuus / valhe | truth / lie, falsehood | Core lexical opposition between abstract nouns. *Totuus* denotes truth as quality/state; *valhe* denotes deliberate falsehood. Frequently paired in discourse (*totuus ja valhe* "truth and falsehood"). | lexical | [CORE] |
| oikea | väärä | oikea / väärä | right, correct / wrong, false | Primary opposition for correctness evaluation. Used in educational, procedural, and evaluative contexts. Both terms polysemous but clearly contrasted in correctness domain. | lexical | [CORE] |
| oikeellinen | virheellinen | oikeellinen / virheellinen | correct, accurate / erroneous, faulty | Formal/technical opposition derived from *oikea* and *virhe* "error." More restricted to formal registers than *oikea/väärä* opposition. Both use *-llinen* adjectival suffix. | lexical | [CORE] |
| olla oikeassa | olla väärässä | olla oikeassa / olla väärässä | to be right / to be wrong | Fixed constructional opposition using inessive case. Grammaticalized spatial metaphor ("being in rightness/wrongness"). Extremely frequent in conceding/admitting correctness or error. | constructional | [CORE] |
| rehellinen | epärehellinen | rehellinen / epärehellinen | honest / dishonest | Morphological negation using prefix *epä-*. Standard opposition for character evaluation. *Epärehellinen* more established than *epätosi*; no competing lexical antonym. | morphological | [CORE] |
| rehellinen | petollinen | rehellinen / petollinen | honest / deceptive, deceitful | Lexical opposition between honesty and deceptiveness. *Petollinen* emphasizes active deception rather than simple lack of honesty. Both used in moral/character evaluation. | lexical | [CORE] |
| aito | väärä (in authenticity contexts) | aito / väärä | genuine, authentic / false, fake | Opposition in authenticity domain. *Väärä* here means "fake/counterfeit" rather than "incorrect." Common with objects (*aito nahka* vs *väärä nahka* "genuine vs fake leather"). | lexical | [CORE] |
| aito | väärennös | aito / väärennös | genuine / forgery, counterfeit | Lexical opposition between authentic item and forged copy. *Väärennös* is noun denoting the counterfeit object itself. Common in art, document, and product authentication contexts. | lexical | [CORE] |
| luotettava | epäluotettava (implied but not in P1) | luotettava / epäluotettava | reliable, trustworthy / unreliable | Morphological negation using *epä-* prefix. *Epäluotettava* not explicitly in P1 vocabulary but standard formation. Opposition fundamental to source/information evaluation. | morphological | [CORE] |
| uskottava | ei kuulosta uskottavalta (constructional negation) | uskottava / ei kuulosta uskottavalta | credible, believable / doesn't sound credible | Constructional opposition using negation + verb *kuulostaa* "sound." No simple morphological antonym (*epäuskottava* less common). Opposition expressed through negative construction. | constructional | [CORE] |
| todellinen | kuvitteellinen (not in P1, but implied contrast) | todellinen / kuvitteellinen | real, actual / imaginary, fictional | Lexical opposition between actual and imaginary. *Kuvitteellinen* not in P1 core vocabulary but represents standard contrast in usage. *Todellinen* emphasizes correspondence with reality. | lexical | [CORE] |
| tosiasia | väite | tosiasia / väite | fact / claim, assertion | Lexical opposition between established fact and unverified claim. *Tosiasia* presupposes truth; *väite* neutral regarding truth value. Common in argumentative discourse distinguishing proven from asserted. | lexical | [CORE] |
| todistaa oikeaksi | todistaa vääräksi | todistaa oikeaksi / todistaa vääräksi | prove correct / prove false | Constructional opposition using translative case marking result state. Same verb *todistaa* with contrasting result adjectives. Common in scientific/argumentative contexts. | constructional | [CORE] |
| puhua totuutta | puhua valhetta | puhua totuutta / puhua valhetta | speak the truth / tell a lie | Constructional opposition using same verb *puhua* "speak" with contrasting objects. Standard expressions for truthful vs. deceptive speech. Both use partitive case for object. | constructional | [CORE] |
| valehdella | puhua totuutta | valehdella / puhua totuutta | to lie / speak the truth | Opposition between lexical verb for lying and constructional expression for truth-telling. Asymmetric: Finnish has dedicated verb *valehdella* but no simple verb *\*totuudella*; truth-speaking requires verb + object construction. | lexical vs. constructional | [CORE] |
| paikkansapitävä | ei pidä paikkaansa | paikkansapitävä / ei pidä paikkaansa | accurate, correct / does not hold, is not true | Opposition between participial adjective and negated verbal expression. Both use *pitää paikkansa* "hold its place" root but different grammatical realizations. Formal register. | constructional | [CORE] |
| on totta | ei ole totta | on totta / ei ole totta | is true / is not true | Basic constructional negation using negative particle *ei* + copula. Partitive case *totta* obligatory in both affirmative and negative. Most frequent truth-attribution pattern. | constructional | [CORE] |
| todellistua | ei todellistu | todellistua / ei todellistu | come true, be realized / not come true | Constructional negation of inchoative verb. Opposition between realization and non-realization of plans/hopes. Standard negation pattern; no lexical antonym. | constructional | [CORE] |
| todennäköinen | epätodennäköinen (not in P1, but standard formation) | todennäköinen / epätodennäköinen | probable, likely / improbable, unlikely | Morphological negation using *epä-* prefix. *Epätodennäköinen* not explicitly in P1 but standard formation. Opposition fundamental to probability assessment. | morphological | [CORE] |
| vilpitön | vilpillinen (not in P1, but implied) | vilpitön / vilpillinen | sincere, genuine / deceitful | Morphological opposition between privative *-tön* "without" and positive *-llinen* forms. *Vilpitön* (without deceit) in P1; *vilpillinen* (with deceit) implied contrast. Base noun *vilppi* "deceit" not in P1 core. | morphological | [CORE] |
| oikein | väärin | oikein / väärin | correctly, right / wrongly, incorrectly | Adverbial opposition using archaic *-in* suffix. Both forms lexicalized; pattern no longer productive. Parallel formation from *oikea/väärä* adjective roots. Extremely frequent in everyday speech. | lexical | [CORE] |
| oikeasti | (no direct antonym; negation: *ei oikeasti*) | oikeasti / ei oikeasti | really, actually / not really | Adverb *oikeasti* lacks simple lexical antonym; opposition expressed through negation. Used to emphasize reality vs. appearance or pretense. Constructional negation only. | constructional | [CORE] |
