# CLCA Protocol v3.2 — F1 VOCAB TABLE
# Language: Chinese (zh)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| 真 | zhēn | true, real, genuine | true, real, genuine, authentic | Used to describe statements that correspond to reality, objects that are authentic rather than fake, and genuine emotions or intentions. Appears in both everyday speech and formal contexts to mark truthfulness or authenticity. | [CORE] |
| 假 | jiǎ | false, fake, artificial | false, fake, counterfeit, artificial | Describes statements that do not correspond to reality, counterfeit objects, or pretended behavior. Commonly used in opposition to 真 across various contexts from factual claims to product authenticity. | [CORE] |
| 对 | duì | correct, right, facing/toward | correct, right, yes | Indicates correctness of statements, answers, or actions, often in response to questions or when evaluating accuracy. Widely used in everyday conversation and educational contexts to confirm or validate. | [CORE] |
| 错 | cuò | wrong, mistaken, error | wrong, incorrect, mistaken, erroneous | Marks statements, judgments, or actions as incorrect or mistaken. Used across contexts from simple factual errors to moral wrongdoing, often paired with 对 as its antonym. | [CORE] |
| 实 | shí | solid, real, actual | real, actual, solid, substantial | Emphasizes reality, actuality, or substantiality of things, often contrasted with appearance or theory. Frequently appears in compounds related to truthfulness and concrete reality. | [CORE] |
| 虚 | xū | empty, void, false, unreal | false, empty, unreal, nominal | Describes things lacking substance, reality, or truthfulness, including false statements and insubstantial claims. Often contrasted with 实 in philosophical and everyday discourse. | [CORE] |
| 诚 | chéng | sincere, honest, truthful | sincere, honest, truthful, genuine | Describes sincerity and honesty in speech and conduct, emphasizing alignment between inner state and outward expression. Central to moral and interpersonal evaluation in Chinese culture. | [CORE] |
| 准确 | zhǔnquè | standard + exact = accurate | accurate, precise, exact | Evaluates the precision and accuracy of statements, measurements, or representations. Commonly used in technical, scientific, and informational contexts to assess correspondence with facts. | [CORE] |
| 正确 | zhèngquè | upright/correct + exact = correct | correct, right, proper | Indicates correctness of statements, decisions, or actions, often with normative implications beyond mere factual accuracy. Used in political, moral, and practical contexts to mark approved or proper positions. | [CORE] |
| 事实 | shìshí | matter/affair + actual = fact | fact, reality, truth | Refers to actual states of affairs or factual reality as opposed to opinion or fiction. Commonly used to ground claims in objective reality or to distinguish facts from interpretations. | [CORE] |
| 真实 | zhēnshí | true + actual = real, true | real, true, authentic, genuine | Emphasizes both truthfulness and actuality, describing things that are both genuine and correspond to reality. Used for evaluating representations, accounts, and the nature of things. | [CORE] |
| 真相 | zhēnxiàng | true + appearance/aspect = truth | truth, the real facts, actual situation | Refers to the true state of affairs or facts behind appearances, often implying something hidden or obscured. Commonly used when revealing or seeking what really happened. | [CORE] |
| 可靠 | kěkào | can + rely on = reliable | reliable, dependable, trustworthy | Evaluates the reliability and trustworthiness of sources, people, or information. Used to assess whether something can be depended upon for accuracy or consistency. | [CORE] |
| 诚实 | chéngshí | sincere + actual = honest | honest, truthful, sincere | Describes honest character and truthful speech, emphasizing moral virtue of not deceiving. Central to evaluations of personal integrity and trustworthiness in social relations. | [CORE] |
| 虚假 | xūjiǎ | empty/false + false = false, fake | false, fake, phony, fraudulent | Describes deliberately false or deceptive statements, representations, or things. Stronger than simple 假, often implying intentional deception or fraudulence. | [CORE] |
| 符合 | fúhé | tally/符 + join/合 = conform to, accord with | conform to, accord with, correspond to, match | Indicates correspondence or conformity between things, such as statements matching facts or actions conforming to standards. Used to evaluate alignment or agreement. | [CORE] |
