# CLCA Protocol v3.2 — F3 Semantic Groups Table
# Language: Tamil (ta)

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Truth-Telling and Lying Actions | This group comprises expressions centered on the communicative acts of speaking truthfully or falsely. These terms are distinguished by their focus on verbal behavior and are typically used with verbs of speaking (சொல்லு collu, பேசு pēcu, கூறு kūṟu). The primary contrast in usage is between producing truthful versus false utterances. | உண்மையைச் சொல்லு (uṇmaiyaic collu) "tell the truth"; உண்மையைப் பேசு (uṇmaiyaip pēcu) "speak the truth"; பொய் சொல்லு (poy collu) "tell lies"; பொய் பேசு (poy pēcu) "speak lies"; பொய் கூறு (poy kūṟu) "utter lies" | நேர்மை (nērmai) - while related to truthful character, appears in different collocational patterns focused on maintaining/practicing rather than speaking; மெய்ம்மொழி (meymoḻi) "true word/speech" - more literary/formal, refers to speech as object rather than act | Focus on verbal behavior and acts of speaking; distinguished from character traits and literary references to speech |
| GROUP 2: Concealment and Revelation of Truth | This group includes expressions focused on the dynamics of hiding versus revealing truth. These terms pattern with verbs of concealment (மறை maṟai) and revelation (வெளிப்படு veḷippaṭu, வெளிப்படுத்து veḷippaṭuttu), and are commonly used in investigative, journalistic, and narrative contexts where truth is treated as something that can be hidden or brought to light. | உண்மையை மறை (uṇmaiyai maṟai) "hide the truth"; உண்மையை வெளிப்படுத்து (uṇmaiyai veḷippaṭuttu) "reveal the truth"; உண்மை வெளிப்படு (uṇmai veḷippaṭu) "truth comes out"; உண்மை வெளிச்சத்திற்கு வரு (uṇmai veḷiccattiṟku varu) "truth comes to light"; உண்மை கசந்து வரு (uṇmai kacantu varu) "truth leaks out"; பொய் அம்பலமாகு (poy ampalamāku) "lie is exposed"; பொய் பிடிபடு (poy piṭipaṭu) "lie is caught"; பொய் வெளியாகு (poy veḷiyāku) "lie becomes exposed" | உண்மை தெரிய வரு (uṇmai teriya varu) "truth comes to be known" - overlaps with epistemic knowing group | Commonly used in investigative, journalistic, and narrative contexts |
| GROUP 3: Epistemic Pursuit and Awareness | This group encompasses expressions related to seeking, knowing, and becoming aware of truth. These terms pattern with verbs of searching (தேடு tēṭu), knowing (அறி aṟi), and realizing (உணர் uṇar), and are used in philosophical, spiritual, and investigative contexts where truth is treated as an object of knowledge or awareness. | உண்மையைத் தேடு (uṇmaiyait tēṭu) "search for truth"; உண்மையை அறி (uṇmaiyai aṟi) "know the truth"; உண்மையை உணர் (uṇmaiyai uṇar) "realize the truth"; உண்மை உணர்வு (uṇmai uṇarvu) "awareness of truth"; உண்மை அறிவு (uṇmai aṟivu) "true knowledge"; மெய் உணர்வு (mey uṇarvu) "true awareness/realization"; மெய்ஞ்ஞானம் (meyññāṉam) "true knowledge/enlightenment"; மெய் அறிவு (mey aṟivu) "true knowledge"; மெய் கண்டு (mey kaṇṭu) "having seen the truth" | தெளிவு (teḷivu) "clarity" - while related to knowing, focuses more on the quality of understanding than the act of pursuit; நம்பிக்கை (nampikkai) "trust/belief" - involves epistemic stance but not necessarily pursuit of knowledge | Used in philosophical, spiritual, and investigative contexts; truth treated as object of knowledge or awareness |
| GROUP 4: Acceptance and Acknowledgment | This group consists of expressions focused on accepting, acknowledging, or coming to terms with truth. These terms pattern with verbs of acceptance (ஏற்று ēṟṟu) and are particularly common in counseling, moral discourse, and contexts where difficult truths must be acknowledged. | உண்மையை ஏற்று (uṇmaiyai ēṟṟu) "accept the truth" | (none listed) | This appears to be a smaller, more specialized group with limited representation in the current data |
| GROUP 5: Factual Correctness and Error | This group includes expressions centered on correctness versus incorrectness in factual, procedural, or computational contexts. These terms are distinguished from moral rightness and are commonly used in educational, technical, and everyday problem-solving situations. The primary contrast is between சரி (cari) "correct" and தப்பு (tappu)/தவறு (tavaṟu) "wrong/mistake." | சரி (cari) "correct, right"; சரியான (cariyāṉa) "correct" (adjectival); சரியாக (cariyāka) "correctly" (adverbial); சரி இல்லை (cari illai) "not correct"; சரி பார் (cari pār) "check, verify"; தப்பு (tappu) "wrong, mistake"; தப்பான (tappāṉa) "wrong" (adjectival); தவறு (tavaṟu) "mistake, error"; தவறான (tavaṟāṉa) "wrong" (adjectival) | சரியா? (cariyā?) - can function as both factual verification and agreement marker; பொருத்தம் (poruttam) "suitability" - while related to correctness, focuses on appropriateness of fit rather than factual accuracy | Distinguished from moral rightness; commonly used in educational, technical, and everyday problem-solving situations |
| GROUP 6: Moral Rightness and Wrongdoing | This group encompasses expressions related to moral virtue, righteousness, justice, and their opposites. These terms are used in ethical discourse, moral instruction, and legal contexts to evaluate the moral quality of actions and character. They contrast with the factual correctness group through their focus on ethical rather than factual evaluation. | நேர்மை (nērmai) "honesty, integrity"; நேர்மையான (nērmaiyāṉa) "honest, upright"; நேர்மையைக் காத்து (nērmaiyaik kāttu) "maintain honesty"; நேர்மையைக் கடைப்பிடி (nērmaiyaik kaṭaipiṭi) "practice honesty"; நியாயம் (niyāyam) "justice, fairness"; நியாயமான (niyāyamāṉa) "just, fair"; நியாயம் இல்லை (niyāyam illai) "not fair/just"; அறம் (aṟam) "virtue, righteousness"; அறமான (aṟamāṉa) "virtuous, righteous"; நீதி (nīti) "justice, righteousness"; நீதியான (nītiyāṉa) "just, righteous"; குற்றம் (kuṟṟam) "fault, crime"; குற்றமான (kuṟṟamāṉa) "faulty, criminal"; குற்றமற்ற (kuṟṟamaṟṟa) "faultless, blameless" | தப்பு (tappu)/தவறு (tavaṟu) - can refer to both factual errors and moral wrongs depending on context | Contrasts with factual correctness group through focus on ethical rather than factual evaluation |
| GROUP 7: Authenticity and Counterfeit | This group comprises expressions distinguishing genuine, original, or authentic items from fake, counterfeit, or imitation ones. These terms are particularly common in commercial, legal, and material contexts where the genuineness of objects, documents, or currency is at issue. | போலி (pōli) "fake, counterfeit"; போலியான (pōliyāṉa) "fake, counterfeit" (adjectival); அசல் (acal) "original, genuine"; அசலான (acalāṉa) "original, genuine" (adjectival); பொய் ஆவணம் (poy āvaṇam) "false document"; பொய் நாணயம் (poy nāṇayam) "counterfeit money"; பொய் கணக்கு (poy kaṇakku) "false account" | உண்மையான (uṇmaiyāṉa) "true, genuine" - can refer to both authentic objects and true statements; மெய்யான (meyyāṉa) "true, genuine" - similar dual usage | Particularly common in commercial, legal, and material contexts |
| GROUP 8: Legal Truth and Falsehood | This group includes specialized expressions used in legal and judicial contexts, particularly relating to testimony, evidence, accusations, and legal proceedings. These terms form a distinct subset characterized by their technical legal usage and formal register. | பொய் சாட்சி (poy cāṭci) "false witness, perjury"; பொய் குற்றச்சாட்டு (poy kuṟṟaccāṭṭu) "false accusation"; பொய் வழக்கு (poy vaḻakku) "false case"; பொய் வாக்குமூலம் (poy vākkumūlam) "false statement/confession"; சாட்சி (cāṭci) "witness, testimony, evidence"; சாட்சியான (cāṭciyāṉa) "witnessed, evidenced"; மெய் சான்று (mey cāṉṟu) "true evidence" | உறுதி (uṟuti) "certainty, confirmation" - used in legal contexts but also more broadly | Characterized by technical legal usage and formal register |
| GROUP 9: Deception and Fraud | This group encompasses expressions focused on active deception, cheating, trickery, and fraudulent behavior. These terms emphasize the intentional misleading of others and are used in contexts of dishonesty, fraud, and manipulation. | ஏமாற்று (ēmāṟṟu) "deception, cheating, fraud"; ஏமாற்றும் (ēmāṟṟum) "deceptive, cheating" (participial); மாயை (māyai) "illusion, delusion"; மாயையான (māyaiyāṉa) "illusory, deceptive"; பொய் மாயம் (poy māyam) "false illusion, trickery"; பொய் முகம் (poy mukam) "false face, pretense"; பொய் நடிப்பு (poy naṭippu) "false acting, pretense"; பொய் உருவம் (poy uruvam) "false form, disguise" | போலி (pōli) - while meaning "fake," focuses more on counterfeit objects than active deception | Emphasizes intentional misleading of others |
