| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| 진실 (jinsil) | 진실하다 | jinsil-hada | 眞實(truth) + 하다(to do/be) | to be truthful, to be sincere, to be genuine | Predicative form used to characterize persons or their conduct as honest and without pretense. Common in moral evaluation and interpersonal contexts across spoken and written registers. | [CORE] |
| 진실 (jinsil) | 진실성 | jinsilseong | 眞實(truth) + 性(-ness, abstract quality) | truthfulness, authenticity, sincerity as a quality; veracity, truth-value | Used in evaluative discourse — journalistic, legal, and academic — to assess whether a person, account, or work possesses the quality of being truthful or genuine. Appears in constructions like 진실성을 검증하다 (to verify truthfulness). | [CORE] |
| 진실 (jinsil) | 진실되다 | jinsil-doeda | 眞實(truth) + 되다(to become/be) | to be truthful, to be genuine | Stative predicate used to describe persons or expressions as genuinely truthful; appears in literary and formal registers with a nuance of inherent rather than performed quality, distinguishing it from 진실하다. Slightly more resultant or passive in nuance than 진실하다. | [CORE] |
| 진실 (jinsil) | 진실된 | jinsil-doen | 眞實(truth) + 된(adnominal form of 되다) | truthful, genuine, sincere (as a modifier) | Adnominal modifier form derived from 진실되다, used to modify nouns directly: 진실된 사람 (a truthful person), 진실된 마음 (a sincere heart). Distinct from 진실한 (from 진실하다) in that 진실된 carries a slightly more evaluative or achieved quality. | [CORE] |
| 진실 (jinsil) | 진실한 | jinsil-han | 眞實(truth) + 한(adnominal form of 하다) | truthful, sincere (as a modifier) | Adnominal modifier form derived from 진실하다, used to modify nouns directly: 진실한 사람 (a truthful person), 진실한 대답 (a truthful answer). Extremely common across all registers. | [CORE] |
| 진실 (jinsil) | 진실되게 | jinsil-doege | 진실되다(to be truthful) + 게(adverbializing suffix) | truthfully, genuinely | Adverbial form derived from 진실되다. Used to describe how something is said or done — e.g., 진실되게 말하다 (to speak truthfully). Less frequent than 진실하게 but attested in written and spoken moral discourse. | [CORE] |
| 진실 (jinsil) | 진실하게 | jinsil-hage | 진실하다(to be truthful) + 게(adverbializing suffix) | truthfully, honestly, sincerely | Adverbial form derived from 진실하다. Used to describe the manner of speech or conduct as honest and sincere. Appears in 진실하게 대하다 (to treat someone sincerely). | [CORE] |
| 진실 (jinsil) | 진실로 | jinsilro | 眞實(truth) + 로(adverbial particle) | truly, in truth, sincerely | Adverbial expression used to emphasize the genuine or sincere character of a statement or action. Appears in formal speech, religious texts, and literary prose. | [CORE] |
| 진실 (jinsil) | 불진실 | buljinsil | 不(not) + 眞實(truth) | untruthfulness, insincerity | Negated nominal form. Less common than 거짓 or 허위 for expressing falsehood; appears in formal or philosophical contexts where the negation of truthfulness (rather than the assertion of falsehood) is the relevant concept. Marginal in everyday use. | [MARGINAL] |
| 사실 (sasil) | 사실적 | sasiljeok | 事實(fact) + 的(adjectival/adverbial suffix) | realistic, factual, true-to-life | Used to evaluate representations — literary, artistic, or cinematic — as accurately reflecting reality. Appears in aesthetic and critical discourse. | [CORE] |
| 사실 (sasil) | 사실적으로 | sasiljeok-euro | 事實的(realistic/factual) + 으로(adverbial particle) | realistically, factually, in a true-to-life manner | Adverbial form of 사실적, used to characterize how something is depicted or described. Appears in literary criticism and everyday evaluative speech. Appears in 사실적으로 묘사하다 (to depict realistically). | [CORE] |
| 사실 (sasil) | 사실성 | sasilseong | 事實(fact) + 性(-ness, abstract quality) | factuality, realism (as a quality of a representation) | Used in literary and aesthetic criticism to evaluate the degree to which a work accurately reflects reality. Less common than 사실적 and largely confined to written academic registers. | [UNCERTAIN] |
| 사실 (sasil) | 사실상 | sasilsang | 사실(fact) + 上(in terms of/on the level of) | in fact, in practice, effectively, de facto | Used as an adverbial expression to indicate that something is the case in practice even if not formally or officially so. Extremely common across legal, journalistic, and everyday registers. | [CORE] |
| 사실 (sasil) | 사실주의 | sasil-juui | 사실(fact/reality) + 主義(doctrine/ism) | realism (in art, literature, or philosophy) | Used in literary, artistic, and philosophical contexts to refer to the movement or approach that aims to depict reality as it actually is. | [CORE] |
| 사실 (sasil) | 사실주의적 | sasil-juuijeok | 사실주의(realism) + 的(adjectival suffix) | realist (adjective), characteristic of realism | Used in literary and art criticism to characterize works, styles, or approaches as belonging to or consistent with the realist tradition. Appears in 사실주의적 기법 (realist technique). | [CORE] |
| 사실 (sasil) | 사실관계 | sasil-gwangye | 사실(fact) + 關係(relationship/circumstances) | the facts of the matter, factual circumstances | Used in legal and journalistic contexts to refer to the factual circumstances of a case, as distinct from legal interpretation. | [CORE] |
| 사실 (sasil) | 사실확인 | sasil-hwagin | 사실(fact) + 確認(confirmation/verification) | fact-checking, verification of facts | Used in journalistic, legal, and administrative contexts to describe the process of verifying whether a claim corresponds to the facts. | [CORE] |
| 사실 (sasil) | 사실화하다 | sasilhwa-hada | 事實(fact) + 化(to become/transform into) + 하다(to do) | to make into fact, to actualize, to realize | Used to describe the process of turning something planned or theoretical into actual fact. Less common than 실현하다 for this meaning; appears in administrative and planning discourse. | [MARGINAL] |
| 사실 (sasil) | 비사실적 | bisasiljeok | 非(non-/not) + 事實的(factual) | non-factual, unrealistic, contrary to fact | Used in literary criticism and analytical discourse to characterize representations or claims that do not correspond to reality. Less common than 비현실적 (unrealistic) in everyday use but attested in academic writing. | [MARGINAL] |
| 진짜 (jinjja) | 진짜배기 | jinjjabaegi | 진짜(genuine) + 배기(colloquial intensifying suffix denoting the genuine article) | the real thing, the genuine article, the real deal | Colloquial and emphatic form of 진짜, used to stress that something is unambiguously authentic. Common in everyday speech and advertising. | [CORE] |
| 진짜 (jinjja) | 진짜로 | jinjjaro | 진짜(genuine/real) + 로(adverbial particle) | really, truly, for real | Adverbial form of 진짜, used in informal speech to assert that something is genuinely the case or to express strong emphasis. Extremely common in spoken Korean: 진짜로 그랬어? (Did that really happen?). | [CORE] |
| 가짜 (gajja) | 가짜뉴스 | gajja-nyuseu | 가짜(fake) + 뉴스(news — loanword from English) | fake news | Used in journalistic, political, and everyday contexts to refer to deliberately false or misleading news content. Entered widespread use in Korean public discourse from approximately 2016–2017 onward, parallel to international usage. | [CORE] |
| 가짜 (gajja) | 가품 | gapum | 가(假, false/fake) + 품(品, goods/article) | fake goods, counterfeit item | Used in consumer, legal, and art contexts to designate an item as not genuine. Contrasts with 진품 (jinpum, genuine article). More formal than 가짜 alone; common in legal and commercial contexts. Note: formed directly from 가 rather than from 가짜 as a base. | [CORE] |
| 가짜 (gajja) | 가짜로 | gajjaro | 가짜(fake) + 로(adverbial particle) | falsely, as a fake, in a counterfeit manner | Adverbial form used to describe acting or presenting something as fake, or doing something under false pretenses: 가짜로 꾸미다 (to dress up as a fake/to disguise). Less common than the base form. | [MARGINAL] |
| 정확 (jeonghwak) | 정확하다 | jeonghwak-hada | 正確(accuracy) + 하다(to do/be) | to be accurate, to be precise, to be exact | Predicative form used to evaluate statements, measurements, translations, or representations as corresponding precisely to what they describe. Extremely common across all registers. The base form 정확 does not typically appear without 하다 in predicative position. | [CORE] |
