# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Terms for Factual Correspondence | This group comprises expressions used to indicate that statements, cognitions, or representations correspond to actual states of affairs. These terms appear in contexts where the primary concern is whether something matches reality or fact, rather than moral evaluation. They are commonly contrasted with terms denoting error, illusion, or misrepresentation, and frequently appear in epistemological discussions about the accuracy of knowledge claims. | सत्य / satya (when used for factual truth), तथ्य / tathya, यथार्थ / yathārtha, वस्तु / vastu, वास्तव / vāstava, वास्तविक / vāstavika, वस्तुतः / vastutaḥ (construction: "in reality, actually"), यथार्थं ज्ञा / yathārthaṃ jñā (construction: "know accurately"), तथ्यं वच् / tathyaṃ vac (construction: "speak the truth, state facts") | सत्य / satya: Also functions in moral/ethical contexts as "truthfulness" and in ontological contexts as "real, existing"; वस्तु / vastu: Can denote both "real object" and simply "thing, object" without truth-evaluation; रूप / rūpa: Sometimes used for actual form/nature but more commonly for appearance generally | Overlaps with GROUP 2 (epistemic validation) in contexts where factual accuracy is established through valid means |
| GROUP 2: Terms for Epistemic Validation | This group includes expressions specifically concerned with valid means of knowledge and the process of epistemic justification. These terms appear predominantly in philosophical texts discussing how knowledge is acquired, validated, or certified. They focus on the instruments, methods, or standards by which claims come to be accepted as knowledge rather than mere belief or error. The group is characterized by technical usage in Indian epistemological systems. | प्रमाण / pramāṇa, प्रमा / pramā, प्रामाण्य / prāmāṇya, प्रमाता / pramātā, प्रमेय / prameya, प्रामाणिक / prāmāṇika, प्रत्यक्षप्रमाण / pratyakṣapramāṇa, अनुमानप्रमाण / anumānapramāṇa, शब्दप्रमाण / śabdapramāṇa, प्रमाणेन सिध् / pramāṇena sidh (construction: "be established by valid means"), किं प्रमाणम् / kiṃ pramāṇam (construction: "what is the proof?"), प्रामाण्यस्य हेतुः / prāmāṇyasya hetuḥ (construction: "cause of validity") | उपपत्ति / upapatti: Overlaps with logical reasoning terms but specifically concerns epistemic justification; न्याय / nyāya: Functions both as logical method and as justice/fairness | Overlaps with GROUP 1 (factual correspondence) in contexts where factual accuracy is established through valid means |
| GROUP 3: Terms for Cognitive Error | This group consists of expressions denoting mistaken cognition, false perception, or erroneous understanding. These terms appear in contexts discussing the failure of cognitive processes to apprehend reality correctly. They are regularly contrasted with terms for valid cognition and often appear in discussions of illusion, misperception, or logical fallacy. The group includes both general error terms and more specific technical vocabulary for types of cognitive mistakes. | भ्रम / bhrama, भ्रान्ति / bhrānti, भ्रान्त / bhrānta, विपर्यय / viparyaya, मिथ्या / mithyā (in epistemological contexts), अप्रमा / apramā, आभास / ābhāsa (when denoting false appearance), प्रमाणाभास / pramāṇābhāsa, भ्रमं गम् / bhramaṃ gam (construction: "fall into error"), मिथ्या ज्ञा / mithyā jñā (construction: "know falsely"), विपर्ययं गम् / viparyayaṃ gam (construction: "fall into error") | मिथ्या / mithyā: Also used in metaphysical contexts for illusory appearance of reality (Vedānta); आभास / ābhāsa: Can denote mere appearance without necessarily implying error; प्रमाद / pramāda: Denotes negligent error rather than purely cognitive mistake | Overlaps with GROUP 4 (deliberate falsehood) in contexts where the distinction between mistake and lie is unclear |
| GROUP 4: Terms for Deliberate Falsehood | This group comprises expressions specifically indicating intentional deception, lying, or fraudulent misrepresentation. Unlike cognitive error terms, these expressions carry implications of agency and moral culpability. They appear in ethical, legal, and social contexts where the concern is with dishonest behavior rather than mere mistake. These terms often appear in prohibitions, moral condemnations, or legal discussions of fraud. | असत्य / asatya (when denoting lying), अनृत / anṛta (when denoting falsehood in speech), मृषा / mṛṣā, कूट / kūṭa, छल / chala, अलीक / alīka, मृषा वद् / mṛṣā vad (construction: "speak falsely, lie"), असत्यं मा वद् / asatyaṃ mā vad (construction: "do not speak untruth"), कूटं रच् / kūṭaṃ rac (construction: "fabricate fraud"), छलं कृ / chalaṃ kṛ (construction: "practice deception") | असत्य / asatya: Can denote both factual incorrectness and moral falsehood; छल / chala: Technical term in Nyāya logic for sophistical refutation, not always implying moral fault; मिथ्या / mithyā: Primarily denotes falsity/error rather than deliberate deception | Overlaps with GROUP 3 (cognitive error) in contexts where the distinction between mistake and lie is unclear |
| GROUP 5: Terms for Moral/Cosmic Order | This group includes expressions denoting rightness, propriety, or correctness understood as conformity to moral law, cosmic order, or proper conduct. These terms appear in contexts where evaluation concerns ethical behavior, religious duty, or alignment with natural/divine order rather than factual accuracy. They are characteristic of dharmaśāstra literature, religious texts, and ethical instruction, often appearing in prescriptions for proper conduct. | धर्म / dharma, ऋत / ṛta, साधु / sādhu (when denoting moral goodness), सत्य / satya (when denoting moral truthfulness), सत्यव्रत / satyavrata, सत्यधर्म / satyadharma, धर्मं चर् / dharmaṃ car (construction: "practice dharma"), धर्मात् न चलितव्यम् / dharmāt na chalitavyam (construction: "one should not deviate from dharma"), ऋतस्य पथा / ṛtasya pathā (construction: "by the path of ṛta"), सत्यं वद् धर्मं चर / satyaṃ vad dharmaṃ car (construction: "speak truth, practice dharma") | सत्य / satya: Functions across factual, moral, and ontological domains; न्याय / nyāya: Denotes both logical method and justice/fairness; साधु / sādhu: Can indicate both moral goodness and simple correctness/propriety | Overlaps with GROUP 6 (logical propriety) in contexts where rational and moral evaluation converge |
| GROUP 6: Terms for Logical/Rational Propriety | This group consists of expressions indicating what is logically sound, rationally justified, or methodologically proper. These terms appear in contexts of argumentation, logical analysis, and rational demonstration where the concern is with coherence, valid inference, or proper reasoning rather than moral evaluation or factual correspondence alone. They are common in philosophical debate and logical texts. | न्याय / nyāya (when denoting logic/reasoning), युक्त / yukta, युक्ति / yukti, उपपत्ति / upapatti, समुपपत्ति / samupapatti, युक्त्या / yuktyā (construction: "by reasoning"), उपपत्त्या / upapattyā (construction: "by logical reasoning"), युक्तं यत् / yuktaṃ yat (construction: "it is proper that"), न्यायेन / nyāyena (construction: "logically, according to reason") | न्याय / nyāya: Also denotes justice/fairness in legal contexts; साधु / sādhu: Can indicate logical correctness but more commonly moral goodness; सम्यक् / samyak: Indicates general correctness across multiple domains | Overlaps with GROUP 5 (moral order) in contexts where rational and moral evaluation converge |
| GROUP 7: Terms for Essential Nature/Reality | This group comprises expressions denoting the essential nature, true form, or ultimate reality of things as opposed to their appearance or accidental properties. These terms appear in metaphysical and philosophical contexts concerned with distinguishing essence from accident, reality from appearance, or substance from attribute. They are particularly prominent in Vedānta and other philosophical systems discussing levels of reality. | तत्त्व / tattva, स्वरूप / svarūpa, वस्तु / vastu (when denoting reality/substance), रूप / rūpa (when denoting essential form), सत्त्व / sattva (when denoting existence/essence), तात्त्विक / tāttvika, तत्त्वं ज्ञा / tattvaṃ jñā (construction: "know reality"), स्वरूपेण / svarūpeṇa (construction: "essentially, by true nature"), तत्त्वतः / tattvataḥ (construction: "in reality, essentially") | रूप / rūpa: Can denote both essential form and mere appearance; सत्त्व / sattva: In Sāṃkhya, denotes a specific quality (guṇa) rather than general essence; वस्तु / vastu: Functions both as "real object" and simply "thing" | Defined in opposition to GROUP 8 (appearance) but shares vocabulary (especially रूप) |
| GROUP 8: Terms for Appearance/Semblance | This group includes expressions denoting how things appear, seem, or present themselves, often with implications that appearance may differ from reality. These terms appear in contexts distinguishing between how things seem and how they are, or in discussions of similarity and resemblance. They are common in epistemological discussions of illusion and in metaphysical discussions of phenomenal appearance. | आभास / ābhāsa, रूप / rūpa (when denoting appearance), सदृश / sadṛśa, सादृश्य / sādṛśya, आभासिक / ābhāsika, आभासमात्रम् / ābhāsamātram (construction: "mere appearance"), रूपेण / rūpeṇa (construction: "in form, by appearance") | रूप / rūpa: Can denote both appearance and essential form; आभास / ābhāsa: Sometimes implies false appearance, sometimes neutral appearance; सदृश / sadṛśa: Primarily denotes similarity rather than appearance per se | Defined in opposition to GROUP 7 (essential nature) but shares vocabulary (especially रूप) |
| GROUP 9: Terms for Correctness/Completeness | This group consists of expressions indicating that something is correct, complete, proper, or done rightly across various domains without specific restriction to factual, moral, or logical correctness. These terms appear as general markers of approval or propriety in diverse contexts. They function as broad evaluative terms that can apply to speech, action, cognition, or conduct. | सम्यक् / samyak, साधु / sādhu, सत्कार / satkāra, सत्कृत / satkṛta, समुपपत्ति / samupapatti, सम्यग् ज्ञा / samyag jñā (construction: "know correctly"), साधु उक्तम् / sādhu uktam (construction: "well said"), सम्यक् कृ / samyak kṛ (construction: "do correctly") | साधु / sādhu: Can specifically denote moral goodness or general correctness; सम्यक् / samyak: Particularly important in Buddhist contexts with technical meanings; युक्त / yukta: More specifically denotes logical/rational propriety | General evaluative terms that cut across multiple domains |
