| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| αλήθεια | αληθινός | alithinós | from *αλήθεια* + adjectival formation | true; real; genuine | Common adjective for something genuine or real rather than fake, superficial, or merely apparent. It is widely used for people, feelings, stories, and objects. | [CORE] |
| αλήθεια | αληθής | alithís | learned adjectival formation related to *αλήθεια* | true; correct | More formal than *αληθινός*, especially for statements, claims, declarations, and logical truth values. Frequent in legal, academic, and formal prose. | [CORE] |
| αλήθεια | αληθεύω | alithevo | verbal formation from αληθ- | to tell the truth; to be true | Used both for speaking truthfully and for a claim or report proving true. It is established, though often somewhat more formal than everyday *λέω την αλήθεια*. | [CORE] |
| αλήθεια | αληθοφανής | alithofanís | αληθ- + -οφανής “appearing” | plausible; truth-like; lifelike | Refers to something that appears true or convincing without necessarily being true. Common in literary criticism, rhetoric, and everyday evaluation of explanations or narratives. | [CORE] |
| αλήθεια | αληθοφάνεια | alithofáneia | from *αληθοφανής* | plausibility; verisimilitude | Used for the quality of seeming true or believable, especially in literature, theater, film, and rhetoric. It concerns appearance of truth rather than truth itself. | [CORE] |
| αλήθεια | αληθώς | alithós | learned adverb from αληθ- | truly; indeed | Elevated or literary adverb, also found in religious or rhetorical language. It is not common in ordinary colloquial speech. | [MARGINAL] |
| αληθινός | αληθινά | alithiná | adverbial/neuter plural use of *αληθινός* | truly; really | Very common adverb in everyday speech and writing, often used for emphasis or sincerity. It can mean “really” in both emotional and factual contexts. | [CORE] |
| αληθινός | αληθινότητα | alithinótita | *αληθινός* + abstract suffix | genuineness; realness; truthfulness | Attested but less common abstract noun for the quality of being genuine or true. It appears mainly in literary, philosophical, or evaluative contexts. | [MARGINAL] |
| αληθής | αληθώς | alithós | learned adverb from the same learned stem | truly; indeed | Used in elevated, literary, and rhetorical registers. It belongs to the learned side of the *αληθ-* family rather than everyday colloquial speech. | [MARGINAL] |
| σωστός | σωστά | sostá | adverbial use of *σωστός* | correctly; properly | Very common adverb in everyday Greek for doing, saying, or understanding something correctly. It is one of the most natural colloquial ways to express correctness. | [CORE] |
| σωστός | σωστότητα | sostótita | *σωστός* + abstract suffix | correctness; rightness | This abstract noun exists but is much less central than *ορθότητα* and often sounds more limited or context-bound. It is attested, though not especially frequent in formal standard usage. | [MARGINAL] |
| ορθός | ορθότητα | orthótita | *ορθός* + abstract suffix | correctness | Standard abstract noun for correctness in language, reasoning, procedure, or representation. Common in formal, academic, and evaluative discourse. | [CORE] |
| ορθός | ορθά | orthá | adverbial use of *ορθός* | correctly; properly | Common adverb in formal and semi-formal Greek. It is used when something is done, stated, or interpreted correctly. | [CORE] |
| ορθός | ορθολογικός | orthologikós | ορθο- + λογικός | rational | Very common adjective for reasoning or behavior judged rational and systematic. It is well established in academic, political, and everyday evaluative discourse. | [CORE] |
| ορθός | ορθολογισμός | orthologismós | ορθο- + λογισμός | rationalism | Used in philosophy, intellectual history, and broader public discourse about reason-based approaches. It is a standard learned noun. | [CORE] |
| ορθός | ορθολογικά | orthologiká | adverbial use of *ορθολογικός* | rationally | Common adverb in argumentation and policy discussion. It evaluates action or thought as guided by rational principles. | [CORE] |
| ορθός | ορθογραφία | orthografía | ορθο- + γραφή | spelling; orthography | Very common word in education and language discussion for correct writing of words. Synchronically it is a standard member of the *ορθο-* family. | [CORE] |
| ορθός | ορθογραφικός | orthografikós | from *ορθογραφία* | orthographic; spelling- | Used in language teaching, editing, and software contexts, such as spelling errors or spelling checks. It is standard and productive in technical usage. | [CORE] |
| ορθός | ορθογραφώ | orthografó | ορθο- + γράφω | to spell correctly | Established educational verb, though less frequent in casual speech than noun-based expressions. It appears in school and editing contexts. | [MARGINAL] |
| ορθός | ορθογραφημένος | orthografiménos | participial/adjectival form from *ορθογραφώ* | correctly spelled | Used in editing and educational contexts for text written with correct spelling. It is attested but less central than simpler alternatives like *σωστά γραμμένος*. | [MARGINAL] |
| ορθός | Ορθοδοξία | Orthodoxía | ορθο- + δοξία | Orthodoxy | Central religious term for Orthodox Christianity and also extendable to doctrinal correctness more generally. It is clearly established, though semantically more specialized. | [CORE] |
| ορθός | ορθόδοξος | orthódoxos | ορθο- + δόξα/δόξος | Orthodox; orthodox | Used both for the religious identity and more broadly for doctrinally accepted or conventional positions. It is common and fully lexicalized. | [CORE] |
| ορθός | ορθοπραξία | orthopraxía | ορθο- + πράξη | correct practice; orthopraxy | Used in theology and some academic discourse for right practice rather than right belief. It is specialized but attested. | [MARGINAL] |
| ορθός | ορθοφωνία | orthofonía | ορθο- + φωνή | correct diction; proper voice production | Specialized term in speech training, theater, broadcasting, and language instruction. It is clearly attested but not broadly everyday. | [MARGINAL] |
| ορθός | ορθοφωνικός | orthofonikós | from *ορθοφωνία* | relating to correct diction | Used in specialized educational and performance-related contexts. It is a secondary derivative within the same family. | [MARGINAL] |
| ορθός | ορθοπεδικός | orthopedikós | ορθο- + historical second element | orthopedic; orthopaedic | Standard medical term for bodily correction/alignment. It is synchronically common, though semantically peripheral to truth/correctness. | [CORE] |
| ορθός | ορθοπαιδική / ορθοπεδική | orthopaidikí / orthopedikí | medical formation with ορθο- | orthopedics / orthopaedics | Standard name of the medical specialty. Both spellings are attested, with modern standard usage favoring *ορθοπεδική* in many contexts. | [CORE] |
| ορθός | ορθοστασία | orthostasía | ορθο- + στάση/στάσις | standing upright; orthostasis | Medical and technical term for upright standing posture or related physiological conditions. It is specialized and peripheral. | [MARGINAL] |
| ορθός | ορθοστάτης | orthostátis | ορθο- + στάτης | orthostat; upright slab | Archaeological and architectural term. It is attested but far from the core semantic field of correctness. | [MARGINAL] |
| ορθός | ορθογώνιος | orthogónios | ορθο- + γωνία | rectangular; orthogonal | Standard geometric and technical adjective. It is common in mathematics, design, and spatial description. | [CORE] |
| ορθότητα | **(no common derivation identified)** |  |  |  |  |  |
| ακρίβεια | ακριβής | akrivís | adjectival form of *ακρίβεια* | accurate; precise; exact | Standard adjective for statements, data, measurements, instruments, and descriptions that are exact or accurate. It is common in both technical and ordinary contexts. | [CORE] |
| ακρίβεια | ακριβώς | akrivós | adverb from *ακριβής* | exactly; precisely | Very common adverb in everyday and formal Greek. It is used both for exact correspondence and as a discourse marker of agreement or confirmation. | [CORE] |
| ακριβής | ακριβώς | akrivós | adverb from *ακριβής* | exactly; precisely | Extremely common adverb for exactness in wording, quantity, time, or agreement. It is one of the most established members of this family. | [CORE] |
| ακριβής | ακρίβεια | akríveia | abstract noun corresponding to *ακριβής* | accuracy; precision | Standard abstract noun for factual or technical exactness. It is frequent in science, journalism, and practical evaluation. | [CORE] |
| έγκυρος | εγκυρότητα | enkyrótita | *έγκυρος* + abstract suffix | validity; reliability | Standard abstract noun for the validity of a claim, method, document, or inference. It is common in legal, academic, and technical language. | [CORE] |
| έγκυρος | έγκυρα | énkyra | adverbial use of *έγκυρος* | validly; authoritatively | Used in formal contexts where something is done or established in a valid or authoritative way. It is attested, though less central than the adjective and noun. | [MARGINAL] |
| εγκυρότητα | **(no common derivation identified)** |  |  |  |  |  |
| έγκριτος | εγκρίτως | enkrítos / enkrítos? | adverbial formation from *έγκριτος* | with authority; in a distinguished/reputable manner | A possible learned adverbial form exists, but it is not strongly supported as common modern usage. I therefore include it only with caution. | [UNCERTAIN] |
| αυθεντικός | αυθεντικότητα | afthentikótita | *αυθεντικός* + abstract suffix | authenticity; genuineness | Standard abstract noun for the quality of being genuine or original. It is common in discussions of art, identity, heritage, and sincerity. | [CORE] |
| αυθεντικός | αυθεντικά | afthentiká | adverbial use of *αυθεντικός* | authentically; genuinely | Used to describe something done or presented in an authentic way. It is attested, though less central than the adjective and noun. | [MARGINAL] |
| αυθεντικότητα | **(no common derivation identified)** |  |  |  |  |  |
| γνήσιος | γνησιότητα | gnisiótita | *γνήσιος* + abstract suffix | genuineness; authenticity | Standard noun for whether something is genuine, original, or not forged. It is common in formal evaluation of documents, artifacts, signatures, and sincerity. | [CORE] |
| γνήσιος | γνησίως | gnisíos | adverb from *γνήσιος* | genuinely; sincerely | Learned or formal adverb used for genuine manner or sincere feeling. It is attested but less common in everyday speech. | [MARGINAL] |
| γνησιότητα | **(no common derivation identified)** |  |  |  |  |  |
| πραγματικός | πραγματικότητα | pragmatikótita | *πραγματικός* + abstract suffix | reality; actuality | Standard noun for reality as opposed to appearance, illusion, or representation. It is common in both everyday and formal discourse. | [CORE] |
| πραγματικός | πραγματικά | pragmatiká | adverbial use of *πραγματικός* | really; actually | Very common adverb in everyday Greek, often functioning as an intensifier or marker of actuality. It is one of the most frequent discourse uses in this family. | [CORE] |
| πραγματικός | πραγματώνω | pragmatóno | verbal formation from *πράγμα / πραγματ-* | to realize; to actualize | Attested verb meaning to bring into reality or fulfillment. It belongs to the broader family but is semantically somewhat shifted from simple “real/actual.” | [MARGINAL] |
| πραγματικότητα | πραγματικός | pragmatikós | adjectival counterpart | real; actual | Standard adjective used to distinguish what is real or actual from what is apparent, fictional, or merely alleged. It is central in both ordinary and formal Greek. | [CORE] |
| ουσία | ουσιώδης | ousiódis | *ουσία* + adjectival suffix | essential; substantial | Common adjective for what belongs to the essence or is fundamentally important. Frequent in law, philosophy, administration, and formal writing. | [CORE] |
| ουσία | ουσιαστικός | ousiastikós | from *ουσία* | substantial; substantive; meaningful | Very common adjective for something meaningful, substantial, or not merely superficial. It is widely used in both formal and everyday discourse. | [CORE] |
| ουσία | ουσιωδώς | ousiodós | adverb from *ουσιώδης* | substantially; essentially | Common in legal, administrative, and formal argumentative prose. It marks substantive rather than incidental difference or effect. | [CORE] |
| ουσία | ουσιαστικά | ousiastiká | adverbial use of *ουσιαστικός* | essentially; substantially; basically | Very common discourse adverb in speech and writing. It often introduces what the speaker takes to be the real or substantive point. | [CORE] |
| ουσία | ουσιαστικότητα | ousiastikótita | *ουσιαστικός* + abstract suffix | substantiality; substance | Used in formal evaluative discourse for the quality of being substantive or meaningful. It is attested but less common than the adjective. | [MARGINAL] |
| ουσία | ομοούσιος | omoúsios | ομο- + ουσία | consubstantial; of the same essence | Important theological term in Christian doctrinal discourse. It is clearly attested but specialized. | [MARGINAL] |
| ουσία | μετουσίωση | metousíosi | μετα- + ουσία | transubstantiation; transformation in essence | Used in theology and also metaphorically in elevated literary or philosophical prose. It denotes profound transformation at the level of essence. | [MARGINAL] |
| ουσία | μετουσιώνω | metousióno | μετα- + ουσία + verbal suffix | to transubstantiate; to transform essentially | Theological in strict use, but also used metaphorically for deep transformation. It is established in elevated registers. | [MARGINAL] |
| ουσιώδης | ουσιωδώς | ousiodós | adverb from *ουσιώδης* | substantially; essentially | Common adverb in legal and formal prose. It is used when a difference, effect, or issue concerns substance rather than detail. | [CORE] |
| ουσιώδης | ουσιώδες | ousiódes | neuter substantivized use of *ουσιώδης* | the essential thing; what is essential | Common in reflective and formal discourse, especially in contrasts between essentials and secondary details. It is a standard substantivized adjective form. | [CORE] |
| πιστός | πιστότητα | pistótita | *πιστός* + abstract suffix | fidelity; faithfulness; accuracy | Standard noun for fidelity in representation, reproduction, translation, sound, image, or interpersonal loyalty. It is especially relevant where close correspondence to an original is evaluated. | [CORE] |
| πιστός | πιστά | pistá | adverbial use of *πιστός* | faithfully; accurately | Used for faithful reproduction, translation, or depiction. It is well established in contexts of resemblance and fidelity. | [CORE] |
| πιστότητα | **(no common derivation identified)** |  |  |  |  |  |
| απαράλλακτος | απαράλλακτα | aparállakta | adverbial use of *απαράλλακτος* | identically; exactly; without alteration | Used when something is repeated or reproduced exactly, without variation. It is attested in formal and literary contexts. | [CORE] |
| παραποιημένος | παραποιώ | parapoió | verbal base of the participle | to falsify; to tamper with; to forge | Standard verb used for deceptive alteration of documents, evidence, data, products, or representations. It is common in legal, journalistic, and administrative contexts. | [CORE] |
| παραποιημένος | παραποίηση | parapoíisi | abstract/action noun from *παραποιώ* | falsification; tampering; forgery | Standard noun for the act or result of falsifying or altering something deceptively. It is frequent in legal and formal evaluative language. | [CORE] |
| πλαστός | πλαστότητα | plastótita | *πλαστός* + abstract suffix | falseness; forged nature; artificiality | Attested abstract noun, though less common than direct expressions with *πλαστός* or nouns like *πλαστογραφία*. It is used where the quality of being fake or forged is under discussion. | [MARGINAL] |
| πλαστός | πλαστά | plastá | adverbial/neuter plural use of *πλαστός* | falsely; fake | Used in expressions referring to forged or fake items, especially documents or evidence. As a pure adverb it is less central than adjectival use, but the form is clearly attested. | [MARGINAL] |
| πλαστός | πλαστογραφία | plastografía | πλαστο- + γραφή | forgery | Standard noun for document forgery or falsified writing/signature. It is common in legal, journalistic, and administrative contexts. | [CORE] |
| πλαστός | πλαστογραφώ | plastografó | πλαστο- + γράφω | to forge; to falsify in writing | Standard verb for forging documents, signatures, or written evidence. It is well established in legal and formal usage. | [CORE] |
| ψευδής | ψευδώς | psevdós | adverb from *ψευδής* | falsely | Common in formal and legal language, especially in expressions like *ψευδώς δηλωθείς* or *ψευδώς αναφερόμενος*. It marks false attribution or false statement. | [CORE] |
| ψευδής | ψευδότητα | psevdótita | *ψευδής* + abstract suffix | falsity | Learned abstract noun for the quality of being false. It is attested but much less common than the adjective itself. | [MARGINAL] |
| ψέμα | ψεύτης | pséftis | agent noun from the same lexical family | liar | Very common everyday noun for a person who lies. It is central in interpersonal and moral evaluation. | [CORE] |
| ψέμα | ψεύτικος | pséftikos | adjectival formation from the same family | fake; false | Very common colloquial adjective for things that are fake, false, or insincere. It is widely used for objects, appearances, excuses, and emotions. | [CORE] |
| ψέμα | ψευτιά | pseftiá | noun from the same family | lie; falsehood | Common colloquial noun for a lie or deceptive falsehood, often with expressive force. It overlaps with *ψέμα* but can sound more emphatic or evaluative. | [CORE] |
| ψέμα | ψευτο- | psevto- | prefixoid from the same family | pseudo-; fake- | Very productive colloquial formative used to mark something as fake, sham, or inferior. It is widely attested in compounds, though as a bound form rather than an independent lexeme. | [CORE] |
| ειλικρινής | ειλικρίνεια | eilikríneia | abstract noun from *ειλικρινής* | sincerity; honesty; frankness | Standard noun for sincerity or honesty in speech, conduct, and emotional expression. It is common in everyday and ethical discourse. | [CORE] |
| ειλικρινής | ειλικρινά | eilikriná | adverbial use of *ειλικρινής* | sincerely; honestly; frankly | Very common adverb in everyday speech and writing, often used to mark candor or emotional honesty. It can also function as a discourse marker. | [CORE] |
| ειλικρίνεια | ειλικρινής | eilikrinís | adjectival counterpart | sincere; honest; candid | Standard adjective for persons, speech, feelings, or intentions judged genuine and not deceptive. It is central in interpersonal and moral evaluation. | [CORE] |
| κατά γράμμα | **(no common derivation identified)** |  |  |  |  |  |
| κατ’ ουσίαν | **(no common derivation identified)** |  |  |  |  |  |
