| Construction Type | Example | Transliteration | Translation | Epistemic Status | Usage Notes |
|---|---|---|---|---|---|
| ATTRIBUTION | זה נכון. | *ze nakhon* | “That is true/correct.” | [CORE] | Very common in everyday and formal Hebrew for evaluating statements, facts, sources, or descriptions. Present-tense use often has zero copula; alternate attested predicates include **אמין, מהימן, מדויק, אותנטי, זהה, תואם**. |
| ATTRIBUTION | המקור מהימן. | *ha-maqor meheman* | “The source is reliable.” | [CORE] | Natural in journalism, academic writing, and general evaluation of evidence or testimony. Predicate choice varies by semantic subtype, with reliability especially expressed by **אמין / מהימן**. |
| NEGATIVE ATTRIBUTION | זה לא נכון. | *ze lo nakhon* | “That is not true/correct.” | [CORE] | This is the ordinary colloquial way to deny truth or correctness. Variation is attested between everyday **לא** and more formal **אינו/אינה**; lexical negatives such as **כוזב, שקרי, מזויף** are also noted. |
| NEGATIVE ATTRIBUTION | התיאור אינו תואם למציאות. | *ha-teʾur eino toʾem la-metsiʾut* | “The description does not correspond to reality.” | [CORE] | Natural in formal, written, or evaluative contexts, especially where mismatch with facts or reality is being stated explicitly. The formal negator **אינו** is more restricted stylistically than **לא**. |
| ADNOMINAL MODIFICATION | סיפור אמיתי | *sipur amiti* | “a true story” | [CORE] | A basic and productive noun-plus-modifier pattern used across speech and writing. The modifier follows the noun and agrees with it; alternate attested modifiers include **שקרית, מהימנה, מדויק, אותנטי** in combinations such as **טענה שקרית, עדות מהימנה, תיאור מדויק, אוכל אותנטי**. |
| ADNOMINAL MODIFICATION | מסמך מזויף | *mismakh mezuyaf* | “a forged document” | [CORE] | Common for classifying documents, products, testimony, and similar entities by authenticity or falsity. Especially natural in legal, journalistic, and administrative contexts. |
| BECOME / INCHOATIVE | (no common expression identified) |  | “(no common expression identified)” | [UNCERTAIN] | No common construction was identified in the source output, so natural usage cannot be confirmed here. The note explicitly says no clear construction is established from the dataset. |
| BECOME / INCHOATIVE | (no common expression identified) |  | “(no common expression identified)” | [UNCERTAIN] | No attested alternate construction is provided in P4a. This category remains doubtful on the available evidence. |
| CAUSATIVE | להוציא את האמת לאור | *lehotsi et ha-ʾemet la-ʾor* | “to bring the truth to light” | [CORE] | A natural idiomatic expression for revealing concealed truth, especially in journalism, law, and public discourse. Alternate attested causative/revelatory constructions include **להצדיק**, **להוכיח**, and **לגלות** with a truth noun or proposition. |
| CAUSATIVE | להצדיק את הטענה | *lehatsdiq et ha-taʿanah* | “to justify the claim” | [CORE] | Common in argumentative, legal, and academic contexts where a claim is being supported or shown warranted. P4a specifically notes **להצדיק** as a clearly attested direct causative morphology in this domain. |
| ABSTRACT NOMINALIZATION | אמת | *ʾemet* | “truth” | [CORE] | Highly natural as an abstract noun in both standalone and construct-like NP uses. Alternate attested nominalizations include **דיוק, אמינות, מהימנות, צדק, הצדקה, מהות, זיוף**, including NP patterns such as **מהימנות המקור** and **חוסר דיוק**. |
| ABSTRACT NOMINALIZATION | אמינות | *ʾaminut* | “reliability / credibility” | [CORE] | Common in evaluation of sources, testimony, institutions, and information. Especially frequent in formal and semi-formal registers. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | (no common expression identified) |  | “(no common expression identified)” | [UNCERTAIN] | No productive agentive pattern was identified in the dataset for this semantic area. P4a notes preference for descriptive phrases or clause-level expressions instead. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | (no common expression identified) |  | “(no common expression identified)” | [UNCERTAIN] | Attested alternates mentioned in P4a are **איש אמת** and **לומר את האמת**, but not as a productive agentive nominalization pattern. This category is therefore unclear rather than established. |
| LIGHT-VERB / SUPPORT-VERB CONSTRUCTIONS | לומר את האמת | *lomar et ha-ʾemet* | “to tell the truth” | [CORE] | One of the strongest and most idiomatic patterns in the dataset, used broadly in speech and writing. Alternate attested support-verb combinations include **לעשות צדק** and, at the pattern level, combinations with **אמת, צדק, שקר, אמינות**. |
| LIGHT-VERB / SUPPORT-VERB CONSTRUCTIONS | לעשות צדק | *laʿasot tsedeq* | “to do justice” | [CORE] | Natural especially in moral, legal, and rhetorical contexts. This construction type is productive in packaging truth-related meanings through verb+noun combinations rather than single verbs. |
| DISCOURSE-MARKER CONSTRUCTIONS | למען האמת | *lemaʿan ha-ʾemet* | “to tell the truth / honestly” | [CORE] | A common discourse marker used to introduce candor, qualification, or a more direct stance. It is relatively fixed in form and functions pragmatically rather than as ordinary predication. |
| DISCOURSE-MARKER CONSTRUCTIONS | ליתר דיוק | *le-yeter diyuq* | “more precisely” | [CORE] | Common in spoken and written reformulation when correcting or sharpening a previous statement. Like **למען האמת**, it is a semi-frozen discourse frame. |
| CORRESPONDENCE / COMPARISON CONSTRUCTIONS | זהה ל־ | *zehe le-* | “identical to—” | [CORE] | Natural for explicit comparison of identity or exact sameness in formal and general usage. Alternate attested constructions in this set include **דומה ל־** for resemblance and **תואם ל־ / תואם את** for correspondence. |
| CORRESPONDENCE / COMPARISON CONSTRUCTIONS | תואם את העובדות | *toʾem et ha-uvdot* | “matches the facts” | [CORE] | Common in evaluative contexts involving facts, records, descriptions, or reality. P4a notes variation between complements with **ל־** and **את**. |
| FORMAL FALSEHOOD LABELING | הצהרה כוזבת | *hatsaharah kozevet* | “false declaration” | [CORE] | Strongly associated with legal, bureaucratic, and journalistic Hebrew rather than casual conversation. It contrasts with everyday clausal negation such as **זה לא נכון**. |
| FORMAL FALSEHOOD LABELING | טענה שקרית | *taʿanah sheqrit* | “false claim” | [CORE] | Common in institutional or formal evaluation of statements, allegations, and reports. The pattern is especially natural when claims are being categorized rather than simply denied. |
