| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| *true* | | Old English *trēowe* (faithful, trustworthy) | true, correct, genuine, real | Used to predicate accuracy or correspondence of statements, representations, or beliefs to facts. Also applied to persons or objects to indicate genuineness or fidelity to type (e.g., *a true friend*, *true north*). Used across propositional, moral, and ontological contexts to assert that something conforms to fact, is genuine, or is faithful to an original. Participates in productive derivation: *truth*, *truly*, *truism*, *untrue*, *truthful*. | [CORE] |
| *truth* | | Old English *trēowth* (faithfulness; fidelity; quality of being true); nominalization of *true* | truth, verity, fact | Refers to the property of being true, or to a true statement or fact. Used in philosophical, legal, moral, and everyday contexts. Appears in fixed expressions such as *tell the truth*, *truth of the matter*. Participates in compounds: *truth-telling*, *truth-value*, *half-truth*, *untruth*. | [CORE] |
| *accurate* | | Latin *accuratus* (done with care), from *ad-* + *cura* (care) | accurate, precise, correct, exact | Applied to descriptions, measurements, representations, and reports to indicate close correspondence with fact or reality. Implies precision and freedom from error. Commonly contrasted with *approximate* or *inaccurate*. Commonly used in scientific, journalistic, and everyday evaluative contexts. Productive: *accuracy*, *accurately*, *inaccurate*, *inaccuracy*. | [CORE] |
| *genuine* | | Latin *genuinus* (native, natural), possibly from *genu* (knee, in the sense of placing a child on the knee to acknowledge paternity) | genuine, authentic, real, sincere | Applied to objects, persons, emotions, and documents to indicate that they are what they purport to be, not counterfeit or feigned or simulated. Contrasts with *fake*, *spurious*, *counterfeit*. Productive: *genuinely*, *genuineness*. | [CORE] |
| *authentic* | | Greek *authentikos* (original, genuine), from *authentes* (one acting on one's own authority) | authentic, genuine, original, authoritative | Used of documents, artworks, persons, and experiences to indicate that they are original, not copied or falsified, or that they express a person's true character. In philosophical and popular usage, also applied to persons acting in accordance with their own values rather than external pressure. Appears in legal, aesthetic, and philosophical contexts. Productive: *authenticity*, *authentically*, *authenticate*, *authentication*, *inauthenticity*. | [CORE] |
| *valid* | | Latin *validus* (strong, effective), from *valere* (to be strong) | valid, sound, legally effective, well-grounded | In logic, predicates that an argument's conclusion follows necessarily from its premises. In legal and general usage, indicates that something is properly constituted, binding, or well-founded. Also used informally to mean well-founded or acceptable. Applied to arguments, contracts, claims, and procedures to indicate that they meet the relevant formal or substantive requirements for correctness or legal force. Productive: *validity*, *validate*, *invalid*, *invalidate*, *validation*. | [CORE] |
| *correct* | | Latin *correctus*, past participle of *corrigere* (to set right), from *com-* + *regere* (to rule, guide) | correct, right, accurate, proper | Applied to answers, behavior, procedures, and statements to indicate conformity with a standard, rule, or fact. Overlaps with *accurate* but more commonly used where a definite right answer or norm exists. Used in both descriptive and normative senses. Productive: *correctly*, *correctness*, *incorrect*, *correction*, *corrective*. | [CORE] |
| *right* | | Old English *riht* (straight, just, proper) | right, correct, just, proper, true | Covers a wide range of evaluative senses including factual correctness, moral rightness, and procedural propriety. Used predicatively (*that's right*) and attributively (*the right answer*). Productive: *rightly*, *rightness*, *rightful*, *rights*. | [CORE] |
| *fake* | | origin uncertain; possibly from German *fegen* (to sweep, polish) via criminal slang or thieves' cant | fake, counterfeit, false, sham, fraudulent | Applied to objects, persons, documents, and statements that are presented as genuine but are not, produced or presented with intent to deceive. Functions as adjective, noun, and verb. Productive: *faker*, *fakery*, *faked*. | [CORE] |
