# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Finnish (fi)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| tosi | se on totta | se on totta | that is true | Standard predicative construction affirming truth of a proposition. Very common across all registers. | [CORE] |
| tosi | onko se totta? | onko se totta | is that true? | Interrogative construction questioning truth of a statement. Common in everyday discourse. | [CORE] |
| tosi | ei ole totta | ei ole totta | is not true | Negative predicative construction denying truth. Common across registers. | [CORE] |
| tosi | se ei voi olla totta | se ei voi olla totta | that can't be true | Construction expressing disbelief or impossibility of truth. Common in everyday speech. | [CORE] |
| tosi | liian hyvää ollakseen totta | liian hyvää ollakseen totta | too good to be true | Idiomatic construction expressing skepticism about something seemingly advantageous. Common idiom. | [CORE] |
| tosi | tosi hyvä | tosi hyvä | really good | Colloquial intensifier construction. Very common in informal speech, less common in formal writing. | [CORE] |
| tosi | tosi iso | tosi iso | really big | Colloquial intensifier construction. Common in informal speech. | [CORE] |
| tosi | tosi paljon | tosi paljon | really much, a lot | Colloquial intensifier for quantity. Common in informal speech. | [CORE] |
| tosi | olla tosissaan | olla tosissaan | to be serious, to be in earnest | Fixed expression indicating seriousness of intent or lack of joking. Very common. | [CORE] |
| tosi | ottaa tosissaan | ottaa tosissaan | to take seriously | Construction for treating something with seriousness. Very common. | [CORE] |
| tosi | puhua tosissaan | puhua tosissaan | to speak seriously, to be serious | Construction indicating serious speech or intent. Common in everyday discourse. | [CORE] |
| tosi | ihan tosissaan | ihan tosissaan | completely serious, in all seriousness | Emphatic construction stressing seriousness. Common in informal speech. | [CORE] |
| tosi | tosiasiat puhuvat puolestaan | tosiasiat puhuvat puolestaan | the facts speak for themselves | Idiomatic construction asserting self-evidence of facts. Common in argumentative discourse. | [CORE] |
| tosi | perustua tosiasioihin | perustua tosiasioihin | to be based on facts | Construction indicating factual foundation. Common in formal and analytical discourse. | [CORE] |
| tosi | kiistaton tosiasia | kiistaton tosiasia | indisputable fact | Collocation emphasizing undeniability of a fact. Common in argumentative contexts. | [CORE] |
| tosi | karu tosiasia | karu tosiasia | harsh fact, hard truth | Collocation for unpleasant but undeniable facts. Common in serious discourse. | [CORE] |
| tosi | tosielämässä | tosielämässä | in real life | Adverbial construction contrasting reality with fiction or theory. Common in contemporary usage. | [CORE] |
| tosi | tosielämän tilanne | tosielämän tilanne | real-life situation | Construction describing actual practical situations. Common in educational and practical contexts. | [CORE] |
| totuus | puhua totuutta | puhua totuutta | to speak the truth, to tell the truth | Standard construction for truthful speech. Very common across all registers. | [CORE] |
| totuus | sanoa totuus | sanoa totuus | to tell the truth | Alternative to *puhua totuutta*, slightly more direct. Common in everyday speech. | [CORE] |
| totuus | kertoa totuus | kertoa totuus | to tell the truth | Construction for narrating or revealing truth. Common across registers. | [CORE] |
| totuus | etsiä totuutta | etsiä totuutta | to seek the truth | Construction for truth-seeking activity. Common in philosophical and investigative contexts. | [CORE] |
| totuus | selvittää totuus | selvittää totuus | to find out the truth, to clarify the truth | Construction for investigative truth-finding. Common in legal and investigative contexts. | [CORE] |
| totuus | paljastaa totuus | paljastaa totuus | to reveal the truth, to expose the truth | Construction for uncovering hidden truth. Common in journalistic and dramatic contexts. | [CORE] |
| totuus | salata totuus | salata totuus | to conceal the truth, to hide the truth | Construction for deliberately hiding truth. Common in moral and legal discourse. | [CORE] |
| totuus | vääristää totuutta | vääristää totuutta | to distort the truth | Construction for misrepresenting truth. Common in critical and analytical discourse. | [CORE] |
| totuus | totuus paljastui | totuus paljastui | the truth was revealed, the truth came out | Construction describing emergence of truth. Common in narrative and investigative contexts. | [CORE] |
| totuus | totuus tuli ilmi | totuus tuli ilmi | the truth came to light | Construction for truth becoming known. Common in formal and narrative contexts. | [CORE] |
| totuus | totuus selviää | totuus selviää | the truth will be revealed, the truth becomes clear | Construction predicting or describing truth-revelation. Common across registers. | [CORE] |
| totuus | koko totuus | koko totuus | the whole truth | Collocation emphasizing completeness of truth. Common in legal contexts (oath formulas). | [CORE] |
| totuus | pelkkä totuus | pelkkä totuus | nothing but the truth, pure truth | Collocation emphasizing exclusivity of truth. Common in legal contexts. | [CORE] |
| totuus | karu totuus | karu totuus | harsh truth, hard truth | Collocation for unpleasant truths. Common in serious discourse. | [CORE] |
| totuus | ikävä totuus | ikävä totuus | unpleasant truth | Collocation for unwelcome truths. Common in everyday and formal discourse. | [CORE] |
| totuus | totuuden hetki | totuuden hetki | moment of truth | Idiomatic construction for decisive moment when truth is revealed. Common idiom. | [CORE] |
| totuus | totuus ja valhe | totuus ja valhe | truth and lies | Paired construction contrasting truth with falsehood. Common in moral and philosophical discourse. | [CORE] |
| totuus | vannoa totuuden nimeen | vannoa totuuden nimeen | to swear by the truth | Formal oath construction. Used in legal and solemn contexts. | [CORE] |
| totuus | totuus, koko totuus ja ei mitään muuta kuin totuus | totuus, koko totuus ja ei mitään muuta kuin totuus | the truth, the whole truth, and nothing but the truth | Legal oath formula. Standard in court proceedings. | [CORE] |
| totta | totta kai | totta kai | of course, certainly | Emphatic affirmative construction. Very common in everyday speech. | [CORE] |
| totta | totta puhuen | totta puhuen | to tell the truth, truthfully speaking | Discourse marker introducing honest statement. Common in everyday and formal speech. | [CORE] |
| totta | totta tosiaan | totta tosiaan | indeed, as a matter of fact | Emphatic affirmative construction. Somewhat formal or emphatic register. | [CORE] |
| valhe | puhua valhetta | puhua valhetta | to tell a lie, to speak falsely | Standard construction for lying. Common across all registers. | [CORE] |
| valhe | sanoa valhe | sanoa valhe | to tell a lie | Alternative construction for lying. Common in everyday speech. | [CORE] |
| valhe | kertoa valhe | kertoa valhe | to tell a lie | Construction for narrating falsehoods. Common across registers. | [CORE] |
| valhe | paljastaa valhe | paljastaa valhe | to expose a lie, to reveal a lie | Construction for uncovering lies. Common in investigative and moral discourse. | [CORE] |
| valhe | valhe paljastui | valhe paljastui | the lie was exposed | Construction describing exposure of falsehood. Common in narrative contexts. | [CORE] |
| valhe | valhe tuli ilmi | valhe tuli ilmi | the lie came to light | Construction for lie becoming known. Common in formal and narrative contexts. | [CORE] |
| valhe | elää valheessa | elää valheessa | to live a lie | Idiomatic construction for living inauthentically or based on falsehood. Common in moral discourse. | [CORE] |
| valhe | valhe jalat alla | valhe jalat alla | lies have short legs (idiom: lies are quickly exposed) | Proverbial construction asserting that lies are eventually discovered. Common proverb. | [CORE] |
| valhe | pieni valhe | pieni valhe | white lie, small lie | Collocation for minor or supposedly harmless lies. Common in everyday moral discourse. | [CORE] |
| valhe | valkoinen valhe | valkoinen valhe | white lie | Collocation for supposedly harmless or well-intentioned lies. Common in everyday discourse. | [CORE] |
| väärä | olla väärässä | olla väärässä | to be wrong, to be mistaken | Standard construction for being incorrect. Very common across all registers. | [CORE] |
| väärä | osoittautua vääräksi | osoittautua vääräksi | to prove (to be) wrong, to turn out to be false | Construction describing something being shown to be incorrect. Common in analytical discourse. | [CORE] |
| väärä | todistaa vääräksi | todistaa vääräksi | to prove wrong, to disprove | Construction for demonstrating falsity. Common in scientific and argumentative contexts. | [CORE] |
| väärä | oikaista väärä käsitys | oikaista väärä käsitys | to correct a misconception | Construction for rectifying misunderstandings. Common in explanatory discourse. | [CORE] |
| väärä | korjata väärä tieto | korjata väärä tieto | to correct false information | Construction for fixing incorrect information. Common in editorial and administrative contexts. | [CORE] |
| väärä | mennä väärään suuntaan | mennä väärään suuntaan | to go in the wrong direction | Construction for incorrect direction, literal or figurative. Common across registers. | [CORE] |
| väärä | olla väärällä tiellä | olla väärällä tiellä | to be on the wrong path/road | Construction for pursuing wrong course, literal or figurative. Common idiom. | [CORE] |
| väärä | olla väärällä raiteella | olla väärällä raiteella | to be on the wrong track | Idiomatic construction for misdirected efforts. Common in everyday and analytical discourse. | [CORE] |
| väärä | johtaa väärään suuntaan | johtaa väärään suuntaan | to lead in the wrong direction | Construction for misleading direction. Common in analytical and critical discourse. | [CORE] |
| väärä | väärä hälytys | väärä hälytys | false alarm | Fixed expression for unfounded alarm. Very common in emergency and everyday contexts. | [CORE] |
| väärä | antaa väärä hälytys | antaa väärä hälytys | to give a false alarm | Construction for triggering unfounded alarm. Common in emergency contexts. | [CORE] |
| väärä | saada väärä käsitys | saada väärä käsitys | to get the wrong impression/idea | Construction for acquiring misunderstanding. Very common in everyday discourse. | [CORE] |
| väärä | antaa väärä kuva | antaa väärä kuva | to give a false impression/picture | Construction for creating misleading impression. Common in critical discourse. | [CORE] |
| väärä | luoda väärä mielikuva | luoda väärä mielikuva | to create a false impression | Construction for generating misleading mental image. Common in media criticism. | [CORE] |
| väärä | vannoa väärä vala | vannoa väärä vala | to swear a false oath, to commit perjury | Legal construction for perjury. Formal legal terminology. | [CORE] |
| väärä | antaa väärä todistus | antaa väärä todistus | to give false testimony, to commit perjury | Legal construction for false testimony. Formal legal terminology. | [CORE] |
| väärä | käyttää väärää nimeä | käyttää väärää nimeä | to use a false name | Construction for identity deception. Common in legal and narrative contexts. | [CORE] |
| väärä | esiintyä väärällä nimellä | esiintyä väärällä nimellä | to appear under a false name | Construction for using assumed identity. Common in legal and narrative contexts. | [CORE] |
| väärä | johtaa väärään jälkeen | johtaa väärään jälkeen | to lead on a false trail, to mislead | Idiomatic construction for misdirection. Common in investigative and mystery contexts. | [CORE] |
| väärä | seurata väärää jälkeä | seurata väärää jälkeä | to follow a false trail | Construction for pursuing wrong lead. Common in investigative contexts. | [CORE] |
| oikea | olla oikeassa | olla oikeassa | to be right, to be correct | Standard construction for being correct. Very common across all registers. | [CORE] |
| oikea | osoittautua oikeaksi | osoittautua oikeaksi | to prove (to be) right, to turn out to be correct | Construction describing something being shown to be correct. Common in analytical discourse. | [CORE] |
| oikea | todistaa oikeaksi | todistaa oikeaksi | to prove right, to vindicate | Construction for demonstrating correctness. Common in argumentative contexts. | [CORE] |
