# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1.1 | உண்மை ஆகு | uṇmai āku | NATURAL | Standard inchoative construction. Common in contexts where something previously uncertain or false is revealed to be true. |
| 1.1 | உண்மையாக ஆகு | uṇmaiyāka āku | NATURAL | Alternative form with adverbial -ஆக. Both forms freely alternate. |
| 1.2 | உண்மை வெளிப்படு | uṇmai veḷippaṭu | NATURAL | Very frequent in narrative and investigative contexts. Emphasizes process of truth emerging from concealment. |
| 1.2 | உண்மை வெளிச்சத்திற்கு வரு | uṇmai veḷiccattiṟku varu | NATURAL | Metaphorical construction "truth comes to light." Common in narrative contexts. |
| 1.3 | உண்மை தெரிய வரு | uṇmai teriya varu | NATURAL | Common in epistemic contexts. Focuses on truth becoming known to observers. |
| 1.3 | உண்மை தெரிந்தது | uṇmai terintatu | NATURAL | Past tense form "truth became known." Very common in narrative. |
| 1.4 | தெளிவாகு | teḷivāku | NATURAL | Very common in explanatory contexts. Expresses change from unclear to clear state. |
| 1.4 | தெளிவு ஆகு | teḷivu āku | NATURAL | Alternative form. Both freely alternate. |
| 1.5 | சரியாகு | cariyāku | NATURAL | Extremely common in everyday speech. Used for correction and fixing. |
| 1.5 | சரி ஆகு | cari āku | NATURAL | Alternative form. Both extremely frequent. |
| 1.6 | உறுதியாகு | uṟutiyāku | NATURAL | Common in formal discourse. Expresses change from uncertain to certain state. |
| 1.6 | உறுதி ஆகு | uṟuti āku | NATURAL | Alternative form. Common in formal and legal contexts. |
| 2.1 | பொய் அம்பலமாகு | poy ampalamāku | NATURAL | Common in contexts of revelation and scandal. Expresses lies being exposed. |
| 2.1 | பொய் அம்பலம் ஆகு | poy ampalam āku | NATURAL | Alternative form. Both common. |
| 2.2 | பொய் பிடிபடு | poy piṭipaṭu | NATURAL | Very frequent in narrative contexts. Treats lies as objects that can be caught. |
