| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| सत्य | satya | from *sat* “being, real” + adjectival suffix *-ya* | true, truth, real, genuine | *Satya* is one of the most common Sanskrit words for “truth” or “what is true.” It is used for true statements, truthful speech, moral truthfulness, and in philosophical contexts for what is ultimately real or valid. | [CORE] |
| सत्यम् | satyam | neuter form of *satya* | truth, true, truly | *Satyam* frequently appears both as a noun “truth” and predicatively for “it is true.” It is common in literary, religious, and philosophical Sanskrit, especially in discussions of truthful assertion and reality. | [CORE] |
| सत्यता | satyatā | *satya* + abstract suffix *-tā* “truth-ness” | truth, truthfulness, correctness | *Satyatā* denotes the quality or condition of being true. It is especially suitable in more abstract or scholastic discussion, such as evaluating the truth of a proposition or the truthfulness of a claim. | [CORE] |
| सत्यवचन | satyavacana | *satya* “true” + *vacana* “speech, utterance” | truthful speech, true statement | This compound refers to speech that is true or truthful. It is used in ethical and normative contexts, especially where one evaluates whether a person’s utterance accords with fact or duty. | [CORE] |
| ऋत | ṛta | traditionally “properly joined, fixed, ordered”; ancient inherited term | truth, right order, cosmic order, right | *Ṛta* is especially prominent in Vedic Sanskrit, where it refers to truth, rightness, and the proper order of things. It can evaluate speech and conduct, but also the larger correctness or orderliness of the cosmos. | [MARGINAL] |
| तथ्य | tathya | from *tathā* “thus, so” + adjectival formation | true, factual, actual, correct | *Tathya* is used for something factual or in accordance with the case. It often applies to statements, reports, or descriptions judged for factual correctness rather than moral truthfulness. | [CORE] |
| यथार्थ | yathārtha | *yathā* “as, according to” + *artha* “thing, meaning, object” = “according to the object/fact” | real, true, accurate, exact, actual | *Yathārtha* is widely used for what corresponds to reality or to the actual state of affairs. It can describe accurate representation, correct understanding, or the true nature of something in philosophical and literary usage. | [CORE] |
| यथार्थता | yathārthatā | *yathārtha* + abstract suffix *-tā* | reality, accuracy, truth, exactness | *Yathārthatā* denotes the quality of being accurate or corresponding to reality. It is especially useful in reflective or analytical contexts, such as discussing the correctness of cognition, description, or representation. | [CORE] |
| सम्यक् | samyak | adverbial/adjectival form meaning “properly, rightly, correctly” | correctly, properly, rightly, true | *Samyak* is common in philosophical, ethical, and general evaluative contexts for what is correct or proper. It can qualify knowledge, judgment, conduct, or method, often with a sense of rightness rather than mere factual truth. | [CORE] |
| सम्यक्त्व | samyaktva | *samyak* + abstract suffix *-tva* | correctness, rightness, properness | *Samyaktva* refers to the state or quality of being correct or proper. It is especially at home in philosophical and scholastic discourse, where one evaluates whether a view, cognition, or practice is right. | [MARGINAL] |
| युक्त | yukta | past participle of √*yuj* “to join, yoke”; hence “joined, fitting” | proper, appropriate, suitable, reasonable, correct | *Yukta* often means “fitting” or “appropriate,” and by extension “reasonable” or “correct.” It is used in argument, ethics, and practical judgment to assess whether a statement, action, or interpretation is well-founded or suitable. | [CORE] |
| उचित | ucita | established adjective meaning “fitting, suitable” | proper, appropriate, fitting, right | *Ucita* is a common evaluative term for what is appropriate or proper in a given context. It is often applied to conduct, social behavior, legal or moral judgment, and sometimes to wording or representation. | [CORE] |
| न्याय्य | nyāyya | from *nyāya* “rule, method, justice, propriety” + adjectival suffix | just, fair, proper, legitimate | *Nyāyya* is used for what is justifiable, fair, or in accordance with rule or justice. It is especially relevant in legal, ethical, and argumentative contexts where one evaluates rightness or legitimacy. | [CORE] |
| धर्म्य | dharmya | from *dharma* + adjectival suffix | righteous, lawful, proper, just | *Dharmya* describes what accords with *dharma*, and so can evaluate conduct, judgment, or social action as right or lawful. It is common in moral and juridical contexts, often with a stronger normative force than simple factual correctness. | [CORE] |
| प्रमाण | pramāṇa | from prefix *pra-* + √*mā* “to measure”; “measure, standard, means of valid knowledge” | proof, authority, valid means of knowledge, standard | *Pramāṇa* is central in philosophical Sanskrit for a reliable means of knowing, and by extension for proof or authoritative warrant. It is used when evaluating whether a cognition, claim, or conclusion is epistemically valid or well-grounded. | [CORE] |
| प्रमा | pramā | from the same root family as *pramāṇa*; “correct cognition” | valid cognition, true knowledge | *Pramā* refers specifically to cognition that is true or valid. It is a technical but well-attested philosophical term used to distinguish correct knowledge from error or doubt. | [CORE] |
| प्रमाणिक | pramāṇika | from *pramāṇa* + suffix *-ika* | authoritative, authentic, valid, trustworthy | *Pramāṇika* is used for persons, texts, statements, or evidence regarded as authoritative or reliable. It can also carry the sense of authenticity or trustworthiness in learned and evaluative contexts. | [CORE] |
| प्रामाण्य | prāmāṇya | abstract noun from *pramāṇa/pramāṇika* family | validity, authority, trustworthiness | *Prāmāṇya* denotes the validity or authoritative status of a cognition, source, or statement. It is especially common in epistemological discussion about whether knowledge-claims are genuinely valid. | [CORE] |
| अप्रमाद | apramāda | privative *a-* + *pramāda* “carelessness, error, heedlessness” | carefulness, vigilance, non-negligence, reliability | *Apramāda* primarily refers to careful, vigilant conduct rather than truth in a narrow sense. Still, it is relevant where reliability and correctness of action or judgment are evaluated, especially in ethical and religious discourse. | [MARGINAL] |
| मिथ्या | mithyā | adverbial/adjectival form meaning “wrongly, falsely” | false, wrongly, erroneous, unreal | *Mithyā* is a standard term for falsity, error, or unreality, depending on context. It is used for false statements, mistaken cognition, and in philosophy for what lacks true or ultimate reality. | [CORE] |
| मृषा | mṛṣā | adverbial/adjectival form meaning “falsely, in vain” | false, untrue, vain, deceptive | *Mṛṣā* is an established word for falsity or untruth, often in literary and ethical contexts. It commonly appears in expressions concerning false speech, lying, or statements that do not accord with fact. | [CORE] |
| असत्य | asatya | privative *a-* + *satya* | false, untrue, not genuine | *Asatya* straightforwardly denotes what is not true. It is used for falsehood in speech, lack of truthfulness in persons, and sometimes for what is unreal or deceptive. | [CORE] |
| अनृत | anṛta | privative *an-* + *ṛta* | falsehood, untruth, wrong | *Anṛta* is an old and important term for falsehood, especially in Vedic and classical moral-religious contexts. It often contrasts with *ṛta* or *satya* and is used for lying, untruth, or violation of right order. | [CORE] |
| सदृश | sadṛśa | “similar, resembling, corresponding” | similar, like, resembling, corresponding | *Sadṛśa* is used when evaluating resemblance or likeness between things, persons, depictions, or descriptions. It can apply in aesthetic, descriptive, and philosophical contexts where correspondence in appearance or character matters. | [CORE] |
| तादृश | tādṛśa | *tādṛśa* “of such a kind, such-like” | such, of that kind, like that | *Tādṛśa* often functions demonstratively, but it can also characterize something as being of a certain kind or matching a described type. Its evaluative role is weaker and more context-dependent than that of clearer truth-related terms. | [MARGINAL] |
| स्वरूप | svarūpa | *sva* “own” + *rūpa* “form” | own nature, true form, essential nature | *Svarūpa* is widely used for the intrinsic or essential nature of something. It is especially common in philosophical and theological contexts where one asks what something fundamentally is, as distinct from appearance or misdescription. | [CORE] |
| तत्त्व | tattva | from *tat* “that” + abstract suffix *-tva*, literally “that-ness” | reality, principle, truth, essence | *Tattva* refers to a fundamental principle, true state, or essential reality. It is very common in philosophical discourse for the real nature of things and can also imply doctrinal truth or correct understanding. | [CORE] |
| भूतार्थ | bhūtārtha | *bhūta* “actual, real, become” + *artha* “matter, object, meaning” | real fact, actual state of affairs, true meaning | *Bhūtārtha* denotes what is factual or actually the case. It is used for accurate statement, real purport, or genuine fact, especially where one contrasts reality with fiction, exaggeration, or error. | [CORE] |
