| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| tosi | tosi | true | true, real, genuine | Used to describe statements that correspond to reality or things that are authentic. Common in everyday speech both as adjective (*tosi asia* "true fact") and as intensifier (*tosi hyvä* "really good"). | [CORE] |
| totuus | totuus | truth (derived from *tosi* + abstract noun suffix *-uus*) | truth | Abstract noun referring to the quality of being true or the true state of affairs. Used in philosophical, legal, and everyday contexts (*puhua totuutta* "speak the truth"). | [CORE] |
| oikea | oikea | right, correct | right, correct, real, genuine | Polysemous term meaning both "correct" and "right" (as opposed to left), as well as "genuine" or "real." Context determines meaning (*oikea vastaus* "correct answer," *oikea nimi* "real name"). | [CORE] |
| väärä | väärä | wrong, false | wrong, false, incorrect | Opposite of *oikea*, used for incorrect statements, false claims, or things that are not genuine. Common in evaluative contexts (*väärä käsitys* "false impression"). | [CORE] |
| aito | aito | genuine, authentic | genuine, authentic, real | Emphasizes authenticity and genuineness, often contrasted with imitations or fakes. Used for objects, emotions, and persons (*aito nahka* "genuine leather," *aito ystävä* "true friend"). | [CORE] |
| todellinen | todellinen | real, actual (derived from *tosi* + adjectival suffix *-llinen*) | real, actual, true | Describes what actually exists or occurs as opposed to imaginary or hypothetical. Common in formal and analytical contexts (*todellinen tilanne* "actual situation"). | [CORE] |
| valhe | valhe | lie, falsehood | lie, falsehood, untruth | Refers to deliberately false statements intended to deceive. Used in moral and everyday contexts (*puhua valhetta* "tell a lie"). | [CORE] |
| valehdella | valehdella | to lie (verb derived from *valhe*) | to lie, to tell lies | Verb meaning to deliberately make false statements. Common in everyday speech and moral discourse (*hän valehtelee* "he/she is lying"). | [CORE] |
| luotettava | luotettava | reliable, trustworthy (from *luottaa* "to trust" + passive participle suffix) | reliable, trustworthy, dependable | Describes persons, sources, or things that can be trusted or relied upon. Common in evaluations of credibility (*luotettava lähde* "reliable source"). | [CORE] |
| paikkansapitävä | paikkansapitävä | holding its place (compound: *paikkansa* "its place" + *pitävä* "holding") | accurate, correct, valid | Formal term indicating that something is factually correct or accurate. Often used in official, academic, or journalistic contexts (*paikkansapitävä tieto* "accurate information"). | [CORE] |
| virheellinen | virheellinen | erroneous, faulty (from *virhe* "error" + adjectival suffix *-llinen*) | erroneous, incorrect, faulty | Describes statements or things containing errors or mistakes. Common in formal and technical contexts (*virheellinen tieto* "erroneous information"). | [CORE] |
| oikeellinen | oikeellinen | correct, accurate (from *oikea* + adjectival suffix *-llinen*) | correct, accurate, proper | Formal term for correctness, often used in technical, legal, or administrative contexts. Less common in everyday speech than *oikea* (*oikeelliset tiedot* "correct information"). | [CORE] |
| todenmukaisuus | todenmukaisuus | truthfulness, verisimilitude (from *toden* "truth's" + *mukainen* "according to" + *-uus* abstract suffix) | truthfulness, accuracy, verisimilitude | Abstract noun referring to correspondence with truth or reality. Used in formal contexts, particularly in evaluating representations or accounts. | [CORE] |
| epätosi | epätosi | untrue, false (prefix *epä-* "un-" + *tosi* "true") | untrue, false | Negation of *tosi*, used to describe statements that do not correspond to reality. Common in formal and analytical contexts (*epätosi väite* "false claim"). | [CORE] |
| vääristää | vääristää | to distort, to falsify (causative verb from *väärä*) | to distort, to falsify, to misrepresent | Verb meaning to make something false or inaccurate, often deliberately. Used in contexts of misrepresentation (*vääristää totuutta* "distort the truth"). | [CORE] |
| petollinen | petollinen | deceptive, deceitful (from *petos* "deception" + *-llinen*) | deceptive, deceitful, fraudulent | Describes persons, actions, or appearances that deceive or mislead. Common in moral and legal contexts (*petollinen käytös* "deceptive behavior"). | [CORE] |
| rehellinen | rehellinen | honest, truthful | honest, truthful, sincere | Describes persons or statements characterized by honesty and truthfulness. Central term in moral evaluation (*rehellinen ihminen* "honest person"). | [CORE] |
| vilpitön | vilpitön | sincere, genuine (from *vilppi* "deceit" + privative suffix *-tön*) | sincere, genuine, honest | Describes sincerity and lack of deceit, particularly in intentions or emotions. Often used in evaluating character or motives (*vilpitön halu* "sincere desire"). | [CORE] |
| todistaa | todistaa | to prove, to testify (verb from *tosi* root) | to prove, to demonstrate, to testify | Verb meaning to establish truth through evidence or to give testimony. Common in legal, scientific, and everyday contexts (*todistaa syyttömyytensä* "prove one's innocence"). | [CORE] |
| todiste | todiste | proof, evidence (noun from *todistaa*) | proof, evidence | Refers to evidence or proof that establishes truth. Common in legal and argumentative contexts (*esittää todisteita* "present evidence"). | [CORE] |
| pitää paikkansa | pitää paikkansa | to hold its place (fixed expression: *pitää* "to hold" + *paikkansa* "its place") | to be true, to be correct, to hold | Fixed verbal expression meaning that something is true or accurate. Common in everyday and formal speech (*se pitää paikkansa* "that is true"). | [CORE] |
| vastata totuutta | vastata totuutta | to correspond to truth (fixed expression: *vastata* "to correspond" + *totuutta* "truth" partitive) | to correspond to the truth, to be true | Fixed expression indicating correspondence with truth or reality. Used in formal and evaluative contexts. | [CORE] |
| harhaanjohtava | harhaanjohtava | misleading (compound: *harhaan* "astray" + *johtava* "leading") | misleading, deceptive | Describes statements, representations, or appearances that lead to false conclusions. Common in critical and analytical contexts (*harhaanjohtava mainonta* "misleading advertising"). | [CORE] |
