| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| totta | totuus | — | totta / tosi + -uus | truth | **Totuus** is the standard abstract noun for ‘truth’ in everyday, philosophical, moral, and legal contexts. It refers both to truth in general and to the truth of a particular matter. | [CORE] |
| totta | totisesti | — | tosi/totta + -sti | truly, verily, indeed | **Totisesti** is an elevated or literary adverb used for emphatic affirmation. It is much less common than everyday **todella** or **totta**. | [MARGINAL] |
| totta | totuudenmukainen | — | totuuden ‘of truth’ + mukainen ‘in accordance with’ | truthful, true to fact | This adjective is used for accounts, depictions, and testimony that accord with the facts. It is common in journalism, criticism, and legal or historical discussion. | [CORE] |
| totta | totuudenmukaisuus | — | totuudenmukainen + -uus | truthfulness, factual accuracy | **Totuudenmukaisuus** refers to the degree to which a representation or statement matches the truth. It is used in criticism, historiography, law, and media analysis. | [CORE] |
| totta | totuudellinen | — | totuus + -llinen | truthful, truth-bearing | **Totuudellinen** is attested in philosophical, theological, and literary language. It is less common and more specialized than **totuudenmukainen**. | [MARGINAL] |
| totta | totuudellisuus | — | totuudellinen + -uus | truthfulness, truth-content | This noun appears in specialized philosophical, theological, and literary-critical contexts. It is less frequent than **totuudenmukaisuus**. | [MARGINAL] |
| totta | totuusarvo | — | totuus + arvo ‘value’ | truth value | **Totuusarvo** is a standard technical term in logic and semantics. It refers to whether a proposition is true or false. | [CORE] |
| totta | totuusehto | — | totuus + ehto ‘condition’ | truth condition | **Totuusehto** is used in semantics and philosophy of language. It refers to the conditions under which a statement is true. | [CORE] |
| totta | totuudenetsintä | — | totuuden + etsintä ‘search’ | search for truth | This noun is used in philosophy, law, journalism, and reflective prose. It refers to inquiry aimed at establishing what is true. | [MARGINAL] |
| totta | totuudenetsijä | — | totuuden + etsijä ‘seeker’ | seeker of truth | **Totuudenetsijä** is used in philosophical, religious, and literary contexts. It refers to a person devoted to finding truth. | [MARGINAL] |
| totta | totuudenrakkaus | — | totuuden + rakkaus ‘love’ | love of truth | This noun occurs in philosophy, ethics, education, and rhetoric. It denotes a disposition to value truth and honest inquiry. | [MARGINAL] |
| totta | totuuskomissio | — | totuus + komissio | truth commission | **Totuuskomissio** is used in political and historical contexts, especially transitional justice. It refers to an official body investigating past abuses or events. | [CORE] |
| totta | totuusseerumi | — | totuus + seerumi | truth serum | This word appears in journalism, fiction, and popular discussion. It usually refers to a supposed substance that makes people tell the truth. | [MARGINAL] |
| tosi | totuus | — | tosi + -uus | truth | **Totuus** is the standard noun for truth in both ordinary and specialized discourse. It is central in moral, legal, and philosophical discussion. | [CORE] |
| tosi | todellinen | — | tode- / tosi + -llinen | real, actual | **Todellinen** is used to distinguish what is actual or genuine from what is apparent, fictional, or merely supposed. It is common in everyday, legal, and philosophical language. | [CORE] |
| tosi | todellisuus | — | todellinen + -uus | reality | **Todellisuus** is the standard noun for ‘reality’. It is used broadly in general language and in more reflective or philosophical contexts. | [CORE] |
| tosi | todella | — | adverb from the same family | really, truly, very | **Todella** is very common in everyday Finnish as both an affirming adverb and an intensifier. Its use often extends beyond literal truth evaluation. | [CORE] |
| tosi | todellakin | — | todella + emphatic particle -kin | indeed, really | **Todellakin** is a common emphatic adverb in speech and writing. It is used to confirm or strengthen a statement. | [CORE] |
| tosi | epätosi | — | epä- ‘un-, non-’ + tosi | untrue, false | **Epätosi** is the standard opposite of **tosi** in logic, argumentation, and formal statement evaluation. It is common in semi-formal and formal contexts. | [CORE] |
| tosi | todennäköinen | — | historically from the same family + näköinen | probable, likely | **Todennäköinen** is very common in everyday, scientific, and administrative language. Synchronically it belongs more to the probability domain than direct truth assertion. | [CORE] |
| tosi | todennäköisesti | — | todennäköinen + -sti | probably, likely | This adverb is very common in speech and writing for marking probability. It does not assert truth directly, but likelihood. | [CORE] |
| tosi | todennäköisyys | — | todennäköinen + -yys | probability | **Todennäköisyys** is the standard noun for probability in mathematics, statistics, science, and everyday reasoning. It refers to likelihood rather than truth itself. | [CORE] |
| tosi | todistaa | — | from tosi/tode- family | prove; testify; demonstrate | **Todistaa** is very common in law, mathematics, science, and everyday argument. It can mean either proving a claim or giving testimony, depending on context. | [CORE] |
| tosi | todiste | — | from todistaa | evidence, proof | **Todiste** is common in law, science, journalism, and everyday reasoning. It refers to evidence supporting a claim. | [CORE] |
| tosi | todistaja | — | todistaa + agentive -ja | witness | **Todistaja** is the standard term for a witness in legal and everyday contexts. It can refer to someone who saw an event or gives testimony. | [CORE] |
| tosi | todistus | — | from todistaa | certificate; proof; testimony | **Todistus** is very common in education, administration, religion, and law. It can refer to documentary proof, testimony, or a school certificate. | [CORE] |
| tosi | todistusaineisto | — | todistus + aineisto ‘material’ | evidentiary material, evidence | This compound is used in legal and investigative contexts. It refers to the body of evidence in a case. | [CORE] |
| tosi | todistuskappale | — | todistus + kappale ‘piece/item’ | exhibit, piece of evidence | **Todistuskappale** is a technical but established term in legal and police usage. It refers to a physical evidentiary item. | [CORE] |
| tosi | todistettavasti | — | from todistettava ‘provable’ + -sti | demonstrably, provably | This adverb is used in formal argumentation, science, and legal reasoning. It refers to something that can be shown by proof. | [MARGINAL] |
| totuus | totuudenmukainen | — | totuuden + mukainen | truthful, true to fact | This adjective is used for descriptions, testimony, and representations that accord with truth. It is common in journalism, criticism, and legal or historical discussion. | [CORE] |
