# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Greek (el)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| αλήθεια | λέω την αλήθεια | léo tin alítheia | to tell the truth | Standard expression for truth-telling. Extremely common across all registers, used both literally and as discourse marker for emphasis. | [CORE] |
| αλήθεια | η αλήθεια είναι ότι... | i alítheia íne óti... | the truth is that... | Common discourse frame for introducing truthful statements or admissions. Used across registers to mark sincerity or concession. | [CORE] |
| αλήθεια | στην αλήθεια | stin alítheia | in truth, actually, to be honest | Prepositional phrase used as discourse marker for emphasis or correction. Common in spoken and written Greek. | [CORE] |
| αλήθεια | κατά την αλήθεια | katá tin alítheia | according to truth, truthfully | More formal variant of στην αλήθεια, used in written discourse and formal speech. | [CORE] |
| αλήθεια | η γυμνή αλήθεια | i gymní alítheia | the naked truth, the plain truth | Idiomatic expression for unvarnished truth. Common in emphatic contexts across registers. | [CORE] |
| αλήθεια | η πικρή αλήθεια | i pikrí alítheia | the bitter truth | Idiomatic expression for unpleasant but true facts. Common in moral and evaluative discourse. | [CORE] |
| αλήθεια | η σκληρή αλήθεια | i sklirí alítheia | the harsh truth, the hard truth | Idiomatic expression for difficult or unpleasant truths. Common across registers. | [CORE] |
| αλήθεια | η απόλυτη αλήθεια | i apólyti alítheia | the absolute truth | Expression emphasizing complete or unqualified truth. Common in emphatic and philosophical contexts. | [CORE] |
| αλήθεια | η καθαρή αλήθεια | i katharí alítheia | the pure truth, the plain truth | Expression emphasizing unadorned or unmixed truth. Common in everyday and emphatic discourse. | [CORE] |
| αλήθεια | βγαίνει η αλήθεια στη φόρα | vgaíni i alítheia sti fóra | the truth comes out/to light | Idiomatic expression for truth being revealed. Common in narrative and evaluative contexts. | [CORE] |
| αλήθεια | φέρνω την αλήθεια στο φως | férno tin alítheia sto fos | to bring the truth to light | Idiomatic expression for revealing truth. Common in investigative and journalistic contexts. | [CORE] |
| αλήθεια | η αλήθεια πονάει | i alítheia ponáei | the truth hurts | Proverbial expression acknowledging painful nature of truth. Common in everyday discourse. | [CORE] |
| αλήθεια | η αλήθεια θα σε ελευθερώσει | i alítheia tha se eleftherósi | the truth will set you free | Biblical/proverbial expression about liberating power of truth. Used in moral and philosophical discourse. | [CORE] |
| αλήθεια | μισή αλήθεια | misí alítheia | half-truth | Expression for partially true but misleading statements. Common in critical and evaluative discourse. | [CORE] |
| αλήθεια | κρύβω την αλήθεια | krývo tin alítheia | to hide the truth | Common expression for concealing truth. Used across registers in narrative and evaluative contexts. | [CORE] |
| αλήθεια | αποκαλύπτω την αλήθεια | apokalýpto tin alítheia | to reveal the truth | Formal expression for disclosing truth. Common in journalistic and investigative contexts. | [CORE] |
| ψέμα | λέω ψέματα | léo psémata | to tell lies | Standard expression for lying. Extremely common across all registers. Note plural form ψέματα is typical. | [CORE] |
| ψέμα | είναι ψέμα | íne pséma | it's a lie, that's false | Common declarative expression denying truth of statement. Used across all registers. | [CORE] |
| ψέμα | ψέμα δεν λέω | pséma den léo | I'm not lying, I tell no lie | Emphatic assertion of truthfulness. Common in spoken Greek for emphasis or defense. | [CORE] |
| ψέμα | κοτσάνα ψέματα | kotsána psémata | big lies, whopping lies | Colloquial intensified expression for blatant or outrageous lies. Common in informal speech. | [CORE] |
| ψέμα | ψέμα στο ψέμα | pséma sto pséma | lie upon lie, one lie after another | Expression for accumulation of lies. Common in critical and narrative discourse. | [CORE] |
| ψέμα | άσπρο ψέμα | áspro pséma | white lie | Expression for harmless or well-intentioned lie. Common across registers for minor deceptions. | [CORE] |
| ψέμα | μαύρο ψέμα | mávro pséma | black lie, blatant lie | Expression for serious or malicious lie. Less common than άσπρο ψέμα but attested. | [CORE] |
| ψέμα | πιάνω κάποιον στο ψέμα | piáno kápion sto pséma | to catch someone in a lie | Idiomatic expression for detecting someone's lie. Common in narrative and confrontational contexts. | [CORE] |
| ψέμα | ξεσκεπάζω το ψέμα | xeskepázo to pséma | to expose/uncover the lie | Expression for revealing falsehood. Common in investigative and critical discourse. | [CORE] |
| ψέμα | το ψέμα έχει κοντά ποδάρια | to pséma échi kontá podária | lies have short legs (lies don't get far) | Proverbial expression that lies are eventually discovered. Common in moral discourse. | [CORE] |
| ψέμα | ψέμα για καλό | pséma ya kaló | lie for good (purpose), white lie | Expression for well-intentioned deception. Common in moral discussions about lying. | [CORE] |
| αληθινός | αληθινή ιστορία | alithiní istoría | true story | Common collocation marking narrative as factual. Used in storytelling and journalistic contexts. | [CORE] |
| αληθινός | αληθινός φίλος | alithinós fílos | true friend, genuine friend | Common expression for authentic friendship. Used across registers in evaluative and emotional contexts. | [CORE] |
| αληθινός | αληθινή αγάπη | alithiní agápi | true love | Common romantic expression for genuine love. Used in emotional, literary, and everyday contexts. | [CORE] |
| αληθινός | αληθινό πρόσωπο | alithinó prósopo | true face, real character | Expression for someone's genuine character or nature. Common in evaluative discourse. | [CORE] |
| αληθινός | αληθινό όνομα | alithinó ónoma | real name, true name | Expression distinguishing actual name from pseudonym or alias. Common in identification contexts. | [CORE] |
| ψεύτης | είναι ψεύτης | íne pséftis | he/she is a liar | Standard predicative construction for identifying someone as liar. Common across registers. | [CORE] |
| ψεύτης | μεγάλος ψεύτης | megálos pséftis | big liar, great liar | Intensified expression for habitual or shameless liar. Common in informal and critical discourse. | [CORE] |
| ψεύτης | ψεύτης και απατεώνας | pséftis ke apateónas | liar and fraud/swindler | Common paired expression intensifying moral condemnation. Used in critical and legal contexts. | [CORE] |
| ψευδής | ψευδής μαρτυρία | psevdís martyría | false testimony, perjury | Legal collocation for false witness. Common in judicial and legal contexts. | [CORE] |
| ψευδής | ψευδής κατηγορία | psevdís katigoría | false accusation | Legal and moral expression for unfounded accusation. Common in legal and critical discourse. | [CORE] |
| ψευδής | ψευδής ισχυρισμός | psevdís ischyrismós | false claim, false assertion | Formal expression for untrue claim. Common in legal, academic, and critical discourse. | [CORE] |
| ψευδής | ψευδής υπόσχεση | psevdís ypóschesi | false promise | Expression for promise not intended to be kept. Common in moral and political criticism. | [CORE] |
| σωστός | σωστή απάντηση | sostí apántisi | correct answer | Standard educational collocation. Extremely common in academic and testing contexts. | [CORE] |
| σωστός | το σωστό πράγμα | to sostó prágma | the right thing | Common moral expression for proper action. Used in ethical discourse and decision-making contexts. | [CORE] |
| σωστός | κάνω το σωστό | káno to sostó | to do the right thing | Common moral expression for acting properly. Used across registers in ethical contexts. | [CORE] |
| σωστός | σωστός δρόμος | sostós drómos | right road/path, correct way | Expression for correct route or approach. Used literally for directions and metaphorically for life choices. | [CORE] |
| σωστός | σωστή λύση | sostí lýsi | correct solution | Common collocation in problem-solving contexts. Used in academic, technical, and everyday discourse. | [CORE] |
| λάθος | κάνω λάθος | káno láthos | to make a mistake, to be wrong | Standard expression for making errors. Extremely common across all registers and contexts. | [CORE] |
| λάθος | έχω λάθος | écho láthos | to be wrong, to be mistaken | Common expression for being in error. Used across registers in disagreement and correction contexts. | [CORE] |
| λάθος | είναι λάθος | íne láthos | it's wrong, that's incorrect | Standard predicative construction for identifying error. Common across all contexts. | [CORE] |
| λάθος | κατά λάθος | katá láthos | by mistake, accidentally | Common adverbial expression for unintentional action. Used across all registers. | [CORE] |
| λάθος | εκ λάθους | ek láthous | by mistake, in error (formal) | Formal variant of κατά λάθος, used in written and official discourse. | [CORE] |
| λάθος | μεγάλο λάθος | megálo láthos | big mistake, serious error | Common intensified expression for significant error. Used across registers for emphasis. | [CORE] |
| λάθος | διορθώνω το λάθος | diorthóno to láthos | to correct the mistake | Standard expression for error correction. Common in educational and professional contexts. | [CORE] |
| λάθος | παραδέχομαι το λάθος μου | paradéchome to láthos mou | I admit my mistake | Common expression for acknowledging error. Used in interpersonal and professional contexts. | [CORE] |
