| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | tulla todeksi | — | [CORE] | This is the clearest common Finnish change-of-state expression in the material for movement into a truth-related state. It is especially natural with hopes, fears, dreams, and predictions. The result state is encoded with the translative **todeksi**. |
| 2 | osoittautua epätodeksi | — | [CORE] | This pattern is used when later checking, evidence, or events show that something was not true. It is retrospective and verification-oriented. The result state is encoded with the translative **epätodeksi**. |
| 3 | paljastua väärennökseksi | — | [CORE] | This is a dynamic authenticity expression rather than a simple truth-value expression. It is used when an object’s status changes in public knowledge: not that the object itself changes, but that it comes to be identified as false or forged. |
| 4 | totuus tulee ilmi | — | [CORE] | This does not mean that truth itself changes state from false to true. Rather, hidden truth becomes known or visible. It is one of the main dynamic expressions involving **totuus** in the material. |
| 5 | kertoa totuus / paljastaa totuus / puhua totta | — | [CORE] | These are dynamic event expressions involving truth as content. They do not mean “make something true,” but rather “state” or “disclose” what is true. |
| 6 | etsiä totuutta / totuudenetsintä | — | [MARGINAL] | These expressions encode an ongoing process directed toward truth. They are dynamic in the sense of inquiry, not in the sense of changing an object into a truth-state. |
| 7 | todistaa jokin | — | [CORE] | This is the main lexical verb in the material for causing or establishing acceptance of truth. It does not literally “make” a proposition true; rather, it shows or demonstrates that it is true. |
| 8 | tehdä jokin uskottavaksi | — | [CORE] | This is a causative pattern with **tehdä** + translative. It concerns **uskottava** ‘credible, believable’, not truth itself. A thing can be made believable without being true. |
| 9 | oikeuttaa jokin | — | [CORE] | This is dynamic in the normative domain. It causes something to count as justified or entitled, not true. It belongs to the **oikeus/oikea** family, but not to factual truth in the narrow sense. |
| 10 | pitää jokin totena / pitää jotakuta luotettavana | — | [CORE] | This is an evaluative change or stance construction only in a weak sense: it encodes a judgment, not necessarily a real change in the object. It is important because Finnish often uses this pattern instead of a direct causative “make true.” |
| 11 | irtautua todellisuudesta | — | [CORE] | This is a dynamic movement away from the reality domain. It is one of the clearest “becomes non-real / disconnected from reality” expressions in the material. |
| 12 | vastata todellisuutta / perustua todellisuuteen | — | [CORE] | These are not inchoative by themselves, but they encode stable relation to reality. In dynamic contexts they can describe whether something comes to align with reality, but the common expressions in the material are stative/evaluative. |
| 13 | NO COMMON EXPRESSION IDENTIFIED | — | — | The material does include: **tulla todeksi**, **osoittautua epätodeksi**, **paljastua väärennökseksi**, **tehdä jokin uskottavaksi**. But it does **not** provide a similarly clear common dynamic expression for each truth-related adjective such as: **laillinen**, **lainmukainen**, **luotettava**, **aito**, **autenttinen**, **oikea**, **paikkansapitävä**. So these should not be generalized beyond the attested patterns. |
| 14 | pitää paikkansa / olla totta / olla tosi / olla epätosi | — | [CORE] | These are primarily stable-state expressions rather than change expressions. They are important in this section because Finnish often encodes truth as a state to be assessed, while change is expressed only in a smaller set of specialized constructions. |
| 15 | olla aito / olla epäaito / olla luotettava / olla uskottava / olla alkuperäinen / olla identtinen | — | [CORE] | These are stable evaluative states. The material supports them well as attribution patterns, but does not equally support productive “become X” or “make X” patterns for all of them. |
| 16 | tulla todeksi; osoittautua epätodeksi; paljastua väärennökseksi; totuus tulee ilmi; tehdä jokin uskottavaksi; todistaa jokin | — | — | The system is **not uniform** across the whole semantic field. Different subdomains behave differently: **truth/falsity**: clear dynamic patterns exist; **authenticity/forgery**: revelation patterns exist; **credibility**: causative pattern exists; **reality**: detachment/correspondence patterns exist; **legality, reliability, correctness, authenticity in general**: no single common productive “become/make X” pattern is established in the provided material. So the Finnish material favors **specific lexical constructions** over one broad general dynamic template. |
