| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| אמת | לומר את האמת | *lomar et ha-ʾemet* | to tell the truth | Very common everyday construction for speaking truthfully or admitting what is really the case. It is neutral in register and widely used in conversation, media, and narrative contexts. | [CORE] |
| אמת | לדעת את האמת | *ladaʿat et ha-ʾemet* | to know the truth | Common construction for possessing the real facts or actual state of affairs. It is used in personal, legal, journalistic, and political contexts. | [CORE] |
| אמת | לגלות את האמת | *legalot et ha-ʾemet* | to discover / reveal the truth | Common in investigative, dramatic, and journalistic contexts. Depending on context, it can mean either finding out the truth or bringing it to light. | [CORE] |
| אמת | להוציא את האמת לאור | *lehotsi et ha-ʾemet la-ʾor* | to bring the truth to light | Established idiomatic construction for exposing what really happened. It is especially common in journalism, legal discourse, and public controversy. | [CORE] |
| אמת | גרעין של אמת | *garʿin shel ʾemet* | a grain/kernel of truth | Common idiomatic expression used when a claim is partly true but exaggerated or distorted. It often appears in argument, commentary, and media language. | [CORE] |
| אמת | אמת מרה | *ʾemet marah* | a bitter truth | Common literary and everyday collocation for an unpleasant but real fact. It is often used when acknowledging something emotionally difficult. | [CORE] |
| אמת | אמת פשוטה | *ʾemet peshutah* | a simple truth | Common rhetorical collocation for a supposedly obvious or basic truth. It appears in essays, speeches, and argumentative prose. | [CORE] |
| אמת | חיפוש האמת | *ḥipus ha-ʾemet* | the search for truth | Common in philosophical, journalistic, legal, and educational discourse. It frames truth as something pursued or investigated. | [CORE] |
| אמת | איש האמת | *ʾish ha-ʾemet* | man of truth / truth-teller | This is attested, but much less neutral and more literary or rhetorical than ordinary everyday description. It tends to appear in elevated, moralizing, or political praise. | [MARGINAL] |
| אמיתי | חבר אמיתי | *ḥaver amiti* | a true/genuine friend | Very common construction where אמיתי means “genuine” rather than strictly factually true. It is frequent in everyday speech and evaluative social contexts. | [CORE] |
| אמיתי | אהבה אמיתית | *ahavah amitit* | true love / genuine love | Common in everyday, literary, and media language for sincere or deep love. It evaluates authenticity of feeling rather than propositional truth. | [CORE] |
| אמיתי | סיפור אמיתי | *sipur amiti* | a true story | Very common for stories presented as based on real events. It is frequent in media, publishing, and casual conversation. | [CORE] |
| אמיתי | הדבר האמיתי | *ha-davar ha-amiti* | the real thing | Common colloquial construction for something genuine, authentic, or not an imitation. It is used for products, experiences, and sometimes people. | [CORE] |
| אמיתי | פנים אמיתיות | *panim amitiyot* | true face / true colors | Attested in expressions about someone revealing their real nature, though often context-dependent rather than fully fixed. It is less lexicalized than the previous items. | [MARGINAL] |
| נכון | זה נכון ש־ | *ze nakhon she-* | it is true/correct that— | Very common clause-introducing construction used to confirm a proposition. It appears in both speech and writing. | [CORE] |
| נכון | נכון לעכשיו | *nakhon le-ʿakhshav* | as of now / currently | Very common discourse construction in journalism, administration, and everyday speech. Here נכון has developed a temporal-adverbial use rather than a simple truth-evaluative one. | [CORE] |
| נכון | נכון מאוד | *nakhon meʾod* | very true / exactly right | Common response formula confirming that someone’s statement is correct. It is frequent in conversation, teaching, and interviews. | [CORE] |
| נכון | נכון או לא נכון | *nakhon o lo nakhon* | true or false / correct or incorrect | Common evaluative pairing in educational, argumentative, and quiz-like contexts. It frames a binary judgment of correctness. | [CORE] |
| נכון | אם זה נכון | *im ze nakhon* | if that is true/correct | Very common conditional construction in speech and writing. It is fully natural but syntactically ordinary rather than idiomatic. | [CORE] |
| לא נכון | זה לא נכון | *ze lo nakhon* | that is not true / that is incorrect | Extremely common rejection formula for denying a statement or claim. It is one of the most basic ways to say something is false in everyday Hebrew. | [CORE] |
| לא נכון | ממש לא נכון | *mamash lo nakhon* | absolutely not true / completely incorrect | Common emphatic colloquial strengthening of לא נכון. It is frequent in argument, correction, and emotional disagreement. | [CORE] |
| לא נכון | לא נכון לומר ש־ | *lo nakhon lomar she-* | it is not correct to say that— | Common in careful argumentation, journalism, and academic prose. It often rejects a formulation as inaccurate, oversimplified, or misleading. | [CORE] |
| צודק | אתה צודק | *atah tsodek* | you are right | Extremely common conversational construction for conceding that another person is right. It is basic spoken Hebrew. | [CORE] |
| צודק | צודק לגמרי | *tsodek le-gamrei* | completely right | Common colloquial intensifying construction. It is used in agreement, concession, and argument. | [CORE] |
| צודק | אם אתה צודק | *im atah tsodek* | if you are right | Common conditional construction in disputes and reasoning. It is syntactically ordinary but very frequent. | [CORE] |
| צודק | יצא צודק | *yatsa tsodek* | turned out to be right | Common resultative construction used when later events confirm someone’s judgment. It is frequent in everyday speech and commentary. | [CORE] |
| צודק | להוכיח שמישהו צודק | *lehokhiaḥ she-mishehu tsodek* | to prove that someone is right | Common argumentative construction in everyday and formal contexts. It focuses on vindicating a person’s position rather than merely stating a fact. | [CORE] |
| צדק | לעשות צדק | *laʿasot tsedeq* | to do justice | Common formal and rhetorical construction in legal, moral, and public discourse. It refers to acting fairly or correcting a wrong. | [CORE] |
| צדק | לבקש צדק | *levaqesh tsedeq* | to seek justice | Common in legal, activist, and journalistic contexts. It presents justice as something demanded from institutions or society. | [CORE] |
| צדק | למען הצדק | *lemaʿan ha-tsedeq* | for the sake of justice | Established formal expression in moral, legal, and rhetorical contexts. It is less colloquial than basic verbal constructions with צדק. | [CORE] |
| צדק | תחושת צדק | *teḥushat tsedeq* | sense of justice | Common fixed collocation in psychology, education, and moral discussion. It refers to a person’s intuitive orientation toward fairness. | [CORE] |
| צדק | צדק נעשה | *tsedeq naʿasah* | justice has been done | Attested rhetorical/journalistic formula after a fair outcome. It is recognizable but more elevated than ordinary speech. | [MARGINAL] |
| מדויק | לא מדויק | *lo meduyaq* | not accurate / not precise | Very common correction formula, especially in media, argument, and careful conversation. It often softens disagreement compared with directly saying something is false. | [CORE] |
| מדויק | מדויק מאוד | *meduyaq meʾod* | very accurate / very precise | Common evaluative collocation for descriptions, measurements, and formulations. It is neutral and widely usable. | [CORE] |
| מדויק | לא לגמרי מדויק | *lo le-gamrei meduyaq* | not entirely accurate | Very common hedge in polite correction and analytical discussion. It signals partial inaccuracy rather than total falsity. | [CORE] |
| מדויק | מדויק ככל האפשר | *meduyaq ke-khol ha-efshar* | as accurate as possible | Common in technical, academic, and explanatory contexts. It emphasizes maximal attainable precision. | [CORE] |
| דיוק | ברמת דיוק גבוהה | *be-ramat diyuq gvohah* | with a high level of accuracy | Common in technical, scientific, and evaluative writing. It is used for instruments, models, measurements, and descriptions. | [CORE] |
| דיוק | חוסר דיוק | *ḥoser diyuq* | lack of precision / inaccuracy | Common formal collocation for wording, data, or reporting that is insufficiently exact. It often implies a correctable defect rather than outright falsehood. | [CORE] |
| דיוק | לשם הדיוק | *le-shem ha-diyuq* | for the sake of precision | Attested formal discourse marker used when refining or correcting a statement. It is less common than *ליתר דיוק* but natural in careful speech and writing. | [MARGINAL] |
| דיוק | מידת הדיוק | *midat ha-diyuq* | degree of accuracy | Common in scientific, technical, and evaluative contexts. It refers to how precise a measurement, report, or method is. | [CORE] |
| מהימן | מקור מהימן | *maqor meheman* | reliable source | Very common in journalism, research, intelligence, and public discussion. It is one of the standard collocations for evaluating information quality. | [CORE] |
| מהימן | מידע מהימן | *meidaʿ meheman* | reliable information | Common in formal and semi-formal contexts for dependable information. It is especially frequent in administrative, media, and research language. | [CORE] |
| מהימן | עדות מהימנה | *ʿedut mehemanah* | credible testimony | Standard legal and investigative collocation. It evaluates testimony as trustworthy and believable. | [CORE] |
| מהימן | לא מהימן | *lo meheman* | unreliable / not credible | Common formal negated construction for sources, testimony, and data. It is especially natural in legal, journalistic, and research contexts. | [CORE] |
