# F2a Derivational Table

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|------------------|
| ჭეშმარიტი (ch'eshmarit'i) "true, genuine" | ჭეშმარიტება | ch'eshmarit'eba | ch'eshmarit- (true) + -eba (abstract noun suffix) | truth, veracity, truthfulness | [CORE] |
| ჭეშმარიტი (ch'eshmarit'i) "true, genuine" | ჭეშმარიტად | ch'eshmarit'ad | ch'eshmarit- (true) + -ad (adverbial suffix) | truly, genuinely, really | [CORE] |
| სწორი (sts'ori) "correct, right, proper" | სწორად | sts'orad | sts'or- (correct) + -ad (adverbial suffix) | correctly, properly, rightly | [CORE] |
| სწორი (sts'ori) "correct, right, proper" | გასწორება | gasts'oreba | ga- (preverb) + sts'or- (correct) + -eba (verbal noun suffix) | correction, straightening, rectification | [CORE] |
| სწორი (sts'ori) "correct, right, proper" | გაასწორა | gaasts'ora | ga- (preverb) + -a- (version vowel) + sts'or- (correct) + -a (aorist suffix) | to correct, to straighten, to rectify | [CORE] |
| სწორი (sts'ori) "correct, right, proper" | სისწორე | sists'ore | si- (nominalizing prefix) + sts'or- (correct) + -e (noun suffix) | correctness, rightness, accuracy | [CORE] |
| სწორი (sts'ori) "correct, right, proper" | გასწორებული | gasts'orebuli | ga- (preverb) + sts'or- (correct) + -ebul- (participle) + -i | corrected, straightened, rectified | [CORE] |
| ყალბი (q'albi) "false, fake, counterfeit" | გაყალბება | gaq'albeba | ga- (preverb) + q'alb- (false/fake) + -eba (verbal noun suffix) | falsification, counterfeiting, forgery | [CORE] |
| ყალბი (q'albi) "false, fake, counterfeit" | გააყალბა | gaaq'alba | ga- (preverb) + -a- (version vowel) + q'alb- (false) + -a (aorist suffix) | to falsify, to counterfeit, to forge | [CORE] |
| ყალბი (q'albi) "false, fake, counterfeit" | გაყალბებული | gaq'albebuli | ga- (preverb) + q'alb- (false) + -ebul- (participle) + -i | falsified, counterfeited, forged | [CORE] |
| ყალბი (q'albi) "false, fake, counterfeit" | გამყალბებელი | gamq'albebeli | ga- (preverb) + m- (agent prefix) + q'alb- (false) + -ebel- (agent suffix) + -i | falsifier, counterfeiter, forger | [CORE] |
| ზუსტი (zusti) "precise, exact, accurate" | ზუსტად | zustad | zust- (precise) + -ad (adverbial suffix) | precisely, exactly, accurately | [CORE] |
| ზუსტი (zusti) "precise, exact, accurate" | სიზუსტე | sizuste | si- (nominalizing prefix) + zust- (precise) + -e (noun suffix) | precision, exactness, accuracy | [CORE] |
| ზუსტი (zusti) "precise, exact, accurate" | გაზუსტება | gazusteba | ga- (preverb) + zust- (precise) + -eba (verbal noun suffix) | clarification, specification, making precise | [CORE] |
| ზუსტი (zusti) "precise, exact, accurate" | გააზუსტა | gaazusta | ga- (preverb) + -a- (version vowel) + zust- (precise) + -a (aorist suffix) | to clarify, to specify, to make precise | [CORE] |
| ზუსტი (zusti) "precise, exact, accurate" | დაზუსტება | dazusteba | da- (preverb) + zust- (precise) + -eba (verbal noun suffix) | specification, clarification, refinement | [CORE] |
| ზუსტი (zusti) "precise, exact, accurate" | უზუსტობა | uzustoba | u- (negative prefix) + zust- (precise) + -oba (abstract noun suffix) | imprecision, inaccuracy, inexactness | [CORE] |
| სანდო (sando) "reliable, trustworthy, credible" | სანდოობა | sandooba | sando (reliable) + -oba (abstract noun suffix) | reliability, trustworthiness, credibility | [CORE] |
| სანდო (sando) "reliable, trustworthy, credible" | დაჯერება | dajereba | da- (preverb) + jer- (believe) + -eba (verbal noun suffix) | believing, trusting, conviction | [CORE] |
| სამართლიანი (samart'liani) "just, fair, righteous" | სამართლიანად | samart'lianad | samart'lian- (just) + -ad (adverbial suffix) | justly, fairly, righteously | [CORE] |
| სამართლიანი (samart'liani) "just, fair, righteous" | სამართლიანობა | samart'lianoba | samart'lian- (just) + -oba (abstract noun suffix) | justice, fairness, righteousness | [CORE] |
| მცდარი (mts'dari) "erroneous, mistaken, false" | მცდარად | mts'darad | mts'dar- (erroneous) + -ad (adverbial suffix) | erroneously, mistakenly, falsely | [CORE] |
| მცდარი (mts'dari) "erroneous, mistaken, false" | სიმცდარე | simts'dare | si- (nominalizing prefix) + mts'dar- (erroneous) + -e (noun suffix) | error, mistake, falsehood | [CORE] |
| მცდარი (mts'dari) "erroneous, mistaken, false" | შეცდომა | shets'doma | she- (preverb) + ts'd- (err) + -om- (medial suffix) + -a (noun suffix) | mistake, error, fault | [CORE] |
| მცდარი (mts'dari) "erroneous, mistaken, false" | შეცდა | shets'da | she- (preverb) + ts'd- (err) + -a (aorist suffix) | to make a mistake, to err, to be wrong | [CORE] |
| ადეკვატური (adek'vat'uri) "adequate, appropriate" | ადეკვატურად | adek'vat'urad | adek'vat'ur- (adequate) + -ad (adverbial suffix) | adequately, appropriately, fittingly | [CORE] |
| ადეკვატური (adek'vat'uri) "adequate, appropriate" | ადეკვატურობა | adek'vat'uroba | adek'vat'ur- (adequate) + -oba (abstract noun suffix) | adequacy, appropriateness | [CORE] |
| ადეკვატური (adek'vat'uri) "adequate, appropriate" | არაადეკვატური | araadek'vat'uri | ara- (negative prefix) + adek'vat'uri (adequate) | inadequate, inappropriate | [CORE] |
| ობიექტური (obiek't'uri) "objective, impartial" | ობიექტურად | obiek't'urad | obiek't'ur- (objective) + -ad (adverbial suffix) | objectively, impartially | [CORE] |
| ობიექტური (obiek't'uri) "objective, impartial" | ობიექტურობა | obiek't'uroba | obiek't'ur- (objective) + -oba (abstract noun suffix) | objectivity, impartiality | [CORE] |
