# F4 Construction Table — Greek (el)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **ATTR** | Αυτό είναι αλήθεια | Aftó íne alítheia | This is truth/true | Extremely common across all registers. Nouns (αλήθεια, ψέμα) appear predicatively without article in standard usage. Adjectives require full agreement. | [CORE] |
| **ATTR** | Είναι ψέμα | Íne pséma | It is a lie/false | High-frequency construction for denying truth claims. Subject often omitted (pro-drop). | [CORE] |
| **ATTR** | Η ιστορία είναι αληθινή | I istoría íne alithiní | The story is true | Standard pattern with full NP subjects. Adjective agreement obligatory. | [CORE] |
| **ATTR** | Το έγγραφο είναι πλαστό | To éngrafo íne plastó | The document is forged | Common in legal/administrative contexts. πλαστό specifically for forgery/counterfeiting. | [CORE] |
| **NEGATIVE ATTRIBUTION** | Δεν είναι αλήθεια | Den íne alítheia | It is not true/truth | Standard negation pattern. δεν obligatory before copula. No morphological negative forms exist. | [CORE] |
| **NEGATIVE ATTRIBUTION** | Δεν είναι σωστό | Den íne sostó | It is not correct | Common in evaluative contexts (answers, procedures, behavior). | [CORE] |
| **NEGATIVE ATTRIBUTION** | Αυτό δεν είναι ψέμα | Aftó den íne pséma | This is not a lie | Defensive construction, often used to insist on truthfulness. | [CORE] |
| **ADNOM** | αληθινή ιστορία | alithiní istoría | true story | Prenominal position standard for truth-domain adjectives. Postnominal possible for emphasis but less common. | [CORE] |
| **ADNOM** | ψευδής μαρτυρία | psevdís martyría | false testimony | Legal register. ψευδής (learned form) preferred over ψεύτικος in formal contexts. | [CORE] |
| **ADNOM** | σωστή απάντηση | sostí apántisi | correct answer | Extremely common in educational contexts. σωστός most frequent correctness adjective. | [CORE] |
| **ADNOM** | πλαστά έγγραφα | plastá éngrafa | forged documents | Legal/administrative. πλαστός specifically for fraudulent documents, not general falsehood. | [CORE] |
| **BECOME** | Η αλήθεια γίνεται γνωστή | I alítheia gínete gností | The truth becomes known | Less common than revelation constructions (βγαίνει στη φόρα). Used when emphasizing gradual process. | [MARGINAL] |
| **BECOME** | Το ψέμα γίνεται φανερό | To pséma gínete faneró | The lie becomes apparent | Formal register. More common alternatives exist (αποκαλύπτεται "is revealed"). | [MARGINAL] |
| **CAUSATIVE** | Αυτό με κάνει βέβαιο | Aftó me káni vévaio | This makes me certain | Common with psychological adjectives (βέβαιος, σίγουρος). Object clitic (με) obligatory. | [CORE] |
| **CAUSATIVE** | Διορθώνω το λάθος | Diorthóno to láthos | I correct the mistake | Standard correction verb. Common in educational and editorial contexts. | [CORE] |
