# F6 — NATURALNESS TABLE
# Language: Finnish (fi)

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1.1 | Unelma todellistui. | unelma todellistui | [CORE] | Common with abstract subjects (dreams, fears, plans). Emphasizes transition from potential/imagined to actual. Neutral register. Implies complete realization. |
| 1.2 | Suunnitelma toteutui. | suunnitelma toteutui | [CORE] | Very common with plans, projects, predictions. More concrete/practical than *todellistua*. Used in project management, planning contexts. Can take temporal modifiers. |
| 1.3 | Epäilyt todentuivat. | epäilyt todentuivat | [CORE] | More formal than *toteutua*. Emphasizes verification/confirmation rather than simple realization. Common in investigative, journalistic contexts. |
| 1.4 | Totuus paljastuu lopulta. | totuus paljastuu lopulta | [CORE] | Very common collocation with *totuus* and *tosiasiat*. Implies hidden truth becoming known. Narrative and investigative contexts. Emphasizes discovery/uncovering. |
| 1.5 | Unelma kävi todeksi. | unelma kävi todeksi | [CORE] | Somewhat literary/emphatic. Less common than *todellistua* or *toteutua* but established idiom. Emphasizes transformation to truth/reality. Often with dreams, wishes, predictions. |
| 1.6 | Väite pitää paikkansa. | väite pitää paikkansa | [CORE] (but not change expression) | Does not encode becoming true, only being true. No inchoative form (*\*alkaa pitää paikkansa* "start to be true" not idiomatic). Included for contrast with change expressions. |
| 2.1 | Totuus vääristyy. | totuus vääristyy | [CORE] | Common with *totuus*, *kuva* "image," *merkitys* "meaning." Emphasizes gradual corruption or transformation. Implies deviation from original true/correct state. |
| 2.2 | Suunnitelma meni pieleen. | suunnitelma meni pieleen | [MARGINAL] | Very common idiom. Not specifically truth-domain but used for plans, procedures failing. Informal register. Implies failure or error. |
| 2.3 | Väite osoittautui vääräksi. | väite osoittautui vääräksi | [CORE] | Common construction for claims/theories proven false. Formal/neutral register. Emphasizes discovery of falsity through evidence or events. |
| 2.4 | Väite paljastui valheeksi. | väite paljastui valheeksi | [CORE] | Common construction emphasizing discovery of deliberate falsehood. Stronger than *osoittautua vääräksi* — implies intentional deception. Narrative and investigative contexts. |
| 2.5 | (no common expression for "become untrue") | — | [UNCERTAIN] (gap in paradigm) | Finnish lacks simple inchoative from *epätosi* or *väärä* meaning "become false/untrue." Concept expressed through constructions like *osoittautua vääräksi* or *paljastua valheeksi*. |
| 3.1 | Hän todellistaa unelmansa. | hän todellistaa unelmansa | [CORE] | Common with abstract objects (dreams, goals, plans). Emphasizes making potential/imagined things actual. Neutral register. Implies active agency. |
| 3.2 | Toteuttaa suunnitelma | toteuttaa suunnitelma | [CORE] | Very common in planning, project management, administrative contexts. More concrete/practical than *todellistaa*. Emphasizes execution and implementation. Neutral/formal register. |
| 3.3 | Todistaa väite oikeaksi | todistaa väite oikeaksi | [CORE] | Very common in argumentative, legal, scientific contexts. Emphasizes establishing truth through evidence or demonstration. Can take object + translative or complement clause. |
| 3.4 | Todentaa henkilöllisyys | todentaa henkilöllisyys | [CORE] | Formal/technical term. Common in administrative, legal, technical contexts. Emphasizes verification and authentication. More formal than *todistaa*. |
| 3.5 | Oikeuttaa toimensa | oikeuttaa toimensa | [CORE] | Common in moral, legal, political discourse. Emphasizes providing justification or legitimate grounds. Can have abstract or concrete subjects. Neutral/formal register. |
| 3.6 | Paljastaa totuus | paljastaa totuus | [CORE] | Very common collocation with *totuus* and *valhe*. Emphasizes making hidden truth/falsehood known. Investigative and journalistic contexts. Implies uncovering. |
| 3.7 | (no common causative from aito) | — | [UNCERTAIN] (gap in paradigm) | *Aito* "genuine" lacks causative *\*aitouttaa* "make genuine." Concept "make genuine/authentic" not expressed through simple causative derivation. Alternative constructions would use *tehdä aidoksi* (translative) or descriptive phrases. |
| 4.1 | Vääristää totuutta | vääristää totuutta | [CORE] | Very common in critical discourse (media criticism, political debate). Emphasizes transformation/corruption of truth. Can be intentional or unintentional. Negative connotation. |
| 4.2 | Väärentää allekirjoitus | väärentää allekirjoitus | [CORE] | Legal/criminal term. Emphasizes deliberate creation of false copies or falsification. Always intentional. Formal/legal register. Distinct from *vääristää* (distort). |
| 4.3 | Se tekee väitteen vääräksi. | se tekee väitteen vääräksi | [MARGINAL] | Grammatically possible but less idiomatic than specific verbs (*vääristää*, *väärentää*) or *todistaa vääräksi* "prove false." Productive pattern but not preferred for truth-domain. |
| 4.4 | Kumota väite | kumota väite | [MARGINAL] | Common in argumentative and scientific contexts. Emphasizes proving false or overturning established claims. Formal/neutral register. (*Kumota* not in P1 but standard for refutation.) |
| 4.5 | (no simple causative "make untrue") | — | [UNCERTAIN] (gap in paradigm) | Finnish uses specific verbs (*vääristää* "distort," *väärentää* "forge") rather than general causative "make false/untrue." Concept expressed through these specialized verbs or constructions like *todistaa vääräksi*. |
| 5.1 | Väite pitää paikkansa. | väite pitää paikkansa | [CORE] (but stative, not dynamic) | Expresses stable truth state. No inchoative (*\*alkaa pitää paikkansa* not idiomatic). Negation *ei pidä paikkaansa* common. Formal/neutral register. |
| 5.2 | Väite pysyy totena. | väite pysyy totena | [MARGINAL] | Grammatically correct but not idiomatic. Finnish prefers *pitää paikkansa* for stable truth or *pitää edelleen paikkansa* "still holds" for continued truth. |
| 5.3 | Säilyttää totuus | säilyttää totuus | [MARGINAL] | Grammatically correct but not common collocation. *Säilyttää* "preserve" more common with concrete objects. Truth-preservation more often expressed through *puhua totuutta* or *pysyä totuudessa*. |
| 5.4 | (no common expression for "keep true") | — | [UNCERTAIN] (gap in paradigm) | Finnish lacks idiomatic "keep X true" construction. Truth-maintenance expressed through stative *pitää paikkansa* "be true" or *pysyä voimassa* "remain valid" (legal contexts). |
| 6.1 | Suojella totuutta | suojella totuutta | [MARGINAL] | Grammatically correct but not common collocation. More likely in abstract/philosophical discourse than everyday usage. *Suojella* "protect" more common with concrete objects or people. |
| 6.2 | Estää tiedon vääristyminen | estää tiedon vääristyminen | [CORE] | Productive construction. *Estää* "prevent" + gerund common pattern. Formal/technical register. Emphasizes active prevention of corruption. |
| 6.3 | (no common expression for "keep from becoming false") | — | [UNCERTAIN] (gap in paradigm) | Finnish lacks simple construction for "keep X from becoming false." Concept expressed through *estää vääristyminen* "prevent distortion" or *varmistaa paikkansapitävyys* "ensure accuracy." |
| 7.1 | Totuus vääristyy vähitellen. | totuus vääristyy vähitellen | [CORE] | Common construction. *Vääristyä* naturally compatible with gradual change adverbs (*vähitellen* "gradually," *ajan myötä* "over time"). Emphasizes process rather than sudden change. |
| 7.2 | Totuus paljastuu vähitellen. | totuus paljastuu vähitellen | [CORE] | Common construction. Emphasizes gradual discovery or uncovering. Narrative and investigative contexts. Compatible with temporal modifiers. |
