| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| benar | N/A (Latin script) | true, correct | true, correct, right, accurate | Used to affirm that a statement, fact, or claim corresponds to reality or is without error. Also used in moral and evaluative contexts to mean "right" or "proper." Participates in derivation: *kebenaran* (truth, correctness), *membenarkan* (to justify, to confirm), *sebenarnya* (actually, in truth). | [CORE] |
| salah | N/A | wrong, mistaken | wrong, incorrect, mistaken, false | The primary antonym of *benar*, used to evaluate statements, actions, or attributions as incorrect or erroneous. Appears in moral contexts (wrongdoing) and factual contexts (incorrect information). Also used in legal contexts. Productive in derivation: *kesalahan* (error, fault, wrongdoing), *menyalahkan* (to blame, to fault). | [CORE] |
| asli | N/A | original, native, genuine | genuine, authentic, original, real | Applied to objects, documents, persons, and cultural items to indicate they are not copies, forgeries, or imitations. Commonly used in legal, commercial, aesthetic, and cultural contexts. Contrasts with *palsu* (fake) and *tiruan* (imitation). | [CORE] |
| palsu | N/A | false, fake (from Portuguese *falso*) | fake, counterfeit, false, forged, spurious | Used to evaluate objects, documents, currency, goods, identities, or claims as not genuine or deliberately deceptive. Carries a stronger connotation of deliberate deception than *salah*. Also used of statements or claims that are deliberately untrue. Appears in legal contexts (pemalsuan — forgery, falsification) and everyday evaluation of inauthenticity. Productive: *memalsukan* (to falsify, to forge), *pemalsuan* (falsification, forgery). | [CORE] |
| nyata | N/A | real, manifest, evident | real, actual, evident, concrete, tangible | Indicates that something is genuinely present, perceptible, or factually existing rather than imagined, hypothetical, or supposed. Also used to emphasize that a claim or situation is clearly the case. Used in both philosophical and everyday registers. Related forms: *kenyataan* (reality, fact), *menyatakan* (to state, to declare). | [CORE] |
| sungguh | N/A | truly, earnestly | truly, really, genuinely, seriously | Used as an intensifier to assert sincerity or reality of a claim or state. Often used in expressions of genuine feeling or to assert that something is not pretended. Appears in the fixed expression *sungguh-sungguh* (in earnest, genuinely, in all seriousness). Also used in *bersungguh-sungguh* (to be earnest, to be serious about something). | [CORE] |
| sejati | N/A | true, genuine, real (from *se-* — intensifier + *jati* — true, genuine; *jati* also means teak wood, connoting hardness/solidity) | true, genuine, real, authentic | Evaluates persons, qualities, or states as genuinely and fully what they are claimed or appear to be — often with a sense of depth or completeness. Used in moral, philosophical, and literary registers, often with a philosophical or elevated tone. Commonly appears in compounds: *teman sejati* (true friend), *cinta sejati* (true love), *pahlawan sejati* (true hero). Less productive derivationally than *benar* or *asli*. | [CORE] |
| sah | N/A | valid, lawful (from Arabic *ṣaḥḥ*) | valid, legitimate, lawful, official | Primarily used in legal, religious, and administrative contexts to indicate that an act, document, or status meets required conditions and is recognized as binding or proper. Contrasts with *tidak sah* (invalid, illegitimate). Productive: *mengesahkan* (to validate, to ratify, to legalize), *pengesahan* (ratification, validation), *keabsahan* (validity, legitimacy). | [CORE] |
| absah | N/A | valid, legitimate (from Arabic *ṣaḥḥ*, variant of *sah*) | valid, legitimate, lawful | A near-synonym of *sah*, used in formal and legal registers to evaluate whether something meets the conditions for recognition or legitimacy. Slightly more formal in distribution than *sah*. The relationship between *absah* and *sah* is not fully transparent to all speakers. Related: *keabsahan* (validity, legitimacy). | [UNCERTAIN] |
| tepat | N/A | precise, exact, fitting | precise, exact, accurate, correct, appropriate | Evaluates whether something corresponds exactly to a standard, target, or requirement — used for measurements, timing, word choice, and judgments. Also used to evaluate whether an action or decision is fitting for a given situation. Productive: *ketepatan* (precision, accuracy), *menepati* (to fulfill, to keep to). | [CORE] |
