# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Turkish (tr)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| doğru | yanlış | doğru / yanlış | true, correct / wrong, false, incorrect | Primary lexical opposition for factual correctness evaluation. *Doğru* indicates alignment with facts or proper standards, while *yanlış* indicates deviation or incorrectness. This is the most basic and frequent opposition in the truth domain. | lexical | [CORE] |
| gerçek | sahte | gerçek / sahte | real, genuine / fake, counterfeit, false | Lexical opposition distinguishing authentic from inauthentic. *Gerçek* emphasizes reality and genuineness, while *sahte* denotes deliberate inauthenticity or counterfeiting. Common in contexts of authentication and fraud detection. | lexical | [CORE] |
| gerçek | yapay | gerçek / yapay | real, natural / artificial, synthetic, man-made | Lexical opposition between natural/authentic and artificial/manufactured. *Gerçek* (or *doğal*) indicates natural occurrence, while *yapay* indicates human construction. Used in contexts distinguishing natural from artificial substances, behaviors, or situations. | lexical | [CORE] |
| doğal | yapay | doğal / yapay | natural, genuine / artificial, synthetic | Lexical opposition specifically contrasting natural with artificial. *Doğal* emphasizes occurrence in nature or lack of artificiality, while *yapay* emphasizes human manufacture or construction. Frequently used in product descriptions and behavioral evaluations. | lexical | [CORE] |
| güvenilir | güvenilmez | güvenilir / güvenilmez | reliable, trustworthy / unreliable, untrustworthy | Morphological opposition created by privative suffix. *Güvenilir* indicates trustworthiness, while *güvenilmez* (güven-il-mez) uses negative possibility suffix to indicate untrustworthiness. Common in source evaluation and character assessment. | morphological | [CORE] |
| haklı | haksız | haklı / haksız | right, justified / unjust, unfair, wrong | Morphological opposition using possessive vs. privative suffixes. *Haklı* (hak-lı "having right") indicates justification or correctness, while *haksız* (hak-sız "without right") indicates injustice or lack of justification. Central to moral and legal discourse. | morphological | [CORE] |
| adaletli | adaletsiz | adaletli / adaletsiz | just, fair / unjust, unfair | Morphological opposition using possessive vs. privative suffixes. *Adaletli* (adalet-li "having justice") indicates fairness, while *adaletsiz* (adalet-siz "without justice") indicates unfairness. Used in evaluations of systems, decisions, and actions. | morphological | [CORE] |
| tutarlı | tutarsız | tutarlı / tutarsız | consistent, coherent / inconsistent, incoherent | Morphological opposition in consistency evaluation. *Tutarlı* indicates internal consistency and coherence, while *tutarsız* indicates contradiction or incoherence. Important in logical and behavioral evaluation. | morphological | [CORE] |
| geçerli | geçersiz | geçerli / geçersiz | valid, current, applicable / invalid, inapplicable, void | Morphological opposition in validity assessment. *Geçerli* indicates meeting required standards or being in force, while *geçersiz* indicates failure to meet standards or being void. Common in legal, logical, and administrative contexts. | morphological | [CORE] |
| hatalı | hatasız | hatalı / hatasız | erroneous, faulty / flawless, error-free | Morphological opposition using possessive vs. privative suffixes. *Hatalı* (hata-lı "having error") indicates presence of errors, while *hatasız* (hata-sız "without error") indicates absence of errors. Used in quality evaluation. | morphological | [CORE] |
| şüpheli | şüphesiz | şüpheli / şüphesiz | doubtful, suspicious / doubtless, undoubtedly | Morphological opposition where privative form reverses meaning. *Şüpheli* (şüphe-li "having doubt") indicates presence of doubt or suspicion, while *şüphesiz* (şüphe-siz "without doubt") indicates certainty or lack of doubt. Functions both adjectivally and adverbially. | morphological | [CORE] |
| kuşkulu | kuşkusuz | kuşkulu / kuşkusuz | doubtful, questionable / doubtless, undoubtedly | Morphological opposition parallel to şüpheli/şüphesiz. *Kuşkulu* (kuşku-lu "having doubt") indicates doubtfulness, while *kuşkusuz* (kuşku-suz "without doubt") indicates certainty. Slightly less formal than şüphe- forms. | morphological | [CORE] |
| isabetli | isabetsiz | isabetli / isabetsiz | accurate, apt, on target / inaccurate, inapt, off-target | Morphological opposition in accuracy evaluation. *Isabetli* (isabet-li "having hit/accuracy") indicates hitting the mark, while *isabetsiz* (isabet-siz "without hit") indicates missing the mark. Used for both physical accuracy and metaphorical aptness. | morphological | [CORE] |
| yanlışsız | yanlışlı (implicit) | yanlışsız / (yanlışlı) | without error, correct / (with error, erroneous) | Morphological opposition where privative form is attested but possessive form is less common. *Yanlışsız* (yanlış-sız "without wrong") indicates absence of errors. The positive form *yanlışlı* is theoretically possible but *hatalı* is preferred for "having errors." | morphological | [CORE] for yanlışsız, [MARGINAL] for yanlışlı |
| asıl | taklit | asıl / taklit | original, genuine, essential / imitation, copy, fake | Lexical opposition between original and copy. *Asıl* indicates the original or fundamental version, while *taklit* indicates an imitation or copy. Used in contexts of authenticity and originality assessment. | lexical | [CORE] |
| özgün | taklit | özgün / taklit | original, authentic / imitation, copy | Lexical opposition emphasizing originality vs. copying. *Özgün* emphasizes authentic originality, particularly in creative work, while *taklit* indicates imitation. Common in academic and artistic contexts. | lexical | [CORE] |
| dürüst | yalancı | dürüst / yalancı | honest, truthful / liar, lying | Lexical opposition in character evaluation. *Dürüst* describes honest character and truthful conduct, while *yalancı* describes someone who habitually lies. Central to moral character assessment. | lexical | [CORE] |
| kesin | şüpheli | kesin / şüpheli | certain, definite / doubtful, suspicious | Lexical opposition in epistemic certainty. *Kesin* indicates high degree of certainty or definiteness, while *şüpheli* indicates presence of doubt or suspicion. Used in epistemic evaluation and decision-making contexts. | lexical | [CORE] |
| kesin | kuşkulu | kesin / kuşkulu | certain, definite / doubtful, questionable | Lexical opposition parallel to kesin/şüpheli. *Kesin* indicates certainty, while *kuşkulu* indicates doubtfulness. Slightly less formal register than şüpheli. | lexical | [CORE] |
| [ADJ] olmak | [ADJ] değil | [ADJ] olmak / [ADJ] değil | to be [ADJ] / not to be [ADJ] | Constructional opposition using copula vs. negative particle. Turkish forms predicate negation with *değil* following the predicate, contrasting with affirmative copular construction. This is the primary strategy for predicative negation. | constructional | [CORE] |
| doğru çıkmak | yanlış çıkmak | doğru çıkmak / yanlış çıkmak | to turn out to be true/correct / to turn out to be wrong | Constructional opposition in resultative expressions. Both use *çıkmak* "to emerge/turn out" with contrasting truth-domain adjectives to express outcomes of verification. Common in narrative and evaluative contexts. | constructional | [CORE] |
| haklı çıkmak | haksız çıkmak | haklı çıkmak / haksız çıkmak | to turn out to be right / to turn out to be wrong | Constructional opposition in vindication/refutation. Uses *çıkmak* with contrasting moral evaluation terms to express being proven right or wrong in a dispute. Common in discussions of disputes and predictions. | constructional | [CORE] |
| gerçekleşmek | gerçekleştirmek | gerçekleşmek / gerçekleştirmek | to come true, to be realized / to realize, to accomplish | Constructional opposition between inchoative and causative. *Gerçekleşmek* (intransitive) indicates spontaneous realization, while *gerçekleştirmek* (transitive causative) indicates causing something to become real. Productive pattern across truth-domain quality adjectives. | constructional | [CORE] |
| kesinleşmek | kesinleştirmek | kesinleşmek / kesinleştirmek | to become definite / to finalize, to make definite | Constructional opposition parallel to gerçekleşmek/gerçekleştirmek. Intransitive inchoative vs. transitive causative pattern. Common in administrative and decision-making contexts. | constructional | [CORE] |
| doğrulamak | yanlışlamak | doğrulamak / yanlışlamak | to verify, to confirm / to falsify, to prove wrong | Lexical opposition in verification processes. *Doğrulamak* indicates establishing truth or correctness, while *yanlışlamak* indicates demonstrating falsity or incorrectness. Common in scientific, legal, and administrative contexts. | lexical | [CORE] |
| yalan söylemek | doğru söylemek | yalan söylemek / doğru söylemek | to tell a lie / to tell the truth | Constructional opposition in speech act descriptions. Both use light verb *söylemek* "to say" with contrasting truth-domain nouns/adjectives. Extremely common in everyday speech across all registers. | constructional | [CORE] |
| gerçeği söylemek | yalan söylemek | gerçeği söylemek / yalan söylemek | to tell the truth / to tell a lie | Constructional opposition parallel to doğru söylemek/yalan söylemek. *Gerçeği söylemek* emphasizes speaking reality rather than mere correctness. Common in confessional and testimonial contexts. | constructional | [CORE] |
| hak vermek | hak yememek (implicit negative) | hak vermek / (hak yememek) | to agree with, to acknowledge someone is right / (not to violate rights) | Constructional opposition where positive form is common but negative is less lexicalized. *Hak vermek* "to give right" means to concede someone is correct. The opposite *hak yemek* "to eat right" means to violate rights, creating an asymmetric opposition. | constructional | [CORE] for hak vermek, [MARGINAL] for explicit negative construction |
| gerçek hayat | (sanal/hayali dünya) | gerçek hayat / (sanal/hayali dünya) | real life / (virtual/imaginary world) | Constructional opposition distinguishing actual lived experience from fictional or virtual contexts. *Gerçek hayat* is a fixed collocation; the contrasting terms are less lexicalized but contextually implied (virtual reality, fiction, imagination). | constructional | [CORE] for gerçek hayat, [UNCERTAIN] for specific contrasting construction |
| acı gerçek | tatlı yalan | acı gerçek / tatlı yalan | harsh/bitter truth / sweet lie | Lexical opposition using taste metaphors. *Acı gerçek* "bitter truth" is a fixed phrase for unpleasant truths; *tatlı yalan* "sweet lie" is less common but attested, expressing the idea that lies can be more pleasant than truth. Cultural expression of truth-comfort tension. | lexical | [CORE] for acı gerçek, [MARGINAL] for tatlı yalan |
