| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| אֱמֶת (*ʾemet*) | אֱמֶת וֶאֱמוּנָה | *ʾemet ve-ʾemuna* | truth and faithfulness; in truth and in faith | A fixed liturgical and legal phrase affirming both factual truth and sincere intent. Already documented in P1b (Root א-מ-נ, item 14); cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | אֱמֶת וָשָׁלוֹם | *ʾemet va-shalom* | truth and peace | A biblical and liturgical phrase (Zechariah 8:19) describing the tension and complementarity between strict truth-telling and social harmony. Already documented in P1b (Root א-מ-ת, item 17); cross-referenced here. | [MARGINAL] — primarily religious/traditional register |
| אֱמֶת (*ʾemet*) | אֱמֶת וּמִשְׁפָּט | *ʾemet u-mishpat* | truth and justice | A biblical and legal phrase describing the dual requirements of truthfulness and just judgment. Already documented in P1b (Root א-מ-ת, item 18); cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | בֶּאֱמֶת | *beʾemet* | truly, really, honestly, in truth | An extremely common adverbial phrase functioning as a sincerity marker or intensifier across all registers. Already documented in P1b (Root א-מ-ת, item 13) and P2a; included here as a prepositional multi-word construction with independent discourse-marker status. | [CORE] |
| אֱמֶת (*ʾemet*) | לֶאֱמִתּוֹ שֶׁל דָּבָר | *leʾamitto shel davar* | in truth, in actual fact, to tell the truth about the matter | A fixed phrase used in formal, legal, and literary Hebrew to introduce a corrective statement of genuine facts. Already documented in P1b (Root א-מ-ת, item 14) and P2a; cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | אֱמֶת לְאַמִּתָּהּ | *ʾemet leʾammittah* | the truth of the matter, truth in its truest sense, the absolute truth, strictly speaking | A fixed phrase used in rabbinic, legal, and philosophical discourse to indicate that something is being examined or stated in its most precise and genuine sense; also used in modern Hebrew to mean "strictly speaking" or "in the fullest sense." Already documented in P1b (Root א-מ-ת, item 12) and P2a; cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | חֲצִי אֱמֶת | *ḥatsi ʾemet* | half-truth | Used in everyday and journalistic discourse to describe a statement that is technically accurate but misleading through omission. Already documented in P1b (Root א-מ-ת, item 20); cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | אֱמֶת מָרָה | *ʾemet marah* | bitter truth, hard truth, an unpleasant truth | A collocation describing a truth that is unpleasant or painful to acknowledge. Used in everyday and literary discourse. The adjective *marah* ("bitter") modifies *ʾemet* attributively. Already documented in P1b (Root א-מ-ת, item 21); cross-referenced here. Note: the feminine form *mara* is used here in agreement with *ʾemet* (feminine noun). | [CORE] |
| אֱמֶת (*ʾemet*) | עֵד אֱמֶת | *ʿed ʾemet* | truthful witness, witness to the truth | Used in legal and religious discourse to describe a witness who testifies truthfully, contrasting with *ʿed sheqer*. Already documented in P1b (Root א-מ-ת, item 8); cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | דּוֹבֵר אֱמֶת | *dover ʾemet* | truth-teller, one who speaks the truth | Used in moral and religious discourse to describe a person who habitually tells the truth. Already documented in P1b (Root א-מ-ת, item 10); cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | חִיפּוּשׂ אַחַר הָאֱמֶת | *ḥippus aḥar ha-ʾemet* | search for the truth, pursuit of truth | A common phrase in journalistic, legal, and philosophical discourse describing the activity of seeking to establish what is true. Already documented in P1b (Root א-מ-ת, item 26); cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | גִּלּוּי הָאֱמֶת | *gilluy ha-ʾemet* | revelation of the truth, disclosure of the truth | Used in legal, journalistic, and narrative contexts to describe the moment or process of truth being revealed. Already documented in P1b (Root א-מ-ת, item 27); cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | עִיוּות הָאֱמֶת | *ʿiyyut ha-ʾemet* | distortion of the truth | Used in legal, journalistic, and moral discourse to describe deliberate or negligent misrepresentation of facts. Already documented in P1b (Root א-מ-ת, item 28); cross-referenced here. Closely related to the verbal construction *leʿavvet et ha-ʾemet*. | [CORE] |
| אֱמֶת (*ʾemet*) | אֱמֶת הִיסְטוֹרִית | *ʾemet historit* | historical truth | Used in historiographical, legal, and political discourse to describe what actually happened, as distinct from official narratives or contested accounts. Already documented in P1b (Root א-מ-ת, item 24); cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | אֱמֶת מַדָּעִית | *ʾemet madaʿit* | scientific truth | Used in scientific and philosophical discourse to describe claims established through scientific method and evidence. Already documented in P1b (Root א-מ-ת, item 25); cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | אֱמֶת סוּבְּיֶקְטִיבִית | *ʾemet subyektivit* | subjective truth | Used in philosophical and psychological discourse to describe truth that holds from a particular perspective. Already documented in P1b (Root א-מ-ת, item 29); cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | אֱמֶת אוֹבְּיֶקְטִיבִית | *ʾemet obyektivit* | objective truth | Used in philosophical, scientific, and legal discourse to describe truth that holds independently of any particular perspective. Already documented in P1b (Root א-מ-ת, item 30); cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | רֶגַע שֶׁל אֱמֶת | *rega shel ʾemet* | moment of truth | Used in everyday and journalistic Hebrew to describe a decisive moment in which the true nature of a situation or person is revealed. A calque of the English/Spanish expression, now fully naturalized in modern Hebrew usage. Already documented in P1b (Root א-מ-ת, item 16); cross-referenced here. | [CORE] |
