| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| **ნამდვილი** | **ყალბი** | *namdvili* — *q’albi* | “real; genuine; authentic” — “false; fake; counterfeit” | This is the clearest lexical opposition in the material: **ნამდვილი** marks genuineness/authenticity, while **ყალბი** marks falseness, forgery, or insincerity. The contrast is supported both at the single-word level and in parallel noun phrases such as documents and signatures. | lexical | [CORE] |
| **ნამდვილობა** | **სიყალბე** | *namdviloba* — *siq’albe* | “genuineness; authenticity” — “falseness; counterfeit nature; insincerity” | These abstract nouns oppose the quality of being genuine to the quality of being false or fake. The contrast is directly supported by the descriptions of each item and by their use in authentication vs falseness contexts. | lexical | [CORE] |
| **ნამდვილი დოკუმენტი** | **ყალბი დოკუმენტი** | *namdvili dok’ument’i* — *q’albi dok’ument’i* | “authentic document” — “fake/forged document” | This is an attested adnominal opposition built on the same noun. It shows a direct contrast between authenticated genuineness and forgery in legal/administrative use. | constructional | [CORE] |
| **ნამდვილი ხელმოწერა** | **ყალბი ხელმოწერა** | *namdvili khelmots’era* — *q’albi khelmots’era* | “genuine signature” — “forged signature” | This is another explicit parallel contrast on the same noun. It is clearly supported in documentary and legal authentication contexts. | constructional | [CORE] |
| **სიმართლეს შეესაბამება** | **სიმართლეს არ შეესაბამება** | *simartles sheesabameba* — *simartles ar sheesabameba* | “corresponds to the truth; is true” — “does not correspond to the truth; is untrue” | This is an explicit positive vs negative constructional opposition. The contrast is formed analytically with **არ** and is directly presented in the context as a factual truth-assessment pattern. | constructional | [CORE] |
| **ეს მართალია** | **ეს სწორი არ არის** | *es martalia* — *es sts’ori ar aris* | “this is true/right” — “this is not correct/right” | The context explicitly presents positive attribution and negative attribution as contrasting predicate patterns. Although the adjectives differ, both constructions are used to oppose affirmative correctness/truth to negative evaluation. | constructional | [CORE] |
| **სწორი** | **სწორი არ არის** | *sts’ori* — *sts’ori ar aris* | “correct; right” — “is not correct; is not right” | This is a supported negation contrast built from the same evaluative adjective. The material explicitly notes **სწორი არ არის** as a common negative evaluative phrase. | morphological | [CORE] |
| **მართებული** | **მართებული არ არის** | *martebuli* — *martebuli ar aris* | “proper; justified; valid” — “is not appropriate; is not justified” | This is a direct formal evaluative opposition between positive and negated appropriateness/validity. It is clearly attested in the construction inventory. | morphological | [CORE] |
| **გამართლება აქვს** | **გამართლება არ აქვს** | *gamartleba akvs* — *gamartleba ar akvs* | “has justification; is justified” — “there is no justification; it is inexcusable” | This is an explicit opposition between justified and unjustifiable status. The negative member is especially highlighted in moral, social, and political criticism. | constructional | [CORE] |
| **უტყუარი მტკიცებულება** | **სარწმუნო მტკიცებულება** | *ut’q’uari mtkitsebuleba* — *sarč’muno mtkitsebuleba* | “conclusive/irrefutable evidence” — “credible evidence” | The context explicitly states that **უტყუარი** is stronger than **სარწმუნო**: the former suggests something not open to doubt, while the latter marks credibility rather than conclusiveness. This is a scalar opposition within evidential evaluation. | lexical | [CORE] |
| **უტყუარი** | **დამაჯერებელი** | *ut’q’uari* — *damajerebeli* | “reliable; unfailing; certain” — “convincing; credible; persuasive” | The material supports a contrast between stronger certainty/reliability and mere persuasive plausibility. **დამაჯერებელი** can describe what seems believable, whereas **უტყუარი** suggests much firmer trustworthiness. | lexical | [CORE] |
| **სარწმუნო** | **დამაჯერებელი** | *sarč’muno* — *damajerebeli* | “credible; trustworthy; reliable” — “convincing; persuasive” | The context notes that **დამაჯერებელი** may refer to appearance of plausibility rather than established reliability, unlike **სარწმუნო**. This yields a supported contrast between trustworthy evidence/source and something merely persuasive. | lexical | [CORE] |
| **სწორი პასუხი** | **ზუსტი პასუხი** | *sts’ori pasuxi* — *zust’i pasuxi* | “correct answer” — “exact/precise answer” | The material explicitly distinguishes broader correctness from stronger precision. These are not opposites in the sense of contradiction, but they are contrastive alternatives in evaluation: one stresses correctness, the other exactness. | lexical | [CORE] |
| **სისწორე** | **სიზუსტე** | *sists’ore* — *sizust’e* | “correctness; rightness; accuracy” — “accuracy; precision; exactness” | The context repeatedly treats these as related but distinct evaluative notions and even lists them together as **სისწორე და სიზუსტე**. The contrast is between general correctness/propriety and narrower precision/exactness. | lexical | [CORE] |
| **მართალი პასუხი** | **სწორი პასუხი** | *martali pasuxi* — *sts’ori pasuxi* | “right/true answer” — “correct answer” | The context explicitly remarks that **მართალი პასუხი** is attested but less neutral, while **სწორი პასუხი** is more common for school-type correctness. This is a usage contrast rather than a strict semantic opposition. | lexical | [MARGINAL] |
| **ჭეშმარიტი სიყვარული** | **ნამდვილი სიყვარული** | *č’ešmarit’i siq’varuli* — *namdvili siq’varuli* | “true love” — “real/true love” | The context explicitly contrasts these by register: **ჭეშმარიტი სიყვარული** is more elevated or stylized, while **ნამდვილი სიყვარული** is more colloquial and natural. This is a supported stylistic contrast within similar meaning. | lexical | [MARGINAL] |
| **ჭეშმარიტების ძიება** | **სიმართლის ძიება** | *č’ešmarit’ebis dzieba* — *simartlis dzieba* | “search for truth” — “search for truth” | The context explicitly states that the **ჭეშმარიტება** version is more elevated, philosophical, or religious, while the **სიმართლე** version is broader and can be factual, moral, journalistic, or reflective. The contrast is one of register and scope. | lexical | [CORE] |
| **ჭეშმარიტების დადგენა** | **სიმართლის დადგენა** | *č’ešmarit’ebis dadgena* — *simartlis dadgena* | “establishment/determination of truth” — “establishment/determination of truth” | The material supports a stylistic contrast: the **ჭეშმარიტება** construction is more elevated, while the **სიმართლე** construction is more neutral and institutional. Both are attested in fact-finding contexts. | lexical | [CORE] |
| **ჭეშმარიტების თქმა** | **სიმართლის თქმა** | *č’ešmarit’ebis tkma* — *simartlis tkma* | “speaking the truth” — “telling the truth” | The context explicitly notes that **ჭეშმარიტების თქმა** is more elevated, literary, moral, or religious, whereas **სიმართლის თქმა** is the common neutral expression. This is a clear register contrast. | lexical | [CORE] |
| **მართლა** | **ნამდვილად** | *martla* — *namdvilad* | “really; truly; indeed” — “really; truly; indeed; genuinely” | The context explicitly notes overlap between these two adverbs. The contrast is not oppositional in polarity, but they are presented as alternative reality-marking forms with somewhat different lexical bases and usage shading. | lexical | [MARGINAL] |
