# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Swahili (sw)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| kweli (#1) | Ni kweli | ni kweli | It's true, that's true | Standard copular affirmation of truth. Most common way to affirm truth of propositions in conversation. | [CORE] |
| kweli (#1) | Si kweli | si kweli | It's not true, that's false | Standard copular negation of truth. Most common way to deny truth of propositions. | [CORE] |
| ukweli (#2) | Ni ukweli | ni ukweli | It's the truth, it's a fact | Copular construction emphasizing truth as substantive fact rather than simple affirmation. More emphatic than "ni kweli." | [CORE] |
| sahihi (#3) | Ni sahihi | ni sahihi | It's correct, that's right | Copular affirmation of correctness. Common in educational and verification contexts. | [CORE] |
| sahihi (#3) | Si sahihi | si sahihi | It's not correct, that's wrong | Copular negation of correctness. Common in corrections and evaluations. | [CORE] |
| uongo (#4) | Ni uongo | ni uongo | It's a lie, that's false | Copular construction identifying something as a lie. Stronger accusation than "si kweli." | [CORE] |
| sawa (#7) | Ni sawa | ni sawa | It's correct, it's okay, that's right | Copular affirmation of correctness or acceptability. Very common in everyday confirmation. | [CORE] |
| halisi (#8) | Ni halisi | ni halisi | It's genuine, it's authentic, it's real | Copular construction affirming authenticity. Common in verification of objects or sincerity. | [CORE] |
| batili (#12) | Ni batili | ni batili | It's false, it's invalid, it's null | Copular construction declaring invalidity. Common in legal and formal contexts. | [CORE] |
| dhahiri (#11) | Ni dhahiri | ni dhahiri | It's evident, it's obvious, it's clear | Copular construction indicating obviousness. Used to point out what should be apparent. | [CORE] |
| kweli (#1) | Kwa kweli, sikujua | kwa kweli, si-ku-jua | Truly, I didn't know; Really, I didn't know | Adverbial phrase emphasizing sincerity or truthfulness of statement. Very common in everyday speech. | [CORE] |
| hakika (#16) | Kwa hakika, atakuja | kwa hakika, a-ta-kuja | Certainly, he will come; Surely, he will come | Adverbial phrase expressing certainty. Common in emphatic affirmations. | [CORE] |
| haki (#6) | Kwa haki, yeye ndiye aliyefanya | kwa haki, yeye ndi-ye a-li-ye-fanya | Truly, he's the one who did it; In truth, he's the one who did it | Adverbial phrase indicating truthfulness or justice of statement. Used in assertions and judgments. | [CORE] |
| usahihi (#24) | Fanya kwa usahihi | fanya kwa usahihi | Do it accurately, do it correctly | Adverbial phrase indicating manner of doing something with accuracy. Common in instructions. | [CORE] |
| uadilifu (#18) | Amefanya kazi kwa uadilifu | a-me-fanya kazi kwa uadilifu | He has worked honestly, he has worked with integrity | Adverbial phrase indicating honest or just manner. Common in character evaluations. | [CORE] |
