| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| Expressions used to say that something is true, real, or genuinely the case | These forms are used when a speaker presents something as actual, genuine, or not merely apparent. They occur with statements, reports, and also with things whose reality or authenticity is being stressed. | **chiqaq** — transliteration: *chiqaq*<br>**chiqap** — transliteration: *chiqap*<br>**chiqaqta** — transliteration: *chiqaqta*<br>**chiqaq kay** — transliteration: *chiqaq kay*<br>**chiqaq simi** — transliteration: *chiqaq simi* | **chiqaq kay** overlaps with more reflective or elevated discussion of reality or true nature, not just everyday truth-evaluation.<br>**chiqaq simi** overlaps with moralized evaluation of speech.<br>**allin / allinmi** can sometimes overlap when “correct” is close to “true,” but their usage is broader and not limited to truth. | **chiqaq kay** overlaps with more reflective or elevated discussion of reality or true nature, not just everyday truth-evaluation.<br>**chiqaq simi** overlaps with moralized evaluation of speech.<br>**allin / allinmi** can sometimes overlap when “correct” is close to “true,” but their usage is broader and not limited to truth. |
| Expressions used for falsehood, lying, and deceptive speech | These forms are used where the issue is not just inaccuracy but lying, deceit, or morally charged falsehood. They apply both to false statements and to people characterized as deceptive. | **llulla** — transliteration: *llulla*<br>**llullakuy** — transliteration: *llullakuy*<br>**llullasqa** — transliteration: *llullasqa*<br>**llulla runa** — transliteration: *llulla runa*<br>**llulla simi** — transliteration: *llulla simi*<br>**llullaq** — transliteration: *llullaq* | **llullasqa** can describe a false or deceptive report, so it overlaps with evaluation of statements rather than only persons.<br>**llulla simi** overlaps with speech-specific expressions such as **chiqaq simi**.<br>**pantachiy / pantachisqa** may come close in contexts of misleading, but their core usage is about causing error rather than lying itself. | **llullasqa** can describe a false or deceptive report, so it overlaps with evaluation of statements rather than only persons.<br>**llulla simi** overlaps with speech-specific expressions such as **chiqaq simi**.<br>**pantachiy / pantachisqa** may come close in contexts of misleading, but their core usage is about causing error rather than lying itself. |
| Expressions used for mistake, incorrectness, and going wrong in judgment | These forms are used when something is judged mistaken, incorrect, or led into error. They fit contexts of wrong answers, wrong beliefs, practical mistakes, and cases where someone causes confusion or misjudgment. | **pantay** — transliteration: *pantay*<br>**pantasqa** — transliteration: *pantasqa*<br>**pantachiy** — transliteration: *pantachiy*<br>**pantachisqa** — transliteration: *pantachisqa*<br>**pantayniyuq** — transliteration: *pantayniyuq*<br>**pantayman churay** — transliteration: *pantayman churay* | **pantachiy** and **pantayman churay** overlap with interpersonal deception in some contexts, but the usage given centers on causing error.<br>**pantasqa** can overlap with **allin / mana allin** where “incorrect” and “not right” are close in practical evaluation.<br>**llulla** contrasts with this group because it is more strongly tied to deceit than simple mistake. | **pantachiy** and **pantayman churay** overlap with interpersonal deception in some contexts, but the usage given centers on causing error.<br>**pantasqa** can overlap with **allin / mana allin** where “incorrect” and “not right” are close in practical evaluation.<br>**llulla** contrasts with this group because it is more strongly tied to deceit than simple mistake. |
| Expressions used for saying something is right, proper, acceptable, or not right | These forms are broad evaluative expressions used for actions, answers, proposals, behavior, and practical arrangements. They are not limited to factual truth, and often cover propriety, adequacy, and social or moral acceptability. | **allin** — transliteration: *allin*<br>**allinmi** — transliteration: *allinmi*<br>**mana allin** — transliteration: *mana allin*<br>**qampa** — transliteration: *qampa* | **allin** may overlap with correctness of an answer, so it can come near truth/error language.<br>**qampa** is more about exactness, fit, or precision, and its status is uncertain.<br>**sumaq** sometimes overlaps where admiration shades into appropriateness, but it is not mainly a basic “right/wrong” term. | **allin** may overlap with correctness of an answer, so it can come near truth/error language.<br>**qampa** is more about exactness, fit, or precision, and its status is uncertain.<br>**sumaq** sometimes overlaps where admiration shades into appropriateness, but it is not mainly a basic “right/wrong” term. |
| Expressions used for identity, sameness, difference, and matching | These forms are used when speakers distinguish whether something is the same, different, corresponding, or only apparently similar. They are relevant in recognizing identity, separating one thing from another, and checking whether things match properly. | **chiqan** — transliteration: *chiqan*<br>**kikin** — transliteration: *kikin*<br>**kuska** — transliteration: *kuska*<br>**rikch’akuy** — transliteration: *rikch’akuy*<br>**riqsiy** — transliteration: *riqsiy* | **riqsiy** also belongs with correct recognition or knowing what something really is.<br>**rikch’akuy** is especially tied to appearance and resemblance, so it can border on contrasts between appearance and reality.<br>**chiqan** can support judgments that something is not what it claims to be, but it is not itself a truth term. | **riqsiy** also belongs with correct recognition or knowing what something really is.<br>**rikch’akuy** is especially tied to appearance and resemblance, so it can border on contrasts between appearance and reality.<br>**chiqan** can support judgments that something is not what it claims to be, but it is not itself a truth term. |
| Expressions used for credibility, belief, and trusting acceptance | These forms are used where the issue is whether a person or statement is believed, trusted, or accepted as reliable. They fit contexts of testimony, credibility, and interpersonal trust rather than direct labeling of truth or falsehood. | **iñiy** — transliteration: *iñiy*<br>**iñisqa** — transliteration: *iñisqa* | **iñisqa** can overlap with truth-related evaluation because something believed may be treated as credible.<br>**riqsiy** is nearby in some contexts, but it is about knowing/recognizing rather than believing/trusting.<br>**llullakuy** contrasts strongly with this group because lying directly affects whether belief is warranted. | **iñisqa** can overlap with truth-related evaluation because something believed may be treated as credible.<br>**riqsiy** is nearby in some contexts, but it is about knowing/recognizing rather than believing/trusting.<br>**llullakuy** contrasts strongly with this group because lying directly affects whether belief is warranted. |
| Expressions used for moral fault, guilt, and blame | These forms are used when conduct is judged wrong in a serious ethical, religious, or quasi-legal sense. They focus on culpability and offense rather than simple factual error or ordinary practical incorrectness. | **hucha** — transliteration: *hucha*<br>**huchayuq** — transliteration: *huchayuq*<br>**mana allin** — transliteration: *mana allin*  *(overlapping item)* | **mana allin** overlaps because it can be used for moral criticism, but it is broader and less serious than **hucha**.<br>**llulla / llullakuy** often belong nearby in moral discourse, but their core usage is specifically lying and deception.<br>**allin** can function as a positive counterpart in moral evaluation, though it is not restricted to that domain. | **mana allin** overlaps because it can be used for moral criticism, but it is broader and less serious than **hucha**.<br>**llulla / llullakuy** often belong nearby in moral discourse, but their core usage is specifically lying and deception.<br>**allin** can function as a positive counterpart in moral evaluation, though it is not restricted to that domain. |
| Expressions used for worth, esteem, and recognized value | These forms are used when something or someone is treated as worthy, valuable, fair, or deserving of esteem. The usage is evaluative, but not mainly about truth or falsity. | **chanin** — transliteration: *chanin*<br>**chaninnaq** — transliteration: *chaninnaq*<br>**yupaychay** — transliteration: *yupaychay*<br>**sumaq** — transliteration: *sumaq* | **chanin** can overlap with propriety or fair measure, not just value.<br>**sumaq** is primarily aesthetic, but sometimes extends to broader approval or appropriateness.<br>**yupaychay** is mainly about esteem and honor, so it sits somewhat apart from the others. | **chanin** can overlap with propriety or fair measure, not just value.<br>**sumaq** is primarily aesthetic, but sometimes extends to broader approval or appropriateness.<br>**yupaychay** is mainly about esteem and honor, so it sits somewhat apart from the others. |
| (Ungrouped Items) | (no clear grouping identified) | **sumaq**<br>**qampa**<br>**yupaychay**<br>**chiqaq kay**<br>**rikch’akuy** | Some items do not fit cleanly into a single practical cluster based on the provided usage notes: | **sumaq** — mainly aesthetic/excellence, only sometimes touching appropriateness.<br>**qampa** — linked to exactness, fit, and properness, but marked as uncertain.<br>**yupaychay** — more about honor and esteem than truth/correctness.<br>**chiqaq kay** — more elevated and reflective than ordinary truth statements.<br>**rikch’akuy** — mainly about seeming/resemblance, which connects to several groups without fully belonging to one. |
