| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| सत्य | सत्यं वद | satyaṃ vada | Speak the truth. | A very common imperative expression in ethical, didactic, and scriptural contexts. It is especially well known from normative instruction on truthful speech. | [CORE] |
| सत्य | सत्यं ब्रूते / सत्यं ब्रवीति | satyaṃ brūte / satyaṃ bravīti | He/she speaks the truth. | A standard verbal construction with *satyaṃ* as the object of “say/speak.” It is widely natural in narrative, ethical, and philosophical prose. | [CORE] |
| सत्य | सत्येन जयते | satyena jayate | One triumphs by truth. | An established instrumental construction expressing truth as the means of victory or success. It belongs especially to moral and laudatory discourse. | [MARGINAL] |
| सत्य | सत्यात् न प्रमदितव्यम् | satyāt na pramaditavyam | One must not deviate from truth. | A well-known normative construction in learned and scriptural style. It presents truth as a standard from which one should not lapse. | [CORE] |
| सत्य | सत्ये स्थितः / सत्ये प्रतिष्ठितः | satye sthitaḥ / satye pratiṣṭhitaḥ | established in truth; standing in truth | This locative construction is used in ethical, religious, and philosophical registers for a person grounded in truth. It often has a moral or spiritual nuance beyond mere factual correctness. | [MARGINAL] |
| सत्यम् | सत्यम् एव | satyam eva | truly indeed; it is certainly true | A very common emphatic expression in discourse, often confirming the truth of a statement. It is frequent in literary and philosophical Sanskrit. | [CORE] |
| सत्यम् | सत्यम् उक्तम् | satyam uktam | What was said is true. / Truly spoken. | A common evaluative expression used in dialogue and commentary to affirm a preceding statement. It is natural in both literary and scholastic contexts. | [CORE] |
| सत्यम् | सत्यम् एतत् | satyam etat | This is true. | A straightforward predicative construction used to affirm the truth of a proposition or report. It is common across registers. | [CORE] |
| सत्यम् | सत्यम् आह / सत्यम् आहुः | satyam āha / satyam āhuḥ | He said the truth / They say truly. | A standard reporting construction with verbs of saying. It is common in narrative and dialogic usage. | [CORE] |
| सत्यता | वाक्यस्य सत्यता | vākyasya satyatā | the truth of a statement | A common scholastic and analytical genitive construction, especially in philosophical and grammatical discussion. It evaluates the truth-status of a proposition or utterance. | [CORE] |
| सत्यता | सत्यतां गच्छति | satyatāṃ gacchati | proves true; comes to be true | This construction is used for something that turns out to be true or is verified as true. It is more common in learned and literary prose than in simple everyday assertion. | [MARGINAL] |
| सत्यवचन | सत्यवचने स्थितः | satyavacane sthitaḥ | steadfast in truthful speech | Used in ethical characterization of a person committed to truthful utterance. It is natural but more restricted than simpler *satyaṃ vada* type expressions. | [MARGINAL] |
| सत्यवचन | (no common expression identified) |  | No additional common multi-word construction identified beyond ordinary contextual use of the noun. |  |  |
| ऋत | ऋतं वद | ṛtaṃ vada | Speak what is right/true. | This is primarily Vedic or archaizing in flavor. It belongs to an older register where *ṛta* carries the sense of truth aligned with right order. | [MARGINAL] |
| ऋत | ऋतस्य पन्थाः | ṛtasya panthāḥ | the path of truth/right order | A well-known Vedic-style expression linking truth with cosmic and moral order. It is not a general classical truth-evaluation phrase. | [MARGINAL] |
| तथ्य | तथ्यं वचनम् | tathyaṃ vacanam | a factual statement | A natural descriptive construction for speech or writing that is factually correct. It is more factual-reportive than morally truth-oriented. | [CORE] |
| तथ्य | तथ्यं कथनम् | tathyaṃ kathanam | factual narration / factual statement | Used in descriptive, learned, and reportive contexts for a statement that accords with the facts. It is less idiomatic than *satyaṃ vada* but still natural. | [MARGINAL] |
| यथार्थ | यथार्थं वर्णयति | yathārthaṃ varṇayati | he/she describes accurately; describes things as they are | A standard construction in descriptive, literary, and scholastic contexts. It emphasizes correspondence of description to reality. | [CORE] |
| यथार्थ | यथार्थं जानाति | yathārthaṃ jānāti | he/she knows correctly; knows the real state of affairs | Common in philosophical and analytical prose for veridical cognition. It is especially natural where knowledge is contrasted with error or appearance. | [CORE] |
| यथार्थ | यथार्थतः | yathārthataḥ | in reality; truly; as a matter of fact | A common adverbial expression in learned prose. It marks a shift from appearance or claim to actual reality. | [CORE] |
| यथार्थ | यथार्थेन | yathārthena | in accordance with reality / accurately | An instrumental adverbial use found in more formal or scholastic expression. It is less fixed than *yathārthataḥ* but still natural. | [MARGINAL] |
| यथार्थता | वर्णनस्य यथार्थता | varṇanasya yathārthatā | the accuracy of a description | A common analytical construction in literary criticism, philosophy, and scholastic prose. It evaluates representational correctness. | [CORE] |
| यथार्थता | ज्ञानस्य यथार्थता | jñānasya yathārthatā | the veridicality of cognition | A natural philosophical construction for discussing whether cognition corresponds to reality. It is especially at home in epistemological contexts. | [CORE] |
| सम्यक् | सम्यग् ज्ञातम् | samyag jñātam | correctly known | A very common adverbial construction in philosophical and scholastic Sanskrit. It evaluates cognition or understanding as correct. | [CORE] |
| सम्यक् | सम्यग् उक्तम् | samyag uktam | correctly said; well said | A common evaluative expression in dialogue, commentary, and debate. It can imply both correctness and appropriateness. | [CORE] |
| सम्यक् | सम्यग्दर्शन | samyagdarśana | right view / correct seeing | This is a lexicalized compound and thus derivationally close, but it also functions as a major doctrinal expression. Since the task prioritizes multi-word constructions, it should not be counted as a primary construction here. | [UNCERTAIN] |
| सम्यक्त्व | (no common expression identified) |  | No common multi-word construction identified beyond ordinary abstract-noun use in scholastic prose. |  |  |
| युक्त | युक्तं भवति | yuktaṃ bhavati | it is उचित / it is proper / it is reasonable | A common predicative construction in argument and evaluative prose. It is used for what is fitting, justified, or logically appropriate. | [CORE] |
| युक्त | युक्तम् उक्तम् | yuktam uktam | rightly said; reasonably stated | A standard evaluative phrase in commentary and debate. It often signals approval of an argument or formulation as well-founded. | [CORE] |
| युक्त | न युक्तम् | na yuktam | it is not proper; it is not reasonable | A very common negative evaluative construction in argument, ethics, and narrative dialogue. It marks impropriety, implausibility, or lack of justification. | [CORE] |
| उचित | उचितं भवति | ucitaṃ bhavati | it is proper; it is fitting | A standard predicative construction for contextual propriety. It is common in literary, ethical, and practical discourse. | [CORE] |
| उचित | उचितम् उक्तम् | ucitam uktam | appropriately said | Used to approve wording, judgment, or response as fitting to the context. It is natural but somewhat less central than *yuktam uktam*. | [MARGINAL] |
| उचित | न उचितम् | na ucitam | it is not proper | A very common negative predicative expression in ethical and social evaluation. It marks impropriety rather than falsity. | [CORE] |
| न्याय्य | न्याय्यं भवति | nyāyyaṃ bhavati | it is just / legitimate | A natural predicative construction in legal, ethical, and argumentative contexts. It evaluates a claim, action, or judgment as fair or justifiable. | [CORE] |
| न्याय्य | न्याय्यं मन्यते | nyāyyaṃ manyate | considers it just / legitimate | Common with verbs of thinking or judging in evaluative prose. It is especially suitable where legitimacy is under discussion. | [MARGINAL] |
| धर्म्य | धर्म्यं युद्धम् | dharmyaṃ yuddham | a righteous war | A well-known collocation in epic and ethical discourse. It evaluates an action or undertaking as in accordance with dharma. | [CORE] |
| धर्म्य | धर्म्यं वचनम् | dharmyaṃ vacanam | righteous / proper speech | A natural but less fixed expression for speech that accords with dharma or moral propriety. It is more normative than factive. | [MARGINAL] |
| प्रमाण | प्रमाणेन सिद्धम् | pramāṇena siddham | established by valid proof | A very common scholastic construction in philosophy and debate. It marks a claim as established through accepted means of knowledge. | [CORE] |
| प्रमाण | प्रमाणं भवति | pramāṇaṃ bhavati | it is valid proof / it counts as evidence | A standard predicative construction in epistemology, law, and argument. It evaluates whether something qualifies as authoritative evidence. | [CORE] |
| प्रमाण | प्रमाणं नास्ति | pramāṇaṃ nāsti | there is no proof / no valid evidence | A common negative construction in debate and legal-style reasoning. It denies evidentiary support or epistemic warrant. | [CORE] |
| प्रमाण | प्रमाणतः | pramāṇataḥ | by valid proof; on authoritative grounds | A common adverbial expression in technical prose. It signals that a conclusion is being stated from the standpoint of accepted evidence. | [CORE] |
| प्रमाण | प्रमाणैरवगम्यते | pramāṇair avagamyate | it is known through valid means of knowledge | A standard passive construction in philosophical Sanskrit. It is especially common where the knowability of an object is under discussion. | [CORE] |
| प्रमा | प्रमा जायते | pramā jāyate | valid cognition arises | A natural philosophical construction for the occurrence of true cognition. It belongs mainly to technical epistemological discourse. | [CORE] |
| प्रमा | प्रमा भवति | pramā bhavati | it is valid cognition | Used in classificatory and analytical contexts to identify a cognition as veridical. It is technical but standard. | [CORE] |
| प्रमाणिक | प्रमाणिकः ग्रन्थः | pramāṇikaḥ granthaḥ | an authoritative text | A common descriptive construction in learned and textual contexts. It evaluates a text as reliable or accepted as authority. | [CORE] |
| प्रमाणिक | प्रमाणिकं वचनम् | pramāṇikaṃ vacanam | an authoritative statement | Used for testimony or assertion regarded as trustworthy. It is common in commentary, legal reasoning, and evaluative prose. | [CORE] |
| प्रामाण्य | ज्ञानस्य प्रामाण्यम् | jñānasya prāmāṇyam | the validity of cognition | A central epistemological construction in Sanskrit philosophy. It is used in debates over whether and how cognition is valid. | [CORE] |
| प्रामाण्य | शब्दस्य प्रामाण्यम् | śabdasya prāmāṇyam | the validity/authority of verbal testimony | A standard construction in epistemology and hermeneutics. It is especially important in discussions of scriptural or linguistic authority. | [CORE] |
| अप्रमाद | अप्रमादेन | apramādena | with vigilance; carefully | A common instrumental adverbial expression in ethical and religious discourse. It concerns carefulness and reliability rather than truth directly. | [MARGINAL] |
| अप्रमाद | अप्रमादोऽमृतपदम् | apramādo 'mṛtapadam | vigilance is the path to the deathless | A well-known religious-ethical expression, especially in Buddhist-style discourse. It is adjacent to correctness and reliability, not direct truth-evaluation. | [MARGINAL] |
| मिथ्या | मिथ्या वदति | mithyā vadati | he/she speaks falsely | A standard construction for false speech. It is common in ethical, narrative, and philosophical contexts. | [CORE] |
| मिथ्या | मिथ्या ज्ञानम् | mithyā jñānam | false knowledge; erroneous cognition | A common philosophical construction for cognition that does not correspond to reality. It is especially important in discussions of error. | [CORE] |
| मिथ्या | मिथ्या दृष्टिः | mithyā dṛṣṭiḥ | false view; wrong view | A well-established doctrinal expression in Buddhist and other philosophical contexts. It extends from falsity into evaluative and soteriological discourse. | [CORE] |
| मृषा | मृषा वदति | mṛṣā vadati | he/she speaks falsely | A standard literary and ethical construction for false speech. It is somewhat more elevated or literary than *mithyā vadati*. | [CORE] |
