# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Chinese (zh)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| 真实 (zhēnshí) - true, real, authentic | 真实性 (zhēnshíxìng) | zhēnshíxìng | true + real + nature/quality | authenticity, truthfulness, veracity | Abstract noun used in academic, legal, and technical contexts to discuss the quality of being authentic or true. Common in phrases like "质疑真实性" (question the authenticity). | [CORE] |
| 可靠 (kěkào) - reliable, dependable | 可靠性 (kěkàoxìng) | kěkàoxìng | can + lean on + nature/quality | reliability, dependability | Technical and formal term for the quality of being reliable. Common in engineering, statistics, and quality assessment contexts. | [CORE] |
| 正当 (zhèngdàng) - legitimate, proper, justified | 正当性 (zhèngdàngxìng) | zhèngdàngxìng | upright/correct + appropriate + nature/quality | legitimacy, justification | Legal and political term for the quality of being legitimate or justified. Used in discussions of authority, rights, and actions. | [CORE] |
| 合理 (hélǐ) - reasonable, rational | 合理性 (hélǐxìng) | hélǐxìng | accord + principle/reason + nature/quality | rationality, reasonableness | Philosophical and analytical term for the quality of being reasonable or rational. Common in academic and critical discourse. | [CORE] |
| 实用 (shíyòng) - practical, pragmatic | 实用性 (shíyòngxìng) | shíyòngxìng | real + use + nature/quality | practicality, utility | Evaluative term for the quality of being practical or useful. Common in product reviews and functional assessments. | [CORE] |
| 正常 (zhèngcháng) - normal, regular | 正常性 (zhèngchángxìng) | zhèngchángxìng | correct/upright + constant + nature/quality | normality, normalcy | Medical and psychological term for the quality of being normal. Less common than the base form. | [CORE] |
| 准确 (zhǔnquè) - accurate, precise | 准确性 (zhǔnquèxìng) | zhǔnquèxìng | standard + definite + nature/quality | accuracy, precision | Technical and scientific term for the quality of being accurate. Common in measurement, data analysis, and quality control contexts. | [CORE] |
| 真实 (zhēnshí) - true, real, authentic | 真实度 (zhēnshídù) | zhēnshídù | true + real + degree | degree of authenticity, level of realism | Used to measure or evaluate how authentic or realistic something is. Common in discussions of simulations, representations, or artistic works. | [CORE] |
| 可靠 (kěkào) - reliable, dependable | 可靠度 (kěkàodù) | kěkàodù | can + lean on + degree | degree of reliability, reliability level | Technical term for measuring reliability, especially in engineering and statistics. Often used interchangeably with 可靠性 but emphasizes measurable degree. | [CORE] |
| 准确 (zhǔnquè) - accurate, precise | 准确度 (zhǔnquèdù) | zhǔnquèdù | standard + definite + degree | degree of accuracy, accuracy level | Technical term for measuring accuracy. Common in scientific and technical contexts where precision is quantified. | [CORE] |
