| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| Attribution (positive) | cheqa qelqa | *cheqa qelqa* | 'authentic document / genuine text' | Standard prenominal adjective-noun order; no linking morphology required. Appears across registers including legal, religious, and everyday speech. | [CORE] |
| Attribution (positive) | llulla simi | *llulla simi* | 'false word / lying speech / false speech / lying words' | Equally standard; no restrictions noted beyond those applying to the lexical item *llulla* itself. Prenominal position is the standard adjective position in Quechua; no agreement morphology is required or attested. The modifier is invariant across number and case contexts. | [CORE] |
| Attribution (positive) | Cheqam | *cheqa-m* | 'It is true / That is correct' | Attested as a complete predication in general assertive contexts; the absence of an overt copula is the standard pattern in present-tense non-verbal predication. No restriction to specific register is noted. The direct evidential clitic *-mi/-m* is obligatory in assertive contexts. | [CORE] |
| Attribution (positive) | Llullam | *llulla-m* | 'It is a lie / That is false' | Parallel to *Cheqam*; attested in the same assertive contexts. The direct evidential *-m/-mi* is obligatory for the assertive force of the construction. Attested for *cheqa*, *cheqaq*, *llulla*, *chiqan*, *allin*, *sut'i*, and *kikin*. | [CORE] |
| Predicate-nominal / predicate-adjectival with *-mi/-m* | Cheqam kay. | *cheqa-m kay* | 'This is true.' | Standard assertive construction across all registers; the direct evidential clitic *-mi/-m* is obligatory in assertive contexts. No copula is used. No restriction on predicate position relative to subject. | [CORE] |
| Predicate-nominal / predicate-adjectival with *-mi/-m* | Llullam chay. | *llulla-m chay* | 'That is a lie / That is false.' | Same pattern as *Cheqam kay*; attested for *cheqa*, *cheqaq*, *llulla*, *chiqan*, *allin*, *sut'i*, and *kikin*. No restriction on predicate position relative to subject. | [CORE] |
| Adnominal modification | Cheqa runa | *cheqa runa* | 'An upright person / A person of integrity' | Prenominal position is the standard adjective position in Quechua; no agreement morphology is required or attested. The modifier is invariant across number and case contexts. | [CORE] |
| Adnominal modification | Cheqaq runám pay. | *cheqaq runa-m pay* | 'He/she is an honest person.' | Prenominal, uninflected modifier; the evidential clitic attaches to the predicate of the larger clause, not to the modifier within the NP. Fully productive pattern. | [CORE] |
| Adnominal modification | Llulla qelqam chay. | *llulla qelqa-m chay* | 'That is a false document / forged writing.' | Same prenominal pattern; *llulla* functions as modifier without agreement morphology. The same forms serve as both standalone predicates and prenominal modifiers; clause structure distinguishes the two uses. | [CORE] |
| Negative Attribution (prenominal) | mana cheqa qelqa | *mana cheqa qelqa* | 'inauthentic document / not a genuine text' | *Mana* precedes the adjective-noun sequence; *-chu* does not appear in prenominal attributive position. Restricted to attributive (non-predicative) contexts. | [CORE] |
| Negative Attribution (predicative) | mana allinchu | *mana allinchu* | 'it is not good / it is wrong / it is bad' | *-chu* is obligatory on the predicate in negative declarative clauses; its absence would be ungrammatical. Applies across predicative contexts. | [CORE] |
| Negative attribution | Manan cheqachu | *mana-n cheqa-chu* | 'It is not true / That is not correct' | The *mana...chu* frame is described as the standard negation pattern for predicates; attested without register restriction. The evidential *-n* on *mana* is present but described as optional. | [CORE] |
| Negative attribution | Manan llullachu | *mana-n llulla-chu* | 'It is not false / That is not a lie' | Parallel construction to *Manan cheqachu*; attested as part of the paired rhetorical pattern. | [CORE] |
| *Mana* + predicate + *-chu* | Mana cheqachu. | *mana cheqa-chu* | 'It is not true. / That is not the case.' | Standard negation pattern in Southern Quechua; applies to truth-domain predicates without any special construction. The evidential clitic may be absent. | [CORE] |
| *Mana* + predicate + *-mi* + *-chu* | Mana chiqanmi chay ruway. | *mana chiqan-mi chay ruway* | 'That action is not right/just.' | Same *mana … -chu* frame; here *-mi* attaches to the predicate rather than to *mana*. Both placements of the evidential are attested; no restriction documented between them. | [CORE] |
| Adnominal Modification (participial) | cheqanchasqa qelqa | *cheqanchasqa qelqa* | 'a verified/certified document' | Participial modifier (*-sqa*) follows the same prenominal order as simple adjectives. Appears in formal and legal registers. | [CORE] |
| Adnominal Modification (possessive nominalization) | cheqa kaynin | *cheqa kaynin* | 'its true nature / what it genuinely is' | Restricted to philosophical and religious registers; expresses essential nature rather than a simple property. Less frequent than simple attributive or participial forms. | [MARGINAL] |
| Become / Inchoative | cheqakay | *cheqakay* | 'to become true / to be realized / to come true' | Attested for *cheqa*, *allin*, and *sumaq*; productive within that set. Contrasts systematically with the transitive *-ncha-* causative. | [CORE] |
| Become / Inchoative | allinkay | *allinkay* | 'to become good / to get well / to improve / to recover' | Common in everyday speech including health and recovery contexts. No *-ka-* inchoative is documented for *llulla*; that gap is preserved here. | [CORE] |
| Inchoative verb | Allinyay | *allin-ya-y* | 'To become correct / To improve / To get right' | The *-ya* suffix is described as the productive inchoative on adjectival bases; *allinyay* is attested without contextual restriction noted. | [CORE] |
| Nominalized stative (accusative) | Cheqakayta | *cheqa-ka-y-ta* | 'The being true / The becoming real' (nominalized, as object of a verb) | Attested specifically as the object of epistemic verbs in the accusative; the *-ka* stative (rather than *-ya*) is specific to the *cheqa* root and is not described as the general productive pattern. Restricted to object position of epistemic verbs in attested data. Also attested as object of epistemic verbs in the abstract nominalization function. | [MARGINAL] |
| *[truth-domain adjective]* + *tukuy* | Chiqan tukun. | *chiqan tuku-n* | 'He/she/it becomes correct / becomes just.' | Structurally regular following the general *[adjective] + tukuy* pattern; limited specific attestation for truth-domain items. Tense and person inflection carried by *tukuy*. | [UNCERTAIN] |
